state	year	precinct	g2008_USP_tv	g2008_USP_dv	g2008_USP_rv	g2008_STS_tv	g2008_STS_dv	g2008_STS_rv	sd	g2008_USS_tv	g2008_USS_dv	g2008_USS_rv	g2008_USH_tv	g2008_USH_dv	g2008_USH_rv	g2008_GOV_tv	g2008_GOV_dv	g2008_GOV_rv	g2008_LTG_tv	g2008_LTG_dv	g2008_LTG_rv	g2008_INS_tv	g2008_INS_dv	g2008_INS_rv	g2008_STH_tv	g2008_STH_dv	g2008_STH_rv	ld
"DE"	2008	"02-04"	519	291	224	500	268	232	4	503	300	203	494	90	403	503	340	162	497	227	269	487	226	257	491	293	195	4
"DE"	2008	"02-05"	636	527	107	505	505		11	601	509	92	582	368	209	598	504	91	582	454	128	574	439	127	526	526		5
"DE"	2008	"02-06"	1303	846	439					1265	857	408	1241	388	843	1257	874	376	1235	729	506	1218	715	470	979	979		6
"DE"	2008	"02-07"	997	594	395					956	602	354	943	264	667	964	617	344	935	496	439	915	462	432	957	519	438	7
"DE"	2008	"02-08"	2284	1451	808					2204	1457	747	2120	972	1135	2188	1478	707	2143	1396	747	2127	1380	714	2154	1290	864	8
"DE"	2008	"02-09"	1809	979	806	1727	1040	687	10	1760	1043	717	1721	527	1186	1754	1076	674	1708	958	749	1689	900	762	1752	729	1023	9
"DE"	2008	"02-10"	1076	664	399	1029	629	400	4	1053	674	379	1016	334	671	1041	687	350	1020	588	432	995	582	396	1027	463	560	10
"DE"	2008	"02-11"	602	386	204					586	394	192	571	202	363	577	411	162	565	345	220	564	317	233	567	234	333	11
"DE"	2008	"02-12"	179	113	63					171	107	64	171	67	99	172	121	51	165	102	63	170	98	64	111		111	12
"DE"	2008	"02-13"	164	139	23	120	120		3	151	129	22	130	80	50	146	124	21	138	108	30	136	101	33	123	120		13
"DE"	2008	"02-14"	1748	1044	694	1644	939	705	18	1700	1087	613	1675	667	998	1706	1035	670	1664	1021	643	1662	817	809	1384	1384		14
"DE"	2008	"02-15"	1235	1014	211					1183	977	206	1113	669	439	1156	979	173	1123	916	207	1128	870	239	1020	1020		15
"DE"	2008	"02-16"	819	793	25	699	699		2	753	725	28	677	567	109	737	709	28	698	633	65	694	638	50	699	699		16
"DE"	2008	"02-17"	281	213	64					270	224	46	265	153	107	265	221	42	266	217	49	261	209	45	265	223	42	17
"DE"	2008	"02-18"	379	261	110					368	265	103	355	150	204	369	282	84	362	250	112	355	232	114	364	144	212	18
"DE"	2008	"02-19"	843	608	225					810	591	219	795	359	431	805	618	182	790	578	212	782	531	232	789	627	158	19
"DE"	2008	"02-20"	741	455	278					721	472	249	699	215	478	713	498	207	702	444	258	689	390	288	490		488	20
"DE"	2008	"02-21"	586	379	193					565	381	184	562	200	354	566	415	150	555	373	182	551	352	188	564	267	297	21
"DE"	2008	"02-22"	732	389	340	695	297	398	6	716	427	289	703	157	541	714	457	254	701	391	310	689	366	308	700	261	439	22
"DE"	2008	"02-23"	980	615	353	921	436	485	6	940	617	323	924	274	627	941	655	281	910	546	362	895	515	363	914	659	240	23
"DE"	2008	"02-24"	1232	910	298	949	949		11	1164	894	270	1121	551	559	1143	903	235	1111	796	315	1106	767	311	1125	543	564	24
"DE"	2008	"02-25"	1008	673	325	938	604	334	10	980	666	314	957	381	562	967	701	261	949	628	321	935	610	306	976	729	247	25
"DE"	2008	"02-26"	815	642	166	771	614	157	10	786	624	162	756	433	314	777	631	144	769	584	185	758	576	169	768	632	136	26
"DE"	2008	"02-27"	692	481	209	644	442	202	10	658	468	190	647	287	352	663	478	183	650	433	217	636	413	207	661	368	268	27
"DE"	2008	"02-28"	1971	1193	755					1949	1244	705	1891	724	1150	1934	1306	621	1874	1186	688	1847	1109	700	1557	1557		28
"DE"	2008	"02-29"	2862	1769	1063					2867	1800	1067	2763	1196	1545	2854	1904	942	2799	1717	1082	2733	1578	1111	2822	1695	1127	29
