state	year	county	precinct	g2002_USH_dv	g2002_USH_rv	g2002_USH_tv
"ND"	2002	"Wells"	"14_6"			
"ND"	2002	"Williams"	"1_59"			
"ND"	2002	"Williams"	"1_60"			
"ND"	2002	"Williams"	"1_73"			
"ND"	2002	"Williams"	"1_74"			
"ND"	2002	"Williams"	"1_76"			
"ND"	2002	"Williams"	"2_43"			
"ND"	2002	"Williams"	"2_45"			
"ND"	2002	"Williams"	"2_48"			
"ND"	2002	"Williams"	"2_53"			
"ND"	2002	"Williams"	"2_55"			
"ND"	2002	"Williams"	"2_62"			
"ND"	2002	"Williams"	"2_63"			
"ND"	2002	"Williams"	"2_64"			
"ND"	2002	"Williams"	"2_65"			
"ND"	2002	"Williams"	"2_67"	12684	11860	24544
"ND"	2002					
