state	year	town	cd	cd2	g2006_GOV_rv	g2006_GOV_dv	g2006_SOS_dv	g2006_SOS_lv	g2006_TRE_rv	g2006_TRE_dv	g2006_COM_rv	g2006_COM_dv	g2006_ATG_rv	g2006_ATG_dv	g2006_USS_rv	g2006_USS_dv	g2006_USH_dv	g2006_USH_rv	g2006_USH_rv2	g2006_USH_dv2	g2006_USS_iv
"CT"	2006	"Trumbull"	4		10538	3428	7416	153	5771	6575	5552	6642	3884	9362	1449	4349	5775	8055			8265
"CT"	2006	"Union"	2		302	138	284	7	133	236	111	270	100	299	59	159	180	230			214
"CT"	2006	"Vernon"	2		6573	3385	7461	99	2723	6523	2409	6820	2030	7616	1079	4185	5696	4224			4717
"CT"	2006	"Voluntown"	2		574	288	569	12	234	482	366	413	186	593	100	353	373	480			424
"CT"	2006	"Wallingford"	3		10589	5097	10689	160	4238	8959	3936	9128	3078	11428	1463	5577	10869	3583			8769
"CT"	2006	"Warren"	5		466	170	379	16	216	350	218	347	187	408	78	247	322	300			323
"CT"	2006	"Washington"	5		1162	450	1025	16	535	882	510	912	406	1110	163	740	983	627			764
"CT"	2006	"Waterbury"	5	3	12468	8019	12824	270	4632	12361	4620	11695	4429	13280	2682	7354	8797	6603	994	2180	11296
"CT"	2006	"Waterford"	2		4903	2977	5442	86	2149	4846	2533	4529	1589	5838	762	3070	3857	3941			4131
"CT"	2006	"Watertown"	5		5731	2166	4721	77	2690	4101	2592	4108	2330	4950	1252	2269	3602	3934			4408
"CT"	2006	"West Hartford"	1		13535	11650	18606	193	5675	17488	5461	17341	6692	17661	2096	11316	18166	5559			12324
"CT"	2006	"West Haven"	3		8265	5916	9487	141	2788	8807	2725	8593	2107	10345	1242	5136	10667	2303			8033
"CT"	2006	"Westbrook"	2		1994	848	2070	31	861	1732	812	1785	592	2160	296	961	1249	1549			1628
"CT"	2006	"Weston"	4		2732	1426	2205	66	1631	2095	1596	2145	1285	2690	271	1661	2224	1997			2311
"CT"	2006	"Westport"	4		7531	4151	6853	161	4096	6387	4086	6427	3236	7886	694	5081	6356	5626			6229
"CT"	2006	"Wethersfield"	1		6597	4679	8371	70	2962	7639	2719	7646	2501	8450	1147	4689	7910	2874			5484
"CT"	2006	"Willington"	2		1354	863	1591	33	580	1426	521	1522	508	1612	281	1034	1137	1067			944
"CT"	2006	"Wilton"	4		5650	1872	3352	129	3404	3463	3494	3288	2766	4489	568	2594	3283	4264			4452
"CT"	2006	"Winchester"	1		2406	1086	2447	35	937	2073	870	2154	797	2426	448	1352	2056	1014			1746
"CT"	2006	"Windham"	2		2872	2449	3995	74	1018	3586	967	3740	858	4025	475	2839	3183	2090			2258
"CT"	2006	"Windsor"	1		5685	4770	7824	134	2220	7452	2331	7159	1952	7860	1012	5185	7433	2269			4490
"CT"	2006	"Windsor Locks"	1		2679	1585	3101	37	1230	2621	985	2722	950	3028	539	1706	2720	1120			2063
"CT"	2006	"Wolcott"	5		4426	1589	4151	35	1972	3560	1896	3584	1538	4354	808	1587	2817	2885			3635
"CT"	2006	"Woodbridge"	3		2668	1506	2584	36	1238	2344	1196	2333	76	2993	275	1438	3008	947			2560
"CT"	2006	"Woodbury"	5		3138	1160	2349	31	1705	2047	1634	2084	1445	2547	509	1506	2051	2110			2340
"CT"	2006	"Woodstock"	2		2091	970	1838	44	1206	1552	1062	1722	930	1954	377	1168	1323	1686			1561
