state	year	county	cd	g2010_REG_tv	g2010_BALL_tv	g2010_USS_rv	g2010_USS_dv	g2010_GOV_dv	g2010_GOV_rv	g2010_LTG_rv	g2010_LTG_dv	g2010_SOS_dv	g2010_SOS_rv	g2010_COM_dv	g2010_COM_rv	g2010_TRE_rv	g2010_ATG_rv	g2010_USH_dv	g2010_USH_rv
"ID"	2010	"59"	2	1904	1015	328	652	730	220	339	617	558	426	294	661	518	553	604.0	352.0
"ID"	2010	"60"	2	1684	740	271	436	485	194	254	435	408	299	250	432	412	420	403.0	295.0
"ID"	2010	"61"	1	1425	786	614	132	185	529	574	144	135	631	567	181	671	678	266.0	457.0
"ID"	2010	"62"	1	1173	644	482	128	188	379	445	148	130	497	440	176	541	538	280.0	304.0
"ID"	2010	"63"	1	2094	1052	751	234	303	645	713	240	231	786	716	281	875	873	448.0	511.0
"ID"	2010	"64"	1	2602	1382	961	348	449	799	911	378	340	1003	916	402	1103	1118	634.0	650.0
"ID"	2010	"65"	1	1676	975	676	255	318	550	641	251	226	709	622	295	778	790	443.0	432.0
"ID"	2010	"66"	1	1530	709	483	190	254	371	437	206	175	505	437	232	561	565	300.0	337.0
"ID"	2010	"67"	2	1565	680	393	252	325	259	347	269	224	436	368	275	510	509	234.0	379.0
"ID"	2010	"68"	2	1246	592	326	219	256	245	308	223	215	351	293	259	415	413	200.0	329.0
"ID"	2010	"69"	2	904	546	249	275	308	185	234	272	256	272	225	291	344	349	260.0	246.0
"ID"	2010	"70"	2	866	457	208	222	255	156	175	239	206	230	187	243	277	288	211.0	213.0
"ID"	2010	"71"	2	976	450	247	186	223	188	234	182	174	260	232	200	326	333	169.0	255.0
"ID"	2010	"72"	2	1140	515	199	296	333	149	180	295	274	223	182	304	311	313	266.0	222.0
"ID"	2010	"73"	2	1332	894	445	415	560	288	414	404	345	512	356	469	567	575	388.0	456.0
"ID"	2010	"74"	2	2235	1419	839	526	676	642	769	541	486	874	725	587	930	953	480.0	852.0
"ID"	2010	"75"	2	1288	296	140	134	154	103	117	141	124	141	109	144	171	170	134.0	124.0
"ID"	2010	"76"	2	1320	792	363	389	475	264	356	370	318	422	286	438	480	489	337.0	391.0
"ID"	2010	"77"	2	1285	802	270	505	575	177	284	467	406	355	229	514	451	462	448.0	310.0
"ID"	2010	"78"	1	1992	969	694	211	260	578	651	216	202	718	674	231	777	783	360.0	490.0
"ID"	2010	"79"	1	696	389	270	92	122	207	235	100	102	266	256	102	323	324	152.0	181.0
"ID"	2010	"80"	2	751	441	265	153	201	186	245	168	139	292	241	179	310	321	142.0	275.0
"ID"	2010	"81"	2	1491	864	541	287	365	422	480	308	252	586	489	333	631	638	255.0	538.0
"ID"	2010	"82"	2	1280	628	367	214	253	279	328	228	211	390	364	234	465	473	201.0	357.0
"ID"	2010	"83"	2	1782	917	478	381	455	348	416	417	376	505	446	421	661	652	362.0	474.0
"ID"	2010	"84"	2	1020	594	312	259	316	206	272	278	237	337	269	295	402	412	257.0	305.0
"ID"	2010	"85"	2	1550	846	378	425	482	255	339	443	366	447	323	474	546	561	377.0	400.0
"ID"	2010	"86"	2	1253	459	193	236	254	140	173	235	217	214	166	251	278	291	199.0	203.0
"ID"	2010	"87"	2	1994	956	484	415	485	370	469	395	359	538	431	455	583	586	368.0	513.0
"ID"	2010	"88"	2	871	473	248	208	241	192	233	206	178	273	206	234	328	332	184.0	258.0
"ID"	2010	"89"	1	1325	822	645	155	194	559	623	154	152	647	592	188	694	693	329.0	445.0
"ID"	2010	"90"	1	1885	1202	933	230	353	765	884	245	213	964	883	268	1007	1006	471.0	648.0
"ID"	2010	"91"	1	1597	947	764	154	225	636	715	164	152	756	694	194	800	801	357.0	499.0
"ID"	2010	"92"	1	1083	637	459	145	193	375	434	166	143	478	438	176	510	522	268.0	314.0
"ID"	2010	"93"	1	1096	644	513	110	181	407	461	135	110	513	457	155	534	533	271.0	336.0
"ID"	2010	"94"	1	2149	1275	908	292	387	755	884	301	252	984	888	321	1041	1048	511.0	644.0
"ID"	2010	"95"	1	1091	634	424	159	207	358	410	162	152	458	421	181	516	517	280.0	287.0
"ID"	2010	"96"	1	1613	1046	800	187	270	677	744	202	181	829	768	215	850	841	373.0	596.0
"ID"	2010	"97"	2	1255	689	436	216	260	359	432	213	177	491	401	251	544	543	186.0	448.0
"ID"	2010	"98"	2	1531	801	461	290	325	357	438	312	293	491	432	337	615	607	270.0	466.0
"ID"	2010	"99"	2	1383	598	321	244	274	246	299	237	222	348	297	258	441	436	226.0	321.0
"ID"	2010	"100"	2	1487	796	378	365	423	274	346	384	332	438	366	395	551	553	314.0	403.0
"ID"	2010	"101"	2	971	541	307	198	201	266	296	187	172	353	320	196	411	414	179.0	310.0
"ID"	2010	"102"	2	1542	809	418	349	413	310	371	365	311	464	364	393	556	566	336.0	411.0
"ID"	2010	"103"	2	993	597	328	240	313	238	315	242	197	384	287	281	426	432	210.0	347.0
"ID"	2010	"104"	2	1577	933	523	378	481	378	495	380	296	608	449	437	677	682	322.0	560.0
"ID"	2010	"105"	2	1474	809	459	322	404	347	411	338	306	476	400	357	568	586	294.0	463.0
"ID"	2010	"106"	2	1532	1056	682	345	496	487	656	335	308	713	559	439	775	786	303.0	702.0
"ID"	2010	"107"	2	1591	838	479	319	397	344	437	324	277	523	402	358	574	583	294.0	483.0
"ID"	2010	"108"	2	1429	904	502	379	477	343	437	399	348	512	400	431	643	641	326.0	522.0
"ID"	2010	"109"	1	2759	1632	1261	296	414	1080	1168	326	299	1254	1173	345	1290	1294	597.0	910.0
"ID"	2010	"110"	1	2820	1505	1123	316	462	896	1015	342	320	1106	968	398	1113	1130	604.0	784.0
