state	year	county_name	town_name	county	town	ward	cd	precinct	g2004_BALL_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"MI"	2004	"ALGER"	"MUNISING CITY"	2	52	0	1	1	770	418	330	754	520	204	726
"MI"	2004	"ALLEGAN"	"ALLEGAN TOWNSHIP"	3	2	0	6	1	1462	652	790	1458	435	961	1427
"MI"	2004	"ALLEGAN"	"ALLEGAN TOWNSHIP"	3	2	0	6	2	600	272	318	594	178	385	579
"MI"	2004	"ALLEGAN"	"CASCO TOWNSHIP"	3	4	0	6	1	1460	673	768	1454	450	921	1414
"MI"	2004	"ALLEGAN"	"CHESHIRE TOWNSHIP"	3	6	0	6	1	1035	475	541	1032	331	640	1005
"MI"	2004	"ALLEGAN"	"CLYDE TOWNSHIP"	3	8	0	6	1	754	318	421	749	252	459	737
"MI"	2004	"ALLEGAN"	"DORR TOWNSHIP"	3	10	0	2	1	642	185	446	638	130	474	620
"MI"	2004	"ALLEGAN"	"DORR TOWNSHIP"	3	10	0	2	2	1255	350	887	1251	252	929	1208
"MI"	2004	"ALLEGAN"	"DORR TOWNSHIP"	3	10	0	6	3	1303	522	1305	1842	444	1268	1762
"MI"	2004	"ALLEGAN"	"FILLMORE TOWNSHIP"	3	12	0	2	1	1500	196	1261	1473	156	1278	1450
"MI"	2004	"ALLEGAN"	"GANGES TOWNSHIP"	3	14	0	6	1	1424	599	787	1413	424	884	1351
"MI"	2004	"ALLEGAN"	"GUNPLAIN TOWNSHIP"	3	16	0	6	1	1902	803	1081	1897	514	1291	1841
"MI"	2004	"ALLEGAN"	"GUNPLAIN TOWNSHIP"	3	16	0	6	2	1202	531	662	1201	340	800	1173
"MI"	2004	"ALLEGAN"	"HEATH TOWNSHIP"	3	18	0	2	1	1636	355	1267	1634	254	1326	1614
"MI"	2004	"ALLEGAN"	"HOPKINS TOWNSHIP"	3	20	0	6	1	1327	434	871	1320	367	875	1275
"MI"	2004	"ALLEGAN"	"LAKETOWN TOWNSHIP"	3	22	0	2	1	1197	354	834	1194	240	922	1183
"MI"	2004	"ALLEGAN"	"LAKETOWN TOWNSHIP"	3	22	0	2	2	1249	244	993	1246	174	1051	1237
"MI"	2004	"ALLEGAN"	"LAKETOWN TOWNSHIP"	3	22	0	2	3	453	161	284	451	129	306	443
"MI"	2004	"ALLEGAN"	"LAKETOWN TOWNSHIP"	3	22	0	2	901	810	202	600	807	121	670	802
"MI"	2004	"ALLEGAN"	"LEE TOWNSHIP"	3	24	0	6	1	1079	588	471	1074	431	571	1037
"MI"	2004	"ALLEGAN"	"LEIGHTON TOWNSHIP"	3	26	0	6	1	2312	490	1802	2308	415	1763	2235
"MI"	2004	"ALLEGAN"	"MANLIUS TOWNSHIP"	3	28	0	2	1	1520	412	1091	1515	277	1172	1483
"MI"	2004	"ALLEGAN"	"MARTIN TOWNSHIP"	3	30	0	6	1	1196	355	832	1193	270	869	1163
"MI"	2004	"ALLEGAN"	"MONTEREY TOWNSHIP"	3	32	0	2	1	1000	360	628	998	254	682	965
"MI"	2004	"ALLEGAN"	"OTSEGO TOWNSHIP"	3	34	0	6	1	1330	572	745	1328	365	896	1292
"MI"	2004	"ALLEGAN"	"OTSEGO TOWNSHIP"	3	34	0	6	2	1192	552	630	1189	389	728	1141
"MI"	2004	"ALLEGAN"	"OVERISEL TOWNSHIP"	3	36	0	2	1	1558	163	1389	1556	96	1420	1534
"MI"	2004	"ALLEGAN"	"SALEM TOWNSHIP"	3	38	0	2	1	1923	457	1450	1918	341	1498	1876
"MI"	2004	"ALLEGAN"	"SAUGATUCK TOWNSHIP"	3	40	0	2	1	2312	1145	1122	2302	909	1303	2258
"MI"	2004	"ALLEGAN"	"TROWBRIDGE TOWNSHIP"	3	42	0	6	1	1281	557	712	1280	389	847	1253
"MI"	2004	"ALLEGAN"	"VALLEY TOWNSHIP"	3	44	0	6	1	982	424	540	977	286	623	944
"MI"	2004	"ALLEGAN"	"WATSON TOWNSHIP"	3	46	0	6	1	944	379	550	941	287	589	906
"MI"	2004	"ALLEGAN"	"WAYLAND TOWNSHIP"	3	48	0	6	1	1603	614	973	1600	499	999	1542
"MI"	2004	"ALLEGAN"	"ALLEGAN CITY"	3	52	0	6	1	694	349	333	693	223	427	669
"MI"	2004	"ALLEGAN"	"ALLEGAN CITY"	3	52	0	6	2	1379	656	702	1377	498	808	1344
