state	year	town	precinct	g2000_REG_tv	g2000_BALL_tv	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv	cd	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv
"RI"	2000	"BARRINGTON"	101	1123	770	431	275	764	245	499	754	1	450	297	747
"RI"	2000	"BARRINGTON"	102	2245	1342	650	612	1338	380	911	1310	1	657	649	1306
"RI"	2000	"BARRINGTON"	103	1742	1171	593	506	1166	349	790	1152	1	617	519	1136
"RI"	2000	"BARRINGTON"	104	1935	1313	684	510	1303	374	892	1295	1	706	569	1275
"RI"	2000	"BARRINGTON"	105	1650	1065	635	366	1061	402	624	1043	1	650	374	1024
"RI"	2000	"BARRINGTON"	106	1675	1107	505	510	1106	266	803	1089	1	506	562	1068
"RI"	2000	"BARRINGTON"	107	1429	992	415	508	987	219	745	978	1	412	549	961
"RI"	2000	"BARRINGTON"	108	1556	1057	536	440	1048	306	720	1038	1	560	467	1027
"RI"	2000	"BARRINGTON"	109	0	299	136	137	298	2	0	2	1	2	0	2
"RI"	2000	"BRISTOL"	201	1303	795	489	230	783	314	446	778	1	490	266	756
"RI"	2000	"BRISTOL"	202	1412	983	522	392	974	388	567	973	1	558	404	962
"RI"	2000	"BRISTOL"	203	1470	1094	560	468	1079	315	758	1082	1	568	499	1067
"RI"	2000	"BRISTOL"	204	1656	1098	729	303	1080	457	589	1068	1	742	315	1057
"RI"	2000	"BRISTOL"	205	1323	864	496	318	859	342	487	849	1	518	319	837
"RI"	2000	"BRISTOL"	206	1870	1106	730	300	1098	503	549	1074	1	732	343	1075
"RI"	2000	"BRISTOL"	207	1921	1133	817	241	1123	581	497	1102	1	845	260	1105
"RI"	2000	"BRISTOL"	208	1313	857	549	272	845	391	432	837	1	597	241	838
"RI"	2000	"BRISTOL"	209	826	523	328	160	518	200	304	515	1	366	150	516
"RI"	2000	"BRISTOL"	210	1286	755	435	268	752	270	435	715	1	462	238	700
"RI"	2000	"BRISTOL"	211	0	408	259	113	408	3	4	8	1	4	4	8
"RI"	2000	"BURRILLVILLE"	301	423	260	144	103	259	71	182	258	1	168	86	254
"RI"	2000	"BURRILLVILLE"	302	1881	1041	621	346	1037	423	571	1023	1	710	309	1019
"RI"	2000	"BURRILLVILLE"	303	1946	1153	645	411	1142	424	689	1137	1	751	374	1125
"RI"	2000	"BURRILLVILLE"	304	1851	1083	554	425	1077	357	673	1072	1	705	360	1065
"RI"	2000	"BURRILLVILLE"	305	1271	759	386	322	758	259	471	746	1	457	287	744
"RI"	2000	"BURRILLVILLE"	306	893	574	292	239	569	197	346	563	1	362	198	560
"RI"	2000	"BURRILLVILLE"	307	1426	860	481	316	858	290	533	850	1	542	307	849
"RI"	2000	"BURRILLVILLE"	308	0	170	88	66	170	2	4	6	1	3	3	6
"RI"	2000	"CENTRAL FALLS"	401	561	255	190	48	251	130	107	245	1	188	56	244
"RI"	2000	"CENTRAL FALLS"	402	222	142	99	27	137	63	72	137	1	104	30	134
"RI"	2000	"CENTRAL FALLS"	403	1185	490	403	67	485	282	184	471	1	407	60	467
"RI"	2000	"CENTRAL FALLS"	404	536	206	169	31	206	123	79	203	1	173	28	201
"RI"	2000	"CENTRAL FALLS"	405	1347	648	473	141	639	367	248	626	1	489	128	617
"RI"	2000	"CENTRAL FALLS"	406	572	252	186	54	246	136	93	233	1	193	42	235
"RI"	2000	"CENTRAL FALLS"	407	1053	562	445	98	558	320	216	544	1	449	89	538
"RI"	2000	"CENTRAL FALLS"	408	220	156	134	13	151	105	43	150	1	135	9	144
"RI"	2000	"CENTRAL FALLS"	409	902	557	424	108	549	349	188	547	1	453	82	535
"RI"	2000	"CENTRAL FALLS"	410	0	256	227	24	256	0	1	1	1	1	0	1
"RI"	2000	"CUMBERLAND"	801	1970	1384	769	545	1372	555	810	1373	1	833	518	1351
"RI"	2000	"CUMBERLAND"	802	674	382	253	110	379	146	225	379	1	245	123	368
"RI"	2000	"CUMBERLAND"	803	1822	1193	654	460	1186	479	674	1177	1	749	411	1160
"RI"	2000	"CUMBERLAND"	804	1579	1065	734	260	1057	515	502	1042	1	745	294	1039
"RI"	2000	"CUMBERLAND"	805	1757	1207	718	398	1201	495	668	1191	1	782	401	1183
"RI"	2000	"CUMBERLAND"	806	1432	1000	518	409	994	378	594	987	1	556	408	964
"RI"	2000	"CUMBERLAND"	807	1239	868	350	453	862	267	578	858	1	392	444	836
"RI"	2000	"CUMBERLAND"	808	1614	1135	546	496	1122	378	728	1123	1	616	494	1110
"RI"	2000	"CUMBERLAND"	809	465	302	169	114	299	88	198	297	1	183	109	292
"RI"	2000	"CUMBERLAND"	810	736	466	328	99	462	224	221	455	1	332	119	451
"RI"	2000	"CUMBERLAND"	811	1309	765	546	178	762	343	397	757	1	546	199	745
"RI"	2000	"CUMBERLAND"	812	1283	829	549	236	823	392	411	814	1	558	254	812
"RI"	2000	"CUMBERLAND"	813	1608	1040	573	381	1029	409	604	1027	1	665	343	1008
"RI"	2000	"CUMBERLAND"	814	1093	737	347	328	735	258	466	732	1	388	323	711
"RI"	2000	"CUMBERLAND"	815	1702	1151	644	419	1134	463	650	1133	1	683	437	1120
"RI"	2000	"CUMBERLAND"	816	1429	843	644	146	836	412	379	812	1	636	165	801
"RI"	2000	"CUMBERLAND"	817	0	285	179	97	285	1	2	3	1	1	2	3
"RI"	2000	"EAST PROVIDENCE"	1001	1655	1155	673	382	1143	484	630	1136	1	685	424	1109
"RI"	2000	"EAST PROVIDENCE"	1002	807	504	338	114	499	220	268	494	1	339	150	489
"RI"	2000	"EAST PROVIDENCE"	1003	1425	985	648	279	976	491	476	976	1	652	311	963
"RI"	2000	"EAST PROVIDENCE"	1004	1008	764	380	328	762	247	497	757	1	372	371	743
"RI"	2000	"EAST PROVIDENCE"	1005	1067	659	511	117	653	362	267	640	1	533	104	637
"RI"	2000	"EAST PROVIDENCE"	1006	1819	1178	806	300	1168	590	546	1151	1	818	331	1149
"RI"	2000	"EAST PROVIDENCE"	1007	1231	734	577	117	727	433	261	713	1	563	145	708
"RI"	2000	"EAST PROVIDENCE"	1008	1099	681	511	131	676	423	218	661	1	539	118	657
"RI"	2000	"EAST PROVIDENCE"	1009	251	141	111	25	141	88	47	135	1	105	26	131
"RI"	2000	"EAST PROVIDENCE"	1010	1680	1147	738	351	1140	605	507	1128	1	715	389	1104
"RI"	2000	"EAST PROVIDENCE"	1011	1654	1090	759	258	1080	570	481	1069	1	750	309	1059
"RI"	2000	"EAST PROVIDENCE"	1012	1477	874	556	251	869	435	407	854	1	579	270	849
"RI"	2000	"EAST PROVIDENCE"	1013	821	521	311	179	517	223	288	518	1	324	182	506
"RI"	2000	"EAST PROVIDENCE"	1014	1352	776	595	140	770	453	290	758	1	597	149	746
