state	year	precinct	precinct_name	cd	g2010_REG_tv	g2010_USS_dv	g2010_USS_tv	g2010_USS_rv	g2010_USH_dv	g2010_USH_tv	g2010_USH_rv	g2010_GOV_dv	g2010_GOV_tv	g2010_GOV_rv
"HI"	2010	"13-09"	"Kaunakakai School"	2	1996	484	610	106	455	580	113	369	622	247
"HI"	2010	"13-10"	"Maunaloa Community Center"	2	347	93	126	31	90	123	30	55	128	71
"HI"	2010	"13-11"	"Kualapuu Community Center"	2	1098	316	387	55	313	373	56	253	394	137
"HI"	2010	"14-01"	"Hanalei Elementary School"	2	2594	519	858	276	525	839	281	526	909	373
"HI"	2010	"14-02"	"Kilauea Neighborhood Center"	2	2433	575	802	148	603	786	161	564	836	260
"HI"	2010	"14-03"	"Anahola Hawaiian Homes Clubhouse"	2	1418	377	451	50	368	426	51	280	472	189
"HI"	2010	"14-04"	"Kapaa Elementary School"	2	5100	1105	1410	231	1079	1335	222	904	1483	563
"HI"	2010	"14-05"	"Kapaa Neighborhood Center"	2	1890	327	444	86	330	421	80	272	468	189
"HI"	2010	"15-01"	"Kapaa Middle School"	2	4027	670	993	257	656	937	244	601	1041	429
"HI"	2010	"15-02"	"King Kaumualii Elementary School"	2	1955	507	596	74	504	574	56	374	617	239
"HI"	2010	"15-03"	"Kauai War Memorial Convention Hall"	2	2851	553	669	91	534	649	99	425	707	277
"HI"	2010	"15-04"	"Chiefess Kamakaheli Middle School"	2	3604	745	935	161	721	890	155	543	969	423
"HI"	2010	"15-05"	"Koloa Neighborhood Center"	2	1486	297	395	77	265	371	92	249	415	163
"HI"	2010	"16-01"	"Koloa Elementary School"	2	2150	465	623	132	445	590	122	388	635	240
"HI"	2010	"16-02"	"Kalaheo Neighborhood Center"	2	4043	906	1286	313	851	1223	334	725	1341	606
"HI"	2010	"16-03"	"Hanapepe Recreation Center"	2	2771	699	832	98	690	811	106	554	861	301
"HI"	2010	"16-04"	"Kaumakani Neighborhood Center"	2	318	109	124	8	111	122	10	91	128	36
"HI"	2010	"16-05"	"Waimea Neighborhood Center"	2	1374	409	467	41	378	440	57	301	478	172
"HI"	2010	"16-06"	"Kekaha Neighborhood Center"	2	2013	582	696	86	555	664	94	414	715	297
"HI"	2010	"16-07"	"Niihau Elem/High School"	2	102	0	0	0	0	0	0	0	0	0
"HI"	2010	"17-01"	"Kaiser High School"	1	4126	907	1226	279	573	1197	624	729	1279	546
"HI"	2010	"17-02"	"Koko Head Elementay School"	1	3193	639	1032	358	409	1027	618	509	1096	582
"HI"	2010	"17-03"	"Kamiloiki Elementary School"	1	6317	1407	2001	534	911	1969	1058	1111	2107	989
"HI"	2010	"17-04"	"Hahaione Elementary School"	1	3379	751	1117	321	475	1120	645	615	1185	564
"HI"	2010	"18-01"	"Hahaione Elementary School"	1	1034	185	283	84	131	282	151	157	304	146
"HI"	2010	"18-02"	"Kahala Elementary School"	1	3071	663	964	258	423	955	532	548	1024	473
"HI"	2010	"18-03"	"Holy Trinity Church"	1	4757	965	1352	334	676	1329	653	830	1423	584
"HI"	2010	"18-04"	"Niu Valley Middle School"	1	1775	492	692	175	307	685	378	407	732	314
"HI"	2010	"18-05"	"Aina Haina Elementary School"	1	4430	1089	1517	357	681	1469	788	886	1611	714
"HI"	2010	"19-01"	"Kalani High School"	1	5249	1094	1556	412	685	1521	836	873	1633	753
"HI"	2010	"19-02"	"Aliiolani Elementary School"	1	1329	324	412	71	234	399	165	269	428	157
"HI"	2010	"19-03"	"Wilson Elementary School"	1	3841	812	1110	266	536	1101	565	677	1182	501
"HI"	2010	"19-04"	"Waialae Elementary School"	1	4976	1154	1509	308	804	1474	670	984	1591	599
"HI"	2010	"20-01"	"Anuenue Elementary School"	1	3607	916	1181	202	693	1114	421	823	1227	395
"HI"	2010	"20-02"	"Jarrett Middle School"	1	3179	764	963	149	573	943	370	642	1011	366
"HI"	2010	"20-03"	"Hokulani Elementary School"	1	2873	656	863	168	489	825	336	593	902	305
"HI"	2010	"20-04"	"Liliuokalani Elementary School"	1	3750	905	1188	223	696	1157	461	806	1242	427
"HI"	2010	"21-01"	"Kaimuki High School"	1	3276	683	867	150	508	856	348	593	923	326
"HI"	2010	"21-02"	"Hawaii School for Deaf/Blind"	1	3335	773	986	176	526	933	407	637	1027	383
"HI"	2010	"21-03"	"Ala Wai Elementary School"	1	2675	637	854	170	450	826	376	545	893	344
"HI"	2010	"21-04"	"Waikiki Elementary School"	1	1768	364	547	142	277	526	249	335	577	239
"HI"	2010	"21-05"	"Jefferson Elementary School"	1	2429	434	660	180	347	640	293	427	682	251
"HI"	2010	"22-01"	"Lunalilo Elementary School"	1	4154	730	962	166	540	921	381	654	1006	338
"HI"	2010	"22-02"	"Kuhio Elementary School"	1	2597	569	714	114	430	694	264	520	747	222
"HI"	2010	"22-03"	"Washington Middle School"	1	4043	760	978	182	563	950	387	624	1027	396
"HI"	2010	"23-01"	"AAFES Building"	1	3571	504	714	184	346	709	363	426	756	327
"HI"	2010	"23-02"	"Waikiki Community Center"	1	4558	552	887	258	442	854	412	539	920	371
