state	year	county	ed	precinct	cd	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv
"MD"	2000	2	2	20	1	136	264	400	170	239	421	207	208	415
"MD"	2000	2	2	21	1	264	639	903	347	551	930	411	506	917
"MD"	2000	2	3	1	2	322	631	953	414	552	994	467	513	980
"MD"	2000	2	3	2	1	292	489	781	362	421	810	429	371	800
"MD"	2000	2	3	3	1	487	784	1271	605	682	1329	674	638	1312
"MD"	2000	2	3	4	1	385	831	1216	496	747	1267	577	669	1246
"MD"	2000	2	3	5	1	646	885	1531	785	766	1586	868	697	1565
"MD"	2000	2	3	6	1	424	673	1097	522	593	1144	576	551	1127
"MD"	2000	2	3	7	1	406	613	1019	457	572	1059	516	528	1044
"MD"	2000	2	3	8	1	556	600	1156	655	532	1228	716	493	1209
"MD"	2000	2	3	9	2	338	650	988	434	580	1038	456	558	1014
"MD"	2000	2	3	10	2	338	877	1215	452	773	1269	540	706	1246
"MD"	2000	2	3	11	2	347	1081	1428	486	948	1485	600	866	1466
"MD"	2000	2	3	12	2	364	821	1185	440	746	1226	523	685	1208
"MD"	2000	2	3	13	2	380	890	1270	477	793	1319	569	734	1303
"MD"	2000	2	3	14	1	331	533	864	396	491	918	456	442	898
"MD"	2000	2	3	15	2	221	785	1006	302	690	1033	390	631	1021
"MD"	2000	2	3	16	2	322	684	1006	404	625	1051	473	559	1032
"MD"	2000	2	3	17	2	396	788	1184	482	708	1233	574	640	1214
"MD"	2000	2	3	18	2	330	652	982	418	578	1026	490	521	1011
"MD"	2000	2	3	19	2	260	628	888	345	562	931	396	521	917
"MD"	2000	2	3	20	2	318	549	867	390	497	910	452	441	893
"MD"	2000	2	3	21	2	412	737	1149	510	639	1185	573	597	1170
"MD"	2000	2	3	22	2	319	543	862	386	485	896	429	453	882
"MD"	2000	2	3	23	2	317	622	939	398	541	967	451	498	949
"MD"	2000	2	3	24	1	406	729	1135	529	625	1182	597	566	1163
"MD"	2000	2	4	1	5	638	306	944	540	389	960	597	348	945
"MD"	2000	2	4	2	1	598	899	1497	730	799	1562	767	770	1537
"MD"	2000	2	4	3	1	358	694	1052	428	632	1083	476	593	1069
"MD"	2000	2	4	4	1	246	595	841	291	557	880	364	506	870
"MD"	2000	2	4	5	5	635	585	1220	518	717	1274	611	646	1257
"MD"	2000	2	4	6	1	293	614	907	386	510	932	445	469	914
"MD"	2000	2	4	7	3	743	394	1137	721	442	1186	736	422	1158
"MD"	2000	2	4	8	5	616	493	1109	521	589	1142	580	552	1132
"MD"	2000	2	4	9	5	1483	653	2136	1391	759	2197	1490	671	2161
"MD"	2000	2	4	10	3	518	397	915	416	509	954	472	472	944
"MD"	2000	2	4	11	5	648	413	1061	574	486	1096	631	450	1081
"MD"	2000	2	4	12	1	47	95	142	50	89	143	60	83	143
"MD"	2000	2	4	13	1	195	569	764	250	536	806	292	503	795
"MD"	2000	2	4	14	1	364	859	1223	488	718	1263	556	692	1248
"MD"	2000	2	4	15	1	412	892	1304	540	743	1348	664	670	1334
"MD"	2000	2	4	16	1	182	716	898	280	594	919	341	569	910
"MD"	2000	2	4	17	5	730	389	1119	642	460	1144	696	438	1134
"MD"	2000	2	4	18	3	736	203	939	731	233	980	741	221	962
"MD"	2000	2	4	19	1	629	475	1104	678	429	1144	708	409	1117
"MD"	2000	2	4	20	5	1084	912	1996	971	1006	2060	1051	981	2032
"MD"	2000	2	5	1	1	372	906	1278	545	732	1327	644	663	1307
"MD"	2000	2	5	2	1	383	747	1130	532	599	1161	592	555	1147
"MD"	2000	2	5	3	1	304	722	1026	436	586	1064	501	550	1051
"MD"	2000	2	5	4	1	383	889	1272	528	740	1320	597	703	1300
"MD"	2000	2	5	5	1	339	779	1118	484	634	1164	564	582	1146
"MD"	2000	2	5	6	1	239	859	1098	397	702	1138	478	637	1115
"MD"	2000	2	5	7	1	237	869	1106	348	750	1136	447	673	1120
"MD"	2000	2	5	8	1	333	858	1191	466	723	1235	560	659	1219
"MD"	2000	2	5	9	2	306	938	1244	422	830	1293	485	783	1268
"MD"	2000	2	5	10	2	388	935	1323	498	825	1368	582	767	1349
"MD"	2000	2	5	11	1	381	891	1272	558	712	1316	601	698	1299
"MD"	2000	2	5	12	1	373	737	1110	523	605	1158	566	569	1135
"MD"	2000	2	5	13	1	299	880	1179	444	729	1214	546	652	1198
"MD"	2000	2	5	14	2	316	797	1113	410	692	1151	479	666	1145
"MD"	2000	2	5	15	1	347	1247	1594	516	1070	1636	632	986	1618
"MD"	2000	2	5	16	2	301	570	871	356	508	911	425	477	902
"MD"	2000	2	5	17	1	370	895	1265	542	683	1320	636	657	1293
"MD"	2000	2	5	18	1	433	1000	1433	617	806	1470	709	743	1452
"MD"	2000	2	5	19	1	242	855	1097	368	726	1130	441	674	1115
"MD"	2000	2	5	20	1	270	830	1100	400	691	1126	470	639	1109
"MD"	2000	2	5	21	1	414	1034	1448	591	848	1496	663	812	1475
"MD"	2000	2	5	22	1	371	964	1335	532	789	1384	630	736	1366
"MD"	2000	2	5	23	1	221	685	906	359	539	933	406	523	929
"MD"	2000	2	5	24	1	237	800	1037	348	685	1066	432	621	1053
"MD"	2000	2	5	25	1	329	829	1158	456	698	1202	513	668	1181
"MD"	2000	2	5	26	1	381	774	1155	558	625	1215	603	596	1199
"MD"	2000	2	5	27	1	245	726	971	372	591	996	422	554	976
"MD"	2000	2	5	28	1	307	750	1057	449	610	1100	509	571	1080
"MD"	2000	2	6	1	1	406	681	1087	585	486	1144	706	413	1119
"MD"	2000	2	6	2	1	306	700	1006	485	526	1047	572	461	1033
"MD"	2000	2	6	3	1	581	220	801	742	111	859	741	98	839
"MD"	2000	2	6	4	1	301	450	751	402	358	785	458	309	767
"MD"	2000	2	6	5	1	396	551	947	528	447	995	570	404	974
"MD"	2000	2	6	6	1	437	374	811	543	258	840	603	225	828
"MD"	2000	2	6	7	1	351	389	740	454	306	784	487	280	767
"MD"	2000	2	6	8	1	486	718	1204	650	547	1253	730	502	1232
"MD"	2000	2	6	9	1	354	863	1217	576	652	1272	670	583	1253
"MD"	2000	2	6	10	1	264	517	781	362	434	821	430	379	809
"MD"	2000	2	6	11	1	406	552	958	534	389	1004	618	364	982
"MD"	2000	2	6	12	1	451	522	973	595	391	1022	675	329	1004
"MD"	2000	2	6	13	1	296	294	590	399	194	622	425	184	609
"MD"	2000	2	6	14	1	452	467	919	577	349	956	622	317	939
"MD"	2000	2	6	15	1	643	133	776	746	56	812	749	59	808
"MD"	2000	2	6	16	1	329	329	658	426	245	694	457	220	677
"MD"	2000	2	6	17	1	365	477	842	473	359	872	493	361	854
"MD"	2000	2	6	18	1	409	522	931	518	401	973	602	365	967
"MD"	2000	2	6	19	1	449	973	1422	597	828	1463	708	740	1448
"MD"	2000	2	6	20	1	393	719	1112	500	614	1140	584	552	1136
"MD"	2000	2	6	21	1	471	1079	1550	693	851	1632	836	760	1596
"MD"	2000	2	6	22	1	597	1270	1867	818	1071	1964	947	976	1923
"MD"	2000	2	6	23	1	382	655	1037	521	490	1070	598	459	1057
"MD"	2000	2	6	24	1	639	989	1628	862	760	1695	941	732	1673
"MD"	2000	2	6	25	1	413	1071	1484	654	807	1518	753	751	1504
"MD"	2000	2	6	26	1	319	889	1208	443	761	1244	585	634	1219
"MD"	2000	2	7	1	5	663	524	1187	505	647	1214	620	574	1194
"MD"	2000	2	7	2	5	790	609	1399	669	724	1436	765	647	1412
"MD"	2000	2	7	3	5	835	627	1462	715	742	1516	803	677	1480
"MD"	2000	2	7	4	5	725	728	1453	620	840	1510	735	753	1488
"MD"	2000	2	7	5	5	704	598	1302	570	711	1343	688	634	1322
"MD"	2000	2	7	6	5	665	630	1295	556	728	1340	643	670	1313
"MD"	2000	2	7	7	5	676	711	1387	502	874	1421	634	764	1398
"MD"	2000	2	7	8	5	559	450	1009	468	543	1048	535	483	1018
"MD"	2000	2	7	9	5	620	435	1055	550	519	1097	609	457	1066
"MD"	2000	2	7	10	5	762	681	1443	669	780	1508	726	742	1468
"MD"	2000	2	7	11	5	815	885	1700	668	1036	1747	769	956	1725
"MD"	2000	2	7	12	5	751	704	1455	581	866	1504	702	780	1482
"MD"	2000	2	7	13	5	852	834	1686	643	1041	1733	778	930	1708
"MD"	2000	2	7	14	5	720	678	1398	597	783	1427	687	724	1411
"MD"	2000	2	7	15	5	634	545	1179	534	628	1205	595	585	1180
"MD"	2000	2	7	16	5	682	613	1295	563	717	1333	662	645	1307
"MD"	2000	2	7	17	5	573	542	1115	506	608	1148	561	565	1126
"MD"	2000	2	7	18	1	390	873	1263	498	780	1318	588	711	1299
"MD"	2000	2	7	19	5	753	765	1518	602	918	1566	716	831	1547
"MD"	2000	2	7	20	5	479	463	942	419	516	963	469	482	951
"MD"	2000	2	7	21	5	696	716	1412	567	852	1440	658	760	1418
