state	year	parish	ward	precinct	cd	cd2	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USH_dv2	g2000_USH_rv2	g2000_USH_tv2
"LA"	2000	"St. John The Baptist"	"0"	"9A"	3		16	17	33		14	26			
"LA"	2000	"Orleans"	"9-"	"3"	2		379	10	396						
"LA"	2000	"East Baton Rouge"	"1-"	"84A"	6		455	10	466	277	73	355			
"LA"	2000	"St. Tammany"	"0"	"902B"	1		263	35	299	145	55	204			
"LA"	2000	"Jefferson"	"0"	"34"	1		123	471	608	46	481	537			
"LA"	2000	"St. Bernard"	"Early Voting"	"0"	3		327	673	1019		889	1025			
"LA"	2000	"St. Bernard"	"0"	"32"	3		282	656	963		803	901			
"LA"	2000	"Franklin"	"5-"	"3"	5		83	62	146	55	52	109			
"LA"	2000	"St. Tammany"	"S"	"10"	1		152	368	536	68	391	467			
"LA"	2000	"East Baton Rouge"	"3-"	"46"	6		85	709	802	56	696	762			
"LA"	2000	"Lafayette"	"0"	"70"	7		184	356	578	297		364			
"LA"	2000	"Orleans"	"2-"	"3"	2		75	3	80						
"LA"	2000	"Acadia"	"3-"	"2"	7		97	306	423	275		338			
"LA"	2000	"St. Mary"	"0"	"39"	3		185	6	198		75	123			
"LA"	2000	"Grant"	"8-"	"2"	5		82	309	399	74	229	306			
"LA"	2000	"Jefferson"	"0"	"194A"	1		424	763	1203	233	778	1024			
"LA"	2000	"Calcasieu"	"0"	"102"	7		666	10	680	410		438			
"LA"	2000	"Evangeline"	"1-"	"38930"	7		124	21	151	69		92			
"LA"	2000	"St. James"	"0"	"6"	3		340	485	853		531	678			
"LA"	2000	"Livingston"	"0"	"36"	6		202	785	1011	134	770	921			
"LA"	2000	"St. Landry"	"4-"	"11"	7		277	18	302	180		191			
"LA"	2000	"Evangeline"	"1-"	"4-C"	7		120	63	196	99		119			
"LA"	2000	"Caddo"	"0"	"89A"	4		315	585	911	165	612	793			
"LA"	2000	"Vermilion"	"0"	"11"	7		205	284	508	303		335			
"LA"	2000	"Iberia"	"9-"	"4"	3		93	506	611		353	390			
"LA"	2000	"East Baton Rouge"	"1-"	"59"	6		427	14	445	310	84	399			
"LA"	2000	"St. Bernard"	"0"	"52"	3		715	406	1149		650	888			
"LA"	2000	"Richland"	"4-"	"2"	5		180	443	647	123	297	431			
"LA"	2000	"East Baton Rouge"	"1-"	"98A"	6		149	514	677	95	545	651			
"LA"	2000	"Grant"	"7-"	"4"	5		39	88	130	19	64	83			
"LA"	2000	"Tangipahoa"	"0"	"104A"	1		77	98	177	36	91	130			
"LA"	2000	"Allen"	"1-"	"4"	4		219	13	245	81	23	116			
"LA"	2000	"Calcasieu"	"0"	"150"	7		450	400	865	582		671			
"LA"	2000	"Vermilion"	"0"	"45A"	7		84	130	221	134		161			
"LA"	2000	"Pointe Coupee"	"Early Voting"	"0"	6		154	211	370	119	240	365			
"LA"	2000	"Jefferson"	"0"	"213C"	2		230	33	263						
"LA"	2000	"Tensas"	"1-"	"2A"	5		39	63	104	27	47	75			
"LA"	2000	"Lafayette"	"0"	"3A"	7		200	370	584	324		393			
"LA"	2000	"Vermilion"	"0"	"45B"	7		54	77	135	91		109			
"LA"	2000	"East Baton Rouge"	"1-"	"15A"	6		512	10	523	257	134	397			
"LA"	2000	"Washington"	"4-"	"4"	1		182	308	511	59	221	301			
