state	year	parish	ward	precinct	cd	cd2	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USH_dv2	g2000_USH_rv2	g2000_USH_tv2
"LA"	2000	"Bossier"	"4-"	"11A"	4		123	446	577	42	379	432			
"LA"	2000	"Rapides"	"0"	"44A"	5		395	6	405	172	60	241			
"LA"	2000	"East Baton Rouge"	"3-"	"16B"	6		111	619	741	61	634	706			
"LA"	2000	"St. Tammany"	"0"	"702"	1		444	914	1387	226	951	1200			
"LA"	2000	"Franklin"	"3-"	"4"	5		54	45	101	41	37	83			
"LA"	2000	"St. Landry"	"4-"	"6"	7		341	307	666	386		448			
"LA"	2000	"Assumption"	"2-"	"1"	3		40	240	290		223	257			
"LA"	2000	"Tangipahoa"	"0"	"45"	1		157	442	610	63	414	482			
"LA"	2000	"Jefferson"	"K"	"20"	1		232	575	819	101	564	677			
"LA"	2000	"Iberville"	"0"	"25"	6		121	216	345	47	190	246			
"LA"	2000	"Jefferson"	"G"	"6"	2		268	71	345						
"LA"	2000	"Ascension"	"0"	"41"	3		133	154	290		184	228			
"LA"	2000	"Ouachita"	"10-"	"20"	5		177	787	981	101	815	926			
"LA"	2000	"Webster"	"1-"	"26"	4		31	215	248	10	172	188			
"LA"	2000	"Bossier"	"4-"	"4A"	4		244	730	1003	92	614	736			
"LA"	2000	"Orleans"	"12-"	"16"	2		417	9	429						
"LA"	2000	"Franklin"	"6-"	"2"	5		123	489	626	163	359	532			
"LA"	2000	"Pointe Coupee"	"0"	"5"	6		188	183	390	56	167	229			
"LA"	2000	"Terrebonne"	"0"	"74"	3		4	29	33		21	21			
"LA"	2000	"Orleans"	"17-"	"9"	2		526	20	553						
"LA"	2000	"East Carroll"	"1-"	"2"	5		83	158	248	46	117	170			
"LA"	2000	"Acadia"	"5-"	"4"	7		146	140	294	212		244			
"LA"	2000	"Lasalle"	"10-"	"4"	5		33	21	55	10	25	35			
"LA"	2000	"Washington"	"4-"	"1A"	1		570	127	719	156	106	287			
"LA"	2000	"Orleans"	"15-"	"8"	2		275	29	307						
"LA"	2000	"Iberia"	"14-"	"3"	3		177	303	499		256	309			
"LA"	2000	"Jefferson"	"0"	"59"	1		182	558	761	80	570	663			
"LA"	2000	"Bienville"	"3-"	"4"	4		77	73	159	28	71	117			
"LA"	2000	"Evangeline"	"1-"	"14"	7		68	293	372	194		227			
"LA"	2000	"Lafayette"	"0"	"38"	7		214	600	839	365		464			
"LA"	2000	"Pointe Coupee"	"0"	"18A"	6		167	147	319	63	141	209			
"LA"	2000	"Orleans"	"13-"	"6"	2		178	86	280						
"LA"	2000	"Morehouse"	"0"	"33"	5		47	79	129	38	78	116			
"LA"	2000	"Lafourche"	"6-"	"3"	3		270	169	454		264	331			
"LA"	2000	"Acadia"	"7-"	"1"	7		17	120	138	86		106			
"LA"	2000	"St. Tammany"	"C"	"7"	1		176	105	296	84	135	229			
"LA"	2000	"Calcasieu"	"0"	"156"	7		353	962	1343	840		999			
"LA"	2000	"Concordia"	"4-"	"4"	5		74	448	539	64	307	384			
"LA"	2000	"Orleans"	"9-"	"36"	2		280	27	310						
"LA"	2000	"Iberville"	"0"	"26A"	6		41	105	150	28	80	109			
"LA"	2000	"Pointe Coupee"	"0"	"12B"	6		240	19	267	68	72	149			
"LA"	2000	"Natchitoches"	"2-"	"9"	4		107	345	469	46	295	369			
"LA"	2000	"Lincoln"	"5-"	"3"	5		74	512	606	58	380	448			
"LA"	2000	"Rapides"	"0"	"67"	5		124	425	569	65	336	403			
"LA"	2000	"St. Bernard"	"0"	"41"	3		557	603	1178		886	1054			
"LA"	2000	"Tangipahoa"	"0"	"139A"	1		279	706	1003	107	700	815			
"LA"	2000	"East Baton Rouge"	"2-"	"18A"	6		215	670	901	155	717	889			
"LA"	2000	"Franklin"	"3-"	"2"	5		42	69	111	40	53	93			
"LA"	2000	"Avoyelles"	"9-"	"1"	5		146	71	230	68	94	171			
"LA"	2000	"Orleans"	"16-"	"1"	2		202	49	263						
"LA"	2000	"St. Landry"	"Early Voting"	"0"	7		366	705	1081	844		1051			
"LA"	2000	"St. Bernard"	"0"	"11"	3		200	318	539		392	454			
"LA"	2000	"Avoyelles"	"9-"	"5"	5		56	94	156	28	92	123			
"LA"	2000	"Orleans"	"8-"	"18"	2		304	38	345						
"LA"	2000	"Caddo"	"0"	"131"	4		13	17	30	8	19	27			
"LA"	2000	"Jefferson"	"0"	"6"	1		80	344	427	37	339	382			
"LA"	2000	"Union"	"9-"	"5"	5		74	68	147	35	49	86			
"LA"	2000	"Claiborne"	"0"	"88"	4		56	227	287	15	186	205			
"LA"	2000	"Orleans"	"7-"	"37"	2		188	95	290						
"LA"	2000	"Orleans"	"9-"	"28"	2		282	12	295						
"LA"	2000	"Morehouse"	"0"	"10"	5		352	9	373	178	66	254			
"LA"	2000	"East Baton Rouge"	"1-"	"51A"	6		269	4	273	137	64	206			
"LA"	2000	"Orleans"	"9-"	"43I"	2		408	82	495						
"LA"	2000	"Jefferson Davis"	"0"	"27"	7		278	342	645	379		425			
"LA"	2000	"Rapides"	"0"	"82"	5		28	122	154	20	90	118			
"LA"	2000	"East Baton Rouge"	"1-"	"39A"	6		121	192	321	95	210	308			
"LA"	2000	"Lafayette"	"0"	"24"	7		597	51	662	402		463			
"LA"	2000	"Sabine"	"7-"	"3"	4		43	133	179	24	101	128			
"LA"	2000	"Iberville"	"0"	"15B"	6		99	137	242	34	127	165			
"LA"	2000	"St. James"	"0"	"7"	3		290	2	300		47	144			
"LA"	2000	"Pointe Coupee"	"0"	"21B"	6		0	0	0	18	59	79			
"LA"	2000	"Ascension"	"0"	"9"	6		304	512	844	183	358	554			
"LA"	2000	"Calcasieu"	"0"	"80"	7		608	597	1242	830		931			
"LA"	2000	"Red River"	"5-"	"1"	4		106	43	153	29	66	101			
"LA"	2000	"Lafayette"	"0"	"92"	7		245	686	963	460		586			
"LA"	2000	"St. John The Baptist"	"0"	"10D"	3		118	163	290		118	164			
"LA"	2000	"Livingston"	"0"	"1A"	6		143	624	792	73	549	632			
"LA"	2000	"St. Bernard"	"0"	"42A"	3		349	505	872		670	787			
"LA"	2000	"Ouachita"	"2-"	"2"	5		227	1102	1356	156	1048	1223			
"LA"	2000	"Caddo"	"0"	"9"	4		243	647	906	111	639	770			
"LA"	2000	"Iberia"	"3-"	"1"	3		245	723	995		655	843			
"LA"	2000	"Concordia"	"5-"	"7"	5		26	64	94	16	44	61			
"LA"	2000	"Calcasieu"	"0"	"118E"	7		211	142	359	207		238			
"LA"	2000	"East Baton Rouge"	"3-"	"19A"	6		80	511	603	60	502	573			
"LA"	2000	"Lasalle"	"8-"	"5"	5		25	86	115	15	76	93			
"LA"	2000	"De Soto"	"0"	"52"	4		2	10	12	0	11	11			
"LA"	2000	"Lafayette"	"0"	"60"	7		211	278	504	241		304			
"LA"	2000	"East Feliciana"	"1-"	"1"	6		134	335	476	114	329	453			
"LA"	2000	"Jackson"	"6-"	"2"	5		105	260	378	64	201	269			
"LA"	2000	"Calcasieu"	"0"	"53"	7		73	105	184	109		124			
"LA"	2000	"Ouachita"	"10-"	"3"	5		74	401	483	46	407	457			
"LA"	2000	"St. Charles"	"3-"	"1B"	3		61	349	418		259	287			
"LA"	2000	"Caddo"	"0"	"51"	4		903	12	920	486	131	645			
"LA"	2000	"St. John The Baptist"	"0"	"10A"	3		235	7	250		49	124			
"LA"	2000	"Orleans"	"8-"	"1"	2		217	32	266						
"LA"	2000	"Jefferson"	"0"	"184"	1		430	790	1242	216	780	1019			
"LA"	2000	"East Baton Rouge"	"3-"	"8A"	6		216	301	527	157	329	493			
"LA"	2000	"East Baton Rouge"	"1-"	"91A"	6		181	13	195	95	61	160			
"LA"	2000	"Ouachita"	"5-"	"9"	5		228	540	791	130	555	695			
"LA"	2000	"Madison"	"1-"	"D3"	5		55	21	76	23	26	50			
"LA"	2000	"Jefferson"	"0"	"138"	2		87	43	134						
"LA"	2000	"Morehouse"	"0"	"34"	5		68	63	143	62	49	116			
"LA"	2000	"Calcasieu"	"0"	"33A"	7		181	569	770	454		541			
"LA"	2000	"Franklin"	"3-"	"1"	5		6	31	37	12	20	33			
"LA"	2000	"Washington"	"6-"	"4"	1		9	65	83	6	49	62			
"LA"	2000	"Orleans"	"13-"	"7"	2		140	108	262						
"LA"	2000	"St. Charles"	"6-"	"5"	3		128	30	164		46	93			
"LA"	2000	"Jefferson"	"0"	"78"	1		294	619	943	151	656	823			
"LA"	2000	"East Baton Rouge"	"1-"	"86B"	6		481	5	490	266	127	406			
"LA"	2000	"Iberia"	"3-"	"3"	3		180	382	574		386	483			
"LA"	2000	"Cameron"	"1-"	"2"	7		26	49	79	36		48			
"LA"	2000	"Caddo"	"0"	"137A"	4		339	430	776	191	441	651			
"LA"	2000	"Caddo"	"0"	"124"	4		180	486	671	83	468	567			
"LA"	2000	"Caddo"	"0"	"22"	4		189	408	609	94	406	515			
"LA"	2000	"Cameron"	"6-"	"1"	7		204	307	529	249		298			
"LA"	2000	"Orleans"	"15-"	"14"	2		196	220	425						
"LA"	2000	"Morehouse"	"0"	"21"	5		256	146	423	178	154	346			
"LA"	2000	"Terrebonne"	"0"	"7L"	3		311	125	450		171	260			
"LA"	2000	"Orleans"	"15-"	"14B"	2		191	197	395						
"LA"	2000	"Calcasieu"	"0"	"158"	7		212	576	809	498		594			
"LA"	2000	"Lafayette"	"0"	"95"	7		197	1039	1261	563		788			
"LA"	2000	"Iberville"	"0"	"14B"	6		52	57	111	22	61	87			
"LA"	2000	"Madison"	"4-"	"H8"	5		0	16	17	0	9	9			
"LA"	2000	"Red River"	"Early Voting"	"0"	4		194	174	381	127	239	395			
"LA"	2000	"St. Martin"	"9-"	"1"	3		183	219	421		195	255			
"LA"	2000	"Rapides"	"0"	"10"	5		173	721	923	148	405	575			
"LA"	2000	"Jefferson Davis"	"0"	"19"	7		85	155	245	146		172			
"LA"	2000	"St. James"	"0"	"16"	3		881	205	1135		298	500			
"LA"	2000	"Orleans"	"9-"	"2"	2		318	37	360						
"LA"	2000	"East Baton Rouge"	"2-"	"9A"	6		369	81	453	218	170	393			
"LA"	2000	"Terrebonne"	"0"	"8"	3		179	310	496		292	357			
"LA"	2000	"Orleans"	"9-"	"44O"	2		731	19	754						
"LA"	2000	"Red River"	"4-"	"3"	4		56	1	61	17	13	33			
"LA"	2000	"Jackson"	"4-"	"6"	5		15	98	116	7	75	82			
"LA"	2000	"Orleans"	"13-"	"9"	2		200	154	375						
"LA"	2000	"Rapides"	"0"	"7"	5		235	437	686	105	335	453			
"LA"	2000	"Orleans"	"9-"	"31"	2		428	50	481						
"LA"	2000	"Lafayette"	"0"	"6"	7		242	535	799	437		536			
"LA"	2000	"Orleans"	"12-"	"14"	2		586	32	627						
"LA"	2000	"Terrebonne"	"0"	"10L"	3		111	215	338		211	251			
"LA"	2000	"Calcasieu"	"0"	"35S"	7		115	224	348	235		268			
"LA"	2000	"East Baton Rouge"	"3-"	"10A"	6		90	430	528	58	445	510			
"LA"	2000	"Sabine"	"Early Voting"	"0"	4		94	381	479	82	365	474			
"LA"	2000	"Orleans"	"5-"	"12"	1		214	76	301	128	87	224			
"LA"	2000	"Orleans"	"9-"	"15"	2		220	39	272						
"LA"	2000	"Jefferson"	"0"	"106"	1		157	258	423	69	271	347			
"LA"	2000	"Rapides"	"0"	"91"	5		33	64	100	14	57	72			
"LA"	2000	"Jefferson"	"0"	"101"	1		45	193	245	19	198	220			
"LA"	2000	"East Baton Rouge"	"1-"	"85B"	6		418	3	423	220	98	321			
"LA"	2000	"Bossier"	"4-"	"6"	4		314	449	785	103	405	538			
"LA"	2000	"St. Helena"	"2-"	"2"	6		151	168	339	54	156	220			
"LA"	2000	"De Soto"	"0"	"2"	4		202	71	282	67	118	193			
"LA"	2000	"Lafayette"	"0"	"101"	7		85	463	563	237		324			
"LA"	2000	"Richland"	"2-"	"2A"	5		50	140	196	28	106	143			
"LA"	2000	"Lafourche"	"11-"	"1"	3		100	78	182		84	123			
"LA"	2000	"Rapides"	"0"	"26A"	5		57	188	249	33	129	167			
"LA"	2000	"Evangeline"	"1-"	"13-0"	5		92	203	306	40	92	136			
"LA"	2000	"Orleans"	"17-"	"10"	2		312	54	376						
"LA"	2000	"Jefferson"	"0"	"38"	1		148	446	615	42	475	523			
"LA"	2000	"Lafourche"	"3-"	"6"	3		247	539	812		462	550			
"LA"	2000	"St. Landry"	"2-"	"1"	7		420	95	523	321		351			
"LA"	2000	"Tangipahoa"	"0"	"106A"	1		151	87	244	64	96	169			
"LA"	2000	"Orleans"	"15-"	"12A"	2		441	43	488						
"LA"	2000	"St. Charles"	"6-"	"4"	3		73	132	217		116	140			
"LA"	2000	"Vermilion"	"0"	"3"	7		95	151	264	157		174			
"LA"	2000	"East Carroll"	"4-"	"3-1A"	5		1	3	4	0	3	3			
"LA"	2000	"Iberia"	"10-"	"1"	3		370	107	488		179	252			
"LA"	2000	"Vermilion"	"0"	"36A"	7		285	134	454	236		272			
"LA"	2000	"Jefferson"	"0"	"193"	1		585	494	1106	360	494	879			
"LA"	2000	"Orleans"	"14-"	"3"	1		146	160	330	62	198	273			
"LA"	2000	"Avoyelles"	"2-"	"2"	5		268	165	454	117	147	271			
"LA"	2000	"Jefferson"	"0"	"117"	1		219	482	720	114	497	616			
"LA"	2000	"Tangipahoa"	"0"	"143"	1		307	441	759	103	462	580			
"LA"	2000	"Beauregard"	"0"	"10"	4		110	139	256	41	60	114			
"LA"	2000	"Terrebonne"	"0"	"67"	3		351	71	432		135	215			
"LA"	2000	"De Soto"	"0"	"58"	4		64	85	155	33	77	113			
"LA"	2000	"East Baton Rouge"	"1-"	"87B"	6		128	486	628	92	494	595			
"LA"	2000	"Jefferson"	"0"	"152"	2		398	157	569						
"LA"	2000	"Calcasieu"	"0"	"70"	7		174	229	415	257		307			
"LA"	2000	"Orleans"	"7-"	"38A"	2		272	106	386						
"LA"	2000	"Vermilion"	"0"	"41"	7		75	67	148	85		92			
"LA"	2000	"Orleans"	"9-"	"33"	2		327	12	342						
"LA"	2000	"Richland"	"1-"	"2"	5		43	162	214	34	120	161			
"LA"	2000	"Rapides"	"0"	"17B"	5		6	14	22	5	12	18			
"LA"	2000	"Lafayette"	"0"	"22"	7		278	12	298	169		196			
"LA"	2000	"Livingston"	"0"	"18"	6		278	380	680	145	359	524			
"LA"	2000	"East Baton Rouge"	"1-"	"11"	6		170	67	268	130	94	246			
"LA"	2000	"Franklin"	"3-"	"3"	5		12	48	64	15	42	58			
"LA"	2000	"Pointe Coupee"	"0"	"14A"	6		279	9	302	104	63	175			
"LA"	2000	"East Baton Rouge"	"2-"	"21A"	6		335	572	928	239	628	883			
"LA"	2000	"East Baton Rouge"	"1-"	"27"	6		627	22	656	357	155	522			
"LA"	2000	"Calcasieu"	"0"	"33WA"	7		441	917	1386	891		1045			
"LA"	2000	"Washington"	"7-"	"2"	1		180	538	732	59	350	433			
"LA"	2000	"Jefferson"	"0"	"215"	2		482	797	1302						
"LA"	2000	"Assumption"	"1-"	"1"	3		309	88	407		125	199			
"LA"	2000	"Webster"	"1-"	"20"	4		261	10	277	114	49	177			
"LA"	2000	"West Carroll"	"0"	"6"	5		46	146	200	43	113	166			
"LA"	2000	"Jefferson"	"0"	"230"	1		303	915	1241	122	908	1057			
"LA"	2000	"Avoyelles"	"9-"	"6"	5		45	44	90	28	39	68			
"LA"	2000	"Evangeline"	"1-"	"7"	7		152	11	173	101		117			
"LA"	2000	"Webster"	"2-"	"13"	4		68	252	328	24	228	260			
"LA"	2000	"Natchitoches"	"4-"	"1"	4		83	53	143	29	46	86			
"LA"	2000	"West Baton Rouge"	"6-"	"2"	6		114	55	173	62	69	132			
"LA"	2000	"Rapides"	"0"	"22"	5		106	116	232	41	77	129			
"LA"	2000	"Orleans"	"9-"	"44B"	2		683	56	747						
"LA"	2000	"Vernon"	"2-"	"3"	4		61	204	272	20	162	195			
"LA"	2000	"Orleans"	"13-"	"2"	2		280	49	342						
"LA"	2000	"West Baton Rouge"	"6-"	"1"	6		201	218	422	109	238	356			
"LA"	2000	"Jefferson Davis"	"Early Voting"	"0"	7		194	586	791	639		780			
"LA"	2000	"Lincoln"	"4-"	"5"	5		40	122	173	24	88	116			
"LA"	2000	"Calcasieu"	"0"	"126W"	7		327	614	957	546		653			
"LA"	2000	"Avoyelles"	"8-"	"3"	5		52	37	94	22	42	65			
"LA"	2000	"East Baton Rouge"	"3-"	"31A"	6		161	424	597	111	449	579			
"LA"	2000	"Tangipahoa"	"0"	"133"	1		274	373	662	92	416	523			
"LA"	2000	"Caddo"	"0"	"139"	4		182	490	676	77	508	600			
"LA"	2000	"Natchitoches"	"2-"	"6A"	4		4	13	17	2	10	12			
"LA"	2000	"West Carroll"	"0"	"5"	5		104	118	229	70	96	169			
"LA"	2000	"Tangipahoa"	"0"	"1"	1		165	171	343	70	173	259			
"LA"	2000	"Natchitoches"	"1-"	"3A"	4		45	73	124	15	67	92			
"LA"	2000	"Evangeline"	"3-"	"2"	7		188	125	331	151		194			
"LA"	2000	"Orleans"	"9-"	"44Q"	2		617	60	681						
"LA"	2000	"Avoyelles"	"2-"	"1A"	5		29	55	84	16	42	62			
"LA"	2000	"Rapides"	"0"	"17"	5		205	665	890	112	444	570			
"LA"	2000	"Orleans"	"7-"	"23"	2		629	38	677						
"LA"	2000	"Ouachita"	"3-"	"4"	5		386	33	429	188	121	317			
"LA"	2000	"St. Charles"	"2-"	"5"	3		236	994	1255		778	864			
"LA"	2000	"East Carroll"	"7-"	"1"	5		139	21	166	69	51	126			
"LA"	2000	"Concordia"	"4-"	"3A"	5		133	71	207	70	60	136			
"LA"	2000	"East Baton Rouge"	"2-"	"14A"	6		276	179	462	185	227	417			
"LA"	2000	"St. Charles"	"3-"	"2"	3		216	554	783		418	516			
"LA"	2000	"Orleans"	"13-"	"15"	2		268	68	352						
"LA"	2000	"Iberville"	"0"	"4"	6		106	421	543	53	309	370			
"LA"	2000	"De Soto"	"0"	"8"	4		137	47	192	40	82	125			
"LA"	2000	"Jefferson"	"0"	"194B"	2		0	0	0						
"LA"	2000	"Jefferson"	"0"	"21"	1		171	482	668	59	492	561			
"LA"	2000	"St. Mary"	"0"	"40"	3		240	238	497		264	358			
"LA"	2000	"St. Mary"	"0"	"18A"	3		59	72	133		68	84			
"LA"	2000	"East Baton Rouge"	"3-"	"6B"	6		105	402	509	61	432	495			
"LA"	2000	"East Baton Rouge"	"3-"	"14A"	6		125	598	735	84	628	717			
"LA"	2000	"Calcasieu"	"0"	"101"	7		607	37	651	440		464			
"LA"	2000	"East Carroll"	"Early Voting"	"0"	5		65	127	194	50	140	197			
"LA"	2000	"Orleans"	"15-"	"17B"	2		171	315	506						
"LA"	2000	"Catahoula"	"8-"	"3"	5		0	0	0	0	0	0			
"LA"	2000	"Beauregard"	"0"	"2"	4		30	43	74	11	26	40			
"LA"	2000	"Acadia"	"7-"	"3"	7		102	455	571	363		444			
"LA"	2000	"Livingston"	"0"	"6A"	6		208	523	755	109	486	609			
"LA"	2000	"Avoyelles"	"10-"	"1A"	5		27	78	106	11	58	73			
"LA"	2000	"Orleans"	"1-"	"7"	2		149	1	151						
"LA"	2000	"Lafourche"	"9-"	"2"	3		128	216	363		209	262			
"LA"	2000	"Orleans"	"7-"	"25"	2		682	26	715						
"LA"	2000	"East Baton Rouge"	"3-"	"22B"	6		156	590	770	121	600	736			
"LA"	2000	"Orleans"	"9-"	"43M"	2		654	19	675						
"LA"	2000	"Vernon"	"7-"	"2A"	4		102	228	341	42	173	222			
"LA"	2000	"Lafourche"	"7-"	"3"	3		67	70	146		79	107			
"LA"	2000	"Richland"	"1-"	"6"	5		172	66	261	90	90	185			
"LA"	2000	"Natchitoches"	"3-"	"3"	4		28	39	70	7	28	43			
"LA"	2000	"St. Landry"	"1-"	"6"	7		69	188	261	163		191			
"LA"	2000	"Calcasieu"	"0"	"104W"	7		697	15	713	442		461			
"LA"	2000	"Iberia"	"2-"	"2"	3		195	13	227		63	148			
"LA"	2000	"Lafayette"	"0"	"98"	7		216	553	802	352		469			
"LA"	2000	"St. Charles"	"2-"	"7"	3		88	93	187		90	119			
"LA"	2000	"St. Mary"	"0"	"9"	3		181	185	373		200	264			
"LA"	2000	"Tangipahoa"	"0"	"133B"	1		6	6	12	1	8	9			
"LA"	2000	"St. Tammany"	"M"	"5"	1		191	345	564	97	369	483			
"LA"	2000	"Orleans"	"5-"	"5"	2		312	5	322						
"LA"	2000	"Bossier"	"Early Voting"	"0"	4		307	1300	1621	187	1302	1536			
"LA"	2000	"St. Martin"	"3-"	"7"	3		24	17	42		18	27			
"LA"	2000	"Lasalle"	"4-"	"1"	5		20	98	123	13	87	102			
"LA"	2000	"Lafayette"	"0"	"23"	7		472	17	500	325		357			
"LA"	2000	"Washington"	"Early Voting"	"0"	1		154	362	522	71	435	510			
"LA"	2000	"Terrebonne"	"0"	"55A"	3		143	474	632		407	451			
"LA"	2000	"Grant"	"1-"	"3"	5		93	241	340	80	169	254			
"LA"	2000	"Iberia"	"4-"	"2"	3		441	127	586		264	421			
"LA"	2000	"Iberville"	"0"	"17A"	6		57	82	146	31	86	123			
"LA"	2000	"Ouachita"	"4-"	"2"	5		117	206	331	75	214	317			
"LA"	2000	"Morehouse"	"0"	"23"	5		156	61	225	103	81	193			
"LA"	2000	"East Carroll"	"9-"	"2"	5		59	31	92	38	29	68			
"LA"	2000	"Orleans"	"4-"	"23"	1		141	370	517	41	371	432			
"LA"	2000	"Terrebonne"	"0"	"55N"	3		116	358	486		300	338			
"LA"	2000	"Tensas"	"4-"	"1"	5		80	166	251	80	109	192			
"LA"	2000	"Lincoln"	"3-"	"1"	5		82	233	320	47	150	208			
"LA"	2000	"Caddo"	"0"	"74"	4		106	370	485	33	391	432			
"LA"	2000	"Iberia"	"11-"	"7"	3		75	81	167		85	102			
"LA"	2000	"St. John The Baptist"	"0"	"15"	3		192	614	821		436	523			
"LA"	2000	"Richland"	"2-"	"4"	5		48	209	270	58	143	208			
"LA"	2000	"Ascension"	"0"	"11B"	6		301	417	729	205	417	633			
"LA"	2000	"St. Martin"	"1-"	"4"	3		112	205	325		154	191			
"LA"	2000	"Madison"	"4-"	"F2"	5		5	20	25	5	9	15			
"LA"	2000	"East Baton Rouge"	"1-"	"101A"	6		317	7	326	175	90	267			
"LA"	2000	"Acadia"	"5-"	"5"	7		94	55	150	99		129			
"LA"	2000	"St. Tammany"	"0"	"102"	1		387	1144	1570	171	1207	1396			
"LA"	2000	"Orleans"	"5-"	"7"	2		559	10	577						
"LA"	2000	"Caldwell"	"6-"	"2"	5		44	130	182	42	89	133			
"LA"	2000	"Lafayette"	"Early Voting"	"0"	7		578	2767	3419	2039		3261			
"LA"	2000	"West Baton Rouge"	"4-"	"2A"	6		218	343	569	138	378	526			
"LA"	2000	"Acadia"	"2-"	"5"	7		40	198	244	159		196			
"LA"	2000	"Lafourche"	"11-"	"2"	3		315	662	1019		573	700			
"LA"	2000	"East Baton Rouge"	"2-"	"10B"	6		181	230	415	131	266	399			
"LA"	2000	"Caddo"	"0"	"35"	4		419	68	489	229	114	361			
"LA"	2000	"Calcasieu"	"0"	"119NE"	7		192	341	550	299		363			
"LA"	2000	"East Carroll"	"9-"	"1"	5		162	6	176	79	29	114			
"LA"	2000	"St. Martin"	"3-"	"1"	3		305	43	368		93	176			
"LA"	2000	"Tensas"	"7-"	"2"	5		204	3	214	97	10	113			
"LA"	2000	"Rapides"	"0"	"65"	5		245	746	1018	119	605	737			
"LA"	2000	"Madison"	"3-"	"E4"	5		221	8	239	89	29	126			
"LA"	2000	"Madison"	"3-"	"D1"	5		3	51	56	8	21	30			
"LA"	2000	"Orleans"	"14-"	"1"	1		173	128	323	97	159	267			
"LA"	2000	"East Baton Rouge"	"2-"	"6A"	6		244	302	559	156	354	517			
"LA"	2000	"Lafayette"	"0"	"15A"	7		175	64	246	129		149			
"LA"	2000	"Beauregard"	"0"	"27C"	4		65	186	255	24	142	173			
"LA"	2000	"Avoyelles"	"9-"	"1B"	5		97	53	177	31	68	113			
"LA"	2000	"Madison"	"3-"	"B3"	5		19	54	73	18	34	53			
"LA"	2000	"St. Landry"	"4-"	"12"	7		190	351	545	305		355			
"LA"	2000	"Madison"	"1-"	"B1"	5		106	215	323	46	178	228			
"LA"	2000	"Lafayette"	"0"	"9"	7		243	368	630	329		397			
"LA"	2000	"Avoyelles"	"4-"	"1"	5		81	169	256	21	156	179			
"LA"	2000	"Orleans"	"14-"	"5"	2		143	176	343						
"LA"	2000	"Natchitoches"	"1-"	"3"	4		276	110	398	95	120	236			
"LA"	2000	"Lafourche"	"4-"	"5"	3		273	397	687		379	467			
"LA"	2000	"Avoyelles"	"8-"	"1"	5		43	78	127	23	75	99			
"LA"	2000	"Rapides"	"0"	"16A"	5		147	586	745	66	428	505			
"LA"	2000	"St. John The Baptist"	"0"	"9D"	3		0	0	0		0	0			
"LA"	2000	"Jefferson"	"0"	"100"	1		43	221	269	9	227	238			
"LA"	2000	"Orleans"	"17-"	"2"	2		193	33	243						
"LA"	2000	"St. Charles"	"7-"	"2"	3		90	371	480		279	328			
"LA"	2000	"Orleans"	"7-"	"27"	2		585	4	595						
"LA"	2000	"Terrebonne"	"0"	"50"	3		26	38	65		39	48			
"LA"	2000	"St. James"	"0"	"13"	3		481	22	522		78	243			
"LA"	2000	"Avoyelles"	"3-"	"1B"	5		16	0	17	8	2	10			
"LA"	2000	"East Baton Rouge"	"1-"	"73B"	6		356	205	566	229	287	529			
"LA"	2000	"Jefferson"	"K"	"12"	1		229	1041	1289	100	1021	1144			
"LA"	2000	"Union"	"9-"	"2"	5		39	66	108	21	45	68			
"LA"	2000	"Vernon"	"3-"	"2"	4		48	52	101	19	58	81			
"LA"	2000	"Tangipahoa"	"0"	"44"	1		97	299	411	40	284	332			
"LA"	2000	"Lafayette"	"0"	"17"	7		376	109	497	305		346			
"LA"	2000	"St. Landry"	"5-"	"5"	7		49	120	175	104		116			
"LA"	2000	"Vermilion"	"0"	"42"	7		188	387	603	325		377			
"LA"	2000	"Claiborne"	"0"	"31"	4		96	300	405	27	268	303			
"LA"	2000	"Terrebonne"	"0"	"61"	3		120	110	239		138	175			
"LA"	2000	"Natchitoches"	"4-"	"9"	4		152	178	342	55	164	240			
"LA"	2000	"Assumption"	"5-"	"2"	3		245	339	606		331	413			
"LA"	2000	"Jefferson"	"0"	"183"	1		214	219	451	97	214	319			
"LA"	2000	"Richland"	"1-"	"5"	5		474	52	551	196	138	347			
"LA"	2000	"St. Tammany"	"C"	"6"	1		214	57	280	111	78	199			
"LA"	2000	"Madison"	"2-"	"A2"	5		19	150	175	56	83	141			
"LA"	2000	"Madison"	"2-"	"C2"	5		38	48	88	24	37	66			
"LA"	2000	"Lafourche"	"10-"	"12"	3		291	374	701		437	606			
"LA"	2000	"De Soto"	"0"	"56"	4		74	29	107	35	42	83			
"LA"	2000	"Caddo"	"0"	"126"	4		302	836	1155	118	843	990			
"LA"	2000	"Evangeline"	"5-"	"1"	5		120	215	344	75	131	215			
"LA"	2000	"Plaquemines"	"5-"	"5"	3		105	74	179		91	129			
"LA"	2000	"Orleans"	"9-"	"42A"	2		286	80	370						
"LA"	2000	"St. Mary"	"0"	"12"	3		168	210	397		222	295			
"LA"	2000	"St. Charles"	"5-"	"4"	3		345	390	751		290	407			
"LA"	2000	"Calcasieu"	"0"	"181"	7		188	22	211	144		151			
"LA"	2000	"Lafayette"	"0"	"2"	7		347	913	1288	680		847			
"LA"	2000	"St. John The Baptist"	"0"	"12C"	3		31	26	60		19	35			
"LA"	2000	"East Baton Rouge"	"1-"	"30"	6		539	20	565	281	137	429			
