state	year	precinct_code	precinct	g2010_REG_tv	g2010_GOV_tv	g2010_GOV_dv	g2010_GOV_rv	g2010_USH_tv	g2010_USH_dv	g2010_USH_rv	g2010_STS_tv	g2010_STS_dv	g2010_STS_rv	g2010_STH_tv	g2010_STH_dv	g2010_STH_rv
"AK"	2010	"01-000"	"District 1 - Absentee"	11073	1049	346	654	1083	335	739				977	308	665
"AK"	2010	"01-000"	"District 1 - Early Voting"	11073	8	3	5	8	4	4				8	5	3
"AK"	2010	"01-000"	"District 1 - Question"	11073	300	108	173	292	69	222				220	74	146
"AK"	2010	"01-110"	"01-110 Ketchikan No. 1"	2089	599	259	317	593	203	390				578	223	352
"AK"	2010	"01-120"	"01-120 Ketchikan No. 2"	2285	831	266	539	834	206	624				824	270	552
"AK"	2010	"01-130"	"01-130 Ketchikan No. 3"	1661	595	143	433	591	113	476				581	163	416
"AK"	2010	"01-140"	"01-140 North Tongass No. 1"	851	311	81	222	307	59	248				307	91	216
"AK"	2010	"01-150"	"01-150 North Tongass No. 2"	1667	683	174	482	677	132	544				672	198	473
"AK"	2010	"01-160"	"01-160 Saxman"	275	120	47	58	119	20	99				115	25	90
"AK"	2010	"01-170"	"01-170 South Tongass"	1554	575	170	395	564	135	423				553	186	367
"AK"	2010	"01-180"	"01-180 Thorne Bay"	529	179	38	130	176	35	139				179	74	105
"AK"	2010	"01-185"	"01-185 Coffman Cove"	162	74	15	56	71	14	56				71	23	48
"AK"	2010	"02-000"	"District 2 - Absentee"	11463	1284	492	759	1252	427	818				1220	389	825
"AK"	2010	"02-000"	"District 2 - Early Voting"	11463	21	5	16	20	3	17				21	5	16
"AK"	2010	"02-000"	"District 2 - Question"	11463	132	58	65	133	39	93				74	31	43
"AK"	2010	"02-210"	"02-210 Sitka No. 1"	2264	903	498	379	887	388	496				889	462	423
"AK"	2010	"02-220"	"02-220 Sitka No. 2"	2089	904	415	466	905	328	573				902	382	517
"AK"	2010	"02-230"	"02-230 Halibut Point"	1226	494	207	269	487	166	320				494	200	294
"AK"	2010	"02-240"	"02-240 Sawmill Creek"	1420	625	302	314	621	227	392				627	288	335
"AK"	2010	"02-250"	"02-250 Petersburg/Kupreanof"	2615	1041	320	691	1006	286	717				1022	238	778
"AK"	2010	"02-260"	"02-260 Wrangell"	1581	725	135	564	721	115	604				718	92	622
"AK"	2010	"02-285"	"02-285 Pelican/Elfin Cove"	204	48	14	30	45	13	32				45	16	29
"AK"	2010	"02-295"	"02-295 Port Alexander"	64	23	10	11	21	11	10				23	6	17
"AK"	2010	"03-000"	"District 3 - Absentee"	12466	1178	678	485	1170	672	491	1007	970		956	911	
"AK"	2010	"03-000"	"District 3 - Early Voting"	12466	394	200	187	393	198	194	338	333		321	313	
"AK"	2010	"03-000"	"District 3 - Question"	12466	465	247	196	457	225	228	313	304		176	169	
"AK"	2010	"03-300"	"03-300 Douglas"	1741	748	400	326	731	394	330	664	643		639	604	
"AK"	2010	"03-310"	"03-310 Juneau No. 1"	929	293	209	78	287	189	96	253	248		254	248	
"AK"	2010	"03-320"	"03-320 Juneau No. 2"	1025	452	358	89	452	379	71	408	399		415	410	
"AK"	2010	"03-330"	"03-330 Juneau No. 3"	1503	653	480	165	649	478	167	591	571		594	575	
"AK"	2010	"03-340"	"03-340 Juneau No. 4"	1445	589	284	299	579	288	288	519	505		490	474	
"AK"	2010	"03-350"	"03-350 Juneau Airport Area"	1332	538	206	313	528	219	305	468	451		447	432	
"AK"	2010	"03-360"	"03-360 Lemon Creek"	1195	499	175	314	492	157	333	454	445		424	411	
"AK"	2010	"03-370"	"03-370 North Douglas"	1406	656	390	260	651	375	272	584	569		551	533	
"AK"	2010	"03-380"	"03-380 Salmon Creek"	990	404	216	182	402	238	162	369	364		360	353	
"AK"	2010	"03-390"	"03-390 Switzer Creek"	900	284	112	161	279	85	191	256	247		248	235	
"AK"	2010	"04-000"	"District 4 - Absentee"	12448	762	301	439	752	294	452	600	574		562		539
"AK"	2010	"04-000"	"District 4 - Early Voting"	12448	761	303	451	749	299	444	663	645		615		593
"AK"	2010	"04-000"	"District 4 - Question"	12448	334	124	195	331	113	216	233	224		152		148
"AK"	2010	"04-410"	"04-410 Mendenhall Valley No. 1"	2186	778	264	499	761	267	492	674	653		667		655
"AK"	2010	"04-420"	"04-420 Mendenhall Valley No. 2"	2353	891	296	573	878	266	605	759	726		777		758
"AK"	2010	"04-430"	"04-430 Mendenhall Valley No. 3"	2109	909	309	586	891	294	595	755	727		778		757
"AK"	2010	"04-440"	"04-440 Mendenhall Valley No. 4"	2623	1082	368	702	1073	353	716	904	877		950		928
"AK"	2010	"04-450"	"04-450 Auke Bay/Fritz Cove"	1975	812	380	419	793	391	395	686	671		642		613
"AK"	2010	"04-460"	"04-460 Lynn Canal"	1202	629	305	309	618	314	300	551	537		489		470
"AK"	2010	"05-000"	"District 5 - Absentee"	11035	1238	513	679	1222	498	718				1173	462	707
"AK"	2010	"05-000"	"District 5 - Early Voting"	11035	47	21	25	46	20	26				46	15	31
"AK"	2010	"05-000"	"District 5 - Question"	11035	150	63	78	152	51	100				36	12	24
"AK"	2010	"05-500"	"05-500 Angoon"	470	198	105	76	195	43	148				195	65	130
"AK"	2010	"05-502"	"05-502 Cordova"	1825	706	335	348	701	241	458				710	375	333
"AK"	2010	"05-504"	"05-504 Craig"	952	363	123	218	355	112	243				349	125	223
"AK"	2010	"05-506"	"05-506 Gustavus"	453	176	98	68	176	100	75				171	70	100
"AK"	2010	"05-510"	"05-510 Haines No. 1"	1956	844	365	454	842	353	484				841	286	553
"AK"	2010	"05-512"	"05-512 Haines Highway"	316	113	49	62	115	39	76				113	39	74
"AK"	2010	"05-514"	"05-514 Hoonah"	676	287	104	163	283	76	205				284	60	222
"AK"	2010	"05-516"	"05-516 Hydaburg"	259	91	58	29	91	24	67				92	41	51
"AK"	2010	"05-518"	"05-518 Kake"	392	185	78	89	184	34	149				182	37	144
"AK"	2010	"05-525"	"05-525 Kasaan"	49	20	8	12	19	2	17				19	3	16
"AK"	2010	"05-530"	"05-530 Klawock"	911	232	78	141	228	40	188				223	49	169
"AK"	2010	"05-535"	"05-535 Klukwan"	81	52	12	36	51	7	43				51	5	45
"AK"	2010	"05-540"	"05-540 Metlakatla"	958	441	164	230	454	73	381				447	168	277
"AK"	2010	"05-550"	"05-550 Skagway"	987	337	162	160	333	151	178				325	121	203
"AK"	2010	"05-556"	"05-556 Tatitlek"	132	23	13	9	23	2	21				23	16	7
"AK"	2010	"05-565"	"05-565 Tenakee"	155	60	25	31	56	28	26				53	31	22
"AK"	2010	"05-570"	"05-570 Yakutat"	463	211	110	88	215	75	139				212	102	110
"AK"	2010	"06-000"	"District 6 - Absentee"	10720	902	278	583	894	203	679				840	296	531
"AK"	2010	"06-000"	"District 6 - Early Voting"	10720	159	69	79	160	47	111				160	101	58
"AK"	2010	"06-000"	"District 6 - Question"	10720	279	109	149	282	57	225				99	53	46
"AK"	2010	"06-505"	"06-505 Allakaket"	139	62	36	18	62	12	49				60	55	4
"AK"	2010	"06-510"	"06-510 Aniak"	328	135	51	76	137	21	115				136	57	78
"AK"	2010	"06-515"	"06-515 Anvik"	55	32	12	15	32	1	31				32	13	19
"AK"	2010	"06-520"	"06-520 Arctic Village"	103	46	38	6	46	40	6				45	43	2
"AK"	2010	"06-525"	"06-525 Beaver"	62	25	20	2	25	5	20				25	13	12
"AK"	2010	"06-530"	"06-530 Bettles"	90	20	6	12	20	5	15				19	12	6
"AK"	2010	"06-533"	"06-533 Central"	163	41	6	32	40	7	33				41	6	35
"AK"	2010	"06-537"	"06-537 Chistochina"	236	97	20	72	96	16	79				99	30	68
"AK"	2010	"06-540"	"06-540 Chuathbaluk"	57	23	8	13	23	4	19				22	8	14
"AK"	2010	"06-542"	"06-542 Circle"	71	26	8	18	27	6	21				26	18	8
"AK"	2010	"06-543"	"06-543 Copper Center"	848	277	85	184	272	50	222				272	84	188
"AK"	2010	"06-545"	"06-545 Crooked Creek"	70	33	17	15	33	6	26				33	11	21
"AK"	2010	"06-546"	"06-546 Deltana"	1630	555	70	463	551	67	483				541	56	482
"AK"	2010	"06-547"	"06-547 Dot Lake"	111	42	7	32	41	8	33				42	8	34
"AK"	2010	"06-550"	"06-550 Eagle"	226	78	17	58	78	18	60				79	31	47
"AK"	2010	"06-555"	"06-555 Fort Yukon"	492	194	90	90	192	45	145				192	137	54
"AK"	2010	"06-557"	"06-557 Gakona"	308	144	45	96	136	23	113				135	27	108
"AK"	2010	"06-560"	"06-560 Galena"	351	180	75	100	179	32	145				178	39	139
"AK"	2010	"06-565"	"06-565 Grayling"	112	49	16	25	50	5	45				51	34	17
"AK"	2010	"06-570"	"06-570 Holy Cross"	117	62	35	24	63	10	52				63	38	22
"AK"	2010	"06-575"	"06-575 Hughes"	58	35	29	4	35	6	29				33	25	8
"AK"	2010	"06-580"	"06-580 Huslia"	163	91	42	36	90	12	78				90	50	40
"AK"	2010	"06-590"	"06-590 Kaltag"	126	73	41	24	75	9	66				74	46	28
"AK"	2010	"06-593"	"06-593 Kenny Lake"	433	181	50	116	177	55	119				175	48	125
"AK"	2010	"06-595"	"06-595 Koyukuk"	68	39	24	12	40	10	30				40	18	22
"AK"	2010	"06-605"	"06-605 Manley Hot Springs"	128	42	15	24	40	15	25				39	12	27
"AK"	2010	"06-607"	"06-607 Marshall"	198	104	42	54	105	13	91				104	49	54
"AK"	2010	"06-610"	"06-610 McGrath"	310	119	44	70	118	32	86				111	50	60
"AK"	2010	"06-613"	"06-613 Mentasta"	78	28	15	10	28	9	19				28	20	8
"AK"	2010	"06-615"	"06-615 Minto"	150	62	33	20	62	13	49				61	38	23
"AK"	2010	"06-620"	"06-620 Nenana"	593	275	87	168	276	59	215				278	110	166
"AK"	2010	"06-625"	"06-625 Nikolai"	71	42	22	18	40	6	34				43	19	22
"AK"	2010	"06-627"	"06-627 Northway"	235	85	15	68	90	7	83				86	66	20
"AK"	2010	"06-630"	"06-630 Nulato"	185	84	37	41	86	10	75				85	53	30
"AK"	2010	"06-650"	"06-650 Ruby"	124	59	32	19	61	17	44				61	34	25
"AK"	2010	"06-655"	"06-655 Russian Mission"	174	87	29	45	88	17	71				90	50	40
"AK"	2010	"06-660"	"06-660 Shageluk"	73	31	17	11	31	5	26				31	21	10
"AK"	2010	"06-665"	"06-665 Sleetmute"	116	28	6	19	28	2	26				28	4	24
"AK"	2010	"06-675"	"06-675 Stevens Village"	82	14	5	7	14	11	2				13	12	1
"AK"	2010	"06-680"	"06-680 Takotna"	49	12	2	9	12	2	10				11	5	6
"AK"	2010	"06-683"	"06-683 Tanacross"	107	50	29	17	51	9	42				49	36	13
"AK"	2010	"06-685"	"06-685 Tanana"	191	89	51	29	91	21	70				90	60	30
"AK"	2010	"06-687"	"06-687 Tetlin"	79	33	19	14	33	3	30				33	28	5
"AK"	2010	"06-688"	"06-688 Tok"	1117	465	118	327	456	106	346				451	112	336
"AK"	2010	"06-695"	"06-695 Tyonek"	106	39	28	9	40	8	32				39	30	9
"AK"	2010	"06-700"	"06-700 Venetie"	137	49	26	18	50	16	34				50	44	6
"AK"	2010	"07-000"	"District 7 - Absentee"	15330	1004	409	569	989	368	612	940	492	445	929	447	480
"AK"	2010	"07-000"	"District 7 - Early Voting"	15330	990	482	475	975	428	538	974	646	326	982	582	395
"AK"	2010	"07-000"	"District 7 - Question"	15330	364	122	215	358	94	263	139	83	56	85	48	37
"AK"	2010	"07-210"	"07-210 Chatanika"	78	31	1	28	31	3	27	31	6	25	30	5	25
"AK"	2010	"07-225"	"07-225 Farmers Loop"	2899	1430	710	702	1416	628	781	1403	902	499	1426	881	541
"AK"	2010	"07-230"	"07-230 Fox"	1010	473	129	317	466	120	343	462	195	267	475	224	250
"AK"	2010	"07-235"	"07-235 Goldstream #1"	1144	527	298	219	519	277	238	513	357	154	524	360	162
"AK"	2010	"07-240"	"07-240 Shanly"	1051	383	164	198	379	139	239	374	218	155	381	223	157
"AK"	2010	"07-245"	"07-245 Steele Creek/Gilmore"	2851	1304	423	846	1278	398	873	1276	621	653	1299	655	643
"AK"	2010	"07-250"	"07-250 Steese East"	2069	980	269	688	968	244	713	961	435	525	964	437	523
"AK"	2010	"07-255"	"07-255 Steese West"	3136	1405	495	880	1391	436	946	1385	756	627	1393	734	650
"AK"	2010	"07-260"	"07-260 Two Rivers"	1092	502	140	347	496	133	358	498	208	288	501	219	278
"AK"	2010	"08-000"	"District 8 - Absentee"	14483	1207	610	559	1182	547	630	1116	662	450	1082	586	491
"AK"	2010	"08-000"	"District 8 - Early Voting"	14483	764	389	362	752	349	396	750	486	263	752	463	289
"AK"	2010	"08-000"	"District 8 - Question"	14483	387	149	206	382	113	268	210	124	84	145	74	70
"AK"	2010	"08-100"	"08-100 Anderson"	222	92	20	68	89	18	71	89	27	62	94	13	79
"AK"	2010	"08-110"	"08-110 Cantwell"	184	92	41	49	90	20	70	84	38	46	88	25	63
"AK"	2010	"08-115"	"08-115 Chena"	3700	1653	701	914	1627	579	1038	1633	890	738	1627	853	770
"AK"	2010	"08-120"	"08-120 Clear"	224	68	23	40	67	19	48	67	30	37	65	18	47
"AK"	2010	"08-125"	"08-125 Denali Park"	326	86	75	10	83	62	21	80	72	8	86	55	31
"AK"	2010	"08-130"	"08-130 Ester"	1504	764	419	321	757	395	358	751	505	244	756	491	264
"AK"	2010	"08-132"	"08-132 Geist"	1613	623	269	335	615	221	393	614	368	243	613	336	273
"AK"	2010	"08-134"	"08-134 Goldstream #2"	1346	726	439	262	712	435	271	708	542	163	712	515	193
"AK"	2010	"08-136"	"08-136 Healy"	773	322	109	207	320	108	211	316	138	178	325	91	233
"AK"	2010	"08-138"	"08-138 Pike"	679	253	91	147	254	68	182	251	133	115	248	125	122
"AK"	2010	"08-140"	"08-140 University Campus"	655	116	62	54	110	55	55	111	70	41	110	67	43
"AK"	2010	"08-143"	"08-143 University Hills"	1010	358	202	150	350	188	160	348	230	116	354	224	129
"AK"	2010	"08-145"	"08-145 University West"	2247	942	353	559	936	284	648	929	489	437	930	441	486
"AK"	2010	"09-000"	"District 9 - Absentee"	11459	636	206	409	623	189	428				549	283	265
"AK"	2010	"09-000"	"District 9 - Early Voting"	11459	468	227	233	461	175	285				466	296	169
