state	year	precinct	g2010_DEL_dv	g2010_DEL_rv	g2010_DEL_tv	g2010_MAY_dv	g2010_MAY_rv	g2010_MAY_tv	g2010_COC_dv	g2010_COC_tv	g2010_SHADR_dv	g2010_SHADR_rv	g2010_SHADR_tv
"DC"	2010	134	615	5	620	587	27	614	596	622	561	8	569
"DC"	2010	135	990	34	1024	856	187	1043	946	1044	851	59	910
"DC"	2010	136	293	32	325	171	141	312	248	306	237	42	279
"DC"	2010	137	344	12	356	239	119	358	306	353	306	19	325
"DC"	2010	138	839	118	957	578	413	991	791	912	688	162	850
"DC"	2010	139	916	17	933	893	53	946	900	938	798	27	825
"DC"	2010	140	617	13	630	594	36	630	607	631	528	11	539
"DC"	2010	141	731	43	774	500	297	797	665	778	623	76	699
"DC"	2010	142	549	58	607	461	125	586	533	597	478	74	552
"DC"	2010	143	654	135	789	473	306	779	621	740	560	168	728
"DC"	2010	301											
