state	year	county	precinct	cd	g2006_GOV_rv	g2006_GOV_dv	g2006_GOV_tv	g2006_USH_dv	g2006_USH_rv	g2006_USH_tv	g2006_BALL_rtv	g2006_BALL_atv	g2006_BALL_tv
"NH"	2006	"Sullivan"	"Claremont Ward 2"	2	305	1012	1318	710	577	1287	1281	61	1342
"NH"	2006	"Sullivan"	"Claremont Ward 3"	2	256	826	1083	621	425	1060	1040	62	1102
"NH"	2006	"Sullivan"	"Cornish"	2	169	533	703	429	258	701	666	40	706
"NH"	2006	"Sullivan"	"Croydon"	2	68	157	225	100	118	224	225	10	235
"NH"	2006	"Sullivan"	"Goshen"	2	62	213	275	130	139	274	259	22	281
"NH"	2006	"Sullivan"	"Grantham"	2	324	980	1304	755	537	1311	1206	120	1326
"NH"	2006	"Sullivan"	"Langdon"	2	47	224	271	140	118	263	259	15	274
"NH"	2006	"Sullivan"	"Lempster"	2	99	264	363	177	180	362	346	28	374
"NH"	2006	"Sullivan"	"Newport"	2	423	1290	1717	813	788	1640	1748	69	1817
"NH"	2006	"Sullivan"	"Plainfield"	2	179	801	980	649	325	982	930	57	987
"NH"	2006	"Sullivan"	"Springfield"	2	123	340	463	233	225	463	469	40	509
"NH"	2006	"Sullivan"	"Sunapee"	2	397	1014	1412	647	727	1402	1423	154	1577
"NH"	2006	"Sullivan"	"Unity"	2	135	317	452	226	219	450	436	26	462
"NH"	2006	"Sullivan"	"Washington"	2	122	287	410	175	216	407	390	25	415
