state	year	county	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	s2008_USS_dv	s2008_USS_rv	g2008_USH_dv	g2008_USH_rv	g2008_USP_tv	g2008_USS_tv	g2008_USH_tv	s2008_USS_tv
"WY"	2008	"Campbell"	"Antelope Valley Baptist Church 22-1"	120	423	73	479	132	420	177	327	543	552	504	552
"WY"	2008	"Carbon"	"Pershing Elementary School/Rawlins 1-1"	378	245	308	309	314	302	405	177	623	617	582	616
"WY"	2008	"Carbon"	"Jeffrey Center/Rawlins 1-2"	82	112	66	129	62	132	94	93	194	195	187	194
"WY"	2008	"Carbon"	"Jeffrey Center/Rawlins 2-1"	256	362	194	432	195	432	325	264	618	626	589	627
"WY"	2008	"Carbon"	"Jeffrey Center/Rawlins 2-2"	271	456	207	524	212	516	354	356	727	731	710	728
"WY"	2008	"Carbon"	"Jeffrey Center/Rawlins 3-1"	255	317	185	396	180	401	312	236	572	581	548	581
"WY"	2008	"Carbon"	"Jeffrey Center/Rawlins 3-2"	243	383	190	440	180	451	300	309	626	630	609	631
"WY"	2008	"Carbon"	"Muddy Gap Fire Station  4-1"	4	14	3	16	2	17	5	14	18	19	19	19
"WY"	2008	"Carbon"	"Sinclair Town Hall 5-1"	68	176	53	193	69	175	95	132	244	246	227	244
"WY"	2008	"Carbon"	"Hanna Town Hall 6-1"	2	32	3	33	0	35	7	29	34	36	36	35
"WY"	2008	"Carbon"	"Medicine Bow Senior Center 7-1"	45	105	35	120	33	124	60	95	150	155	155	157
"WY"	2008	"Carbon"	"Hanna Town Hall 8-1"	137	256	107	289	117	282	184	191	393	396	375	399
"WY"	2008	"Carbon"	"Elk Mountain Senior Center 9-1"	25	141	12	159	19	149	37	128	166	171	165	168
"WY"	2008	"Carbon"	"McFadden Fire Station 10-1"	5	49	2	53	3	52	7	47	54	55	54	55
"WY"	2008	"Carbon"	"Saratoga Senior Center 11-1"	286	592	199	682	189	694	323	530	878	881	853	883
"WY"	2008	"Carbon"	"Saratoga Senior Center 11-2"	81	286	47	314	53	310	93	262	367	361	355	363
"WY"	2008	"Carbon"	"Encampment Senior Center 12-1"	66	227	46	257	53	247	87	202	293	303	289	300
"WY"	2008	"Carbon"	"Riverside Town Hall 13-1"	69	185	43	209	44	206	78	162	254	252	240	250
"WY"	2008	"Carbon"	"Dixon Senior Center 14-1"	21	111	22	111	23	106	35	93	132	133	128	129
"WY"	2008	"Carbon"	"Baggs Senior Center 15-1"	42	282	38	285	47	270	67	236	324	323	303	317
"WY"	2008	"Converse"	"Lost Springs Hall 1-1"	4	99	4	100	4	99	13	87	103	104	100	103
"WY"	2008	"Converse"	"Douglas Rec Center 2-2"	71	297	62	312	58	320	128	232	368	374	360	378
"WY"	2008	"Converse"	"White School 3-1"	20	160	19	161	23	157	39	130	180	180	169	180
"WY"	2008	"Converse"	"Douglas Rec Center 4-4"	66	347	47	369	45	368	131	272	413	416	403	413
"WY"	2008	"Converse"	"Glenrock Rec Center 6-6"	42	251	28	271	33	267	76	202	293	299	278	300
"WY"	2008	"Converse"	"Douglas Rec Center 7-7"	27	167	21	173	18	177	38	145	194	194	183	195
"WY"	2008	"Converse"	"Douglas Rec Center 8-8"	49	252	37	271	30	278	81	211	301	308	292	308
"WY"	2008	"Converse"	"Glenrock Rec Center 9-1"	164	510	105	577	126	558	252	392	674	682	644	684
"WY"	2008	"Converse"	"Glenrock Rec Center 9-2"	146	353	96	410	97	415	218	271	499	506	489	512
"WY"	2008	"Converse"	"Glenrock Rec Center 10-10"	60	237	59	241	48	255	93	202	297	300	295	303
"WY"	2008	"Converse"	"Glenrock Rec Center 11-11"	27	188	29	188	32	187	77	132	215	217	209	219
"WY"	2008	"Converse"	"Dry Creek School 13-13"	7	94	6	95	6	95	13	88	101	101	101	101
"WY"	2008	"Converse"	"Douglas Rec Center 20-20"	13	102	13	103	10	106	21	91	115	116	112	116
"WY"	2008	"Converse"	"Douglas Rec Center 23-1"	87	223	63	249	57	257	121	171	310	312	292	314
"WY"	2008	"Converse"	"Douglas Rec Center 23-2"	111	299	72	353	73	351	155	240	410	425	395	424
"WY"	2008	"Converse"	"Douglas Rec Center 23-3"	107	323	73	352	70	358	143	252	430	425	395	428
"WY"	2008	"Converse"	"Douglas Rec Center 23-4"	85	176	64	203	65	200	106	133	261	267	239	265
"WY"	2008	"Converse"	"Douglas Rec Center 23-5"	140	384	98	434	91	434	205	279	524	532	484	525
"WY"	2008	"Converse"	"Douglas Rec Center 23-6"	154	460	94	531	98	525	221	382	614	625	603	623
"WY"	2008	"Crook"	"Sundance Inside North - Courthouse 1-1"	76	254	51	288	67	272	111	197	330	339	308	339
"WY"	2008	"Crook"	"Sundance Inside South - Courthouse 1-2"	73	212	52	242	67	227	101	161	285	294	262	294
"WY"	2008	"Crook"	"Sundance Outside - Courthouse 2-2"	92	401	61	436	74	421	156	310	493	497	466	495
"WY"	2008	"Crook"	"Beulah Community Bldg. 3-3"	34	126	25	134	34	124	52	101	160	159	153	158
"WY"	2008	"Crook"	"Aladdin Community Bldg  7-7"	33	149	31	159	37	153	47	115	182	190	162	190
"WY"	2008	"Crook"	"Alva Church 9-9"	5	58	2	66	5	62	6	55	63	68	61	67
"WY"	2008	"Crook"	"Tower Junction - Camp Beard 11-11"	25	190	17	206	28	194	44	152	215	223	196	222
"WY"	2008	"Crook"	"Elmore - Barton Ranch Voting Booth 12-12"	30	234	22	244	36	227	45	196	264	266	241	263
"WY"	2008	"Crook"	"Hulett Outside - Civic Center 13-13"	22	229	21	235	27	227	50	185	251	256	235	254
"WY"	2008	"Crook"	"Hulett Inside - Civic Center 14-14"	42	136	28	145	36	136	51	106	178	173	157	172
"WY"	2008	"Crook"	"Pine Haven Town Hall 15-15"	57	220	43	240	76	205	90	164	277	283	254	281
"WY"	2008	"Crook"	"Moorcroft Outside -Baptist Church 16-16"	33	270	20	285	29	274	57	220	303	305	277	303
"WY"	2008	"Crook"	"Moorcroft West Side - City Hall 18-1"	45	164	34	179	53	162	66	125	209	213	191	215
"WY"	2008	"Crook"	"Moorcroft East Side - City Hall 18-2"	30	178	17	194	32	180	55	142	208	211	197	212
"WY"	2008	"Crook"	"New Haven Community Bldg. 23-23"	8	49	4	52	6	51	8	48	57	56	56	57
"WY"	2008	"Crook"	"Colony Community Bldg. 24-24"	6	42	4	44	3	45	3	42	48	48	45	48
"WY"	2008	"Crook"	"Oshoto Community Bldg. 26-26"	1	55	5	53	2	56	7	41	56	58	48	58
"WY"	2008	"Fremont"	"Lander Community Center 1-1"	283	415	201	495	212	498	362	303	698	696	665	710
"WY"	2008	"Fremont"	"Lander Community Center 1-2"	185	174	122	238	144	216	217	120	359	360	337	360
"WY"	2008	"Fremont"	"Lander Community Center 1-3"	313	317	228	406	237	411	369	244	630	634	613	648
"WY"	2008	"Fremont"	"Lander Community Center 1-4"	226	274	169	335	188	318	279	209	500	504	488	506
"WY"	2008	"Fremont"	"Lander Community Center 1-5"	310	444	203	551	230	539	396	331	754	754	727	769
"WY"	2008	"Fremont"	"Lander Community Center 1-6"	263	345	194	414	211	403	332	259	608	608	591	614
"WY"	2008	"Fremont"	"Hudson Town Hall 2-1"	92	186	65	219	69	219	120	149	278	284	269	288
"WY"	2008	"Fremont"	"Riverton Fair Office 3-1"	224	555	138	637	145	644	297	418	779	775	715	789
"WY"	2008	"Fremont"	"Riverton Fair Office 3-2"	117	208	81	247	78	255	151	157	325	328	308	333
"WY"	2008	"Fremont"	"Riverton Fair Office 3-3"	220	536	142	614	163	602	305	414	756	756	719	765
"WY"	2008	"Fremont"	"Riverton Fair Office 3-4"	141	300	104	342	103	351	177	236	441	446	413	454
"WY"	2008	"Fremont"	"Riverton Fair Office 3-5"	346	784	195	922	218	913	441	627	1130	1117	1068	1131
"WY"	2008	"Fremont"	"Riverton Fair Office 3-6"	251	655	168	750	183	734	345	510	906	918	855	917
"WY"	2008	"Fremont"	"Ft. Washakie School Admin. 4-1"	408	119	262	255	293	224	388	107	527	517	495	517
"WY"	2008	"Fremont"	"Lander Community Center 5-1"	412	822	321	939	349	911	556	660	1234	1260	1216	1260
"WY"	2008	"Fremont"	"Lander Community Center 6-1"	160	350	115	393	112	398	192	287	510	508	479	510
"WY"	2008	"Fremont"	"Dubois Headwaters Comm. Center  7-1"	276	879	220	936	225	953	323	796	1155	1156	1119	1178
"WY"	2008	"Fremont"	"Arapahoe School 8-1"	288	141	201	203	210	199	266	110	429	404	376	409
"WY"	2008	"Fremont"	"Missouri Valley Fire Hall 9-1"	39	318	31	323	32	321	62	281	357	354	343	353
"WY"	2008	"Fremont"	"Fairgrounds/Main Hall 10-1"	147	534	108	577	106	586	236	413	681	685	649	692
"WY"	2008	"Fremont"	"Jeffrey City Fire Hall 12-1"	8	75	8	78	7	79	14	68	83	86	82	86
"WY"	2008	"Fremont"	"WY Indian High Tech Center 13-1"	533	136	369	275	393	267	499	130	669	644	629	660
"WY"	2008	"Fremont"	"Wind River Rec. Center 14-1"	95	437	84	460	78	468	136	365	532	544	501	546
"WY"	2008	"Fremont"	"Midvale Fire Hall 15-1"	30	150	24	157	21	162	49	122	180	181	171	183
"WY"	2008	"Fremont"	"Kinnear Fire Hall 16-1"	55	135	32	164	37	162	61	125	190	196	186	199
"WY"	2008	"Fremont"	"Fairgrounds/Main Hall 17-1"	161	269	111	319	124	306	191	216	430	430	407	430
"WY"	2008	"Fremont"	"Riverton Fair Office 18-1"	219	915	135	1019	154	1005	331	741	1134	1154	1072	1159
"WY"	2008	"Fremont"	"Crowheart School Gym 19-1"	42	83	25	100	28	97	45	73	125	125	118	125
"WY"	2008	"Fremont"	"Shoshone Senior Citizens Center 20-1"	65	260	66	270	55	286	138	177	325	336	315	341
"WY"	2008	"Fremont"	"Fairgrounds/Main Hall 21-1"	80	192	63	213	64	219	120	131	272	276	251	283
"WY"	2008	"Fremont"	"Lysite Fire Hall 22-1"	1	46	4	42	1	43	6	35	47	46	41	44
"WY"	2008	"Fremont"	"Atlantic City Fire Hall 24-1"	26	29	23	34	23	34	30	21	55	57	51	57
"WY"	2008	"Goshen"	"Prairie Center 1-1"	3	46	2	48	0	49	4	44	49	50	48	49
"WY"	2008	"Goshen"	"Jay Em 2-1"	15	49	10	55	8	55	18	44	64	65	62	63
"WY"	2008	"Goshen"	"Lingle Town Hall 8-1"	116	418	81	452	85	446	168	351	534	533	519	531
"WY"	2008	"Goshen"	"Ft. Laramie Town Hall 9-1"	89	155	62	183	59	189	98	143	244	245	241	248
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-1"	110	99	77	129	81	125	108	92	209	206	200	206
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-2"	143	232	92	287	104	274	166	193	375	379	359	378
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-3"	105	163	75	199	72	201	126	135	268	274	261	273
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-4"	192	363	104	450	107	447	229	311	555	554	540	554
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-5"	105	186	68	223	67	222	129	157	291	291	286	289
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-6"	140	252	91	308	94	306	157	231	392	399	388	400
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-7"	162	248	100	313	107	302	167	232	410	413	399	409
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-8"	216	508	142	595	134	598	262	453	724	737	715	732
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-9"	159	328	106	383	106	386	175	292	487	489	467	492
"WY"	2008	"Goshen"	"Torrington Rendezvous Ctr. 10-10"	78	106	63	122	67	116	78	96	184	185	174	183
"WY"	2008	"Goshen"	"Veteran Legion Post #56 13-1"	38	70	22	88	22	90	43	65	108	110	108	112
"WY"	2008	"Goshen"	"Yoder Community Center 15-1"	60	146	41	178	44	172	87	115	206	219	202	216
"WY"	2008	"Goshen"	"Huntley School 16-1"	48	193	29	222	33	215	60	181	241	251	241	248
"WY"	2008	"Goshen"	"Hawk Springs Comm. Hall 17-1"	21	78	20	79	21	81	24	71	99	99	95	102
"WY"	2008	"Goshen"	"La Grange Memorial Bldg. 18-1"	26	273	21	263	21	261	43	235	299	284	278	282
"WY"	2008	"Goshen"	"Iowa Center Jackson Home 20-1"	6	29	4	26	7	24	5	24	35	30	29	31
"WY"	2008	"Hot Springs"	"1 Hot Springs County Fair Building 1-1"	226	581	132	691	139	693	349	440	807	823	789	832
"WY"	2008	"Hot Springs"	"2 Hot Springs County Fair Building 1-2"	177	494	131	565	129	570	271	373	671	696	644	699
"WY"	2008	"Hot Springs"	"Hot Springs County Museum 2-4"	187	644	137	709	142	703	273	509	831	846	782	845
"WY"	2008	"Hot Springs"	"National Guard Armory 3-3"	29	115	23	132	26	129	41	109	144	155	150	155
"WY"	2008	"Johnson"	"Johnson County Fairgrounds 2-14"	17	88	11	94	16	90	22	78	105	105	100	106
"WY"	2008	"Johnson"	"Buffalo - Catholic Rec Hall 3-1"	93	303	64	344	68	333	145	248	396	408	393	401
"WY"	2008	"Johnson"	"Buffalo - Catholic Rec Hall 3-2"	82	194	55	231	60	223	116	151	276	286	267	283
"WY"	2008	"Johnson"	"Buffalo - Catholic Rec Hall 3-3"	67	172	48	198	50	195	79	151	239	246	230	245
"WY"	2008	"Johnson"	"Johnson County Fairgrounds 3-4"	86	221	56	258	64	247	112	169	307	314	281	311
"WY"	2008	"Johnson"	"Johnson County Fairgrounds 3-5"	34	131	24	146	23	147	50	104	165	170	154	170
"WY"	2008	"Johnson"	"Johnson County Fairgrounds 3-6"	54	169	29	198	33	193	72	137	223	227	209	226
"WY"	2008	"Johnson"	"Johnson County Fairgrounds 3-7"	52	201	24	231	31	224	74	174	253	255	248	255
"WY"	2008	"Johnson"	"Buffalo - Catholic Rec Hall 3-8"	62	228	47	244	50	244	95	179	290	291	274	294
"WY"	2008	"Johnson"	"Buffalo - Catholic Rec Hall 4-7"	136	569	79	624	102	598	187	484	705	703	671	700
"WY"	2008	"Johnson"	"Johnson County Fairgrounds 4-8"	156	541	104	606	103	605	212	462	697	710	674	708
"WY"	2008	"Johnson"	"Johnson County Fairgrounds 5-9"	8	76	3	80	5	79	14	66	84	83	80	84
"WY"	2008	"Johnson"	"Kaycee - Harold Jarrard Park 6-10"	26	128	16	141	15	141	41	108	154	157	149	156
"WY"	2008	"Johnson"	"Kaycee - Harold Jarrard Park 8-11"	23	192	11	209	12	209	37	176	215	220	213	221
"WY"	2008	"Johnson"	"Kaycee - Harold Jarrard Park 9-12"	8	62	2	69	4	67	14	55	70	71	69	71
"WY"	2008	"Johnson"	"Kaycee - Harold Jarrard Park 9-13"	2	11	2	12	2	12	6	8	13	14	14	14
"WY"	2008	"Johnson"	"Johnson County Fairgrounds 10-15"	2	48	2	48	2	47	5	32	50	50	37	49
"WY"	2008	"Laramie"	"Holiday Inn/Cheyenne 1-1"	670	688	525	826	561	784	815	493	1358	1351	1308	1345
"WY"	2008	"Laramie"	"Holiday Inn/Cheyenne 1-2"	448	373	372	447	383	441	531	257	821	819	788	824
"WY"	2008	"Laramie"	"Laramie County Library 1-3"	481	379	360	513	403	469	550	275	860	873	825	872
"WY"	2008	"Laramie"	"Storey Gym 1-4"	269	239	194	303	222	273	301	174	508	497	475	495
"WY"	2008	"Laramie"	"Kiwanis Community House/Cheyenne 1-5"	348	421	254	518	282	491	427	339	769	772	766	773
"WY"	2008	"Laramie"	"Kiwanis Community House/Cheyenne 1-6"	482	428	348	559	391	518	533	363	910	907	896	909
"WY"	2008	"Laramie"	"Storey Gym 1-7"	180	199	129	256	147	240	220	154	379	385	374	387
"WY"	2008	"Laramie"	"Storey Gym 1-8"	479	403	352	532	388	492	556	310	882	884	866	880
"WY"	2008	"Laramie"	"Alta Vista Elementary School 1-9"	286	278	206	368	224	339	338	217	564	574	555	563
"WY"	2008	"Laramie"	"Holiday Inn/Cheyenne 1-10"	399	303	311	393	332	374	464	208	702	704	672	706
"WY"	2008	"Laramie"	"Westgate Club House/Cheyenne 2-1"	264	426	162	527	202	484	337	325	690	689	662	686
"WY"	2008	"Laramie"	"Kiwanis Community House/Cheyenne 2-2"	278	419	182	511	201	492	356	319	697	693	675	693
"WY"	2008	"Laramie"	"Kiwanis Community House/Cheyenne 2-3"	245	420	133	536	178	490	319	344	665	669	663	668
"WY"	2008	"Laramie"	"City Fire Station #6 2-4"	230	413	143	507	172	476	305	337	643	650	642	648
"WY"	2008	"Laramie"	"Cheyenne Berean Church 2-5"	424	644	275	793	338	729	577	481	1068	1068	1058	1067
"WY"	2008	"Laramie"	"Cheyenne Berean Church 2-6"	550	807	397	966	443	920	716	601	1357	1363	1317	1363
"WY"	2008	"Laramie"	"Kiwanis Community House/Cheyenne 2-7"	269	381	204	461	231	434	359	274	650	665	633	665
"WY"	2008	"Laramie"	"Cheyenne Berean Church 2-8"	340	565	239	652	265	631	456	430	905	891	886	896
"WY"	2008	"Laramie"	"Good Shepherd Lutheran Church 2-9"	350	391	229	512	261	478	433	275	741	741	708	739
"WY"	2008	"Laramie"	"North Christian Church 2-10"	68	117	40	140	44	136	77	103	185	180	180	180
"WY"	2008	"Laramie"	"Cheyenne Housing Authority  2-11"	307	443	240	512	271	483	406	319	750	752	725	754
"WY"	2008	"Laramie"	"Northwoods Presbyterian Church 2-12"	242	409	170	470	195	440	314	309	651	640	623	635
"WY"	2008	"Laramie"	"Laramie County Library 2-13"	82	138	63	153	72	148	117	101	220	216	218	220
"WY"	2008	"Laramie"	"Anderson Elementary School 2-14"	389	566	252	706	301	654	526	404	955	958	930	955
"WY"	2008	"Laramie"	"First Baptist Church 3-1"	310	528	211	639	244	603	410	417	838	850	827	847
"WY"	2008	"Laramie"	"American Legion Post #6 3-2"	283	283	216	357	230	340	348	203	566	573	551	570
"WY"	2008	"Laramie"	"First Congregational Church/Cheyenne 3-3"	247	262	175	333	203	303	304	195	509	508	499	506
"WY"	2008	"Laramie"	"First Congregational Church/Cheyenne 3-4"	369	412	261	528	300	486	444	326	781	789	770	786
"WY"	2008	"Laramie"	"IBEW #415 3-5"	422	588	331	697	362	665	542	449	1010	1028	991	1027
"WY"	2008	"Laramie"	"AMVETS Post #10 3-6"	355	494	292	569	320	546	487	340	849	861	827	866
"WY"	2008	"Laramie"	"AMVETS Post #10 3-7"	177	230	139	271	149	259	233	154	407	410	387	408
"WY"	2008	"Laramie"	"Dildine Elementary School  3-8"	358	492	256	593	287	562	445	380	850	849	825	849
"WY"	2008	"Laramie"	"VFW Post #1881 3-9"	545	711	380	867	432	815	675	539	1256	1247	1214	1247
"WY"	2008	"Laramie"	"VFW Post #1881 3-10"	311	446	210	544	241	519	387	338	757	754	725	760
"WY"	2008	"Laramie"	"VFW Post #1881 3-11"	150	239	98	286	106	277	208	168	389	384	376	383
"WY"	2008	"Laramie"	"VFW Post #1881 3-12"	295	429	220	510	232	494	389	310	724	730	699	726
"WY"	2008	"Laramie"	"Willadsen Elementary School 4-1"	29	88	30	87	30	88	43	77	117	117	120	118
"WY"	2008	"Laramie"	"Gilchrist Elementary School 4-2"	194	432	155	478	149	478	258	361	626	633	619	627
"WY"	2008	"Laramie"	"Iron Mountain Country Church 4-3"	70	212	62	221	60	224	96	178	282	283	274	284
"WY"	2008	"Laramie"	"Shrine Club 4-4"	133	371	92	424	113	397	213	281	504	516	494	510
"WY"	2008	"Laramie"	"Shrine Club 4-5"	8	73	8	73	8	73	11	65	81	81	76	81
"WY"	2008	"Laramie"	"Shrine Club 4-6"	393	1127	262	1250	292	1219	586	882	1520	1512	1468	1511
