state	year	county	town	ward	precinct	cd	sd	ld	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"MI"	2008	3	56	5	3	2		88	341	397	747	264	589	863	212	659	875
"MI"	2008	3	58	0	1	6		80	982	711	1727	1005	595	1669	593	1024	1666
"MI"	2008	3	60	0	1	6		88	1035	731	1799	1015	675	1755	682	1007	1743
"MI"	2008	3	62	0	1	2		88	396	229	638	397	204	627	308	300	622
"MI"	2008	3	63	0	901	6		88	5	2	7	7	0	7	5	2	7
"MI"	2008	3	64	0	1	6		88	843	883	1764	875	782	1723	627	995	1695
"MI"	2008	4	2	0	1	1		106	333	321	666	452	184	655	454	200	667
"MI"	2008	4	2	0	2	1		106	431	397	846	579	215	835	611	213	848
"MI"	2008	4	2	0	3	1		106	466	435	921	613	261	895	653	247	912
"MI"	2008	4	2	0	4	1		106	291	222	523	366	124	509	393	111	516
"MI"	2008	4	2	0	5	1		106	382	389	784	528	218	773	560	211	783
"MI"	2008	4	2	0	901	1		106	716	536	1266	909	319	1257	930	319	1266
"MI"	2008	4	4	0	1	1		106	278	337	629	373	219	613	408	201	622
"MI"	2008	4	6	1	1	1		106	259	276	542	342	170	524	364	164	537
"MI"	2008	4	8	0	1	1		106	395	388	803	535	217	781	566	212	793
"MI"	2008	4	10	0	1	1		106	335	487	833	455	345	822	491	327	830
"MI"	2008	4	12	0	1	1		106	506	534	1055	671	324	1034	734	292	1047
"MI"	2008	4	14	0	1	1		106	57	70	129	69	54	127	78	45	126
"MI"	2008	4	16	0	1	1		106	403	590	1021	589	372	1000	653	339	1016
"MI"	2008	4	52	0	1	1		106	390	234	630	474	116	611	503	108	620
"MI"	2008	4	52	0	2	1		106	467	238	719	543	119	705	566	127	716
"MI"	2008	4	52	0	3	1		106	506	410	928	650	252	922	670	238	921
"MI"	2008	4	52	0	4	1		106	472	423	912	605	252	884	649	234	901
"MI"	2008	4	52	0	5	1		106	491	427	933	637	263	921	651	263	929
"MI"	2008	4	52	0	6	1		106	527	411	945	647	254	923	679	244	936
"MI"	2008	4	9999	0	9999				0	0	0	0	0	0	0	0	0
"MI"	2008	5	2	0	1	1		105	378	603	1008	410	541	984	511	454	990
"MI"	2008	5	4	0	1	1		105	576	738	1353	653	608	1320	782	511	1328
"MI"	2008	5	6	0	1	1		105	116	126	251	140	95	245	156	79	249
"MI"	2008	5	8	0	1	1		105	254	367	633	272	321	618	318	279	617
"MI"	2008	5	10	0	1	1		105	235	248	495	254	202	485	319	153	492
"MI"	2008	5	12	0	1	1		105	844	973	1832	879	865	1786	986	766	1801
"MI"	2008	5	14	0	1	1		105	525	743	1290	588	632	1260	706	527	1265
"MI"	2008	5	16	0	1	1		105	322	356	686	343	309	673	398	263	674
"MI"	2008	5	18	0	1	1		105	261	209	479	263	169	473	308	144	473
"MI"	2008	5	20	0	1	1		105	422	581	1021	482	482	1002	551	437	1008
"MI"	2008	5	22	0	1	1		105	841	817	1690	945	621	1638	1088	504	1654
"MI"	2008	5	24	0	1	1		105	648	867	1551	679	804	1521	756	731	1522
"MI"	2008	5	26	0	1	1		105	205	239	456	237	186	443	284	153	450
"MI"	2008	5	28	0	1	1		105	374	547	931	389	498	915	440	462	916
"MI"	2008	5	30	0	1	1		105	78	92	176	90	70	173	118	47	170
"MI"	2008	6	2	0	1	1		97	114	129	248	138	80	228	139	84	229
"MI"	2008	6	4	0	1	1		97	266	167	442	290	112	419	311	85	411
"MI"	2008	6	6	0	1	1		97	213	204	421	236	140	398	252	120	397
"MI"	2008	6	6	0	2	1		97	62	87	152	86	64	153	88	51	147
"MI"	2008	6	8	0	1	1		97	236	166	406	270	111	394	260	112	389
"MI"	2008	6	8	0	2	1		97	39	28	69	35	23	63	35	24	64
"MI"	2008	6	10	0	1	1		97	296	232	540	345	163	530	362	142	524
"MI"	2008	6	10	0	2	1		97	197	136	342	231	87	327	231	75	319
"MI"	2008	6	10	0	3	1		97	113	88	205	128	58	192	136	52	196
"MI"	2008	6	12	0	1	1		97	240	188	437	281	123	418	283	115	414
"MI"	2008	6	14	0	1	1		97	41	31	75	52	19	75	57	15	75
"MI"	2008	6	14	0	2	1		97	136	111	256	148	82	246	161	69	241
"MI"	2008	6	14	0	3	1		97	14	11	25	16	7	25	17	6	26
"MI"	2008	6	16	0	1	1		97	299	349	671	365	250	656	387	225	649
"MI"	2008	6	18	0	1	1		97	342	363	722	408	274	707	407	272	698
"MI"	2008	6	20	0	1	1		97	528	409	962	632	264	936	659	242	925
"MI"	2008	6	22	0	1	1		97	4	4	8	5	3	8	4	2	7
"MI"	2008	6	22	0	2	1		97	86	114	202	112	78	200	101	84	196
"MI"	2008	6	22	0	3	1		97	22	19	41	25	13	40	25	13	39
"MI"	2008	6	22	0	4	1		97	27	8	36	33	3	36	30	4	34
"MI"	2008	6	24	0	1	1		97	249	327	586	293	260	574	331	230	569
"MI"	2008	6	24	0	1	1		97	10	23	34	9	23	33	16	16	33
"MI"	2008	6	52	0	1	1		97	227	258	488	266	192	471	289	163	460
"MI"	2008	6	54	1	1	1		97	88	43	134	90	30	129	95	26	129
"MI"	2008	6	56	1	1	1		97	99	77	176	110	55	171	105	51	161
"MI"	2008	6	56	2	1	1		97	108	136	250	146	81	235	136	90	239
"MI"	2008	6	56	3	1	1		97	99	99	200	117	72	194	124	66	193
"MI"	2008	7	2	0	1	1		110	113	184	303	154	132	296	165	136	304
"MI"	2008	7	4	0	1	1		110	330	259	599	422	145	583	441	145	595
"MI"	2008	7	4	0	2	1		110	90	152	246	126	104	240	126	107	241
"MI"	2008	7	4	0	3	1		110	70	98	173	95	68	173	102	65	174
"MI"	2008	7	4	0	4	1		110	125	108	236	164	67	233	167	70	238
"MI"	2008	7	6	0	1	1		110	123	141	271	170	88	267	163	102	273
"MI"	2008	7	8	0	1	1		110	786	830	1650	1072	506	1620	1083	542	1642
"MI"	2008	7	10	0	1	1		110	88	74	166	106	48	163	105	57	163
"MI"	2008	8	2	0	1	3		87	395	608	1035	446	509	1008	349	557	964
"MI"	2008	8	2	0	1	3		87	6	15	21	6	15	21	3	17	21
"MI"	2008	8	4	0	1	3		87	473	497	998	484	434	966	354	549	943
"MI"	2008	8	4	0	1	3		87	3	4	7	1	5	7	2	5	7
"MI"	2008	8	6	0	1	3		87	334	490	846	320	465	823	258	504	792
"MI"	2008	8	6	0	2	3		87	473	476	972	492	424	951	386	509	935
"MI"	2008	8	8	0	1	3		87	568	715	1322	603	628	1287	359	832	1257
"MI"	2008	8	8	0	1	3		87	4	15	21	4	14	20	2	14	19
"MI"	2008	8	10	0	1	3		87	116	127	245	119	112	238	89	137	230
"MI"	2008	8	10	0	1	3		87	297	249	563	312	212	551	217	299	543
"MI"	2008	8	10	0	1	3		87	288	315	619	307	264	606	228	337	595
"MI"	2008	8	12	0	1	3		87	733	779	1547	782	668	1516	521	911	1490
"MI"	2008	8	14	0	1	3		87	775	787	1607	819	669	1564	626	806	1518
"MI"	2008	8	16	0	1	3		87	63	166	232	60	156	224	27	185	222
"MI"	2008	8	16	0	1	3		87	86	102	197	89	81	186	56	112	182
"MI"	2008	8	16	0	2	3		87	489	703	1222	521	631	1196	338	790	1175
"MI"	2008	8	18	0	1	3		87	714	907	1650	786	768	1619	612	891	1575
"MI"	2008	8	20	0	1	3		87	30	52	84	35	43	80	24	52	77
"MI"	2008	8	20	0	1	3		87	14	14	28	17	10	28	16	12	29
"MI"	2008	8	20	0	1	3		87	285	385	676	287	331	642	199	402	628
"MI"	2008	8	22	0	1	3		87	665	705	1401	692	609	1364	543	720	1337
"MI"	2008	8	22	0	1	3		87	101	133	244	106	120	240	86	136	236
"MI"	2008	8	24	0	1	3		87	465	472	963	476	426	937	356	515	912
"MI"	2008	8	24	0	2	3		87	429	464	910	457	399	891	320	496	853
"MI"	2008	8	26	0	1	3		87	997	1133	2175	1078	961	2114	680	1330	2089
"MI"	2008	8	28	0	1	3		87	452	1016	1498	488	927	1468	285	1120	1455
"MI"	2008	8	28	0	2	3		87	365	720	1106	412	652	1095	265	781	1087
"MI"	2008	8	28	0	3	3		87	633	730	1393	656	653	1368	459	823	1356
"MI"	2008	8	30	0	1	3		87	365	555	938	395	495	920	291	578	897
"MI"	2008	8	30	0	1	3		87	104	92	201	113	78	197	75	112	193
"MI"	2008	8	32	0	1	3		87	513	850	1390	539	775	1364	394	878	1335
"MI"	2008	8	32	0	2	3		87	426	679	1118	451	624	1100	318	725	1080
"MI"	2008	8	52	1	1	3		87	584	533	1142	620	443	1107	378	669	1097
"MI"	2008	8	52	2	2	3		87	462	366	842	488	308	828	339	444	810
"MI"	2008	8	52	3	3	3		87	345	246	610	358	210	592	230	333	590
"MI"	2008	8	52	4	4	3		87	397	331	742	392	290	720	268	424	716
"MI"	2008	9	2	0	1	5		96	571	491	1084	676	332	1049	626	392	1039
"MI"	2008	9	2	0	2	5		96	539	408	963	606	281	923	553	322	903
"MI"	2008	9	2	0	3	5		96	670	491	1182	759	340	1140	730	371	1129
"MI"	2008	9	2	0	4	5		96	553	416	982	677	232	936	617	277	921
"MI"	2008	9	2	0	5	5		96	807	609	1446	926	409	1395	897	443	1374
"MI"	2008	9	2	0	6	5		96	568	485	1071	665	347	1037	650	347	1016
"MI"	2008	9	2	0	7	5		96	230	167	402	257	120	390	241	139	390
