state	year	county	precinct	cd	g2002_GOV_dv	g2002_GOV_rv	g2002_GOV_tv	g2002_USS_dv	g2002_USS_rv	g2002_USS_tv	g2002_USH_dv	g2002_USH_rv	g2002_USH_tv	g2002_BALL_rtv	g2002_BALL_atv	g2002_BALL_tv
"NH"	2002	"Rockingham"	"Seabrook"	1	733	1510	2333	881	1353	2358	895	1356	2347	2267	181	2448
"NH"	2002	"Rockingham"	"South Hampton"	1	146	228	386	169	201	388	151	211	381	387	15	402
"NH"	2002	"Rockingham"	"Stratham"	1	1056	1871	3008	1323	1649	3038	1135	1795	3009	2858	198	3056
"NH"	2002	"Rockingham"	"Windham"	2	1160	3158	4429	1610	2767	4471	1389	2927	4420	4239	248	4487
"NH"	2002	"Strafford"	"Barrington"	1	1084	1623	2845	1422	1351	2871	613	834	1510	2793	94	2887
"NH"	2002	"Strafford"	"Dover Ward 1"	1	711	636	1414	841	552	1438	761	599	1423	1371	91	1462
"NH"	2002	"Strafford"	"Dover Ward 2"	1	734	652	1465	905	532	1483	810	587	1462	1400	98	1498
"NH"	2002	"Strafford"	"Dover Ward 3"	1	810	1181	2045	1001	1023	2062	881	1093	2042	1921	204	2125
"NH"	2002	"Strafford"	"Dover Ward 4"	1	788	1002	1860	990	840	1881	883	914	1861	1785	112	1897
"NH"	2002	"Strafford"	"Dover Ward 5"	1	549	722	1306	697	593	1325	629	645	1311	1333	81	1414
"NH"	2002	"Strafford"	"Dover Ward 6"	1	639	974	1679	834	822	1692	735	886	1676	1621	85	1706
"NH"	2002	"Strafford"	"Durham"	1	2277	1384	3786	2560	1227	3848	2364	1341	3786	3607	273	3880
"NH"	2002	"Strafford"	"Farmington"	1	502	1111	1708	763	862	1723	628	979	1716	1670	88	1758
"NH"	2002	"Strafford"	"Lee"	1	924	793	1783	1043	714	1794	942	783	1782	1698	111	1809
"NH"	2002	"Strafford"	"Madbury"	1	371	357	755	424	334	773	354	380	758	725	51	776
"NH"	2002	"Strafford"	"Middleton"	1	145	288	450	210	215	452	178	240	445	437	16	453
"NH"	2002	"Strafford"	"Milton"	1	437	812	1296	617	641	1313	493	733	1294	1254	68	1322
"NH"	2002	"Strafford"	"New Durham"	1	268	604	909	362	508	914	285	589	915	851	69	920
"NH"	2002	"Strafford"	"Rochester Ward 1"	1	517	1055	1624	783	802	1642	1125	1677	2877	1650	81	1731
"NH"	2002	"Strafford"	"Rochester Ward 2"	1	505	1077	1627	746	851	1643	664	888	1627	1547	118	1665
"NH"	2002	"Strafford"	"Rochester Ward 3"	1	482	1015	1550	717	801	1564	607	955	1619	1466	101	1567
"NH"	2002	"Strafford"	"Rochester Ward 4"	1	458	943	1439	741	681	1459	691	891	1640	1396	84	1480
"NH"	2002	"Strafford"	"Rochester Ward 5"	1	467	958	1469	723	713	1484	597	788	1439	1504	88	1592
"NH"	2002	"Strafford"	"Rochester Ward 6"	1	437	798	1281	620	622	1293	592	817	1465	1310	79	1389
"NH"	2002	"Strafford"	"Rollinsford"	1	406	557	998	520	456	1009	544	696	1285	1003	51	1054
"NH"	2002	"Strafford"	"Somersworth Ward 1"	1	307	499	839	433	402	857	373	437	844	858	39	897
"NH"	2002	"Strafford"	"Somersworth Ward 2"	1	244	355	630	329	288	637	297	304	625	604	38	642
"NH"	2002	"Strafford"	"Somersworth Ward 3"	1	277	407	700	370	320	708	321	356	697	685	29	714
"NH"	2002	"Strafford"	"Somersworth Ward 4"	1	313	428	768	436	325	782	368	381	778	749	44	793
"NH"	2002	"Strafford"	"Somersworth Ward 5"	1	216	269	502	294	195	504	271	211	500	505	7	512
"NH"	2002	"Strafford"	"Strafford__"	1	593	852	1495	728	748	1525	611	841	1509	1475	53	1528
"NH"	2002	"Sullivan"	"Acworth"	2	205	163	385	196	173	385	164	204	383	373	14	387
"NH"	2002	"Sullivan"	"Charlestown"	2	690	681	1410	717	643	1429	618	740	1392	1392	45	1437
"NH"	2002	"Sullivan"	"Claremont Ward 1"	2	549	563	1132	569	529	1145	558	553	1132	1010	75	1085
"NH"	2002	"Sullivan"	"Claremont Ward 2"	2	738	776	1549	772	754	1573	716	808	1547	1514	82	1596
"NH"	2002	"Sullivan"	"Claremont Ward 3"	2	556	639	1235	608	585	1245	583	632	1239	1203	61	1264
"NH"	2002	"Sullivan"	"Cornish"	2	373	345	734	395	338	751	356	372	744	748	54	802
"NH"	2002	"Sullivan"	"Croydon"	2	78	183	272	91	181	278	83	188	275	262	14	276
"NH"	2002	"Sullivan"	"Goshen"	2	121	155	292	141	142	296	124	171	300	279	24	303
"NH"	2002	"Sullivan"	"Grantham"	2	565	692	1283	578	691	1286	501	770	1288	1184	124	1308
"NH"	2002	"Sullivan"	"Langdon"	2	124	127	256	127	116	253	103	146	255	257	6	263
"NH"	2002	"Sullivan"	"Lempster"	2	124	188	323	147	165	325	116	202	326	315	17	332
"NH"	2002	"Sullivan"	"Newport"	2	683	1095	1822	824	954	1837	684	1101	1828	1750	118	1868
"NH"	2002	"Sullivan"	"Plainfield"	2	546	414	991	577	391	992	515	449	987	940	53	993
"NH"	2002	"Sullivan"	"Springfield"	2	173	269	460	187	261	460	166	277	457	429	35	464
"NH"	2002	"Sullivan"	"Sunapee"	2	555	956	1559	543	973	1566	477	1052	1561	1396	180	1576
"NH"	2002	"Sullivan"	"Unity"	2	168	239	428	190	224	431	178	236	427	425	9	434
"NH"	2002	"Sullivan"	"Washington"	2	126	252	396	165	217	399	138	250	399	370	31	401
