state	year	county	precinct	g2004_USP_rv	g2004_USP_dv	g2004_USP_tv	g2004_USS_rv	g2004_USS_dv	g2004_USS_tv
"SC"	2004	"RICHLAND"	"WARD 32"	10	284	294	7	283	294
"SC"	2004	"RICHLAND"	"WARD 33"	108	472	588	88	482	583
"SC"	2004	"RICHLAND"	"WARD 34"	330	343	683	286	377	678
"SC"	2004	"RICHLAND"	"WARD 4"	255	532	796	202	556	786
"SC"	2004	"RICHLAND"	"WARD 5"	179	270	462	150	282	457
"SC"	2004	"RICHLAND"	"WARD 6"	357	385	752	329	401	749
"SC"	2004	"RICHLAND"	"WARD 7"	28	585	625	25	564	615
"SC"	2004	"RICHLAND"	"WARD 8"	22	1078	1108	40	989	1076
"SC"	2004	"RICHLAND"	"WARD 9"	15	599	622	22	569	617
"SC"	2004	"RICHLAND"	"WESTMINSTER"	365	697	1072	320	723	1069
"SC"	2004	"RICHLAND"	"WHITEWELL"	204	657	879	178	677	878
"SC"	2004	"RICHLAND"	"WILDEWOOD"	1051	513	1576	918	630	1567
"SC"	2004	"RICHLAND"	"WOODFIELD"	521	943	1485	454	968	1465
"SC"	2004	"RICHLAND"	"WOODLANDS"	1058	414	1479	921	542	1472
"SC"	2004	"SALUDA"	"ABSENTEE TOTAL"	229	213	447	208	239	449
"SC"	2004	"SALUDA"	"CENTENNIAL"	233	75	309	207	100	313
"SC"	2004	"SALUDA"	"CLYDE"	138	41	180	135	45	186
"SC"	2004	"SALUDA"	"County Totals"	4537	3001	7578	4177	3288	7601
"SC"	2004	"SALUDA"	"DELMAR"	184	46	231	170	60	232
"SC"	2004	"SALUDA"	"FRUIT HILL"	148	310	461	141	271	417
"SC"	2004	"SALUDA"	"HIGGINS-ZOAR"	172	202	377	159	218	386
"SC"	2004	"SALUDA"	"HOLLY"	438	106	548	396	141	547
"SC"	2004	"SALUDA"	"HOLLYWOOD"	558	148	709	523	177	714
"SC"	2004	"SALUDA"	"HOLSTONS"	294	191	486	266	211	490
"SC"	2004	"SALUDA"	"MAYSON"	161	81	243	159	87	249
"SC"	2004	"SALUDA"	"MT. WILLING"	88	48	137	83	55	141
"SC"	2004	"SALUDA"	"PLEASANT CROSS"	75	84	159	78	81	161
"SC"	2004	"SALUDA"	"PLEASANT GROVE"	283	90	376	261	115	385
"SC"	2004	"SALUDA"	"PROVISIONAL BALLOT"	22	28	50			0
"SC"	2004	"SALUDA"	"RICHLAND"	205	81	286	196	83	289
"SC"	2004	"SALUDA"	"RIDGE SPRING - MONETTA"	229	360	592	224	378	611
"SC"	2004	"SALUDA"	"SALUDA NO. 1"	211	552	767	182	587	782
"SC"	2004	"SALUDA"	"SALUDA NO. 2"	480	187	670	423	255	683
"SC"	2004	"SALUDA"	"SARDIS"	279	53	335	254	77	343
"SC"	2004	"SALUDA"	"WARD"	110	105	215	112	108	223
"SC"	2004	"SPARTANBURG"	"ABSENTEE TOTAL"	5754	3394	9219	473	231	719
"SC"	2004	"SPARTANBURG"	"ARCADIA-JOHNSON CITY"	209	152	372	392	253	671
"SC"	2004	"SPARTANBURG"	"ARKWRIGHT"	228	221	452	440	327	782
"SC"	2004	"SPARTANBURG"	"ARLINGTON"	1251	358	1622	175	167	361
"SC"	2004	"SPARTANBURG"	"ARROWOOD"	196	68	271	1193	394	1613
"SC"	2004	"SPARTANBURG"	"BALLENGER"	1049	290	1359	172	80	264
"SC"	2004	"SPARTANBURG"	"BEAUMONT METHODIST CHURCH"	180	141	323	429	403	860
"SC"	2004	"SPARTANBURG"	"BEN AVON"	1303	410	1725	980	322	1347
"SC"	2004	"SPARTANBURG"	"BISHOP"	1020	369	1397	2142	891	3104
"SC"	2004	"SPARTANBURG"	"BOBO"	276	521	802	202	222	439
"SC"	2004	"SPARTANBURG"	"BOILING SPRINGS A"	2343	762	3143	1140	520	1707
"SC"	2004	"SPARTANBURG"	"BOILING SPRINGS B"	1295	267	1587	396	316	740
"SC"	2004	"SPARTANBURG"	"BOWEN"	1349	292	1657	920	437	1389
"SC"	2004	"SPARTANBURG"	"BRKLYN CS FINGV"	769	374	1166	1221	385	1641
"SC"	2004	"SPARTANBURG"	"BUNTON CHURCH"	17	494	517	94	668	808
"SC"	2004	"SPARTANBURG"	"C C WOODSON CENTER"	22	698	725	68	558	673
"SC"	2004	"SPARTANBURG"	"CAMELOT"	476	395	878	543	518	1089
"SC"	2004	"SPARTANBURG"	"CAMPOBELLO"	870	302	1186	712	390	1145
"SC"	2004	"SPARTANBURG"	"CAMPTON A"	1693	947	2679	808	339	1177
"SC"	2004	"SPARTANBURG"	"CAMPTON B"	648	337	1003	1176	345	1563
"SC"	2004	"SPARTANBURG"	"CANAAN"	369	151	525	1532	1008	2627
"SC"	2004	"SPARTANBURG"	"CANNONS CAMPGRD"	435	213	653	330	151	508
"SC"	2004	"SPARTANBURG"	"CAVINS-HOBBYSV"	375	96	485	389	229	632
"SC"	2004	"SPARTANBURG"	"CEDAR SPRINGS"	662	427	1111	328	127	474
"SC"	2004	"SPARTANBURG"	"CENTRAL FIRE STATION"	84	534	619	645	375	1047
"SC"	2004	"SPARTANBURG"	"CHEROKEE SPRGS A"	598	191	803	579	478	1090
"SC"	2004	"SPARTANBURG"	"CHEROKEE SPRINGS B"	1044	272	1325	581	368	981
"SC"	2004	"SPARTANBURG"	"CHESNEE"	670	407	1091	532	227	791
"SC"	2004	"SPARTANBURG"	"CLEVELAND ELEMENTARY SCH"	120	714	845	151	149	314
"SC"	2004	"SPARTANBURG"	"CLIFTON"	326	134	467	584	450	1073
"SC"	2004	"SPARTANBURG"	"CONVERSE"	372	195	582	291	158	463
"SC"	2004	"SPARTANBURG"	"CORNERSTONE"	369	543	925	844	560	1442
"SC"	2004	"SPARTANBURG"	"COWPENS A"	816	305	1135	318	222	563
"SC"	2004	"SPARTANBURG"	"COWPENS B"	340	278	627	978	301	1314
"SC"	2004	"SPARTANBURG"	"CRESCENT"	457	147	616	739	339	1111
"SC"	2004	"SPARTANBURG"	"CROFT"	341	279	630	1178	603	1837
"SC"	2004	"SPARTANBURG"	"CROSS ANCHOR"	233	163	400	428	161	609
"SC"	2004	"SPARTANBURG"	"CUNNINGHAM"	826	268	1107	213	173	403
"SC"	2004	"SPARTANBURG"	"CURBSIDE/EMERGENCY"	77	139	217	71	139	232
"SC"	2004	"SPARTANBURG"	"County Totals"	62004	33633	96758	56006	36550	95393
"SC"	2004	"SPARTANBURG"	"DEYOUNG"	415	106	529	762	305	1091
"SC"	2004	"SPARTANBURG"	"DRAYTON"	313	231	548	402	115	528
"SC"	2004	"SPARTANBURG"	"DUNCAN A"	401	307	715	269	254	539
"SC"	2004	"SPARTANBURG"	"DUNCAN B"	577	224	810	305	289	619
"SC"	2004	"SPARTANBURG"	"EAST GREER"	89	487	581	362	318	698
"SC"	2004	"SPARTANBURG"	"ENOREE"	441	220	675	82	486	579
"SC"	2004	"SPARTANBURG"	"FAIL SAFE"	202	304	511	187	293	506
"SC"	2004	"SPARTANBURG"	"FAIL SAFE CHALLENGE"	112	88	200	109	88	207
"SC"	2004	"SPARTANBURG"	"FAIRFOREST"	891	403	1302	368	262	661
"SC"	2004	"SPARTANBURG"	"FAIRMONT"	733	524	1271	800	453	1289
"SC"	2004	"SPARTANBURG"	"GLENDALE"	568	188	771	624	595	1258
"SC"	2004	"SPARTANBURG"	"GRAMLING"	687	150	853	514	217	755
"SC"	2004	"SPARTANBURG"	"HAYNE SHOP"	368	253	628	618	193	833
"SC"	2004	"SPARTANBURG"	"HOLLY SPRINGS"	883	197	1091	306	288	617
"SC"	2004	"SPARTANBURG"	"INMAN A"	568	398	979	808	236	1078
"SC"	2004	"SPARTANBURG"	"INMAN B"	698	294	1007	488	285	797
"SC"	2004	"SPARTANBURG"	"LANDRUM"	1108	388	1521	513	428	968
"SC"	2004	"SPARTANBURG"	"LYMAN"	1078	363	1463	996	454	1498
"SC"	2004	"SPARTANBURG"	"MAYO"	751	166	926	978	428	1437
"SC"	2004	"SPARTANBURG"	"MOORE-SWITZER"	698	167	883	389	138	544
"SC"	2004	"SPARTANBURG"	"MOTLOW"	426	117	549	660	212	897
"SC"	2004	"SPARTANBURG"	"MT.MORIAH"	75	608	699	634	598	1281
"SC"	2004	"SPARTANBURG"	"NEW PROSPECT"	1089	349	1455	642	208	871
"SC"	2004	"SPARTANBURG"	"PACOLET"	552	299	860	985	413	1437
"SC"	2004	"SPARTANBURG"	"PACOLET MILLS"	292	193	496	492	332	848
"SC"	2004	"SPARTANBURG"	"PARK HILLS ELEMENTARY SCH"	49	540	592	335	547	905
"SC"	2004	"SPARTANBURG"	"PAULINE-GLENN S"	400	156	558	259	205	484
"SC"	2004	"SPARTANBURG"	"PELHAM"	485	112	600	359	181	557
"SC"	2004	"SPARTANBURG"	"PINE ST ELEMENTARY SCHOOL"	609	188	808	19	678	718
"SC"	2004	"SPARTANBURG"	"POPLAR SPRINGS A"	898	224	1128	452	130	598
"SC"	2004	"SPARTANBURG"	"POPLAR SPRINGS B"	752	239	999	626	344	998
"SC"	2004	"SPARTANBURG"	"POWELL-SAXON"	221	362	589	817	266	1113
"SC"	2004	"SPARTANBURG"	"PROVISIONAL BALLOT"			0	5294	3665	9158
"SC"	2004	"SPARTANBURG"	"REIDVILLE A"	1018	297	1327	196	357	579
"SC"	2004	"SPARTANBURG"	"REIDVILLE B"	1069	393	1471	685	286	990
"SC"	2004	"SPARTANBURG"	"ROEBUCK A"	725	566	1304	927	355	1316
"SC"	2004	"SPARTANBURG"	"ROEBUCK B"	339	326	670	996	440	1460
"SC"	2004	"SPARTANBURG"	"SILVERHILL METHODIST"	170	201	377	59	485	567
"SC"	2004	"SPARTANBURG"	"SPARTANBURG HIGH A"	924	518	1467	87	503	610
"SC"	2004	"SPARTANBURG"	"SPARTANBURG HIGH B"	358	274	643	313	327	660
"SC"	2004	"SPARTANBURG"	"STARTEX"	236	272	512	20	465	505
"SC"	2004	"SPARTANBURG"	"TRINITY METHODIST CHURCH"	720	322	1056	537	249	800
"SC"	2004	"SPARTANBURG"	"UNA"	31	151	183	207	273	500
"SC"	2004	"SPARTANBURG"	"VICTOR MILL"	583	320	910	28	144	181
"SC"	2004	"SPARTANBURG"	"WALNUT GROVE"	1106	239	1355	548	333	900
"SC"	2004	"SPARTANBURG"	"WELLFORD"	535	555	1110	991	301	1333
"SC"	2004	"SPARTANBURG"	"WEST VIEW A"	1337	492	1845	481	552	1079
"SC"	2004	"SPARTANBURG"	"WEST VIEW B"	1454	562	2032	324	291	629
"SC"	2004	"SPARTANBURG"	"WHITE STONE"	246	224	471	246	491	785
"SC"	2004	"SPARTANBURG"	"WHITNEY A 1"	712	402	1128	301	298	617
"SC"	2004	"SPARTANBURG"	"WHITNEY A 2"	437	301	749	209	232	459
"SC"	2004	"SPARTANBURG"	"WHITNEY STA. B-HILL TOP"	317	407	735	618	457	1110
"SC"	2004	"SPARTANBURG"	"WOODLAND HEIGHTS REC CENT"	596	502	1105	152	197	369
"SC"	2004	"SPARTANBURG"	"WOODRUFF NO. 1"	504	371	889	284	402	717
"SC"	2004	"SPARTANBURG"	"WOODRUFF NO. 2"			0			0
"SC"	2004	"SPARTANBURG"	"WOODRUFF NO. 3"	231	137	375	446	404	878
"SC"	2004	"SPARTANBURG"	"ZION HILL A"	491	290	792	205	146	368
"SC"	2004	"SPARTANBURG"	"ZION HILL B"	522	197	725	1305	674	2011
"SC"	2004	"SUMTER"	"ABSENTEE TOTAL"	2354	2654	5044	2131	2881	5072
"SC"	2004	"SUMTER"	"BATES"	4	355	359			0
"SC"	2004	"SUMTER"	"BIRNIE"	31	433	470	3	361	367
"SC"	2004	"SUMTER"	"CROSSWELL"	357	87	448	36	456	498
"SC"	2004	"SUMTER"	"County Totals"	696	320	1024	324	126	456
"SC"	2004	"SUMTER"	"DELAINE"	156	143	303	629	392	1035
"SC"	2004	"SUMTER"	"FAIL SAFE"	276	434	714	139	163	307
"SC"	2004	"SUMTER"	"FAIL SAFE CHALLENGE"	18074	18695	37003	276	458	747
"SC"	2004	"SUMTER"	"FURMAN"	523	365	893			0
"SC"	2004	"SUMTER"	"HAMPTON PARK"	135	473	613	16744	20643	37963
"SC"	2004	"SUMTER"	"HORATIO"	505	474	988	483	411	916
"SC"	2004	"SUMTER"	"LEMIRA"	55	99	154	125	492	628
"SC"	2004	"SUMTER"	"LORING"	21	30	51	487	515	1016
"SC"	2004	"SUMTER"	"MAGNOLIA-HARMONY"	133	337	471	27	130	159
"SC"	2004	"SUMTER"	"MANCHESTER FOREST"	387	117	504	17	31	50
"SC"	2004	"SUMTER"	"MAYESVILLE"	685	262	953	124	355	491
"SC"	2004	"SUMTER"	"MAYEWOOD"	324	120	445	361	151	526
"SC"	2004	"SUMTER"	"MCCRAY'S MILL #1"	202	277	483	633	333	978
"SC"	2004	"SUMTER"	"MCCRAYS MILL #2"	58	253	312	297	151	456
"SC"	2004	"SUMTER"	"MILLWOOD"	188	552	745	174	310	490
"SC"	2004	"SUMTER"	"MORRIS COLLEGE"	92	267	363	60	255	318
"SC"	2004	"SUMTER"	"MULBERRY"	16	76	93	238	581	837
"SC"	2004	"SUMTER"	"OSWEGO"	343	347	695	79	280	370
"SC"	2004	"SUMTER"	"PINEWOOD"	73	275	355	15	80	97
"SC"	2004	"SUMTER"	"POCOTALIGO #1"	453	295	748	314	370	704
"SC"	2004	"SUMTER"	"POCOTALIGO #2"	354	165	522	74	292	372
"SC"	2004	"SUMTER"	"PRIVATEER"	476	257	736	435	327	768
"SC"	2004	"SUMTER"	"PROVISIONAL BALLOT"	239	155	394	316	214	539
"SC"	2004	"SUMTER"	"REMBERT"	71	575	650	431	301	743
"SC"	2004	"SUMTER"	"SALEM"	146	255	404	214	179	397
"SC"	2004	"SUMTER"	"SALTERSTOWN"	408	266	676	57	586	655
"SC"	2004	"SUMTER"	"SAVAGE-GLOVER"	325	170	501	124	294	424
"SC"	2004	"SUMTER"	"SECOND MILL"	429	240	672	387	312	710
"SC"	2004	"SUMTER"	"SOUTH LIBERTY"	359	335	700	295	203	507
"SC"	2004	"SUMTER"	"SOUTH RED BAY"	414	467	891	391	288	691
"SC"	2004	"SUMTER"	"SPECTRUM"	574	318	900	332	366	708
"SC"	2004	"SUMTER"	"ST. JOHN"	318	216	543	366	515	904
"SC"	2004	"SUMTER"	"ST. PAUL"	710	223	938	559	356	932
"SC"	2004	"SUMTER"	"STONE HILL"	34	34	68	290	267	564
"SC"	2004	"SUMTER"	"SUMTER HIGH #1"	148	826	980	683	272	969
"SC"	2004	"SUMTER"	"SUMTER HIGH #2"	48	178	227	13	44	57
"SC"	2004	"SUMTER"	"SUNSET"	326	224	555	135	864	1018
"SC"	2004	"SUMTER"	"SWAN LAKE"	11	337	348	42	191	236
"SC"	2004	"SUMTER"	"TURKEY CREEK"	817	153	977	302	252	563
"SC"	2004	"SUMTER"	"WILDER"	161	74	238	4	347	351
"SC"	2004	"UNION"	"ABSENTEE TOTAL"			67	764	221	998
"SC"	2004	"UNION"	"ADAMSBURG"			47	137	88	236
"SC"	2004	"UNION"	"BLACK ROCK"			156			0
"SC"	2004	"UNION"	"BONHAM"			237			0
"SC"	2004	"UNION"	"BUFFALO BOX 1"		1	196			0
"SC"	2004	"UNION"	"CARLISLE"			5			0
"SC"	2004	"UNION"	"CROSS KEYS"	1		232	67	223	296
"SC"	2004	"UNION"	"County Totals"	1		463	37	496	538
"SC"	2004	"UNION"	"EAST BUFFALO"		1	413			0
"SC"	2004	"UNION"	"EXCELSIOR"	1	3	474	139	357	504
"SC"	2004	"UNION"	"FAIL SAFE"		1	147			0
"SC"	2004	"UNION"	"JONESVILLE BOX 1"			315	246	431	687
"SC"	2004	"UNION"	"JONESVILLE BOX 2"			57	162	348	519
"SC"	2004	"UNION"	"KELTON"	1		908			0
"SC"	2004	"UNION"	"LOCKHART"	347	112	463	5	337	343
"SC"	2004	"UNION"	"MONARCH BOX 1"	487	150	641			0
"SC"	2004	"UNION"	"MONARCH BOX 2"	154	278	435			0
"SC"	2004	"UNION"	"PUTMAN"	319	91	414			0
"SC"	2004	"UNION"	"SANTUCK"	181	298	481			0
"SC"	2004	"UNION"	"WARD 1 BOX 1"	266	185	456			0
"SC"	2004	"UNION"	"WARD 1 BOX 2"	267	381	652	209	142	357
"SC"	2004	"UNION"	"WARD 2"	222	371	595	417	327	752
"SC"	2004	"UNION"	"WARD 3"	179	208	395	400	276	683
"SC"	2004	"UNION"	"WARD 4 BOX 1"	326	142	469	416	241	667
"SC"	2004	"UNION"	"WARD 4 BOX 2"	75	132	211	65	132	205
"SC"	2004	"UNION"	"WEST SPRINGS"	152	62	217	143	63	216
"SC"	2004	"WILLIAMSBURG"	"ABSENTEE TOTAL"	312	616	934	277	635	924
"SC"	2004	"WILLIAMSBURG"	"BLACK RIVER"			0			0
"SC"	2004	"WILLIAMSBURG"	"BLOOMINGVALE"	113	286	403	119	288	413
"SC"	2004	"WILLIAMSBURG"	"CADES"	114	195	312	109	221	333
"SC"	2004	"WILLIAMSBURG"	"CEDAR SWAMP"	98	91	190	99	94	193
"SC"	2004	"WILLIAMSBURG"	"CENTRAL"	87	164	251	90	168	265
"SC"	2004	"WILLIAMSBURG"	"County Totals"	4795	904	5778	4560	9400	14172
"SC"	2004	"WILLIAMSBURG"	"EARLES"	204	77	283	181	92	277
"SC"	2004	"WILLIAMSBURG"	"EBENEZER"	252	130	383	236	142	382
"SC"	2004	"WILLIAMSBURG"	"FAIL SAFE"	2		2	2		2
"SC"	2004	"WILLIAMSBURG"	"GREELEYVILLE"	131	681	820	132	707	857
"SC"	2004	"WILLIAMSBURG"	"HARMONY"	125	45	171	120	50	172
"SC"	2004	"WILLIAMSBURG"	"HEBRON"	226	53	280	221	64	288
"SC"	2004	"WILLIAMSBURG"	"HEMINGWAY"	356	456	824	352	483	848
"SC"	2004	"WILLIAMSBURG"	"HENRY-POPLAR HL"	168	133	305	162	137	308
"SC"	2004	"WILLIAMSBURG"	"INDIANTOWN"	165	656	824	167	661	837
"SC"	2004	"WILLIAMSBURG"	"KINGSTREE NO. 1"	974	648	1628	873	738	1636
"SC"	2004	"WILLIAMSBURG"	"KINGSTREE NO. 2"	13	401	417	24	401	435
"SC"	2004	"WILLIAMSBURG"	"KINGSTREE NO. 3"	245	1543	1798	248	1544	1829
"SC"	2004	"WILLIAMSBURG"	"LANE"	59	512	574	54	507	568
"SC"	2004	"WILLIAMSBURG"	"LENUDS"	42	10	52	43	9	52
"SC"	2004	"WILLIAMSBURG"	"MIDWAY"	79	150	230	79	154	234
"SC"	2004	"WILLIAMSBURG"	"MILLWOOD"	81	161	246	72	173	250
"SC"	2004	"WILLIAMSBURG"	"MORRISVILLE"	7	155	163	7	156	163
"SC"	2004	"WILLIAMSBURG"	"MOUNT VERNON"	69	116	185	70	115	186
"SC"	2004	"WILLIAMSBURG"	"MUDDY CREEK"	31	23	54	36	19	55
"SC"	2004	"WILLIAMSBURG"	"NESMITH"	44	359	403	41	363	408
"SC"	2004	"WILLIAMSBURG"	"OAK RIDGE"	44	4	48	39	11	51
"SC"	2004	"WILLIAMSBURG"	"PERGAMOS"	77	60	137	69	63	137
"SC"	2004	"WILLIAMSBURG"	"PINEY FOREST"	230	29	259	212	44	257
"SC"	2004	"WILLIAMSBURG"	"PROVISIONAL BALLOT"	2	5	7	2	5	7
"SC"	2004	"WILLIAMSBURG"	"SALTERS"	91	510	604	88	539	636
"SC"	2004	"WILLIAMSBURG"	"SANDY BAY"	148	71	219	139	76	221
"SC"	2004	"WILLIAMSBURG"	"SINGLETARY"	27	114	141	21	126	147
"SC"	2004	"WILLIAMSBURG"	"SUTTONS"	38	44	82	37	46	85
"SC"	2004	"WILLIAMSBURG"	"TRIO"	59	419	479	59	435	501
"SC"	2004	"WILLIAMSBURG"	"WORKMAN"	26	4	31	22	9	31
"SC"	2004	"YORK"	"ABSENTEE TOTAL"	4651	2611	7326	4193	2850	7152
"SC"	2004	"YORK"	"ALLISON CREEK"	748	261	1013	660	327	994
"SC"	2004	"YORK"	"ANDERSON ROAD"	515	411	938	452	439	918
"SC"	2004	"YORK"	"BETHEL # 1"	932	351	1299	863	358	1249
"SC"	2004	"YORK"	"BETHEL # 2"	950	325	1289	923	340	1279
"SC"	2004	"YORK"	"BETHEL SCHOOL"	880	288	1177	778	339	1144
"SC"	2004	"YORK"	"BOWLING GREEN"	455	161	620	404	175	597
"SC"	2004	"YORK"	"BULLOCKS CREEK"	146	61	209	136	69	210
"SC"	2004	"YORK"	"CANNON MILL"	417	218	645	372	239	628
"SC"	2004	"YORK"	"CATAWBA"	746	320	1072	680	354	1051
"SC"	2004	"YORK"	"CLOVER NO. 1"	848	462	1321	745	498	1274
"SC"	2004	"YORK"	"CLOVER NO. 2"	710	316	1040	611	356	1002
"SC"	2004	"YORK"	"COTTON BELT"	606	247	864	530	289	844
"SC"	2004	"YORK"	"CURBSIDE/EMERGENCY"			0			0
"SC"	2004	"YORK"	"County Totals"	45234	24226	70181	40777	26451	68567
"SC"	2004	"YORK"	"DELPHIA"	515	232	754	462	253	740
"SC"	2004	"YORK"	"DOBY'S BRIDGE"	548	173	729	490	211	716
"SC"	2004	"YORK"	"EBENEZER"	1151	474	1651	1045	571	1636
"SC"	2004	"YORK"	"EBINPORT"	863	403	1273	787	450	1251
"SC"	2004	"YORK"	"EDGEWOOD"	139	792	943	129	774	919
"SC"	2004	"YORK"	"FAIL SAFE"	174	109	284	143	122	275
"SC"	2004	"YORK"	"FAIL SAFE CHALLENGE"			0			0
"SC"	2004	"YORK"	"FEWELL PARK"	442	216	668	380	271	661
"SC"	2004	"YORK"	"FILBERT"	570	203	785	507	225	755
"SC"	2004	"YORK"	"FORT MILL #1"	694	232	932	630	264	913
"SC"	2004	"YORK"	"FORT MILL #2"	723	247	982	658	279	956
"SC"	2004	"YORK"	"FORT MILL #3"	576	277	858	509	311	834
"SC"	2004	"YORK"	"FORT MILL NO. 4"	668	414	1095	590	445	1060
"SC"	2004	"YORK"	"FORT MILL NO. 5"	937	276	1224	872	305	1196
"SC"	2004	"YORK"	"FORT MILL NO. 6"	1900	692	2614	1734	763	2545
"SC"	2004	"YORK"	"HICKORY GROVE"	355	149	512	297	189	499
"SC"	2004	"YORK"	"HIGHLAND PARK"	276	260	541	259	264	531
"SC"	2004	"YORK"	"INDIA HOOK"	372	129	509	307	179	494
"SC"	2004	"YORK"	"LAKESHORE"	613	252	869	564	249	830
"SC"	2004	"YORK"	"LESSLIE NO. 1"	1399	551	1974	1235	644	1922
"SC"	2004	"YORK"	"LESSLIE NO. 2"	1356	471	1844	1223	553	1802
"SC"	2004	"YORK"	"MCCONNELLS"	425	244	684	378	269	670
"SC"	2004	"YORK"	"MT. HOLLY"	768	406	1183	673	479	1171
"SC"	2004	"YORK"	"MUSEUM"	1893	706	2623	1728	813	2579
"SC"	2004	"YORK"	"NEW HOME"	630	278	921	569	297	896
"SC"	2004	"YORK"	"NEWPORT"	1515	552	2094	1377	648	2058
"SC"	2004	"YORK"	"NORTHSIDE"	320	250	579	290	263	567
"SC"	2004	"YORK"	"NORTHWESTERN"	1170	420	1602	1073	487	1574
"SC"	2004	"YORK"	"OAK RIDGE"	745	342	1098	673	389	1084
"SC"	2004	"YORK"	"OAKWOOD"	600	316	925	533	360	909
"SC"	2004	"YORK"	"OGDEN"	475	295	783	419	325	762
"SC"	2004	"YORK"	"ORCHARD PARK"	808	320	1143	738	366	1127
"SC"	2004	"YORK"	"PROVISIONAL BALLOT"	28	18	47	25	20	47
"SC"	2004	"YORK"	"RIVERVIEW"	386	148	543	353	162	526
"SC"	2004	"YORK"	"ROCK HILL NO. 2"	37	693	738	35	668	716
"SC"	2004	"YORK"	"ROCK HILL NO. 4"	571	750	1328	517	746	1281
"SC"	2004	"YORK"	"ROCK HILL NO. 5"	467	382	861	424	407	848
"SC"	2004	"YORK"	"ROCK HILL NO. 6"	199	384	592	162	400	580
"SC"	2004	"YORK"	"ROCK HILL NO. 7"	627	477	1111	534	537	1086
"SC"	2004	"YORK"	"ROCK HILL NO. 8"	56	395	454	55	384	447
"SC"	2004	"YORK"	"ROCK HILL NO.3"	104	879	999	96	849	969
"SC"	2004	"YORK"	"ROSEWOOD"	802	548	1358	731	570	1327
"SC"	2004	"YORK"	"SHARON"	379	252	633	318	274	611
"SC"	2004	"YORK"	"SMYRNA"	256	75	336	238	76	328
"SC"	2004	"YORK"	"TEGA CAY #1"	1421	557	2001	1343	586	1962
"SC"	2004	"YORK"	"TEGA CAY #2"	805	320	1134	768	337	1122
"SC"	2004	"YORK"	"TIRZAH"	791	290	1087	709	330	1059
"SC"	2004	"YORK"	"UNIVERSITY"	454	241	704	397	278	689
"SC"	2004	"YORK"	"YORK NO. 1"	314	466	786	273	486	772
"SC"	2004	"YORK"	"YORK NO. 2"	572	451	1044	494	490	1014
"SC"	2004	"e"	"BETHANY"	741	187	936	686	200	909
