state	year	county	cd	ld	sd	countyprecinct_code	precinct_code	precinct	g2004_USP_rv	g2004_USP_dv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"MS"	2004	"GEORGE"	4	107	43	"039-013"	"13"	"Ward"						
"MS"	2004	"GREENE"	4	105	43	"041-18"	"18"	"Jonathan"						
"MS"	2004	"GREENE"	4	105	43	"041-08"	"8"	"Jones"						
"MS"	2004	"GREENE"	4	105	43	"041-15"	"15"	"Leaf"						
"MS"	2004	"GREENE"	4	105	43	"041-01"	"1"	"Leakesville"						
"MS"	2004	"GREENE"	4	105	43	"041-11"	"11"	"Maple"						
"MS"	2004	"GREENE"	4	105	43	"041-16"	"16"	"Mclain"						
"MS"	2004	"GREENE"	4	105	43	"041-06"	"6"	"Mutual Rights"						
"MS"	2004	"GREENE"	4	105	43	"041-03"	"3"	"Leakesville N"						
"MS"	2004	"GREENE"	4	105	43	"041-09"	"9"	"Piave"						
"MS"	2004	"GREENE"	4	105	43	"041-04"	"4"	"State Line"						
"MS"	2004	"GREENE"	4	105	43	"041-12"	"12"	"Vernal"						
"MS"	2004	"GREENE"	4	105	43	"041-07"	"7"	"Wade"						
"MS"	2004	"GREENE"	4	105	43	"041-14"	"14"	"Washington Neely"						
"MS"	2004	"GRENADA"	1	24	8	"043-10"	"10"	"Box 1 Vo-Tech"						
"MS"	2004	"GRENADA"	1	24	8	"043-15"	"15"	"Box 2 Grenada Co"						
"MS"	2004	"GRENADA"	1	24	14	"043-20"	"20"	"Box 3 City Aud"						
"MS"	2004	"GRENADA"	1	24	14	"043-25"	"25"	"Box 4 Carrie Dotson"						
"MS"	2004	"GRENADA"	1	46	14	"043-30"	"30"	"Box 5 E O C Bldg"						
"MS"	2004	"GRENADA"	1	24	8	"043-40"	"40"	"Elliott VFD"						
"MS"	2004	"GRENADA"	1	24	8	"043-55"	"55"	"Futheyville 1st Pent"						
"MS"	2004	"GRENADA"	1	24	14	"043-85"	"85"	"Geeslin Fire"						
"MS"	2004	"GRENADA"	1	24	8	"043-90"	"90"	"Hardy #2 - Geeslin VFD"						
"MS"	2004	"GRENADA"	1	24	8	"043-70"	"70"	"Mt Nebo Parker's"						
"MS"	2004	"GRENADA"	1	35	8	"043-60"	"60"	"Providence Gore Sprs"						
"MS"	2004	"GRENADA"	1	46	14	"043-45"	"45"	"Sweethome Hol#2 Fire"						
"MS"	2004	"GRENADA"	1	46	14	"043-35"	"35"	"Tie Plant School"						
"MS"	2004	"GRENADA"	1	24	14	"043-22"	"22"							
"MS"	2004	"GRENADA"	1	24	8	"043-50"	"50"							
"MS"	2004	"GRENADA"	1	24	8	"043-80"	"80"	"Pleas Grove Center"						
"MS"	2004	"HANCOCK"	4	93	46	"045-101"	"101"	"Ansley"						
"MS"	2004	"HANCOCK"	4	122	46	"045-104"	"104"	"Arlington"						
"MS"	2004	"HANCOCK"	4	122	46	"045-210"	"210"	"Bayou Phillip"						
"MS"	2004	"HANCOCK"	4	93	46	"045-208"	"208"	"Catahoula"						
"MS"	2004	"HANCOCK"	4	122	46	"045-419"	"419"	"City Hall"						
"MS"	2004	"HANCOCK"	4	122	46	"045-103"	"103"	"Clermont Harbor"						
"MS"	2004	"HANCOCK"	4	122	46	"045-316"	"316"	"Courthouse"						
"MS"	2004	"HANCOCK"	4	93	46	"045-212"	"212"	"Crane Creek"						
"MS"	2004	"HANCOCK"	4	93	46	"045-313"	"313"	"Dedeaux"						
"MS"	2004	"HANCOCK"	4	95	46	"045-315"	"315"	"Diamondhead E"						
"MS"	2004	"HANCOCK"	4	95	46	"045-526"	"526"	"Diamondhead W"						
"MS"	2004	"HANCOCK"	4	122	46	"045-523"	"523"	"Edwardsville"						
"MS"	2004	"HANCOCK"	4	93	46	"045-524"	"524"	"Fenton"						
"MS"	2004	"HANCOCK"	4	93	46	"045-207"	"207"	"Flat Top"						
"MS"	2004	"HANCOCK"	4	93	46	"045-525"	"525"	"Kiln E"						
"MS"	2004	"HANCOCK"	4	93	46	"045-417"	"417"	"Kiln W"						
"MS"	2004	"HANCOCK"	4	122	46	"045-102"	"102"	"Lakeshore"						
"MS"	2004	"HANCOCK"	4	93	46	"045-206"	"206"	"Lee Town"						
"MS"	2004	"HANCOCK"	4	122	46	"045-421"	"421"	"North Bay E"						
"MS"	2004	"HANCOCK"	4	122	46	"045-314"	"314"	"North Bay W"						
"MS"	2004	"HANCOCK"	4	93	46	"045-209"	"209"	"Pearlington"						
"MS"	2004	"HANCOCK"	4	122	46	"045-420"	"420"	"South Bay"						
"MS"	2004	"HANCOCK"	4	93	46	"045-522"	"522"	"Stannard"						
"MS"	2004	"HANCOCK"	4	122	46	"045-105"	"105"	"Waveland E"						
"MS"	2004	"HANCOCK"	4	122	46	"045-211"	"211"	"Waveland W"						
"MS"	2004	"HANCOCK"	4	122	46	"045-418"	"418"	"W Shoreline Park"						
"MS"	2004	"HARRISON"	4	95	47	"047-2011"	"2011"	"Advance"						
"MS"	2004	"HARRISON"	4	115	50	"047-1011"	"1011"	"Biloxi #1"						
"MS"	2004	"HARRISON"	4	117	50	"047-5021"	"5021"	"Biloxi #10"						
"MS"	2004	"HARRISON"	4	117	49	"047-5031"	"5031"	"Biloxi #11"						
"MS"	2004	"HARRISON"	4	115	50	"047-1021"	"1021"	"Biloxi #2"						
"MS"	2004	"HARRISON"	4	115	50	"047-1031"	"1031"	"Biloxi #3"						
"MS"	2004	"HARRISON"	4	115	50	"047-1041"	"1041"	"Biloxi #4"						
"MS"	2004	"HARRISON"	4	115	50	"047-1051"	"1051"	"Biloxi #5"						
"MS"	2004	"HARRISON"	4	115	50	"047-1061"	"1061"	"Biloxi #6"						
"MS"	2004	"HARRISON"	4	115	50	"047-1071"	"1071"	"Biloxi #7"						
"MS"	2004	"HARRISON"	4	115	50	"047-1081"	"1081"	"Biloxi #8"						
"MS"	2004	"HARRISON"	4	117	50	"047-1101"	"1101"	"Biloxi Bay"						
"MS"	2004	"HARRISON"	4	115	50	"047-1091"	"1091"	"Biloxi Central"						
"MS"	2004	"HARRISON"	4	121	46	"047-3011"	"3011"	"Delisle"						
"MS"	2004	"HARRISON"	4	116	50	"047-1141"	"1141"	"D'Iberville"						
"MS"	2004	"HARRISON"	4	118	47	"047-2041"	"2041"	"E Orange Grove"						
"MS"	2004	"HARRISON"	4	120	48	"047-3021"	"3021"	"Pass Christian E"						
"MS"	2004	"HARRISON"	4	118	49	"047-5041"	"5041"	"E Handsboro"						
"MS"	2004	"HARRISON"	4	121	47	"047-2021"	"2021"	"E Lizana"						
"MS"	2004	"HARRISON"	4	95	49	"047-2031"	"2031"	"E Lyman"						
"MS"	2004	"HARRISON"	4	117	49	"047-5051"	"5051"	"Miss City E"						
"MS"	2004	"HARRISON"	4	119	48	"047-4071"	"4071"	"E N Gulfport"						
"MS"	2004	"HARRISON"	4	118	49	"047-2081"	"2081"	"Gulfport #11"						
"MS"	2004	"HARRISON"	4	118	49	"047-2091"	"2091"	"Gulfport #12"						
"MS"	2004	"HARRISON"	4	119	48	"047-4041"	"4041"	"Gulfport #13"						
"MS"	2004	"HARRISON"	4	119	48	"047-4051"	"4051"	"Gulfport #14"						
"MS"	2004	"HARRISON"	4	119	48	"047-4081"	"4081"	"Gulfport #15"						
"MS"	2004	"HARRISON"	4	118	49	"047-4061"	"4061"	"Gulfport #16"						
"MS"	2004	"HARRISON"	4	119	48	"047-4011"	"4011"	"Gulfport #3"						
"MS"	2004	"HARRISON"	4	120	49	"047-2051"	"2051"	"Gulfport #4"						
"MS"	2004	"HARRISON"	4	118	49	"047-2061"	"2061"	"Gulfport #5"						
"MS"	2004	"HARRISON"	4	118	49	"047-2071"	"2071"	"Gulfport #7"						
"MS"	2004	"HARRISON"	4	119	49	"047-4021"	"4021"	"Gulfport #8"						
"MS"	2004	"HARRISON"	4	119	48	"047-4031"	"4031"	"Gulfport #9"						
"MS"	2004	"HARRISON"	4	116	50	"047-5061"	"5061"	"Howard Creek"						
"MS"	2004	"HARRISON"	4	121	46	"047-3051"	"3051"	"Ladner"						
"MS"	2004	"HARRISON"	4	120	48	"047-3071"	"3071"	"Long Beach #1"						
"MS"	2004	"HARRISON"	4	120	48	"047-3081"	"3081"	"Long Beach #2"						
"MS"	2004	"HARRISON"	4	120	48	"047-3091"	"3091"	"Long Beach #3"						
"MS"	2004	"HARRISON"	4	120	48	"047-3101"	"3101"	"Long Beach #4"						
"MS"	2004	"HARRISON"	4	120	48	"047-3111"	"3111"	"Long Beach #5"						
"MS"	2004	"HARRISON"	4	120	48	"047-3121"	"3121"	"Long Beach #6"						
"MS"	2004	"HARRISON"	4	118	49	"047-4121"	"4121"	"Magnolia Grove"						
"MS"	2004	"HARRISON"	4	117	49	"047-5101"	"5101"	"Margaret Sherry"						
"MS"	2004	"HARRISON"	4	114	50	"047-5011"	"5011"	"New Hope"						
"MS"	2004	"HARRISON"	4	116	49	"047-5091"	"5091"	"New Popps Ferry"						
"MS"	2004	"HARRISON"	4	116	50	"047-1111"	"1111"	"North Bay"						
"MS"	2004	"HARRISON"	4	95	48	"047-4091"	"4091"	"N Bel-Aire"						
"MS"	2004	"HARRISON"	4	121	48	"047-3131"	"3131"	"Outside Long Beach"						
"MS"	2004	"HARRISON"	4	114	50	"047-5081"	"5081"	"Peace"						
"MS"	2004	"HARRISON"	4	121	46	"047-3141"	"3141"	"Pineville"						
"MS"	2004	"HARRISON"	4	114	50	"047-1131"	"1131"	"Poplar Head"						
"MS"	2004	"HARRISON"	4	95	46	"047-2121"	"2121"	"Riceville"						
"MS"	2004	"HARRISON"	4	95	50	"047-5071"	"5071"	"Sauder"						
"MS"	2004	"HARRISON"	4	95	47	"047-4101"	"4101"	"S Bel-Aire"						
"MS"	2004	"HARRISON"	4	116	49	"047-2131"	"2131"	"Stonewall"						
"MS"	2004	"HARRISON"	4	121	46	"047-3151"	"3151"	"Vidalia"						
"MS"	2004	"HARRISON"	4	120	46	"047-3041"	"3041"	"Pass Christian W"						
"MS"	2004	"HARRISON"	4	118	49	"047-2141"	"2141"	"W Handsboro"						
"MS"	2004	"HARRISON"	4	121	46	"047-3061"	"3061"	"W Lizana"						
"MS"	2004	"HARRISON"	4	95	50	"047-2101"	"2101"	"W Lyman"						
"MS"	2004	"HARRISON"	4	117	49	"047-2151"	"2151"	"W Miss City"						
"MS"	2004	"HARRISON"	4	95	49	"047-2111"	"2111"	"W Orange Grove"						
"MS"	2004	"HARRISON"	4	120	49	"047-3031"	"3031"	"Westside"						
"MS"	2004	"HARRISON"	4	114	50	"047-1121"	"1121"	"White Plains"						
"MS"	2004	"HARRISON"	4	121	47	"047-4111"	"4111"							
"MS"	2004	"HINDS"	2	63	26	"049-BO"	"BO"	"Bolton"						
"MS"	2004	"HINDS"	2	63	26	"049-BR"	"BR"	"Brownsville"						
"MS"	2004	"HINDS"	2	73	29	"049-B1"	"B1"	"Byram 1"						
"MS"	2004	"HINDS"	2	73	29	"049-B2"	"B2"	"Byram 2"						
"MS"	2004	"HINDS"	2	73	29	"049-B3"	"B3"	"Byram 3"						
"MS"	2004	"HINDS"	2	63	36	"049-CA"	"CA"	"Cayuga"						
"MS"	2004	"HINDS"	2	63	29	"049-CH"	"CH"	"Chapel Hill"						
"MS"	2004	"HINDS"	2	56	26	"049-C1"	"C1"	"Clinton 1"						
"MS"	2004	"HINDS"	2	68	29	"049-C2"	"C2"	"Clinton 2"						
"MS"	2004	"HINDS"	2	56	27	"049-C3"	"C3"	"Clinton 3"						
"MS"	2004	"HINDS"	2	72	27	"049-C4"	"C4"	"Clinton 4"						
"MS"	2004	"HINDS"	2	72	26	"049-C5"	"C5"	"Clinton 5"						
"MS"	2004	"HINDS"	2	67	29	"049-C6"	"C6"	"Clinton 6"						
"MS"	2004	"HINDS"	2	56	29	"049-C7"	"C7"	"Clinton 7"						
"MS"	2004	"HINDS"	2	72	26	"049-CY"	"CY"	"Cynthia"						
"MS"	2004	"HINDS"	2	73	29	"049-DG"	"DG"	"Dry Grove"						
"MS"	2004	"HINDS"	2	63	26	"049-ED"	"ED"	"Edwards"						
"MS"	2004	"HINDS"	2	63	36	"049-LE"	"LE"	"Learned"						
"MS"	2004	"HINDS"	2	73	29	"049-OB"	"OB"	"Old Byram"						
"MS"	2004	"HINDS"	2	56	27	"049-PN"	"PN"	"Pinehaven"						
"MS"	2004	"HINDS"	2	72	26	"049-PO"	"PO"	"Pocahontas"						
"MS"	2004	"HINDS"	2	66	29	"049-01"	"1"	"City of Jackson 1"						
"MS"	2004	"HINDS"	2	70	28	"049-02"	"2"	"City of Jackson 2"						
"MS"	2004	"HINDS"	2	70	27	"049-04"	"4"	"City of Jackson 4"						
"MS"	2004	"HINDS"	2											
"MS"	2004	"HINDS"	2	70	27	"049-06"	"6"	"City of Jackson 6"						
"MS"	2004	"HINDS"	3	66	29	"049-08"	"8"	"City of Jackson 8"						
"MS"	2004	"HINDS"	3	66	29	"049-09"	"9"	"City of Jackson 9"						
"MS"	2004	"HINDS"	2	70	27	"049-10"	"10"	"City of Jackson 10"						
"MS"	2004	"HINDS"	2	70	27	"049-11"	"11"	"City of Jackson 11"						
"MS"	2004	"HINDS"	2	65	27	"049-12"	"12"	"City of Jackson 12"						
"MS"	2004	"HINDS"	2	65	27	"049-13"	"13"	"City of Jackson 13"						
"MS"	2004	"HINDS"	3	66	27	"049-14"	"14"	"City of Jackson 14"						
"MS"	2004	"HINDS"	2	65	27	"049-16"	"16"	"City of Jackson 16"						
"MS"	2004	"HINDS"	3	66	27	"049-17"	"17"	"City of Jackson 17"						
"MS"	2004	"HINDS"	2	70	27	"049-18"	"18"	"City of Jackson 18"						
"MS"	2004	"HINDS"	2	70	28	"049-19"	"19"	"City of Jackson 19"						
"MS"	2004	"HINDS"	2	67	28	"049-20"	"20"	"City of Jackson 20"						
"MS"	2004	"HINDS"	2	67	27	"049-21"	"21"	"City of Jackson 21"						
"MS"	2004	"HINDS"	2	67	27	"049-22"	"22"	"City of Jackson 22"						
"MS"	2004	"HINDS"	2	70	27	"049-23"	"23"	"City of Jackson 23"						
"MS"	2004	"HINDS"	2	67	27	"049-24"	"24"	"City of Jackson 24"						
"MS"	2004	"HINDS"	2	72	28	"049-25"	"25"	"City of Jackson 25"						
"MS"	2004	"HINDS"	2	67	28	"049-26"	"26"	"City of Jackson 26"						
"MS"	2004	"HINDS"	2	67	27	"049-27"	"27"	"City of Jackson 27"						
"MS"	2004	"HINDS"	2	70	27	"049-28"	"28"	"City of Jackson 28"						
"MS"	2004	"HINDS"	2	67	27	"049-29"	"29"	"City of Jackson 29"						
"MS"	2004	"HINDS"	2	65	27	"049-30"	"30"	"City of Jackson 30"						
"MS"	2004	"HINDS"	2	67	27	"049-31"	"31"	"City of Jackson 31"						
"MS"	2004	"HINDS"	3	66	25	"049-32"	"32"	"City of Jackson 32"						
"MS"	2004	"HINDS"	3	66	25	"049-33"	"33"	"City of Jackson 33"						
"MS"	2004	"HINDS"	3	64	25	"049-34"	"34"	"City of Jackson 34"						
"MS"	2004	"HINDS"	3	64	25	"049-35"	"35"	"City of Jackson 35"						
"MS"	2004	"HINDS"	3	64	25	"049-36"	"36"	"City of Jackson 36"						
"MS"	2004	"HINDS"	3	65	27	"049-37"	"37"	"City of Jackson 37"						
"MS"	2004	"HINDS"	2	66	26	"049-38"	"38"	"City of Jackson 38"						
"MS"	2004	"HINDS"	2	65	26	"049-39"	"39"	"City of Jackson 39"						
"MS"	2004	"HINDS"	2	65	27	"049-40"	"40"	"City of Jackson 40"						
"MS"	2004	"HINDS"	2	65	26	"049-41"	"41"	"City of Jackson 41"						
"MS"	2004	"HINDS"	2	66	26	"049-42"	"42"	"City of Jackson 42"						
"MS"	2004	"HINDS"	2	66	26	"049-43"	"43"	"City of Jackson 43"						
"MS"	2004	"HINDS"	3	64	25	"049-44"	"44"	"City of Jackson 44"						
"MS"	2004	"HINDS"	3	64	25	"049-45"	"45"	"City of Jackson 45"						
"MS"	2004	"HINDS"	3	64	25	"049-46"	"46"	"City of Jackson 46"						
"MS"	2004	"HINDS"	2	70	29	"049-47"	"47"	"City of Jackson 47"						
"MS"	2004	"HINDS"	2	69	28	"049-49"	"49"	"Jackson State 49"						
"MS"	2004	"HINDS"	2	69	28	"049-50"	"50"	"City of Jackson 50"						
"MS"	2004	"HINDS"	2	69	28	"049-51"	"51"	"City of Jackson 51"						
"MS"	2004	"HINDS"	2	69	28	"049-52"	"52"	"City of Jackson 52"						
"MS"	2004	"HINDS"	2											
"MS"	2004	"HINDS"	2	68	27	"049-54"	"54"	"City of Jackson 54"						
"MS"	2004	"HINDS"	2	68	27	"049-55"	"55"	"City of Jackson 55"						
"MS"	2004	"HINDS"	2	68	27	"049-56"	"56"	"City of Jackson 56"						
"MS"	2004	"HINDS"	2	68	27	"049-57"	"57"	"City of Jackson 57"						
"MS"	2004	"HINDS"	2	69	28	"049-58"	"58"	"City of Jackson 58"						
"MS"	2004	"HINDS"	2	68	28	"049-59"	"59"	"City of Jackson 59"						
"MS"	2004	"HINDS"	2	68	27	"049-60"	"60"	"City of Jackson 60"						
"MS"	2004	"HINDS"	2	68	27	"049-61"	"61"	"City of Jackson 61"						
"MS"	2004	"HINDS"	2	68	27	"049-62"	"62"	"City of Jackson 62"						
"MS"	2004	"HINDS"	2	67	28	"049-63"	"63"	"City of Jackson 63"						
"MS"	2004	"HINDS"	2	70	28	"049-64"	"64"	"City of Jackson 64"						
"MS"	2004	"HINDS"	2											
"MS"	2004	"HINDS"	2	69	28	"049-67"	"67"	"City of Jackson 67"						
"MS"	2004	"HINDS"	2	70	28	"049-68"	"68"	"City of Jackson 68"						
"MS"	2004	"HINDS"	2	70	28	"049-69"	"69"	"City of Jackson 69"						
"MS"	2004	"HINDS"	2	70	28	"049-70"	"70"	"City of Jackson 70"						
"MS"	2004	"HINDS"	2	71	28	"049-71"	"71"	"City of Jackson 71"						
"MS"	2004	"HINDS"	2	70	28	"049-72"	"72"	"City of Jackson 72"						
"MS"	2004	"HINDS"	2	71	28	"049-73"	"73"	"City of Jackson 73"						
"MS"	2004	"HINDS"	2	71	28	"049-74"	"74"	"City of Jackson 74"						
"MS"	2004	"HINDS"	2	71	28	"049-75"	"75"	"City of Jackson 75"						
"MS"	2004	"HINDS"	2	71	28	"049-76"	"76"	"City of Jackson 76"						
"MS"	2004	"HINDS"	2	71	28	"049-77"	"77"	"City of Jackson 77"						
"MS"	2004	"HINDS"	3	64	25	"049-78"	"78"	"City of Jackson 78"						
"MS"	2004	"HINDS"	3	64	25	"049-79"	"79"	"City of Jackson 79"						
"MS"	2004	"HINDS"	2	65	26	"049-80"	"80"	"City of Jackson 80"						
"MS"	2004	"HINDS"	2	72	26	"049-81"	"81"	"City of Jackson 81"						
"MS"	2004	"HINDS"	2	66	26	"049-82"	"82"	"City of Jackson 82"						
"MS"	2004	"HINDS"	2	72	26	"049-83"	"83"	"City of Jackson 83"						
"MS"	2004	"HINDS"	2	72	26	"049-84"	"84"	"City of Jackson 84"						
"MS"	2004	"HINDS"	2	72	26	"049-85"	"85"	"City of Jackson 85"						
"MS"	2004	"HINDS"	2	72	27	"049-86"	"86"	"City of Jackson 86"						
"MS"	2004	"HINDS"	2	67	28	"049-87"	"87"	"City of Jackson 87"						
"MS"	2004	"HINDS"	2	68	28	"049-88"	"88"	"City of Jackson 88"						
"MS"	2004	"HINDS"	2	69	28	"049-89"	"89"	"City of Jackson 89"						
"MS"	2004	"HINDS"	2	69	28	"049-90"	"90"	"City of Jackson 90"						
"MS"	2004	"HINDS"	2	63	29	"049-91"	"91"	"City of Jackson 91"						
"MS"	2004	"HINDS"	2	69	29	"049-92"	"92"	"City of Jackson 92"						
"MS"	2004	"HINDS"	2	69	29	"049-93"	"93"	"City of Jackson 93"						
"MS"	2004	"HINDS"	2	63	29	"049-94"	"94"	"City of Jackson 94"						
"MS"	2004	"HINDS"	2	71	29	"049-95"	"95"	"City of Jackson 95"						
"MS"	2004	"HINDS"	2	73	29	"049-96"	"96"	"City of Jackson 96"						
"MS"	2004	"HINDS"	2	71	29	"049-97"	"97"	"City of Jackson 97"						
"MS"	2004	"HINDS"	2											
"MS"	2004	"HINDS"	2	63	26	"049-R1"	"R1"	"Raymond 1"						
"MS"	2004	"HINDS"	2	63	26	"049-R2"	"R2"	"Raymond 2"						
"MS"	2004	"HINDS"	2	73	29	"049-SR"	"SR"	"Springridge"						
"MS"	2004	"HINDS"	2	63	26	"049-ST"	"ST"	"St Thomas"						
"MS"	2004	"HINDS"	2	76	29	"049-TE"	"TE"	"Terry"						
"MS"	2004	"HINDS"	2	56	26	"049-TI"	"TI"	"Tinnin"						
"MS"	2004	"HINDS"	2	85	36	"049-U1"	"U1"	"Utica 1"						
"MS"	2004	"HINDS"	2	63	36	"049-U2"	"U2"	"Utica 2"						
"MS"	2004	"HOLMES"	2	34	24	"051-1A"	"1A"	"Acoma 1"						
"MS"	2004	"HOLMES"	2	48	24	"051-1DUR"	"1DUR"	"Durant St Anderson 1"						
"MS"	2004	"HOLMES"	2	47	24	"051-2LEX"	"2LEX"	"Lexington Sandhill 2"						
"MS"	2004	"HOLMES"	2	47	24	"051-1LG"	"1LG"	"Lexington 1"						
"MS"	2004	"HOLMES"	2	48	24	"051-2DG"	"2DG"	"Durant 2"						
"MS"	2004	"HOLMES"	2	47	24	"051-2SD"	"2SD"	"Durant  Sub 2"						
"MS"	2004	"HOLMES"	2	48	24	"051-2WL"	"2WL"	"West 2"						
"MS"	2004	"HOLMES"	2	47	24	"051-3C"	"3C"	"Coburg 3"						
"MS"	2004	"HOLMES"	2	47	21	"051-3E"	"3E"	"Ebenezer 3"						
"MS"	2004	"HOLMES"	2	47	24	"051-3GK"	"3GK"	"Goodman 3"						
"MS"	2004	"HOLMES"	2	47	21	"051-3PL"	"3PL"	"Pickens 3"						
"MS"	2004	"HOLMES"	2	47	24	"051-4LG"	"4LG"	"Lexington 4"						
"MS"	2004	"HOLMES"	2	47	24	"051-4T"	"4T"	"Thornton 4"						
"MS"	2004	"HOLMES"	2	47	24	"051-4WC"	"4WC"	"Walden Chapel 4"						
"MS"	2004	"HOLMES"	2	48	24	"051-5C"	"5C"	"Cruger 5"						
"MS"	2004	"HOLMES"	2	47	24	"051-5L"	"5L"	"Lexington 5"						
"MS"	2004	"HOLMES"	2	48	24	"051-5TJ"	"5TJ"	"Tchula 5"						
"MS"	2004	"HUMPHREYS"	2	34	13	"053-1021"	"1021"	"Belzoni N 1021"						
"MS"	2004	"HUMPHREYS"	2	51	13	"053-1020"	"1020"	"Belzoni N 1020"						
"MS"	2004	"HUMPHREYS"	2	51	13	"053-2020"	"2020"	"Belzoni N 2020"						
"MS"	2004	"HUMPHREYS"	2	51	13	"053-4010"	"4010"	"Belzoni N 4010"						
"MS"	2004	"HUMPHREYS"	2	51	13	"053-3010"	"3010"	"Belzoni S 3010"						
"MS"	2004	"HUMPHREYS"	2	51	13	"053-4020"	"4020"	"Belzoni S 4020"						
"MS"	2004	"HUMPHREYS"	2	51	13	"053-5010"	"5010"	"Belzoni S 5010"						
"MS"	2004	"HUMPHREYS"	2	34	13	"053-1010"	"1010"	"Fourmile N 1010"						
"MS"	2004	"HUMPHREYS"	2	51	22	"053-2030"	"2030"	"Gooden Lake N 2030"						
"MS"	2004	"HUMPHREYS"	2	34	22	"053-2010"	"2010"	"Isola N 2010"						
"MS"	2004	"HUMPHREYS"	2	51	22	"053-3030"	"3030"	"Lake City S 3030"						
"MS"	2004	"HUMPHREYS"	2	51	22	"053-5030"	"5030"	"Louise S 5030"						
"MS"	2004	"HUMPHREYS"	2	51	22	"053-5020"	"5020"	"Midnight S 5020"						
"MS"	2004	"HUMPHREYS"	2	48	22	"053-4030"	"4030"	"Putnam S 4030"						
"MS"	2004	"HUMPHREYS"	2	51	22	"053-3020"	"3020"	"Silver City S 3020"						
"MS"	2004	"ISSAQUENA"	2	54	23	"055-4"	"4"	"Addie"						
"MS"	2004	"ISSAQUENA"	2	54	23	"055-5"	"5"	"Grace"						
"MS"	2004	"ISSAQUENA"	2	51	23	"055-3"	"3"	"Mayersville Cthouse"						
"MS"	2004	"ISSAQUENA"	2	54	23	"055-1"	"1"	"Valley Pk Center"						
"MS"	2004	"ISSAQUENA"	2	54	23	"055-2"	"2"	"Tallula Center"						
"MS"	2004	"ITAWAMBA"	1	21	5	"057-711"	"711"	"American Legion"						
"MS"	2004	"ITAWAMBA"	1	21	5	"057-931"	"931"	"Armory"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-121"	"121"	"Banner-Pineville"						
"MS"	2004	"ITAWAMBA"	1	21	5	"057-941"	"941"	"Bounds"						
"MS"	2004	"ITAWAMBA"	1	21	7	"057-531"	"531"	"Cardsville"						
"MS"	2004	"ITAWAMBA"	1	21	7	"057-551"	"551"	"Carolina"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-301"	"301"	"Centerville"						
"MS"	2004	"ITAWAMBA"	1	21	5	"057-901"	"901"	"Clay"						
"MS"	2004	"ITAWAMBA"	1	21	5	"057-101"	"101"	"Courthouse"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-501"	"501"	"Dorsey"						
"MS"	2004	"ITAWAMBA"	1	21	7	"057-561"	"561"	"Evergreen"						
"MS"	2004	"ITAWAMBA"	1	21	5	"057-171"	"171"	"Fairview-Pleasanton"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-321"	"321"	"Fawn Grove"						
"MS"	2004	"ITAWAMBA"	1	21	5	"057-511"	"511"	"Friendship"						
"MS"	2004	"ITAWAMBA"	1	21	7	"057-541"	"541"	"Greenwood"						
"MS"	2004	"ITAWAMBA"	1	21	5	"057-911"	"911"	"ICDC"						
"MS"	2004	"ITAWAMBA"	1	21	7	"057-781"	"781"	"James Creek"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-341"	"341"	"Kirkville"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-351"	"351"	"Mantachie"						
"MS"	2004	"ITAWAMBA"	1	21	5	"057-921"	"921"	"Mt Gilead"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-311"	"311"	"Ozark"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-331"	"331"	"Ratliff"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-131"	"131"	"Ryan"						
"MS"	2004	"ITAWAMBA"	1	19	5	"057-151"	"151"	"Salem-Copeland"						
"MS"	2004	"ITAWAMBA"	1	21	7	"057-791"	"791"	"Tilden"						
"MS"	2004	"ITAWAMBA"	1	21	7	"057-731"	"731"	"Tremont"						
"MS"	2004	"JACKSON"	4	111	52	"059-0306"	"306"	"American Legion"						
"MS"	2004	"JACKSON"	4	110	47	"059-0212"	"212"	"Arlington"						
"MS"	2004	"JACKSON"	4	109	51	"059-0108"	"108"	"Big Point"						
"MS"	2004	"JACKSON"	4	107	47	"059-0511"	"511"	"Carterville"						
"MS"	2004	"JACKSON"	4	110	47	"059-0214"	"214"	"Chico"						
"MS"	2004	"JACKSON"	4	109	51	"059-0105"	"105"	"East Central"						
"MS"	2004	"JACKSON"	4	111	52	"059-0305"	"305"	"Eastlawn"						
"MS"	2004	"JACKSON"	4	110	51	"059-0207"	"207"	"Eastside"						
"MS"	2004	"JACKSON"	4	109	51	"059-0110"	"110"	"Escatawpa"						
"MS"	2004	"JACKSON"	4	110	47	"059-0209"	"209"	"Fair"						
"MS"	2004	"JACKSON"	4	111	52	"059-0503"	"503"	"Fontainebleau"						
"MS"	2004	"JACKSON"	4	112	52	"059-0310"	"310"	"Gautier"						
"MS"	2004	"JACKSON"	4	111	52	"059-0216"	"216"	"Girl Scouts"						
"MS"	2004	"JACKSON"	4	110	51	"059-0206"	"206"	"Griffin Heights"						
