state	year	county	cd	town	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv
"NH"	2010	"Sullivan"	2	"Claremont Ward 3"	612	459	1110	430	610	1094	553	445	1081
"NH"	2010	"Sullivan"	2	"Cornish"	447	278	732	396	319	727	418	276	726
"NH"	2010	"Sullivan"	2	"Croydon"	123	143	275	81	186	276	99	151	270
"NH"	2010	"Sullivan"	2	"Goshen"	145	142	293	100	189	299	122	131	285
"NH"	2010	"Sullivan"	2	"Grantham"	907	547	1477	743	702	1475	804	615	1470
"NH"	2010	"Sullivan"	2	"Langdon"	155	111	268	108	149	268	133	119	265
"NH"	2010	"Sullivan"	2	"Lempster"	211	192	415	156	242	411	174	202	405
"NH"	2010	"Sullivan"	2	"Newport"	896	883	1842	592	1165	1832	791	875	1781
"NH"	2010	"Sullivan"	2	"Plainfield"	667	317	1002	567	393	989	555	335	943
"NH"	2010	"Sullivan"	2	"Springfield"	270	227	514	192	304	514	238	251	510
"NH"	2010	"Sullivan"	2	"Sunapee"	757	699	1495	533	931	1497	625	780	1481
"NH"	2010	"Sullivan"	2	"Unity"	273	252	540	197	312	528	227	263	521
"NH"	2010	"Sullivan"	2	"Washington"	214	230	457	140	304	462	184	230	445
