state	year	precinct	cd	g2008_REG_tv	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"HI"	2008	"01-01"	2	2065	567	169	753				526	140	704
"HI"	2008	"01-02"	2	1117	333	103	447				327	79	427
"HI"	2008	"01-03"	2	356	141	19	164				118	17	142
"HI"	2008	"01-04"	2	2490	857	220	1103				802	170	1009
"HI"	2008	"01-05"	2	871	336	85	429				299	61	374
"HI"	2008	"01-06"	2	190	71	11	82				62	11	78
"HI"	2008	"01-07"	2	724	255	69	333				227	62	303
"HI"	2008	"01-08"	2	273	108	31	144				92	26	127
"HI"	2008	"01-09"	2	241	94	35	134				85	31	123
"HI"	2008	"01-10"	2	394	158	45	206				143	42	189
"HI"	2008	"01-11"	2	1051	405	53	465				398	32	436
"HI"	2008	"01-12"	2	905	304	83	394				295	53	361
"HI"	2008	"01-13"	2	1376	383	128	519				366	93	478
"HI"	2008	"01-14"	2	743	173	34	215				151	25	189
"HI"	2008	"01-15"	2	509	166	69	238				132	77	214
"HI"	2008	"02-01"	2	3003	813	238	1060				771	171	974
"HI"	2008	"02-02"	2	1598	515	149	673				502	105	624
"HI"	2008	"02-03"	2	2627	654	191	860				615	136	776
"HI"	2008	"02-04"	2	959	243	59	309				223	50	288
"HI"	2008	"02-05"	2	1500	330	93	430				313	62	387
"HI"	2008	"02-06"	2	1434	458	73	542				415	78	516
"HI"	2008	"02-07"	2	1186	247	57	306				231	44	290
"HI"	2008	"02-08"	2	1205	350	73	431				350	47	405
"HI"	2008	"03-01"	2	1911	609	143	768				571	118	708
"HI"	2008	"03-02"	2	461	130	39	171				136	17	156
"HI"	2008	"03-03"	2	509	132	34	167				138	20	159
"HI"	2008	"03-04"	2	2199	526	133	665				545	85	635
"HI"	2008	"03-05"	2	2054	665	168	843				653	119	792
"HI"	2008	"03-06"	2	2918	838	187	1035				811	134	967
"HI"	2008	"03-07"	2	1831	485	119	619				469	88	570
"HI"	2008	"03-08"	2	2200	670	164	842				655	115	785
"HI"	2008	"04-01"	2	1842	646	159	827				555	156	753
"HI"	2008	"04-02"	2	1695	504	140	663				462	125	617
"HI"	2008	"04-03"	2	2655	876	267	1183				756	255	1081
"HI"	2008	"04-04"	2	2090	612	179	814				553	178	764
"HI"	2008	"04-05"	2	3301	1008	220	1283				846	231	1158
"HI"	2008	"04-06"	2	2155	661	258	946				606	239	888
"HI"	2008	"04-07"	2	723	259	27	300				196	35	257
"HI"	2008	"04-08"	2	996	368	116	497				336	114	465
"HI"	2008	"05-01"	2	693	276	70	355				261	64	337
"HI"	2008	"05-02"	2	1544	527	124	677				475	108	637
"HI"	2008	"05-03"	2	1742	642	195	874				575	180	806
"HI"	2008	"05-04"	2	840	242	29	272				242	18	264
"HI"	2008	"05-05"	2	1297	375	134	525				362	93	480
"HI"	2008	"05-06"	2	1718	643	230	897				555	208	832
"HI"	2008	"05-07"	2	491	187	41	231				172	39	217
"HI"	2008	"05-08"	2	512	208	36	252				189	32	231
"HI"	2008	"05-09"	2	1034	405	82	499				382	60	465
"HI"	2008	"05-10"	2	383	170	40	215				152	31	198
"HI"	2008	"05-11"	2	2119	689	192	894				639	133	802
"HI"	2008	"05-12"	2	1460	509	155	675				462	130	619
"HI"	2008	"06-01"	2	1655	368	198	575				325	180	531
"HI"	2008	"06-02"	2	3924	842	451	1321				751	397	1207
"HI"	2008	"06-03"	2	1154	251	206	459				226	182	421
"HI"	2008	"06-04"	2	1245	334	210	551				294	190	511
"HI"	2008	"06-05"	2	2482	420	245	682				383	202	616
"HI"	2008	"06-06"	2	1445	325	174	508				306	151	469
"HI"	2008	"06-07"	2	861	232	126	363				198	120	327
"HI"	2008	"06-08"	2	1625	509	140	664				484	122	626
"HI"	2008	"07-01"	2	1615	355	220	591				321	204	548
"HI"	2008	"07-02"	2	3512	943	441	1408				808	392	1248
"HI"	2008	"07-03"	2	3453	1139	583	1749				1005	534	1614
"HI"	2008	"07-04"	2	594	150	73	229				127	76	210
"HI"	2008	"07-05"	2	2353	586	190	786				489	190	709
"HI"	2008	"07-06"	2	1924	528	140	682				463	130	606
"HI"	2008	"07-07"	2	1146	321	98	431				299	89	405
"HI"	2008	"07-08"	2	159	55	33	90				43	37	86
"HI"	2008	"08-01"	2	1661	524	115	652				522	70	609
"HI"	2008	"08-02"	2	3445	956	261	1232				989	141	1168
"HI"	2008	"08-03"	2	1644	415	113	539				399	77	495
"HI"	2008	"08-04"	2	1843	429	78	517				418	47	479
"HI"	2008	"08-05"	2	3136	918	329	1265				897	226	1166
"HI"	2008	"08-06"	2	1105	411	155	578				412	102	532
"HI"	2008	"08-07"	2	1026	281	75	361				274	47	333
"HI"	2008	"09-01"	2	1147	320	102	429				334	70	411
"HI"	2008	"09-02"	2	2919	841	264	1117				899	119	1042
"HI"	2008	"09-03"	2	2357	700	168	880				742	80	834
"HI"	2008	"09-04"	2	2256	570	140	726				616	57	683
"HI"	2008	"09-05"	2	2253	734	175	920				776	79	874
"HI"	2008	"09-06"	2	212	62	17	79				62	12	76
"HI"	2008	"09-07"	2	1056	361	97	476				315	86	418
"HI"	2008	"10-01"	2	1439	383	133	526				327	98	458
"HI"	2008	"10-02"	2	2264	599	221	837				498	184	723
"HI"	2008	"10-03"	2	2240	660	179	852				678	98	795
"HI"	2008	"10-04"	2	1687	443	139	590				420	106	548
"HI"	2008	"10-05"	2	3212	579	315	920				475	269	789
"HI"	2008	"10-06"	2	2598	729	337	1087				649	262	956
"HI"	2008	"11-01"	2	3187	906	307	1231				862	207	1119
"HI"	2008	"11-02"	2	4423	1181	574	1804				996	511	1589
"HI"	2008	"11-03"	2	3751	999	451	1478				850	351	1274
"HI"	2008	"11-04"	2	3774	1009	423	1462				880	371	1312
"HI"	2008	"12-01"	2	3025	991	240	1252				924	175	1148
"HI"	2008	"12-02"	2	2104	720	160	902				631	140	818
"HI"	2008	"12-03"	2	3068	949	331	1307				888	256	1202
"HI"	2008	"12-04"	2	3287	1132	336	1487				1102	208	1367
"HI"	2008	"12-05"	2	1731	569	182	772				535	150	709
"HI"	2008	"12-06"	2	2555	879	253	1156				768	212	1030
"HI"	2008	"12-07"	2	163	73	11	87				58	15	78
"HI"	2008	"13-01"	2	1049	387	83	478				350	63	428
"HI"	2008	"13-02"	2	2637	976	180	1190				846	163	1077
"HI"	2008	"13-03"	2	3097	1102	191	1319				897	166	1139
"HI"	2008	"13-04"	2	594	267	25	300				225	22	263
"HI"	2008	"13-05"	2	205	78	8	86				59	9	73
"HI"	2008	"13-06"	2	1200	489	55	564				446	31	498
"HI"	2008	"13-07"	2	1706	609	155	772				613	87	718
"HI"	2008	"13-08"	2	615	183	60	245				176	38	218
"HI"	2008	"13-09"	2	2056	506	134	648				515	64	595
"HI"	2008	"13-10"	2	339	91	45	139				88	35	130
"HI"	2008	"13-11"	2	1075	349	64	420				322	39	377
"HI"	2008	"13-12"	2	56	0	0	0				0	0	0
"HI"	2008	"14-01"	2	2611	848	340	1224				755	254	1053
"HI"	2008	"14-02"	2	2445	874	227	1131				793	145	978
"HI"	2008	"14-03"	2	1405	519	97	630				475	52	549
"HI"	2008	"14-04"	2	5123	1456	472	1979				1436	236	1732
"HI"	2008	"14-05"	2	1905	405	129	550				375	84	483
"HI"	2008	"15-01"	2	4026	952	384	1377				901	265	1207
"HI"	2008	"15-02"	2	1962	607	134	751				624	54	691
"HI"	2008	"15-03"	2	2933	610	206	834				605	112	735
"HI"	2008	"15-04"	2	3564	822	306	1144				817	166	1015
"HI"	2008	"15-05"	2	1489	415	130	557				382	87	490
"HI"	2008	"16-01"	2	2245	585	233	838				554	156	740
