state	year	county	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USS_dv	g2004_USS_rv	g2004_USH_dv	g2004_USH_rv	g2004_STS_dv	g2004_STS_rv	g2004_STH_dv	g2004_STH_rv	ld	sd	cd	g2004_USP_tv	g2004_USS_tv	g2004_USH_tv	g2004_STS_tv	g2004_STH_tv
"IA"	2004	"Allamakee"	"Waterloo"	58	46	27	78	52	53	47	65	0	84	16	8	4	112.0	110.0	105.0	112.0	84.0
"IA"	2004	"Allamakee"	"Waukon 1"	259	268	135	386	235	283	183	345	0	425	16	8	4	531.0	525.0	518.0	528.0	429.0
"IA"	2004	"Allamakee"	"Waukon 2"	253	238	131	362	233	258	200	296	0	408	16	8	4	495.0	500.0	491.0	498.0	411.0
"IA"	2004	"Allamakee"	"Waukon 3"	203	221	91	325	174	243	165	264	0	352	16	8	4	430.0	423.0	417.0	429.0	352.0
"IA"	2004	"Allamakee Total"		3449	3530	1835	4971	3074	3731	2797	4149	0	5369				7062.0	6968.0	6807.0	6951.0	5404.0
"IA"	2004	"Appanoose"	"Absentee and Special Ballots"	1230	940	834	1298	957	1138			1313	815	94		2	2185.0	2154.0	2116.0	0.0	2128.0
"IA"	2004	"Appanoose"	"Bellair Lincoln"	115	134	69	174	67	167			121	114	94		2	250.0	245.0	235.0	0.0	235.0
"IA"	2004	"Appanoose"	"Caldwell"	80	91	48	118	55	103			94	66	94		2	172.0	169.0	161.0	0.0	160.0
"IA"	2004	"Appanoose"	"Centerville W1"	220	298	120	381	136	345			278	212	94		2	523.0	507.0	485.0	0.0	491.0
"IA"	2004	"Appanoose"	"Centerville W2"	225	322	110	403	132	369			282	231	94		2	547.0	524.0	507.0	0.0	513.0
"IA"	2004	"Appanoose"	"Centerville W3"	229	280	130	365	130	345			223	214	94		2	519.0	508.0	483.0	0.0	437.0
"IA"	2004	"Appanoose"	"Johns Independence"	86	117	63	155	51	134			87	101	94		2	204.0	220.0	186.0	0.0	188.0
"IA"	2004	"Appanoose"	"Pleasant Franklin"	154	155	85	112	95	179			154	117	94		2	314.0	202.0	283.0	0.0	271.0
"IA"	2004	"Appanoose"	"Taylor Chariton"	168	222	95	282	105	247			200	157	94		2	393.0	378.0	355.0	0.0	357.0
"IA"	2004	"Appanoose"	"Udell"	71	82	35	108	44	89			93	49	94		2	153.0	143.0	133.0	0.0	142.0
"IA"	2004	"Appanoose"	"Union"	22	43	10	54	12	49			33	28	94		2	65.0	64.0	61.0	0.0	61.0
"IA"	2004	"Appanoose"	"Vermillion Douglas Sharon"	143	268	58	344	80	301			197	181	94		2	412.0	407.0	385.0	0.0	378.0
"IA"	2004	"Appanoose"	"Walnut"	164	163	66	221	102	182			179	116	94		2	329.0	288.0	289.0	0.0	295.0
"IA"	2004	"Appanoose"	"Washington Wells"	156	225	87	285	99	245			214	156	94		2	384.0	375.0	350.0	0.0	371.0
"IA"	2004	"Appanoose Total"		3063	3340	1810	4300	2065	3893	0	0	3468	2557				6450.0	6184.0	6029.0	0.0	6027.0
"IA"	2004	"Audubon"	"Absentee and Special Ballots"	503	435	263	646	450	431			424	450	58		5	947.0	919.0	882.0	0.0	875.0
"IA"	2004	"Audubon"	"Audubon Exire Greeley Hamlin Twps & Exira C 325"	336	1	510	6	313	0			388	0		5		464.0	820.0	313.0	229.0	446.0
"IA"	2004	"Audubon"	"Douglas Melville N 1/2 Leroy Twps N 1/2 Audu 281"	428	5	593	6	389	0			410	0		5		542.0	887.0	390.0	241.0	468.0
"IA"	2004	"Audubon"	"Leroy Hamlin Twps & S 1/2 Audubon City"	213	346	76	468	221	310			178	342	58		5	563.0	550.0	531.0	0.0	520.0
"IA"	2004	"Audubon"	"Oakfield Twp Brayton City"	65	96	28	126	68	88			68	91	58		5	163.0	161.0	156.0	0.0	159.0
"IA"	2004	"Audubon"	"Sharon Twp Kimballton City"	134	140	61	205	128	141			133	134	58		5	277.0	275.0	269.0	0.0	267.0
"IA"	2004	"Audubon"	"Viola Cameron Lincoln Twps & Gray City"	87	177	37	217	79	166			69	166	58		5	266.0	256.0	245.0	0.0	235.0
"IA"	2004	"Audubon Total"	"1608"	1958	26	2765	46	1838	0	0	0	1981	0				2685.0	4349.0	1840.0	1342.0	1982.0
"IA"	2004	"Benton"	"Absentee and Special Ballots"	1682	1373	1020	1965	1646	1308	0	1897	1766	1241	39	20	3	3073.0	3028.0	2956.0	1927.0	3007.0
"IA"	2004	"Benton"	"Belle Plaine 1"	204	159	88	269	200	147	0	250	189	159	39	20	3	365.0	361.0	348.0	251.0	348.0
"IA"	2004	"Benton"	"Belle Plaine 2"	144	161	72	224	143	153	0	221	149	147	39	20	3	306.0	302.0	296.0	222.0	297.0
"IA"	2004	"Benton"	"Belle Plaine 3"	160	133	72	218	153	137	0	208	157	132	39	20	3	298.0	293.0	290.0	209.0	289.0
"IA"	2004	"Benton"	"Benton Canton Shellsburg"	516	538	257	778	501	516	0	741	509	518	39	20	3	1062.0	1054.0	1017.0	750.0	1029.0
"IA"	2004	"Benton"	"Big Grove Union Van Horne"	252	343	121	455	292	278	0	399	283	292	39	20	3	597.0	582.0	570.0	400.0	575.0
