state	year	county	town	g2006_USS_iv	g2006_USS_rv	g2006_ATG_rv	g2006_ATG_dv	g2006_AUD_rv	g2006_AUD_dv	g2006_GOV_rv	g2006_GOV_dv	g2006_LTG_rv	g2006_LTG_dv	g2006_SOS_dv	g2006_SOS_rv	g2006_TRE_lv	g2006_TRE_dv	g2006_USH_rv	g2006_USH_dv
"VT"	2006	"WINDSOR"	"Hartland"	1054	464	455	948	532	801	832	671	435	1113	1070	387	142	1290	519	1016
"VT"	2006	"WINDSOR"	"Ludlow"	577	409	362	515	424	484	619	348	547	434	613	334	54	858	520	480
"VT"	2006	"WINDSOR"	"Norwich"	1600	288	259	1489	331	1299	605	1273	325	1536	1598	239	93	1619	311	1595
"VT"	2006	"WINDSOR"	"Plymouth"	173	106	113	144	111	135	165	109	138	140	164	103	38	229	137	141
"VT"	2006	"WINDSOR"	"Pomfret"	363	143	139	345	195	272	266	239	188	322	393	107	129	367	202	303
"VT"	2006	"WINDSOR"	"Reading"	230	99	109	202	145	164	203	130	132	202	241	86	43	270	148	194
"VT"	2006	"WINDSOR"	"Rochester"	479	146	141	440	241	253	318	296	269	324	483	122	52	538	225	374
"VT"	2006	"WINDSOR"	"Royalton"	792	313	357	658	485	468	638	461	535	559	774	284	92	943	483	628
"VT"	2006	"WINDSOR"	"Sharon"	399	161	156	358	235	244	291	262	230	330	410	129	57	475	236	330
"VT"	2006	"WINDSOR"	"Springfield - Windsor 1-1"	31	16	17	28	20	27	29	19	19	30	35	11	1	45	19	26
"VT"	2006	"WINDSOR"	"Springfield - Windsor 1-2"	2305	1015	996	2146	1159	2011	1954	1346	1444	1868	2334	924	187	3041	1401	1908
"VT"	2006	"WINDSOR"	"Stockbridge"	210	102	102	196	138	138	166	143	153	155	222	79	24	285	127	183
"VT"	2006	"WINDSOR"	"Weathersfield"	826	377	414	712	460	634	731	460	529	667	812	371	75	1082	570	640
"VT"	2006	"WINDSOR"	"West Windsor"	365	195	180	347	221	279	344	211	205	364	390	149	48	497	247	322
"VT"	2006	"WINDSOR"	"Weston"	249	102	121	212	144	185	183	168	151	195	237	109	14	321	128	217
"VT"	2006	"WINDSOR"	"Windsor"	947	286	345	830	382	731	661	553	368	866	935	270	112	1077	419	828
"VT"	2006	"WINDSOR"	"Woodstock"	1115	531	466	1078	593	886	905	736	597	1049	1152	428	276	1279	620	1046
