state	year	county	precinct	g2010_USS_rv	g2010_USS_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_SOS_dv	g2010_SOS_rv	g2010_SOS_tv	g2010_ATG_dv	g2010_ATG_rv	g2010_ATG_tv
"SD"	2010	"Tripp"	"Clearfield"	104	104	56	84	140	57	92	149	49	90	139	43	101	144
"SD"	2010	"Tripp"	"Colome"	288	288	139	202	341	117	247	364	145	189	334	97	248	345
"SD"	2010	"Tripp"	"Hamill"	78	78	23	63	86	28	66	94	15	69	84	13	78	91
"SD"	2010	"Tripp"	"Ideal"	67	67	21	60	81	23	58	81	17	59	76	18	63	81
"SD"	2010	"Tripp"	"Lake"	128	128	35	105	140	33	121	154	30	108	138	26	120	146
"SD"	2010	"Tripp"	"Lamro"	226	226	109	168	277	82	210	292	96	183	279	54	234	288
"SD"	2010	"Tripp"	"Sully"	74	74	50	49	99	38	66	104	33	63	96	31	72	103
"SD"	2010	"Tripp"	"Winner City E 2nd"	172	172	87	128	215	71	162	233	75	137	212	62	167	229
"SD"	2010	"Tripp"	"Winner City E 3rd"	211	211	142	138	280	95	197	292	105	159	264	85	197	282
"SD"	2010	"Tripp"	"Winner City SE 1st"	127	127	60	85	145	44	116	160	39	102	141	33	123	156
"SD"	2010	"Tripp"	"Winner City W 2nd"	263	263	127	173	300	87	239	326	100	195	295	54	253	307
"SD"	2010	"Tripp"	"Winner City W 3rd"	99	99	62	62	124	52	89	141	56	71	127	46	91	137
"SD"	2010	"Tripp"	"Witten"	88	88	38	73	111	38	82	120	38	69	107	27	90	117
"SD"	2010	"Turner"	"Brothersfield/Home/Parker"	581	581	336	409	745	280	514	794	337	382	719	188	567	755
"SD"	2010	"Turner"	"Centerville/Turner"	393	393	265	242	507	251	288	539	294	217	511	179	326	505
"SD"	2010	"Turner"	"Chancellor/Germantown"	212	212	137	131	268	99	186	285	104	146	250	80	188	268
"SD"	2010	"Turner"	"Childstown/Salem/Spring Valley"	187	187	105	142	247	97	164	261	109	123	232	68	172	240
"SD"	2010	"Turner"	"Dolton/Monroe/Marion/Rosefield"	631	631	290	454	744	269	529	798	249	455	704	183	572	755
"SD"	2010	"Turner"	"Irene/Daneville"	120	120	91	69	160	90	89	179	116	58	174	72	96	168
"SD"	2010	"Turner"	"Norway/Hurley/Davis/Middleton"	362	362	230	239	469	211	293	504	268	203	471	160	323	483
"SD"	2010	"Turner"	"Viborg/Swan Lake"	292	292	222	189	411	208	227	435	267	134	401	162	251	413
"SD"	2010	"Union"	"1"	157	157	100	96	196	100	112	212	82	107	189	72	127	199
"SD"	2010	"Union"	"2"	258	258	218	150	368	170	223	393	179	174	353	158	215	373
"SD"	2010	"Union"	"3"	177	177	75	148	223	94	133	227	76	134	210	70	145	215
"SD"	2010	"Union"	"4"	104	104	55	78	133	52	80	132	52	67	119	51	76	127
"SD"	2010	"Union"	"5"	287	287	180	214	394	191	230	421	185	204	389	159	247	406
"SD"	2010	"Union"	"6"	389	389	288	240	528	258	289	547	259	251	510	207	310	517
"SD"	2010	"Union"	"7"	128	128	125	87	212	127	97	224	134	82	216	103	106	209
"SD"	2010	"Union"	"8"	596	596	365	399	764	290	508	798	339	390	729	289	463	752
"SD"	2010	"Union"	"9"	310	310	149	255	404	126	284	410	126	235	361	127	265	392
"SD"	2010	"Union"	"10"	204	204	113	166	279	108	170	278	105	131	236	112	154	266
"SD"	2010	"Union"	"11"	431	431	282	297	579	246	363	609	261	287	548	262	321	583
"SD"	2010	"Union"	"12"	330	330	144	251	395	122	284	406	127	248	375	119	272	391
"SD"	2010	"Union"	"13"	1151	1151	314	975	1289	218	1101	1319	236	994	1230	221	1048	1269
"SD"	2010	"Walworth"	"2"	74	74	27	54	81	16	70	86	22	53	75	13	71	84
"SD"	2010	"Walworth"	"3"	85	85	31	66	97	28	76	104	23	73	96	15	86	101
"SD"	2010	"Walworth"	"4"	77	77	26	59	85	18	70	88	13	68	81	13	76	89
"SD"	2010	"Walworth"	"5"	92	92	30	72	102	19	91	110	22	84	106	15	95	110
"SD"	2010	"Walworth"	"9"	70	70	23	58	81	20	67	87	23	55	78	26	60	86
"SD"	2010	"Walworth"	"10"	66	66	46	43	89	40	56	96	40	47	87	38	54	92
"SD"	2010	"Walworth"	"11"	123	123	72	86	158	46	117	163	44	104	148	35	126	161
"SD"	2010	"Walworth"	"12"	148	148	70	100	170	38	144	182	40	119	159	32	141	173
"SD"	2010	"Walworth"	"13"	115	115	67	66	133	51	100	151	49	88	137	43	104	147
"SD"	2010	"Walworth"	"15"	164	164	80	125	205	66	152	218	59	136	195	56	156	212
"SD"	2010	"Walworth"	"16"	168	168	84	115	199	57	151	208	69	115	184	65	136	201
"SD"	2010	"Walworth"	"17"	63	63	35	46	81	27	55	82	25	47	72	23	56	79
"SD"	2010	"Walworth"	"18"	109	109	54	85	139	54	95	149	46	85	131	49	100	149
"SD"	2010	"Walworth"	"19"	176	176	115	104	219	72	154	226	76	136	212	61	158	219
"SD"	2010	"Walworth"	"20"	215	215	111	150	261	78	197	275	79	161	240	55	206	261
"SD"	2010	"Yankton"	"1"	457	457	402	244	646	299	398	697	357	245	602	306	344	650
"SD"	2010	"Yankton"	"2 (Including: 28)"	790	790	624	451	1075	481	696	1177	545	476	1021	474	617	1091
"SD"	2010	"Yankton"	"3"	618	618	478	370	848	323	590	913	392	411	803	320	498	818
"SD"	2010	"Yankton"	"4"	790	790	617	436	1053	453	686	1139	512	483	995	447	608	1055
"SD"	2010	"Yankton"	"5"	1272	1272	835	785	1620	569	1158	1727	663	873	1536	528	1069	1597
"SD"	2010	"Yankton"	"9 (Including: 29)"	174	174	122	91	213	100	139	239	106	100	206	71	148	219
"SD"	2010	"Yankton"	"10 (Including: 22)"	125	125	85	83	168	71	113	184	85	85	170	63	107	170
"SD"	2010	"Yankton"	"11(08)"														
"SD"	2010	"Yankton"	"Mis Hill 11&23"	207	207	138	120	258	106	172	278	117	124	241	93	162	255
"SD"	2010	"Yankton"	"Utica/Zisk 12,24&25"	199	199	127	121	248	115	155	270	128	108	236	112	137	249
"SD"	2010	"Yankton"	"Lstrv/Zis 13,17/18"	146	146	75	97	172	69	118	187	78	89	167	66	109	175
"SD"	2010	"Yankton"	"14"	216	216	168	145	313	162	182	344	183	132	315	131	189	320
"SD"	2010	"Yankton"	"19 (Including: 16)"	89	89	68	62	130	63	80	143	57	47	104	47	75	122
"SD"	2010	"Yankton"	"23(08)"														
"SD"	2010	"Yankton"	"26"	980	980	597	648	1245	409	919	1328	509	674	1183	394	830	1224
"SD"	2010	"Yankton"	"Mayf/Wal15&20(04)"														
"SD"	2010	"Yankton"	"Lake(04)"														
"SD"	2010	"Ziebach"	"Bridger"	14	14	26	5	31	23	5		19	4	23	22	8	30
"SD"	2010	"Ziebach"	"Cherry Creek"	34	34	62	7	69	48	16		46	8	54	52	13	65
"SD"	2010	"Ziebach"	"Davis"	82	82	97	37	134	83	52		78	37	115	77	53	130
"SD"	2010	"Ziebach"	"Glad Valley"	45	45	23	39	62	30	35		19	39	58	18	45	63
"SD"	2010	"Ziebach"	"North Dupree"	41	41	38	23	61	33	32		29	31	60	28	37	65
"SD"	2010	"Ziebach"	"Red Scaffold"	32	32	46	12	58	36	19		33	13	46	40	18	58
"SD"	2010	"Ziebach"	"Redelm"	84	84	68	61	129	73	61		61	56	117	56	79	135
"SD"	2010	"Ziebach"	"South Dupree"	91	91	55	61	116	50	71		44	57	101	37	84	121
