state	year	county	precinct	cd	ld	g2002_STH_dv	g2002_STH_rv	g2002_STH_tv	ld2	g2002_STH_dv2	g2002_STH_rv2	g2002_STH_tv2	ld3	g2002_STH_dv3	g2002_STH_rv3	g2002_STH_tv3	ld4	g2002_STH_dv4	g2002_STH_rv4	g2002_STH_tv4	ld5	g2002_STH_dv5	g2002_STH_rv5	g2002_STH_tv5	ld6	g2002_STH_dv6	g2002_STH_rv6	g2002_STH_tv6	ld7	g2002_STH_dv7	g2002_STH_rv7	g2002_STH_tv7	ld8	g2002_STH_dv8	g2002_STH_rv8	g2002_STH_tv8	ld9	g2002_STH_dv9	g2002_STH_rv9	g2002_STH_tv9	ld10	g2002_STH_dv10	g2002_STH_rv10	g2002_STH_tv10	ld11	g2002_STH_dv11	g2002_STH_rv11	g2002_STH_tv11	ld12	g2002_STH_dv12	g2002_STH_rv12	g2002_STH_tv12	ld13	g2002_STH_dv13	g2002_STH_rv13	g2002_STH_tv13	g2002_STS_dv	g2002_STS_rv	sd	g2002_STS_tv	g2002_STS_dv2	g2002_STS_rv2	sd2	g2002_STS_tv2	g2002_STS_dv3	g2002_STS_rv3	sd3	g2002_STS_tv3	g2002_STS_dv4	g2002_STS_rv4	sd4	g2002_STS_tv4	g2002_STS_dv5	g2002_STS_rv5	sd5	g2002_STS_tv5	g2002_STS_dv6	g2002_STS_rv6	sd6	g2002_STS_tv6	g2002_STS_dv7	g2002_STS_rv7	sd7	g2002_STS_tv7	g2002_STS_dv8	g2002_STS_rv8	sd8	g2002_STS_tv8	g2002_STS_dv9	g2002_STS_rv9	sd9	g2002_STS_tv9	g2002_STS_dv10	g2002_STS_rv10	sd10	g2002_STS_tv10	g2002_STS_dv11	g2002_STS_rv11	sd11	g2002_STS_tv11	g2002_STS_dv12	g2002_STS_rv12	sd12	g2002_STS_tv12	g2002_STS_dv13	g2002_STS_rv13	sd13	g2002_STS_tv13
"IA"	2002	"Dickinson"	"Lakeville Twp"		3	315	0	327																																																	229	377	5	924																																																
"IA"	2002	"Dickinson"	"Lloyd Twp"		3	73	0	82																																																	99	59	5	261																																																
"IA"	2002	"Dickinson"	"Milford Twp"		3	109	0	126																																																	156	131	5	487																																																
"IA"	2002	"Dickinson"	"Okoboji Twp"		3	221	0	245																																																	369	327	5	1196																																																
"IA"	2002	"Dickinson"	"Richland Superior Twp"		3	72	0	80																																																	77	82	5	253																																																
"IA"	2002	"Dickinson"	"Silver Lake Twp"		3	225	0	233																																																	145	215	5	515																																																
"IA"	2002	"Dickinson"	"Spirit Lake City N"	5	6	165	195	367																																																	125	226	3	352																																																
"IA"	2002	"Dickinson"	"Spirit Lake City S"	5	6	487	371	881																																																	379	456	3	835																																																
"IA"	2002	"Dickinson"	"Spirit Lake Twp E"	5	6	32	31	64																																																	30	29	3	59																																																
"IA"	2002	"Dickinson"	"Spirit Lake Twp W"		3	191	0	205																																																	129	202	5	478																																																
"IA"	2002	"Dickinson"	"Westport Twp"		3	21	0	27																																																	23	19	5	66																																																
"IA"	2002	"Dubuque"	"Absentee and Special Ballots"	1	28	2889	0	3021	27	2978	0	2995	32	585	837	1425	31	467	400	868	25	369	0	373																																	34	32	16	69	5	1	13	6			14	0			14	0			14	0																																
"IA"	2002	"Dubuque"	"Asbury"	1	32	309	613	922																																																	535	396	16	931																																																
"IA"	2002	"Dubuque"	"Cascade/Whitewater Twps"	1	31	322	340	662																																																	305	354	16	659																																																
"IA"	2002	"Dubuque"	"Center Twp/Centralia"	1	32	181	260	441																																																	277	171	16	448																																																
"IA"	2002	"Dubuque"	"Concord/Iowa Twps"	1	32	77	290	367																																																	250	122	16	372																																																
"IA"	2002	"Dubuque"	"Dodge Twp"	1	31	110	224	335																																																	131	209	16	340																																																
"IA"	2002	"Dubuque"	"Dubuque 1"	1	28	405	0	413																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 10"	1	27	245	0	251																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 11"	1	27	296	0	301																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 12"	1	27	613	0	621																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 13"	1	27	495	0	497																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 14"	1	27	442	0	447																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 15"	1	27	332	0	341																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 16"	1	27	500	0	504																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 17"	1	28	131	0	132																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 18"	1	28	386	0	395																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 19"	1	28	265	0	275																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 2"	1	28	557	0	560																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 20"	1	28	556	0	559																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 21"	1	28	649	0	649																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 3"	1	28	591	0	596																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 4"	1	28	438	0	443																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 5"	1	28	541	0	546																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 6"	1	27	420	0	424																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 7"	1	27	384	0	388																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 8"	1	27	588	0	593																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque 9"	1	27	535	0	536																																																	0	0	14	0																																																
"IA"	2002	"Dubuque"	"Dubuque North Twp"	1	32	256	355	611																																																	352	272	16	625																																																
"IA"	2002	"Dubuque"	"Dyersville 1"	1	32	53	394	447																																																	169	273	16	442																																																
"IA"	2002	"Dubuque"	"Dyersville 2"	1	32	84	275	360																																																	167	187	16	355																																																
"IA"	2002	"Dubuque"	"Dyersville 3"	1	32	79	394	473																																																	197	265	16	462																																																
"IA"	2002	"Dubuque"	"Farley"	1	31	208	211	419																																																	306	119	16	425																																																
"IA"	2002	"Dubuque"	"Jefferson/Peru Twps"	1	32	269	466	735																																																	443	284	16	728																																																
"IA"	2002	"Dubuque"	"Liberty Twp"	1	32	30	214	244																																																	108	131	16	239																																																
"IA"	2002	"Dubuque"	"Mosalem/Table Mound So./Washington Twps"	1	25	656	0	660																																																	538	300	13	838																																																
"IA"	2002	"Dubuque"	"New Wine Twp"	1	32	32	349	381																																																	134	236	16	371																																																
"IA"	2002	"Dubuque"	"Prairie Creek Twp"	1	31	110	101	211																																																	130	81	16	211																																																
"IA"	2002	"Dubuque"	"Table Mound North Twp"	1	25	277	0	279																																																	185	221	13	408																																																
"IA"	2002	"Dubuque"	"Taylor Twp"	1	31	305	296	601																																																	378	228	16	606																																																
"IA"	2002	"Dubuque"	"Vernon Twp"	1	31	203	374	577																																																	332	239	16	572																																																
"IA"	2002	"Emmet"	"Absentee and Special Ballots"	4	7	302	0	303																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 1"	4	7	289	0	290																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 10"	4	7	197	0	201																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 11"	4	7	149	0	151																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 2"	4	7	98	0	101																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 3"	4	7	200	0	202																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 4"	4	7	83	0	84																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 5"	4	7	130	0	136																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 6"	4	7	282	0	286																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 7"	4	7	233	0	236																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 8"	4	7	216	0	218																																																	0	0	4	0																																																
"IA"	2002	"Emmet"	"Precinct 9"	4	7	189	0	189																																																	0	0	4	0																																																
"IA"	2002	"Fayette"	"Absentee and Special Ballots"	1	18	904	602	1506	24	132	157	289	23	12	9	21																																									843	613	9	1456			12	0			12	0																																								
"IA"	2002	"Fayette"	"Auburn Twp"	1	18	104	77	181																																																	88	85	9	173																																																
"IA"	2002	"Fayette"	"Banks Twp"	1	18	55	75	130																																																	36	89	9	125																																																
"IA"	2002	"Fayette"	"Bethel Twp"	1	18	48	46	94																																																	36	52	9	88																																																
"IA"	2002	"Fayette"	"Center Twp"	1	18	33	73	106																																																	37	63	9	100																																																
"IA"	2002	"Fayette"	"Clermont Twp"	1	18	92	186	278																																																	90	161	9	251																																																
"IA"	2002	"Fayette"	"Dover Twp"	1	18	52	109	161																																																	52	94	9	146																																																
"IA"	2002	"Fayette"	"Eden Twp"	1	18	71	98	169																																																	79	81	9	160																																																
"IA"	2002	"Fayette"	"Fairbank Inc"	1	23	45	25	70																																																	0	0	12	0																																																
"IA"	2002	"Fayette"	"Fairfield Twp"	1	24	109	113	222																																																	0	0	12	0																																																
"IA"	2002	"Fayette"	"Fremont Twp"	1	18	70	104	174																																																	65	99	9	164																																																
"IA"	2002	"Fayette"	"Harlan Twp"	1	18	100	165	265																																																	101	144	9	245																																																
"IA"	2002	"Fayette"	"Illyria Twp"	1	24	107	66	173																																																	0	0	12	0																																																
"IA"	2002	"Fayette"	"Jefferson Twp"	1	18	84	68	152																																																	92	53	9	145																																																
"IA"	2002	"Fayette"	"Oelwein Ward 1"	1	18	225	171	396																																																	211	166	9	377																																																
"IA"	2002	"Fayette"	"Oelwein Ward 2"	1	18	178	142	320																																																	195	121	9	316																																																
"IA"	2002	"Fayette"	"Oelwein Ward 3"	1	18	206	135	341																																																	208	121	9	329																																																
"IA"	2002	"Fayette"	"Oelwein Ward 4"	1	18	225	233	458																																																	223	211	9	434																																																
"IA"	2002	"Fayette"	"Oran Twp"	1	18	60	69	129																																																	57	68	9	125																																																
"IA"	2002	"Fayette"	"Pleasant Valley Twp"	1	24	144	172	316																																																	0	0	12	0																																																
"IA"	2002	"Fayette"	"Putnam Twp"	1	24	31	67	98																																																	0	0	12	0																																																
"IA"	2002	"Fayette"	"Scott Twp"	1	24	25	52	77																																																	0	0	12	0																																																
"IA"	2002	"Fayette"	"Smithfield Twp"	1	24	45	55	100																																																	0	0	12	0																																																
"IA"	2002	"Fayette"	"Union Twp"	1	18	41	105	146																																																	46	88	9	134																																																
"IA"	2002	"Fayette"	"West Union Ward 1"	1	18	138	175	313																																																	124	163	9	287																																																
"IA"	2002	"Fayette"	"West Union Ward 2"	1	18	89	120	209																																																	69	115	9	184																																																
"IA"	2002	"Fayette"	"West Union Ward 3"	1	18	119	155	274																																																	98	147	9	245																																																
"IA"	2002	"Fayette"	"Westfield Twp."	1	24	171	173	344																																																	0	0	12	0																																																
"IA"	2002	"Fayette"	"Windsor Twp."	1	18	92	157	249																																																	91	140	9	231																																																
"IA"	2002	"Floyd"	"Absentee and Special Ballots"	4	14	1243	0	1282																																																	904	617	7	1570																																																
"IA"	2002	"Floyd"	"Cedar Niles"	4	14	158	0	158																																																	112	70	7	194																																																
"IA"	2002	"Floyd"	"Charles City 1"	4	14	302	0	302																																																	207	140	7	359																																																
"IA"	2002	"Floyd"	"Charles City 2"	4	14	323	0	323																																																	228	148	7	390																																																
"IA"	2002	"Floyd"	"Charles City 3"	4	14	319	0	319																																																	241	16	7	280																																																
"IA"	2002	"Floyd"	"Charles City 4"	4	14	322	0	322																																																	212	181	7	406																																																
"IA"	2002	"Floyd"	"Floyd"	4	14	202	0	202																																																	144	113	7	270																																																
"IA"	2002	"Floyd"	"Pleasant Grove Riverton"	4	14	123	0	123																																																	78	63	7	152																																																
"IA"	2002	"Floyd"	"Rock Grove Nora Springs"	4	14	350	0	350																																																	263	139	7	427																																																
"IA"	2002	"Floyd"	"Rockford"	4	14	276	0	276																																																	205	114	7	348																																																
"IA"	2002	"Floyd"	"Rudd"	4	14	134	0	134																																																	79	85	7	179																																																
