state	year	precinct	ward	cd	ld_name	ld_code	sd	mcd	mcd_code	vtd	fips	g2004_BALL_tv	g2004_USP_rv	g2004_USP_dv	g2004_USP_tv	g2004_USH_rv	g2004_USH_dv	g2004_USH_tv	g2004_STH_rv	g2004_STH_dv	g2004_STH_tv
"MN"	2004	"0045 - 5-B ZIPPLE UNORG"		7	"03A"	5	3	"Rainy River Unorganized"	21	45	4027	67	41	25	66	28	38	66	0	44	61
"MN"	2004	"0046 - 4-C N MCDOUGALD UNORG"		7	"03A"	5	3	"Rainy River Unorganized"	21	46	4027	61	43	16	63	20	39	59	0	35	54
"MN"	2004	"0055 - 3-B WILLIAMS CITY"		7	"03A"	5	3	"Williams city"	30	55	70402	91	42	45	93	19	71	90	0	70	88
"MN"	2004	"AUSTIN W-1 P-1"	1	1	"27B"	54	27	"Austin city"	2908	15	2908	1920	655	1231	1934	880	907	1837	841	999	1842
"MN"	2004	"AUSTIN W-1 P-2"	1	1	"27B"	54	27	"Austin city"	2908	20	2908	2114	708	1350	2124	891	1078	2049	954	1102	2060
"MN"	2004	"AUSTIN W-2 P-1"	2	1	"27B"	54	27	"Austin city"	2908	30	2908	1821	672	1111	1833	859	853	1767	900	876	1776
"MN"	2004	"AUSTIN W-2 P-2"	2	1	"27B"	54	27	"Austin city"	2908	35	2908	2386	946	1388	2394	1243	1008	2313	1245	1072	2318
"MN"	2004	"AUSTIN W-3 P-1"	3	1	"27B"	54	27	"Austin city"	2908	50	2908	1428	377	1029	1433	520	819	1389	515	878	1396
"MN"	2004	"AUSTIN W-3 P-2"	3	1	"27B"	54	27	"Austin city"	2908	55	2908	2068	572	1451	2074	776	1151	2002	813	1194	2007
"MN"	2004	"CROOKSTON W-1"	1	7	"01B"	2	1	"Crookston city"	65	65	13870	540	275	252	545	124	386	512	256	273	530
"MN"	2004	"CROOKSTON W-2"	2	7	"01B"	2	1	"Crookston city"	65	70	13870	715	350	354	719	157	539	696	294	415	710
"MN"	2004	"CROOKSTON W-3"	3	7	"01B"	2	1	"Crookston city"	65	75	13870	621	333	272	615	153	437	590	287	314	603
"MN"	2004	"CROOKSTON W-4"	4	7	"01B"	2	1	"Crookston city"	65	80	13870	571	244	311	587	119	431	551	231	331	565
