state	year	precinct_code	precinct	g2008_REG_tv	g2008_USP_tv	g2008_USP_dv	g2008_USP_rv	g2008_USS_tv	g2008_USS_dv	g2008_USS_rv	g2008_USH_tv	g2008_USH_dv	g2008_USH_rv	g2008_STS_tv	g2008_STS_dv	g2008_STS_rv	g2008_STH_tv	g2008_STH_dv	g2008_STH_rv
"AK"	2008	"01-000"	"District 1 - Absentee"	11174	1891	816	1013	1780	829	813	1788	764	927	1319		1241	1326		1261
"AK"	2008	"01-000"	"District 1 - Early Voting"	11174	12	6	5	13	5	8	13	7	6	10		10	8		8
"AK"	2008	"01-000"	"District 1 - Question"	11174	442	168	261	365	165	166	366	141	193	259		253	249		245
"AK"	2008	"01-110"	"01-110 Ketchikan No. 1"	2152	726	322	374	715	369	303	715	333	337	596		567	609		582
"AK"	2008	"01-120"	"01-120 Ketchikan No. 2"	2294	964	368	559	952	404	495	948	363	526	790		768	808		784
"AK"	2008	"01-130"	"01-130 Ketchikan No. 3"	1664	692	228	447	689	286	350	689	248	408	610		592	604		588
"AK"	2008	"01-140"	"01-140 North Tongass No. 1"	846	359	89	262	355	112	218	355	98	238	318		310	317		307
"AK"	2008	"01-150"	"01-150 North Tongass No. 2"	1654	758	220	519	744	310	405	753	250	478	638		627	637		626
"AK"	2008	"01-160"	"01-160 Saxman"	281	147	83	60	147	80	54	147	68	64	128		119	130		122
"AK"	2008	"01-170"	"01-170 South Tongass"	1572	680	233	430	678	271	370	672	244	403	570		551	584		563
"AK"	2008	"01-180"	"01-180 Thorne Bay"	551	217	44	161	213	59	120	213	59	137	183		180	178		173
"AK"	2008	"01-185"	"01-185 Coffman Cove"	160	82	20	58	79	22	50	82	16	63	70		68	70		68
"AK"	2008	"02-000"	"District 2 - Absentee"	11755	2167	1070	1042	2077	1153	794	2081	1070	903	1564		1485	2006	884	1113
"AK"	2008	"02-000"	"District 2 - Early Voting"	11755	21	9	12	19	11	6	21	10	8	19		19	20	5	15
"AK"	2008	"02-000"	"District 2 - Question"	11755	249	93	147	189	100	68	188	66	101	88		84	97	51	46
"AK"	2008	"02-210"	"02-210 Sitka No. 1"	2379	986	512	438	968	612	316	969	561	371	826		775	974	528	443
"AK"	2008	"02-220"	"02-220 Sitka No. 2"	2145	955	470	461	946	539	368	946	482	428	773		739	950	478	468
"AK"	2008	"02-230"	"02-230 Halibut Point"	1278	582	266	300	575	345	202	576	314	230	483		459	576	287	289
"AK"	2008	"02-240"	"02-240 Sawmill Creek"	1402	647	319	301	641	377	240	643	361	261	536		515	642	337	302
"AK"	2008	"02-250"	"02-250 Petersburg/Kupreanof"	2661	1179	465	675	1151	588	501	1162	537	582	949		929	1159	389	765
"AK"	2008	"02-260"	"02-260 Wrangell"	1618	853	231	599	838	321	467	845	271	540	750		741	851	147	704
"AK"	2008	"02-285"	"02-285 Pelican/Elfin Cove"	205	72	21	43	72	32	32	74	35	36	57		54	68	18	49
"AK"	2008	"02-295"	"02-295 Port Alexander"	67	24	12	11	23	13	9	22	8	12	15		15	22	8	14
"AK"	2008	"03-000"	"District 3 - Absentee"	12802	2463	1777	613	2388	1775	531	2367	1763	541				2028	1942	
"AK"	2008	"03-000"	"District 3 - Early Voting"	12802	822	578	229	819	620	180	817	615	181				702	675	
"AK"	2008	"03-000"	"District 3 - Question"	12802	559	335	196	477	316	120	481	290	143				209	203	
"AK"	2008	"03-300"	"03-300 Douglas"	1823	761	487	247	754	523	213	753	520	219				654	618	
"AK"	2008	"03-310"	"03-310 Juneau No. 1"	980	324	227	84	322	253	59	322	248	67				291	278	
"AK"	2008	"03-320"	"03-320 Juneau No. 2"	1057	351	291	49	346	289	49	348	299	45				314	304	
"AK"	2008	"03-330"	"03-330 Juneau No. 3"	1517	616	464	132	616	493	103	612	486	114				555	542	
"AK"	2008	"03-340"	"03-340 Juneau No. 4"	1492	557	322	222	551	353	183	552	346	192				471	438	
"AK"	2008	"03-350"	"03-350 Juneau Airport Area"	1374	522	215	283	521	291	201	516	272	223				426	396	
"AK"	2008	"03-360"	"03-360 Lemon Creek"	1233	508	223	262	506	309	177	508	277	217				440	421	
"AK"	2008	"03-370"	"03-370 North Douglas"	1393	596	371	210	596	414	169	592	408	174				526	502	
"AK"	2008	"03-380"	"03-380 Salmon Creek"	1009	387	224	155	383	266	108	383	259	117				333	319	
"AK"	2008	"03-390"	"03-390 Switzer Creek"	924	301	143	147	299	179	109	299	164	122				256	245	
"AK"	2008	"04-000"	"District 4 - Absentee"	12662	1518	829	654	1435	882	488	1433	848	535				1335	653	672
"AK"	2008	"04-000"	"District 4 - Early Voting"	12662	1734	968	723	1720	1152	513	1711	1097	574				1715	944	769
"AK"	2008	"04-000"	"District 4 - Question"	12662	487	224	246	408	222	159	407	198	176				218	103	115
"AK"	2008	"04-410"	"04-410 Mendenhall Valley No. 1"	2277	787	310	451	782	441	301	779	405	340				774	346	427
"AK"	2008	"04-420"	"04-420 Mendenhall Valley No. 2"	2401	817	295	493	805	430	339	809	379	394				809	355	451
"AK"	2008	"04-430"	"04-430 Mendenhall Valley No. 3"	2192	928	362	532	924	506	372	918	450	439				920	383	537
"AK"	2008	"04-440"	"04-440 Mendenhall Valley No. 4"	2568	1062	443	580	1050	576	425	1052	524	481				1047	418	627
"AK"	2008	"04-450"	"04-450 Auke Bay/Fritz Cove"	2013	811	422	363	803	473	290	803	457	305				801	390	411
"AK"	2008	"04-460"	"04-460 Lynn Canal"	1211	592	308	260	589	368	207	589	364	210				589	283	306
"AK"	2008	"05-000"	"District 5 - Absentee"	11058	1890	970	841	1845	1045	633	1846	1009	702	1640	1156		1723	786	929
"AK"	2008	"05-000"	"District 5 - Early Voting"	11058	75	37	32	76	44	28	75	37	33	68	46		75	27	48
"AK"	2008	"05-000"	"District 5 - Question"	11058	247	108	124	172	88	67	172	71	79	61	41		61	20	41
"AK"	2008	"05-500"	"05-500 Angoon"	478	189	109	70	191	139	43	189	103	74	179	139		189	67	122
"AK"	2008	"05-502"	"05-502 Cordova"	1770	789	328	441	783	408	338	783	400	352	721	527		764	247	517
"AK"	2008	"05-504"	"05-504 Craig"	974	462	199	229	454	250	161	450	199	215	419	269		441	173	267
"AK"	2008	"05-506"	"05-506 Gustavus"	472	200	118	76	197	124	57	194	115	66	180	125		191	93	97
"AK"	2008	"05-510"	"05-510 Haines No. 1"	1988	913	400	478	903	497	357	897	426	416	854	686		902	328	573
"AK"	2008	"05-512"	"05-512 Haines Highway"	305	151	67	79	152	86	54	149	81	59	135	112		149	55	94
"AK"	2008	"05-514"	"05-514 Hoonah"	712	332	156	168	329	197	114	328	171	137	325	187		326	86	240
"AK"	2008	"05-516"	"05-516 Hydaburg"	251	97	70	23	97	71	24	96	58	36	95	77		96	53	41
"AK"	2008	"05-518"	"05-518 Kake"	412	178	84	86	177	116	51	173	95	70	175	148		176	43	133
"AK"	2008	"05-525"	"05-525 Kasaan"	47	21	10	8	21	12	8	20	6	12	21	17		18	5	13
"AK"	2008	"05-530"	"05-530 Klawock"	877	268	111	140	266	122	124	264	102	144	245	164		260	94	164
"AK"	2008	"05-535"	"05-535 Klukwan"	82	49	15	33	49	19	28	48	14	32	49	46		50	5	45
"AK"	2008	"05-540"	"05-540 Metlakatla"	949	528	227	285	519	242	250	519	160	323	506	451		515	171	342
"AK"	2008	"05-550"	"05-550 Skagway"	986	393	214	155	392	236	125	387	228	127	371	288		380	143	233
"AK"	2008	"05-556"	"05-556 Tatitlek"	140	24	12	12	24	13	11	24	10	13	24	21		23	11	12
"AK"	2008	"05-565"	"05-565 Tenakee"	139	60	32	25	60	38	17	61	39	17	56	40		57	28	29
"AK"	2008	"05-570"	"05-570 Yakutat"	476	257	126	121	255	143	91	254	118	117	244	171		244	110	133
"AK"	2008	"06-000"	"District 6 - Absentee"	10594	1435	442	932	1399	579	663	1395	530	733	1158	588		1256	552	693
"AK"	2008	"06-000"	"District 6 - Early Voting"	10594	173	79	90	174	87	73	172	89	74	152	111		167	117	50
"AK"	2008	"06-000"	"District 6 - Question"	10594	424	161	244	323	172	131	319	123	169	101	69		101	67	34
"AK"	2008	"06-505"	"06-505 Allakaket"	129	64	35	26	65	53	11	65	42	15	65	60		65	60	5
"AK"	2008	"06-510"	"06-510 Aniak"	328	148	64	82	147	81	64	147	75	70	136	89		144	77	67
"AK"	2008	"06-515"	"06-515 Anvik"	60	29	9	18	29	18	11	29	10	19	29	24		29	21	7
"AK"	2008	"06-520"	"06-520 Arctic Village"	100	66	49	15	67	63	3	67	60	6	67	63		67	66	1
"AK"	2008	"06-525"	"06-525 Beaver"	64	27	20	4	27	16	8	27	18	7	27	26		27	20	7
"AK"	2008	"06-530"	"06-530 Bettles"	104	21	13	7	21	10	10	20	9	9	17	13		19	12	7
"AK"	2008	"06-533"	"06-533 Central"	181	50	12	35	49	16	28	50	15	31	42	19		50	19	31
"AK"	2008	"06-537"	"06-537 Chistochina"	240	102	17	84	101	29	69	101	23	75	90	37		95	32	63
"AK"	2008	"06-540"	"06-540 Chuathbaluk"	60	28	12	15	27	17	6	28	11	12	28	21		28	13	14
"AK"	2008	"06-542"	"06-542 Circle"	68	36	11	25	36	24	12	36	21	12	36	32		36	32	4
"AK"	2008	"06-543"	"06-543 Copper Center"	820	283	65	211	280	109	151	278	105	155	255	143		273	113	157
