state	year	county_code	county	precinct_code	precinct	cd	sd	ld	g2008_REG_dv	g2008_REG_rv	g2008_REG_ov	g2008_REG_mv	g2008_REG_fv	g2008_REG_tv	g2008_USP_dv	g2008_USS_rv	g2008_USS_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_tv
"KY"	2008	81	"MASON"	"A101"	"MAYSVILLE 1 & 2"	4	18	70	202	67	28	130	167	297	69	54	69	53	128	123
"KY"	2008	81	"MASON"	"A102"	"MAYSVILLE 2A & 3"	4	18	70	203	74	28	149	156	305	78	49	73	46	126	122
"KY"	2008	81	"MASON"	"A103"	"MAYSVILLE 4 & 4A"	4	18	70	241	51	23	139	176	315	121	31	104	24	147	135
"KY"	2008	81	"MASON"	"A104"	"MAYSVILLE 5 & 5A"	4	18	70	301	86	27	178	236	414	100	96	108	106	208	204
"KY"	2008	81	"MASON"	"A105"	"MAYSVILLE #6"	4	18	70	202	64	19	118	167	285	89	66	82	61	152	148
"KY"	2008	81	"MASON"	"A106"	"MAYSVILLE 6A & 6B"	4	18	70	295	68	29	164	228	392	93	73	95	81	175	168
"KY"	2008	81	"MASON"	"A107"	"MAYSVILLE #6C"	4	18	70	261	75	24	140	220	360	78	90	89	107	192	179
"KY"	2008	81	"MASON"	"A108"	"MAYSVILLE 6D & E"	4	18	70	365	101	48	202	311	514	131	92	130	95	233	222
"KY"	2008	81	"MASON"	"A109"	"PLUGTOWN"	4	18	70	394	187	38	302	317	619	154	208	157	209	368	365
"KY"	2008	81	"MASON"	"A99"	"MAGIS.DIST. TOTALS"	0	0	0	2464	773	264	1522	1978	3501						
"KY"	2008	81	"MASON"	"B102"	"DOVER"	4	18	70	302	93	31	208	218	426	90	134	101	147	240	235
"KY"	2008	81	"MASON"	"B103"	"MINERVA"	4	18	70	158	43	14	111	104	215	41	82	53	94	139	135
"KY"	2008	81	"MASON"	"B104"	"FERNLEAF & GERMANTOWN"	4	18	70	537	195	42	370	404	774	166	235	182	251	426	417
"KY"	2008	81	"MASON"	"B105"	"MURPHYSVILLE & SARDIS"	4	18	70	344	153	33	259	271	530	81	190	94	201	287	284
"KY"	2008	81	"MASON"	"B106"	"MAYSLICK"	4	18	70	480	233	48	379	382	761	171	259	195	287	464	454
"KY"	2008	81	"MASON"	"B107"	"WASHINGTON"	4	18	70	976	461	95	716	816	1532	316	584	364	632	965	948
"KY"	2008	81	"MASON"	"B108"	"KENTON STATION 16A"	4	18	70	337	127	27	203	288	491	101	164	113	172	279	277
"KY"	2008	81	"MASON"	"B99"	"MAGIS.DIST. TOTALS"	0	0	0	3134	1305	290	2246	2483	4729						
"KY"	2008	81	"MASON"	"C102"	"HILLTOP"	4	18	70	731	334	71	539	597	1136	250	414	252	429	686	666
"KY"	2008	81	"MASON"	"C103"	"HELENA & LEWISBURG"	4	18	70	600	254	51	439	465	905	197	313	248	351	568	561
"KY"	2008	81	"MASON"	"C104"	"LIMESTONE & PLUMVILLE"	4	18	70	481	192	38	330	381	711	140	162	146	177	326	308
"KY"	2008	81	"MASON"	"C105"	"RECTORVILLE & ORANGEBURG"	4	18	70	704	298	76	546	532	1078	200	296	219	323	529	515
"KY"	2008	81	"MASON"	"C99"	"MAGIS.DIST. TOTALS"	0	0	0	2516	1078	236	1854	1975	3830						
"KY"	2008	81	"MASON"	"AB"	"ABSENTEE"										225	255	221	256	483	476
"KY"	2008	81	"MASON"	"9999"	"TOTAL ALL PRECINCTS"	0	0	0	8114	3156	790	5622	6436	12060						
"KY"	2008	82	"MEADE"	"A101"	"MULDRAUGH"	2	5	27	631	268	72	465	506	971	214	261	260	318	542	521
"KY"	2008	82	"MEADE"	"A102"	"WOODLAND"	2	5	27	533	339	100	482	490	972	170	320	231	383	558	551
"KY"	2008	82	"MEADE"	"A103"	"GRAHAMTON"	2	5	27	415	287	111	355	458	813	129	177	140	188	322	317
"KY"	2008	82	"MEADE"	"A99"	"MAGIS.DIST. TOTALS"	0	0	0	1579	894	283	1302	1454	2756						
"KY"	2008	82	"MEADE"	"B101"	"WELDON-DOE RUN"	2	5	27	941	436	65	706	736	1442	332	421	398	473	821	819
"KY"	2008	82	"MEADE"	"B102"	"ROCKHAVEN-DOE VALLEY"	2	5	27	1060	739	145	935	1008	1944	433	723	507	796	1245	1230
"KY"	2008	82	"MEADE"	"B99"	"MAGIS.DIST. TOTALS"	0	0	0	2001	1175	210	1641	1744	3386						
"KY"	2008	82	"MEADE"	"C101"	"FLAHERTY"	2	5	27	614	364	64	507	535	1042	263	357	305	399	670	662
"KY"	2008	82	"MEADE"	"C102"	"GUSTON"	2	5	27	573	233	43	427	422	849	180	265	237	314	508	502
"KY"	2008	82	"MEADE"	"C103"	"OTTER CREEK"	2	5	27	496	397	88	467	514	981	194	327	239	365	565	566
"KY"	2008	82	"MEADE"	"C99"	"MAGIS.DIST. TOTALS"	0	0	0	1683	994	195	1401	1471	2872						
"KY"	2008	82	"MEADE"	"D101"	"BRANDENBURG WEST"	2	5	27	843	316	49	569	639	1208	348	375	374	403	762	749
"KY"	2008	82	"MEADE"	"D102"	"ASHCRAFT"	2	5	27	641	220	35	429	467	896	230	308	294	365	600	602
"KY"	2008	82	"MEADE"	"D103"	"BRANDENBURG EAST"	2	5	27	675	252	50	401	576	977	248	243	277	267	526	520
"KY"	2008	82	"MEADE"	"D99"	"MAGIS.DIST. TOTALS"	0	0	0	2159	788	134	1399	1682	3081						
"KY"	2008	82	"MEADE"	"E101"	"EKRON"	2	5	27	668	217	45	467	463	930	214	301	261	340	571	562
"KY"	2008	82	"MEADE"	"E102"	"BUCKGROVE"	2	5	27	578	301	45	437	487	924	203	309	245	363	571	554
"KY"	2008	82	"MEADE"	"E103"	"GARRETT"	2	5	27	567	454	96	557	560	1117	192	373	250	432	632	623
