state	year	county	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USH_dv	g2004_USH_rv	g2004_USP_tv	g2004_USH_tv
"WY"	2004	"Carbon"	"Pershing Elementary School/Rawlins 1-1"	300	291	349	222	591	571
"WY"	2004	"Carbon"	"Jeffrey Center/Rawlins 1-2"	76	141	105	109	217	214
"WY"	2004	"Carbon"	"Jeffrey Center/Rawlins 2-1"	207	398	313	268	605	581
"WY"	2004	"Carbon"	"Jeffrey Center/Rawlins 2-2"	248	544	408	375	792	783
"WY"	2004	"Carbon"	"Jeffrey Center/Rawlins 3-1"	222	386	330	272	608	602
"WY"	2004	"Carbon"	"Jeffrey Center/Rawlins 3-2"	254	438	364	302	692	666
"WY"	2004	"Carbon"	"Muddy Gap Fire Station  4-1"	6	21	8	17	27	25
"WY"	2004	"Carbon"	"Sinclair Town Hall 5-1"	79	198	115	158	277	273
"WY"	2004	"Carbon"	"Hanna Town Hall 6-1"	3	35	8	29	38	37
"WY"	2004	"Carbon"	"Medicine Bow Senior Center 7-1"	43	131	71	100	174	171
"WY"	2004	"Carbon"	"Hanna Town Hall 8-1"	151	261	196	202	412	398
"WY"	2004	"Carbon"	"Elk Mountain Senior Center 9-1"	23	138	45	121	161	166
"WY"	2004	"Carbon"	"McFadden Fire Station 10-1"	3	54	8	48	57	56
"WY"	2004	"Carbon"	"Saratoga Senior Center 11-1"	283	659	358	570	942	928
"WY"	2004	"Carbon"	"Saratoga Senior Center 11-2"	66	286	86	256	352	342
"WY"	2004	"Carbon"	"Encampment Senior Center 12-1"	84	236	124	194	320	318
"WY"	2004	"Carbon"	"Riverside Town Hall 13-1"	57	188	88	149	245	237
"WY"	2004	"Carbon"	"Dixon Senior Center 14-1"	17	103	30	78	120	108
"WY"	2004	"Carbon"	"Baggs Senior Center 15-1"	36	250	64	212	286	276
"WY"	2004	"Converse"	"Lost Springs Hall 1-1"	5	84	13	72	89	85
"WY"	2004	"Converse"	"Douglas Rec Center 2-2"	65	256	109	203	321	312
"WY"	2004	"Converse"	"White School 3-1"	14	153	38	126	167	164
"WY"	2004	"Converse"	"Douglas Rec Center 4-4"	69	285	120	234	354	354
"WY"	2004	"Converse"	"Glenrock Rec Center 6-6"	34	213	75	172	247	247
"WY"	2004	"Converse"	"Douglas Rec Center 7-7"	27	171	43	154	198	197
"WY"	2004	"Converse"	"Douglas Rec Center 8-8"	45	225	71	185	270	256
"WY"	2004	"Converse"	"Glenrock Rec Center 9-1"	137	478	248	373	615	621
"WY"	2004	"Converse"	"Glenrock Rec Center 9-2"	113	360	189	277	473	466
"WY"	2004	"Converse"	"Glenrock Rec Center 10-10"	63	233	94	193	296	287
"WY"	2004	"Converse"	"Glenrock Rec Center 11-11"	39	149	64	123	188	187
"WY"	2004	"Converse"	"Dry Creek School 13-13"	2	103	12	93	105	105
"WY"	2004	"Converse"	"Douglas Rec Center 20-20"	7	81	21	66	88	87
"WY"	2004	"Converse"	"Douglas Rec Center 23-1"	69	209	100	171	278	271
"WY"	2004	"Converse"	"Douglas Rec Center 23-2"	110	286	150	228	396	378
"WY"	2004	"Converse"	"Douglas Rec Center 23-3"	79	273	138	198	352	336
"WY"	2004	"Converse"	"Douglas Rec Center 23-4"	71	168	107	128	239	235
"WY"	2004	"Converse"	"Douglas Rec Center 23-5"	109	263	152	213	372	365
"WY"	2004	"Converse"	"Douglas Rec Center 23-6"	126	457	215	360	583	575
"WY"	2004	"Crook"	"Sundance Inside North - Courthouse 1-1"	73	258	86	242	331	328
"WY"	2004	"Crook"	"Sundance Inside South - Courthouse 1-2"	57	244	90	198	301	288
"WY"	2004	"Crook"	"Sundance Outside - Courthouse 2-2"	82	348	113	303	430	416
"WY"	2004	"Crook"	"Beulah Community Bldg. 3-3"	21	108	26	98	129	124
"WY"	2004	"Crook"	"Aladdin Community Bldg  7-7"	20	158	30	144	178	174
"WY"	2004	"Crook"	"Alva Church 9-9"	5	73	7	72	78	79
"WY"	2004	"Crook"	"Tower Junction - Camp Beard 11-11"	27	178	36	166	205	202
"WY"	2004	"Crook"	"Elmore - Barton Ranch Voting Booth 12-12"	26	142	28	129	168	157
"WY"	2004	"Crook"	"Hulett Outside - Civic Center 13-13"	17	227	31	208	244	239
"WY"	2004	"Crook"	"Hulett Inside - Civic Center 14-14"	34	149	47	134	183	181
"WY"	2004	"Crook"	"Pine Haven Town Hall 15-15"	39	185	57	163	224	220
"WY"	2004	"Crook"	"Moorcroft Outside -Baptist Church 16-16"	27	228	46	201	255	247
"WY"	2004	"Crook"	"Moorcroft West Side - City Hall 18-1"	44	184	75	156	228	231
"WY"	2004	"Crook"	"Moorcroft East Side - City Hall 18-2"	23	193	46	166	216	212
"WY"	2004	"Crook"	"New Haven Community Bldg. 23-23"	2	56	4	57	58	61
"WY"	2004	"Crook"	"Colony Community Bldg. 24-24"	3	51	7	48	54	55
"WY"	2004	"Crook"	"Oshoto Community Bldg. 26-26"	1	54	9	45	55	54
"WY"	2004	"Fremont"	"Lander Community Center 1-1"	238	465	293	392	703	685
"WY"	2004	"Fremont"	"Lander Community Center 1-2"	167	207	202	172	374	374
"WY"	2004	"Fremont"	"Lander Community Center 1-3"	261	336	309	270	597	579
"WY"	2004	"Fremont"	"Lander Community Center 1-4"	195	308	239	239	503	478
"WY"	2004	"Fremont"	"Lander Community Center 1-5"	274	475	371	362	749	733
"WY"	2004	"Fremont"	"Lander Community Center 1-6"	226	351	305	280	577	585
"WY"	2004	"Fremont"	"Hudson Town Hall 2-1"	92	202	109	172	294	281
"WY"	2004	"Fremont"	"Riverton Fair Office 3-1"	213	550	296	448	763	744
"WY"	2004	"Fremont"	"Riverton Fair Office 3-2"	84	239	138	179	323	317
"WY"	2004	"Fremont"	"Riverton Fair Office 3-3"	182	587	293	471	769	764
"WY"	2004	"Fremont"	"Riverton Fair Office 3-4"	147	340	192	282	487	474
"WY"	2004	"Fremont"	"Riverton Fair Office 3-5"	281	783	394	621	1064	1015
"WY"	2004	"Fremont"	"Riverton Fair Office 3-6"	171	673	297	530	844	827
"WY"	2004	"Fremont"	"Ft. Washakie School Admin. 4-1"	389	141	363	158	530	521
"WY"	2004	"Fremont"	"Lander Community Center 5-1"	354	778	463	656	1132	1119
"WY"	2004	"Fremont"	"Lander Community Center 6-1"	128	303	169	251	431	420
"WY"	2004	"Fremont"	"Dubois Headwaters Comm. Center  7-1"	215	938	310	829	1153	1139
"WY"	2004	"Fremont"	"Arapahoe School 8-1"	322	174	275	185	496	460
"WY"	2004	"Fremont"	"Missouri Valley Fire Hall 9-1"	31	330	61	284	361	345
"WY"	2004	"Fremont"	"Fairgrounds/Main Hall 10-1"	131	493	199	404	624	603
"WY"	2004	"Fremont"	"Jeffrey City Fire Hall 12-1"	12	83	19	71	95	90
"WY"	2004	"Fremont"	"WY Indian High Tech Center 13-1"	506	182	480	183	688	663
"WY"	2004	"Fremont"	"Wind River Rec. Center 14-1"	87	393	139	337	480	476
"WY"	2004	"Fremont"	"Midvale Fire Hall 15-1"	32	145	54	120	177	174
"WY"	2004	"Fremont"	"Kinnear Fire Hall 16-1"	55	153	65	139	208	204
"WY"	2004	"Fremont"	"Fairgrounds/Main Hall 17-1"	142	278	175	233	420	408
"WY"	2004	"Fremont"	"Riverton Fair Office 18-1"	195	908	335	720	1103	1055
"WY"	2004	"Fremont"	"Crowheart School Gym 19-1"	40	74	33	73	114	106
"WY"	2004	"Fremont"	"Shoshone Senior Citizens Center 20-1"	67	245	111	190	312	301
"WY"	2004	"Fremont"	"Fairgrounds/Main Hall 21-1"	82	217	114	180	299	294
"WY"	2004	"Fremont"	"Lysite Fire Hall 22-1"	1	46	5	42	47	47
"WY"	2004	"Fremont"	"Atlantic City Fire Hall 24-1"	18	32	21	23	50	44
"WY"	2004	"Goshen"	"Prairie Center 1-1"	1	52	5	45	53	50
"WY"	2004	"Goshen"	"Jay Em 2-1"	23	45	23	39	68	62
"WY"	2004	"Goshen"	"Lingle Town Hall 8-1"	93	454	147	356	547	503
"WY"	2004	"Goshen"	"Ft. Laramie Town Hall 9-1"	79	142	93	125	221	218
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-1"	90	119	100	100	209	200
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-2"	106	230	150	167	336	317
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-3"	91	173	114	140	264	254
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-4"	195	375	229	316	570	545
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-5"	78	223	115	177	301	292
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-6"	129	283	166	221	412	387
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-7"	139	257	174	200	396	374
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-8"	166	563	226	453	729	679
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-9"	136	318	168	278	454	446
"WY"	2004	"Goshen"	"Torrington Rendezvous Ctr. 10-10"	60	114	64	93	174	157
"WY"	2004	"Goshen"	"Veteran Legion Post #56 13-1"	33	69	35	61	102	96
"WY"	2004	"Goshen"	"Yoder Community Center 15-1"	53	143	80	107	196	187
"WY"	2004	"Goshen"	"Huntley School 16-1"	44	187	74	158	231	232
"WY"	2004	"Goshen"	"Hawk Springs Comm. Hall 17-1"	23	81	26	70	104	96
"WY"	2004	"Goshen"	"La Grange Memorial Bldg. 18-1"	26	265	40	222	291	262
"WY"	2004	"Goshen"	"Iowa Center Jackson Home 20-1"	1	21	3	18	22	21
"WY"	2004	"Hot Springs"	"1 Hot Springs County Fair Building 1-1"	245	606	380	437	851	817
"WY"	2004	"Hot Springs"	"2 Hot Springs County Fair Building 1-2"	175	489	246	379	664	625
"WY"	2004	"Hot Springs"	"Hot Springs County Museum 2-4"	177	586	252	467	763	719
"WY"	2004	"Hot Springs"	"National Guard Armory 3-3"	26	131	39	103	157	142
"WY"	2004	"Johnson"	"Johnson County Fairgrounds 2-14"	16	76	27	60	92	87
"WY"	2004	"Johnson"	"Buffalo - Catholic Rec Hall 3-1"	62	300	119	215	362	334
"WY"	2004	"Johnson"	"Buffalo - Catholic Rec Hall 3-2"	75	208	86	179	283	265
"WY"	2004	"Johnson"	"Buffalo - Catholic Rec Hall 3-3"	0	193	70	153	193	223
"WY"	2004	"Johnson"	"Johnson County Fairgrounds 3-4"	71	221	97	171	292	268
"WY"	2004	"Johnson"	"Johnson County Fairgrounds 3-5"	29	124	49	92	153	141
"WY"	2004	"Johnson"	"Johnson County Fairgrounds 3-6"	46	192	62	150	238	212
"WY"	2004	"Johnson"	"Johnson County Fairgrounds 3-7"	49	172	52	147	221	199
"WY"	2004	"Johnson"	"Buffalo - Catholic Rec Hall 3-8"	60	181	60	147	241	207
"WY"	2004	"Johnson"	"Buffalo - Catholic Rec Hall 4-7"	109	485	149	405	594	554
"WY"	2004	"Johnson"	"Johnson County Fairgrounds 4-8"	109	521	127	444	630	571
"WY"	2004	"Johnson"	"Johnson County Fairgrounds 5-9"	6	81	14	69	87	83
"WY"	2004	"Johnson"	"Kaycee - Harold Jarrard Park 6-10"	18	132	28	105	150	133
"WY"	2004	"Johnson"	"Kaycee - Harold Jarrard Park 8-11"	14	227	22	190	241	212
"WY"	2004	"Johnson"	"Kaycee - Harold Jarrard Park 9-12"	5	59	8	56	64	64
"WY"	2004	"Johnson"	"Kaycee - Harold Jarrard Park 9-13"	4	12	4	11	16	15
"WY"	2004	"Johnson"	"Johnson County Fairgrounds 10-15"	3	47	6	42	50	48
"WY"	2004	"Laramie"	"Holiday Inn/Cheyenne 1-1"	424	623	590	427	1047	1017
"WY"	2004	"Laramie"	"Holiday Inn/Cheyenne 1-2"	325	374	412	270	699	682
"WY"	2004	"Laramie"	"Laramie County Library 1-3"	418	465	578	280	883	858
"WY"	2004	"Laramie"	"Storey Gym 1-4"	249	310	319	233	559	552
"WY"	2004	"Laramie"	"Kiwanis Community House/Cheyenne 1-5"	304	487	428	351	791	779
"WY"	2004	"Laramie"	"Kiwanis Community House/Cheyenne 1-6"	390	480	543	316	870	859
"WY"	2004	"Laramie"	"Storey Gym 1-7"	172	219	253	138	391	391
"WY"	2004	"Laramie"	"Storey Gym 1-8"	410	587	571	402	997	973
"WY"	2004	"Laramie"	"Alta Vista Elementary School 1-9"	238	344	358	213	582	571
"WY"	2004	"Laramie"	"Holiday Inn/Cheyenne 1-10"	343	400	468	258	743	726
"WY"	2004	"Laramie"	"Westgate Club House/Cheyenne 2-1"	233	461	340	333	694	673
"WY"	2004	"Laramie"	"Kiwanis Community House/Cheyenne 2-2"	257	481	418	311	738	729
"WY"	2004	"Laramie"	"Kiwanis Community House/Cheyenne 2-3"	203	490	345	328	693	673
"WY"	2004	"Laramie"	"City Fire Station #6 2-4"	199	427	308	306	626	614
"WY"	2004	"Laramie"	"Cheyenne Berean Church 2-5"	358	658	551	442	1016	993
"WY"	2004	"Laramie"	"Cheyenne Berean Church 2-6"	337	615	535	379	952	914
"WY"	2004	"Laramie"	"Kiwanis Community House/Cheyenne 2-7"	225	439	370	277	664	647
"WY"	2004	"Laramie"	"Cheyenne Berean Church 2-8"	309	610	478	423	919	901
"WY"	2004	"Laramie"	"Good Shepherd Lutheran Church 2-9"	422	801	642	541	1223	1183
"WY"	2004	"Laramie"	"North Christian Church 2-10"	48	110	66	83	158	149
"WY"	2004	"Laramie"	"Cheyenne Housing Authority  2-11"	442	854	702	556	1296	1258
"WY"	2004	"Laramie"	"Northwoods Presbyterian Church 2-12"	188	440	307	305	628	612
"WY"	2004	"Laramie"	"Laramie County Library 2-13"	20	52	39	34	72	73
"WY"	2004	"Laramie"	"First Baptist Church 3-1"	247	600	422	420	847	842
"WY"	2004	"Laramie"	"American Legion Post #6 3-2"	232	340	334	229	572	563
"WY"	2004	"Laramie"	"First Congregational Church/Cheyenne 3-3"	216	367	325	238	583	563
"WY"	2004	"Laramie"	"First Congregational Church/Cheyenne 3-4"	275	486	394	330	761	724
"WY"	2004	"Laramie"	"IBEW #415 3-5"	395	746	633	492	1141	1125
"WY"	2004	"Laramie"	"AMVETS Post #10 3-6"	348	582	495	398	930	893
"WY"	2004	"Laramie"	"AMVETS Post #10 3-7"	125	198	178	134	323	312
"WY"	2004	"Laramie"	"Dildine Elementary School  3-8"	271	573	422	398	844	820
"WY"	2004	"Laramie"	"VFW Post #1881 3-9"	443	761	650	519	1204	1169
"WY"	2004	"Laramie"	"VFW Post #1881 3-10"	264	571	421	384	835	805
"WY"	2004	"Laramie"	"VFW Post #1881 3-11"	22	93	44	65	115	109
"WY"	2004	"Laramie"	"VFW Post #1881 3-12"	257	493	390	335	750	725
"WY"	2004	"Laramie"	"Willadsen Elementary School 4-1"	25	85	38	72	110	110
"WY"	2004	"Laramie"	"Gilchrist Elementary School 4-2"	167	414	262	302	581	564
"WY"	2004	"Laramie"	"Iron Mountain Country Church 4-3"	53	180	80	142	233	222
"WY"	2004	"Laramie"	"Shrine Club 4-5"	13	73	18	64	86	82
"WY"	2004	"Laramie"	"Shrine Club 4-6"	424	1314	754	918	1738	1672
"WY"	2004	"Laramie"	"Taco Johns Ice and Event Center 4-7"	237	879	385	689	1116	1074
"WY"	2004	"Laramie"	"Laramie County Community College 4-8"	342	538	499	354	880	853
"WY"	2004	"Laramie"	"Laramie County Community College 4-9"	350	704	521	490	1054	1011
"WY"	2004	"Laramie"	"Laramie County Community College 5-1"	335	597	457	451	932	908
"WY"	2004	"Laramie"	"Qwest Building 5-2"	361	910	621	611	1271	1232
"WY"	2004	"Laramie"	"Laramie County Fire Dist. #2 5-3"	282	606	445	432	888	877
"WY"	2004	"Laramie"	"Cheyenne Hills Church 5-4"	365	1024	631	712	1389	1343
"WY"	2004	"Laramie"	"Carpenter Fire Station 6-1"	148	469	255	349	617	604
"WY"	2004	"Laramie"	"Burns Community Center  6-2"	136	532	281	371	668	652
"WY"	2004	"Laramie"	"Commerce Building 6-3"	162	642	294	496	804	790
"WY"	2004	"Laramie"	"Petsch Feedlot Office 6-4"	14	73	26	62	87	88
"WY"	2004	"Laramie"	"Albin Community Center 6-5"	21	181	35	164	202	199
"WY"	2004	"Laramie"	"Laramie County Community College 7-1"	24	20	31	12	44	43
"WY"	2004	"Laramie"	"Qwest Building 7-2"	8	14	7	12	22	19
"WY"	2004	"Laramie"	"Mary Godfrey Playhouse 7-3"	1	12	3	9	13	12
"WY"	2004	"Laramie"	"Mary Godfrey Playhouse 7-4"	45	65	56	52	110	108
"WY"	2004	"Laramie"	"Laramie County Library 7-5"	49	82	69	57	131	126
"WY"	2004	"Lincoln"	"South Lincoln Training & Events Ctr. 1-1"	115	233	154	207	348	361
"WY"	2004	"Lincoln"	"South Lincoln Training & Events Ctr. 1-2"	156	315	225	241	471	466
"WY"	2004	"Lincoln"	"South Lincoln Training & Events Ctr. 1-3"	119	348	213	249	467	462
"WY"	2004	"Lincoln"	"Diamondville School Admin Bldg 1-4"	53	162	94	121	215	215
"WY"	2004	"Lincoln"	"Diamondville Search & Rescue Bldg 1-5"	48	79	69	63	127	132
"WY"	2004	"Lincoln"	"South Lincoln Training & Events Ctr. 1-6"	15	90	26	78	105	104
"WY"	2004	"Lincoln"	"Opal Town Hall 1-7"	16	56	22	48	72	70
"WY"	2004	"Lincoln"	"LaBarge Town Hall 1-8"	31	304	65	259	335	324
"WY"	2004	"Lincoln"	"Afton Civic Center 2-1"	84	798	165	699	882	864
"WY"	2004	"Lincoln"	"Afton Civic Center  2-2"	27	231	52	202	258	254
"WY"	2004	"Lincoln"	"Alpine Civic Center 2-3"	200	433	257	369	633	626
"WY"	2004	"Lincoln"	"Bedford Water & Sewer Building 2-4"	33	322	63	291	355	354
"WY"	2004	"Lincoln"	"Etna Elementary School 2-5"	83	486	147	413	569	560
"WY"	2004	"Lincoln"	"Afton Civic Center 2-6"	38	423	95	362	461	457
"WY"	2004	"Lincoln"	"Afton Civic Center 2-7"	67	857	159	737	924	896
"WY"	2004	"Lincoln"	"Thayne Town Hall 2-8"	39	428	75	383	467	458
"WY"	2004	"Lincoln"	"Cokeville Town Hall 2-9"	32	312	80	263	344	343
"WY"	2004	"Lincoln"	"Star Valley Ranch 2-10"	208	546	222	515	754	737
"WY"	2004	"Natrona"	"Roosevelt School 1-1"	343	314	428	207	657	635
"WY"	2004	"Natrona"	"Natrona County Library 1-2"	299	298	347	222	597	569
"WY"	2004	"Natrona"	"Dean Morgan Junior High School 1-3"	379	531	503	381	910	884
"WY"	2004	"Natrona"	"Casper College 1-4"	321	567	441	428	888	869
"WY"	2004	"Natrona"	"Jefferson School 1-5"	256	352	331	265	608	596
"WY"	2004	"Natrona"	"Grant School 1-6"	416	708	599	499	1124	1098
"WY"	2004	"Natrona"	"Senior Citizens' Center 1-7"	222	318	301	211	540	512
"WY"	2004	"Natrona"	"7th Day Adventist School 1-9"	217	657	365	495	874	860
"WY"	2004	"Natrona"	"Crest Hill School 1-11"	219	506	319	383	725	702
"WY"	2004	"Natrona"	"Willard School 1-12"	164	222	220	157	386	377
"WY"	2004	"Natrona"	"Westwood School 2-1"	351	580	491	411	931	902
"WY"	2004	"Natrona"	"McKinley School 2-2"	315	444	444	296	759	740
"WY"	2004	"Natrona"	"Old CY Junior High School 2-3"	236	464	361	322	700	683
"WY"	2004	"Natrona"	"Southridge School 2-4"	241	440	357	309	681	666
"WY"	2004	"Natrona"	"Casper Shrine Club 2-6"	309	792	477	608	1101	1085
"WY"	2004	"Natrona"	"Paradise Valley School 2-7"	415	1041	654	751	1456	1405
"WY"	2004	"Natrona"	"Oregon Trail School 2-8"	232	664	392	484	896	876
"WY"	2004	"Natrona"	"Shepherd of the Valley Care Ctr. 2-9"	213	540	329	410	753	739
"WY"	2004	"Natrona"	"Bethel Baptist Church 2-10"	292	794	438	637	1086	1075
"WY"	2004	"Natrona"	"University Park School 3-2"	359	525	516	362	884	878
"WY"	2004	"Natrona"	"Pineview School 3-3"	335	614	480	436	949	916
"WY"	2004	"Natrona"	"Sagewood School 3-4"	408	920	635	657	1328	1292
"WY"	2004	"Natrona"	"Kelly Walsh High School 3-5"	298	669	467	485	967	952
"WY"	2004	"Natrona"	"Manor Heights School 3-6"	280	814	439	631	1094	1070
"WY"	2004	"Natrona"	"Prince of Peace Lutheran Church 3-8"	404	797	627	522	1201	1149
"WY"	2004	"Natrona"	"Verda James School 3-9"	192	525	332	375	717	707
"WY"	2004	"Natrona"	"Centennial Junior High School 3-10"	288	989	499	742	1277	1241
"WY"	2004	"Natrona"	"Evansville School 4-1"	207	462	313	328	669	641
"WY"	2004	"Natrona"	"Evansville School - Out 4-2"	170	610	317	440	780	757
"WY"	2004	"Natrona"	"Hat Six Ranch 5-1"	19	49	36	32	68	68
"WY"	2004	"Natrona"	"Midwest Town Hall 7-1"	27	127	72	80	154	152
"WY"	2004	"Natrona"	"Edgerton Town Hall 7-2"	21	86	50	56	107	106
"WY"	2004	"Natrona"	"Mills Community Center 8-1"	340	603	499	413	943	912
"WY"	2004	"Natrona"	"Mountain View School 8-2"	168	305	246	216	473	462
"WY"	2004	"Natrona"	"Wardwell Water & Sewer 8-3"	122	401	214	284	523	498
"WY"	2004	"Natrona"	"Christian Church of Casper 8-4"	201	679	341	493	880	834
"WY"	2004	"Natrona"	"Bar Nunn School 8-5"	111	419	201	309	530	510
