state	year	county	precinct	cd	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	cd2	g2008_USH_dv2	g2008_USH_rv2	g2008_USH_tv2	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	g2008_USP_tv	g2008_USS_tv
"NE"	2008	"Boone"	"NP-Party"	3			0.0									0.0	0.0
"NE"	2008	"Boone"	"Provisiona"	3			0.0									0.0	0.0
"NE"	2008	"Box Butte"	"01"	3	100	242	342.0					138	204	133	203	347.0	345.0
"NE"	2008	"Box Butte"	"02"	3	124	268	392.0					159	230	145	236	392.0	397.0
"NE"	2008	"Box Butte"	"03"	3	115	228	343.0					174	174	151	180	352.0	352.0
"NE"	2008	"Box Butte"	"04"	3	116	326	442.0					179	257	156	270	444.0	443.0
"NE"	2008	"Box Butte"	"05"	3	125	367	492.0					177	315	179	309	499.0	501.0
"NE"	2008	"Box Butte"	"06"	3	105	306	411.0					138	266	144	259	409.0	412.0
"NE"	2008	"Box Butte"	"11"	3	63	368	431.0					85	331	79	330	425.0	431.0
"NE"	2008	"Box Butte"	"15"	3	111	412	523.0					157	353	153	364	520.0	534.0
"NE"	2008	"Box Butte"	"EV-Absente"	3	507	967	1474.0					679	802	637	815	1500.0	1494.0
"NE"	2008	"Box Butte"	"NP-Party"	3			0.0									0.0	0.0
"NE"	2008	"Box Butte"	"Provisiona"	3			0.0									0.0	0.0
"NE"	2008	"Boyd"	"01"	3	45	212	257.0					54	241	101	172	300.0	286.0
"NE"	2008	"Boyd"	"02"	3	38	164	202.0					56	165	82	136	222.0	221.0
"NE"	2008	"Boyd"	"03"	3	48	261	309.0					65	262	136	182	331.0	327.0
"NE"	2008	"Boyd"	"EV-Absente"	3	49	178	227.0					75	171	90	151	248.0	245.0
"NE"	2008	"Boyd"	"NP-Party"	3			0.0									0.0	0.0
"NE"	2008	"Boyd"	"Provisiona"	3			0.0									0.0	0.0
"NE"	2008	"Brown"	"01"	3	29	297	326.0					29	304	94	229	344.0	337.0
"NE"	2008	"Brown"	"02"	3	87	547	634.0					139	502	201	435	647.0	653.0
"NE"	2008	"Brown"	"03"	3	41	185	226.0					57	171	88	138	240.0	235.0
"NE"	2008	"Brown"	"EV-Absente"	3	52	237	289.0					81	218	98	192	305.0	304.0
"NE"	2008	"Brown"	"NP-Party"	3			0.0									0.0	0.0
"NE"	2008	"Brown"	"Provisiona"	3	3	13	16.0					5	13	5	12	18.0	18.0
"NE"	2008	"Buffalo"	"001"	3	156	347	503.0					213	303	230	270	518.0	518.0
"NE"	2008	"Buffalo"	"002"	3	115	332	447.0					152	293	185	253	449.0	453.0
"NE"	2008	"Buffalo"	"003"	3	232	901	1133.0					383	774	440	711	1162.0	1165.0
"NE"	2008	"Buffalo"	"004"	3	114	325	439.0					179	266	178	267	447.0	453.0
"NE"	2008	"Buffalo"	"005"	3	98	206	304.0					116	188	137	171	308.0	310.0
"NE"	2008	"Buffalo"	"006"	3	115	239	354.0					147	208	161	196	359.0	366.0
"NE"	2008	"Buffalo"	"007"	3	187	642	829.0					293	545	330	506	845.0	853.0
"NE"	2008	"Buffalo"	"008"	3	140	425	565.0					195	380	239	337	580.0	585.0
"NE"	2008	"Buffalo"	"009"	3	149	427	576.0					224	351	261	314	582.0	593.0
"NE"	2008	"Buffalo"	"010"	3	183	773	956.0					290	684	324	639	977.0	976.0
"NE"	2008	"Buffalo"	"011"	3	194	734	928.0					297	650	337	613	951.0	960.0
"NE"	2008	"Buffalo"	"012"	3	130	403	533.0					170	361	214	314	539.0	537.0
"NE"	2008	"Buffalo"	"013"	3	171	400	571.0					221	354	256	318	580.0	584.0
"NE"	2008	"Buffalo"	"014"	3	249	1041	1290.0					389	930	443	876	1328.0	1333.0
"NE"	2008	"Buffalo"	"015"	3	121	461	582.0					180	416	197	389	599.0	596.0
"NE"	2008	"Buffalo"	"016"	3	98	278	376.0					153	241	158	232	396.0	397.0
"NE"	2008	"Buffalo"	"017"	3	92	430	522.0					145	383	145	383	534.0	539.0
"NE"	2008	"Buffalo"	"018"	3	53	357	410.0					91	323	118	297	416.0	422.0
"NE"	2008	"Buffalo"	"019"	3	163	614	777.0					215	577	268	513	799.0	796.0
"NE"	2008	"Buffalo"	"020"	3	90	433	523.0					155	372	213	310	530.0	532.0
"NE"	2008	"Buffalo"	"021"	3	47	238	285.0					74	212	98	184	288.0	287.0
"NE"	2008	"Buffalo"	"022"	3	69	289	358.0					110	255	130	226	370.0	367.0
"NE"	2008	"Buffalo"	"023"	3	47	227	274.0					74	199	103	169	275.0	280.0
"NE"	2008	"Buffalo"	"024"	3	33	222	255.0					49	206	73	175	258.0	254.0
"NE"	2008	"Buffalo"	"025"	3	95	487	582.0					150	442	230	355	596.0	597.0
"NE"	2008	"Buffalo"	"026"	3	57	247	304.0					90	209	115	189	305.0	307.0
"NE"	2008	"Buffalo"	"027"	3	60	276	336.0					78	269	102	240	351.0	348.0
"NE"	2008	"Buffalo"	"028"	3	38	282	320.0					66	249	96	221	318.0	320.0
"NE"	2008	"Buffalo"	"030"	3	74	353	427.0					93	330	132	295	431.0	433.0
"NE"	2008	"Buffalo"	"031"	3	138	400	538.0					195	357	246	299	559.0	557.0
"NE"	2008	"Buffalo"	"032"	3			0.0									0.0	0.0
