state	year	county	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"SD"	2008	"Aurora"	"1"	101	192	293	183	118	301	198	104	302
"SD"	2008	"Aurora"	"2"	43	102	145	97	60	157	100	54	154
"SD"	2008	"Aurora"	"3"	179	155	334	260	93	353	272	79	351
"SD"	2008	"Aurora"	"4"	24	50	74	43	32	75	43	31	74
"SD"	2008	"Aurora"	"5"	79	64	143	100	45	145	113	34	147
"SD"	2008	"Aurora"	"6"	39	65	104	66	41	107	73	34	107
"SD"	2008	"Aurora"	"7"	190	166	356	266	95	361	291	75	366
"SD"	2008	"Beadle"	"W1"	498	640	1138	154	57	211	839	336	1175
"SD"	2008	"Beadle"	"W1-1(06)"									
"SD"	2008	"Beadle"	"W1-2(06)"									
"SD"	2008	"Beadle"	"W2"	554	481	1035	111	53	164	781	264	1045
"SD"	2008	"Beadle"	"W3"	443	446	889	290	118	408	650	255	905
"SD"	2008	"Beadle"	"W4(06)"									
"SD"	2008	"Beadle"	"W5(06)"									
"SD"	2008	"Beadle"	"W6(06)"									
"SD"	2008	"Beadle"	"W7-1"	312	310	622	116	76	192	448	175	623
"SD"	2008	"Beadle"	"W7-2"	302	361	663	99	161	260	445	226	671
"SD"	2008	"Beadle"	"W8-1"	379	425	804	226	75	301	564	252	816
"SD"	2008	"Beadle"	"W8-2"	327	399	726	137	62	199	514	215	729
"SD"	2008	"Beadle"	"W9(06)"									
"SD"	2008	"Beadle"	"W10(08)"	95	106	201	779	398	1177	156	54	210
"SD"	2008	"Beadle"	"W11(08)"	52	108	160	740	313	1053	120	42	162
"SD"	2008	"Beadle"	"W12"	195	195	390	626	287	913	308	100	408
"SD"	2008	"Beadle"	"W13(06)"									
"SD"	2008	"Beadle"	"W14(08)"	77	100	177	429	201	630	129	62	191
"SD"	2008	"Beadle"	"W15"	48	213	261	427	244	671	116	142	258
"SD"	2008	"Beadle"	"W16(06)"									
"SD"	2008	"Beadle"	"W17"	145	144	289	511	307	818	233	75	308
"SD"	2008	"Beadle"	"W18(08)"	66	126	192	492	237	729	141	58	199
"SD"	2008	"Bennett"	"Allen"	211	65	276	243	35	278	241	37	278
"SD"	2008	"Bennett"	"Martin City"									
"SD"	2008	"Bennett"	"Martin Rural 26"	43	92	135	87	58	145	91	54	145
"SD"	2008	"Bennett"	"Martin Rural 27"	98	118	216	136	88	224	147	77	224
"SD"	2008	"Bennett"	"Tuthill"	12	89	101	35	65	100	41	56	97
"SD"	2008	"Bennett"	"Vetal"	18	53	71	36	36	72	47	24	71
"SD"	2008	"Bennett"	"Ward 1(08)"	54	51	105	66	41	107	76	31	107
"SD"	2008	"Bennett"	"Ward 2(08)"	73	53	126	99	32	131	107	25	132
"SD"	2008	"Bennett"	"Ward 3(08)"	48	93	141	81	63	144	87	56	143
"SD"	2008	"Bon Homme"	"1"	240	389	629	405	254	659	456	198	654
"SD"	2008	"Bon Homme"	"2"	202	317	519	307	225	532	348	183	531
"SD"	2008	"Bon Homme"	"3"	408	344	752	598	195	793	654	133	787
"SD"	2008	"Bon Homme"	"4"	278	233	511	413	124	537	421	112	533
"SD"	2008	"Bon Homme"	"5"	239	429	668	406	272	678	486	194	680
"SD"	2008	"Brookings"	"1-Tompkins Alumni Center"	570	492	1062	682	366	1048	731	306	1037
"SD"	2008	"Brookings"	"2-First Lutheran Church"	713	453	1166	833	350	1183	920	264	1184
"SD"	2008	"Brookings"	"3-City Hall"	686	424	1110	828	292	1120	887	235	1122
"SD"	2008	"Brookings"	"4-Ascension Lutheran Church"	931	735	1666	1182	500	1682	1271	409	1680
"SD"	2008	"Brookings"	"5-Bethel Baptist Church"	1188	954	2142	1497	679	2176	1664	503	2167
"SD"	2008	"Brookings"	"6-United Church of Christ"	854	710	1564	1082	501	1583	1205	379	1584
"SD"	2008	"Brookings"	"8-Medary Township"	336	338	674	457	228	685	527	158	685
"SD"	2008	"Brookings"	"9-White Area"	292	404	696	472	240	712	512	205	717
"SD"	2008	"Brookings"	"10-Bruce Area"	244	337	581	373	227	600	419	181	600
"SD"	2008	"Brookings"	"11-Aurora Area"	323	314	637	443	211	654	499	155	654
"SD"	2008	"Brookings"	"12-Sinai Area"	120	145	265	177	95	272	198	75	273
"SD"	2008	"Brookings"	"13-Brookings Township"	123	123	246	166	90	256	192	62	254
"SD"	2008	"Brookings"	"14-Volga Area"	547	612	1159	740	438	1178	862	317	1179
"SD"	2008	"Brookings"	"15-Laketon & Winsor Twps."	90	87	177	129	51	180	139	41	180
"SD"	2008	"Brookings"	"16-Elkton Area"	190	303	493	293	217	510	322	183	505
"SD"	2008	"Brown"	"Alexander Mitchell Library"	330	286	616	428	203	631	450	177	627
"SD"	2008	"Brown"	"Avera-Midland Campus"	417	491	908	624	292	916	667	250	917
"SD"	2008	"Brown"	"Claremont Fire Station"	125	76	201	165	43	208	172	36	208
"SD"	2008	"Brown"	"Columbia American Legion"	188	192	380	280	117	397	302	93	395
"SD"	2008	"Brown"	"Courthouse Community Rm 4"	372	314	686	521	178	699	527	168	695
"SD"	2008	"Brown"	"Courthouse Community Rm 8"	552	375	927	733	204	937	750	183	933
"SD"	2008	"Brown"	"Frederick Community Center"	176	104	280	225	63	288	242	43	285
"SD"	2008	"Brown"	"Groton Community Center"	533	515	1048	816	271	1087	875	209	1084
"SD"	2008	"Brown"	"Hecla Community Center"	206	109	315	269	57	326	275	47	322
"SD"	2008	"Brown"	"Hub Area Vocational Ctr"	516	535	1051	710	361	1071	768	305	1073
"SD"	2008	"Brown"	"Northern Electric Coop"	316	360	676	434	255	689	480	210	690
"SD"	2008	"Brown"	"Primrose Gym"	767	667	1434	1021	451	1472	1100	367	1467
"SD"	2008	"Brown"	"School/Blind & Visually Imp 10"	469	366	835	621	223	844	645	195	840
"SD"	2008	"Brown"	"School/Blind & Visually Imp 16"	152	177	329	230	107	337	245	91	336
"SD"	2008	"Brown"	"Senior Citizens Ctr"	726	801	1527	1048	498	1546	1098	441	1539
"SD"	2008	"Brown"	"Stratford Community Center"	144	108	252	196	63	259	200	57	257
"SD"	2008	"Brown"	"Super City Plaza 11"	572	486	1058	780	293	1073	820	248	1068
"SD"	2008	"Brown"	"Super City Plaza 7"	639	658	1297	930	386	1316	1007	304	1311
"SD"	2008	"Brown"	"Warner Community Center"	359	231	590	461	145	606	488	118	606
"SD"	2008	"Brown"	"Washington St. Gym 1"	788	719	1507	1080	454	1534	1156	368	1524
"SD"	2008	"Brown"	"Washington St. Gym 2"	526	378	904	699	241	940	717	210	927
"SD"	2008	"Brown"	"Westport Town Hall"	168	119	287	211	88	299	230	68	298
"SD"	2008	"Brule"	"1"	554	749	1303	820	508	1328	915	406	1321
"SD"	2008	"Brule"	"2"	212	310	522	393	161	554	424	130	554
"SD"	2008	"Brule"	"3"	136	221	357	240	141	381	267	113	380
"SD"	2008	"Brule"	"4"	22	54	76	39	38	77	49	28	77
"SD"	2008	"Brule"	"5"	41	73	114	80	37	117	88	28	116
"SD"	2008	"Buffalo"	"Elvira"	42	88	130	69	66	135	74	61	135
"SD"	2008	"Buffalo"	"Pershing"	49	33	82	65	18	83	69	15	84
"SD"	2008	"Buffalo"	"Victory"	363	35	398	378	24	402	377	25	402
"SD"	2008	"Butte"	"Castle Rock Precinct 06"	5	40	45	14	27	41	20	26	46
"SD"	2008	"Butte"	"Fruitdale Precinct 17"	154	390	544	255	298	553	304	244	548
"SD"	2008	"Butte"	"Minnesela Precinct 16"	93	298	391	153	246	399	194	204	398
"SD"	2008	"Butte"	"Newell City Precinct 20"	87	161	248	153	111	264	148	115	263
"SD"	2008	"Butte"	"Nisland Precinct 18"	70	118	188	103	96	199	114	85	199
"SD"	2008	"Butte"	"Orman Precinct 12"	22	59	81	44	38	82	45	38	83
"SD"	2008	"Butte"	"Romans Precinct 11"	12	56	68	30	37	67	35	29	64
"SD"	2008	"Butte"	"Union Precinct 08 (Including: Horsecreek Precinct 13, Newell Independent Precinct 14)"	125	290	415	241	191	432	245	186	431
"SD"	2008	"Butte"	"Ward 1 Precinct 21"	94	110	204	145	68	213	154	51	205
"SD"	2008	"Butte"	"Ward 1 Precinct 22"	89	128	217	146	78	224	155	69	224
"SD"	2008	"Butte"	"Ward 2 Precinct 23"	82	150	232	125	114	239	133	105	238
"SD"	2008	"Butte"	"Ward 2 Precinct 24"	98	197	295	157	141	298	182	118	300
"SD"	2008	"Butte"	"Ward 3 Precinct 25"	30	80	110	44	69	113	50	63	113
"SD"	2008	"Butte"	"Ward 3 Precinct 26"	137	360	497	255	252	507	283	218	501
"SD"	2008	"Butte"	"Ward 4 Precinct 27"	69	109	178	102	81	183	113	66	179
"SD"	2008	"Butte"	"Ward 4 Precinct 28"	139	275	414	234	187	421	255	167	422
"SD"	2008	"Campbell"	"1"	65	141	206	123	93	216	140	76	216
"SD"	2008	"Campbell"	"2"	44	128	172	91	78	169	105	66	171
"SD"	2008	"Campbell"	"3"	36	106	142	65	81	146	79	66	145
"SD"	2008	"Campbell"	"4"	43	85	128	94	45	139	96	36	132
"SD"	2008	"Campbell"	"5"	55	131	186	92	95	187	122	65	187
"SD"	2008	"Charles Mix"	"1"	252	214	466	344	151	495	402	95	497
"SD"	2008	"Charles Mix"	"2"	115	99	214	142	77	219	157	62	219
"SD"	2008	"Charles Mix"	"3"	319	259	578	436	165	601	479	118	597
"SD"	2008	"Charles Mix"	"4"	182	56	238	213	32	245	222	20	242
"SD"	2008	"Charles Mix"	"5"	227	173	400	285	124	409	313	94	407
"SD"	2008	"Charles Mix"	"6"	197	97	294	248	56	304	252	45	297
"SD"	2008	"Charles Mix"	"7"	53	67	120	71	52	123	73	50	123
"SD"	2008	"Charles Mix"	"8"	53	111	164	111	60	171	107	64	171
"SD"	2008	"Charles Mix"	"9"	95	275	370	185	189	374	186	184	370
"SD"	2008	"Charles Mix"	"10"	17	99	116	47	74	121	50	72	122
"SD"	2008	"Charles Mix"	"11"	188	568	756	370	386	756	376	372	748
"SD"	2008	"Charles Mix"	"12"	71	56	127	102	30	132	109	27	136
"SD"	2008	"Charles Mix"	"13"	38	35	73	52	26	78	57	21	78
"SD"	2008	"Clark"	"Ash, Woodland, Garfield"	32	43	75	55	29	84	62	20	82
"SD"	2008	"Clark"	"Blaine, Cottonwood, Sp Val, War"	75	74	149	128	25	153	130	23	153
"SD"	2008	"Clark"	"City of Clark Ward I"	118	129	247	174	77	251	187	66	253
"SD"	2008	"Clark"	"City of Clark Ward II"	77	101	178	130	55	185	139	42	181
"SD"	2008	"Clark"	"City of Clark Ward III, Lincoln"	114	150	264	198	77	275	200	73	273
"SD"	2008	"Clark"	"Elrod, Foxton, Merton, Town of"	64	65	129	95	39	134	95	39	134
"SD"	2008	"Clark"	"Lake, Washington, Collins"	60	75	135	98	42	140	99	41	140
"SD"	2008	"Clark"	"Mt Pleasant, Day, Darlington"	50	93	143	74	77	151	84	67	151
"SD"	2008	"Clark"	"Mt Pleasant, Day, Darlington, Elrod, Foxton, Merton, Town of(06)"									
"SD"	2008	"Clark"	"Raymond Twp, Logan, Fordham, To"	65	60	125	94	40	134	97	37	134
"SD"	2008	"Clark"	"Richland, Hague, Rosedale"	44	48	92	77	19	96	82	15	97
"SD"	2008	"Clark"	"Thorp, Maydell, Eden, Town of G"	52	73	125	81	48	129	85	43	128
"SD"	2008	"Clark"	"Town of Vienna, Pleasant"	23	74	97	39	64	103	37	66	103
"SD"	2008	"Clark"	"Town of Willow Lake"	56	80	136	89	49	138	103	37	140
"SD"	2008	"Clay"	"Central 1"	241	63	304	263	53	316	266	48	314
"SD"	2008	"Clay"	"Central 2"	333	122	455	350	102	452	360	86	446
"SD"	2008	"Clay"	"Irene City(06)"									
"SD"	2008	"Clay"	"Northeast 1"	253	129	382	296	89	385	293	88	381
"SD"	2008	"Clay"	"Northeast 2"	331	135	466	345	114	459	347	102	449
"SD"	2008	"Clay"	"Northwest 1"	403	218	621	514	119	633	511	113	624
"SD"	2008	"Clay"	"Northwest 2"	286	187	473	350	126	476	370	102	472
"SD"	2008	"Clay"	"Rural Ward 1"	190	223	413	276	147	423	292	132	424
"SD"	2008	"Clay"	"Rural Ward 2"	230	189	419	336	105	441	353	87	440
"SD"	2008	"Clay"	"Rural Ward 3"	541	444	985	712	283	995	760	230	990
"SD"	2008	"Clay"	"Southeast 1"	512	312	824	605	222	827	632	184	816
"SD"	2008	"Clay"	"Southeast 2"	488	274	762	590	185	775	609	158	767
"SD"	2008	"Clay"	"Str/Bt Wakond(04)"									
"SD"	2008	"Codington"	"Dexter"	57	38	95	71	24	95	78	17	95
"SD"	2008	"Codington"	"Eden, Phipps, Wallace"	55	61	116	80	37	117	82	33	115
"SD"	2008	"Codington"	"Elmira"	86	108	194	123	73	196	135	61	196
"SD"	2008	"Codington"	"Fuller - Florence"	130	130	260	203	71	274	211	64	275
"SD"	2008	"Codington"	"Germantown"	61	24	85	70	17	87	70	17	87
"SD"	2008	"Codington"	"Graceland, Henry, Henry"	94	122	216	150	77	227	167	61	228
"SD"	2008	"Codington"	"Kampeska Township"	72	89	161	122	43	165	125	38	163
"SD"	2008	"Codington"	"Kranzburg Twp. & Village"	109	134	243	163	87	250	173	77	250
"SD"	2008	"Codington"	"Lake Township"	134	185	319	212	118	330	234	100	334
"SD"	2008	"Codington"	"Leola - South Shore"	85	68	153	117	38	155	123	31	154
"SD"	2008	"Codington"	"Pelican"	126	179	305	195	122	317	224	91	315
"SD"	2008	"Codington"	"Rauville"	66	66	132	94	41	135	103	32	135
"SD"	2008	"Codington"	"Richland"	41	36	77	48	32	80	55	24	79
"SD"	2008	"Codington"	"Sheridan"	65	143	208	125	87	212	139	71	210
"SD"	2008	"Codington"	"Ward A Precinct 1 (Including: Ward A Precinct 4)"	459	647	1106	661	456	1117	791	325	1116
"SD"	2008	"Codington"	"Ward A Precinct 2"	253	316	569	341	231	572	401	170	571
"SD"	2008	"Codington"	"Ward A Precinct 3"	380	341	721	505	232	737	551	187	738
"SD"	2008	"Codington"	"Ward B Precinct 1"	230	331	561	346	222	568	377	184	561
"SD"	2008	"Codington"	"Ward B Precinct 2"	437	442	879	613	290	903	645	259	904
"SD"	2008	"Codington"	"Ward B Precinct 3 (Including: Ward B Precinct 4)"	237	342	579	346	241	587	382	198	580
"SD"	2008	"Codington"	"Ward C Precinct 1"	76	67	143	115	38	153	115	36	151
"SD"	2008	"Codington"	"Ward C Precinct 2"	116	144	260	171	91	262	186	76	262
"SD"	2008	"Codington"	"Ward C Precinct 3"	379	321	700	541	192	733	563	152	715
"SD"	2008	"Codington"	"Ward C Precinct 4"	138	106	244	186	60	246	185	59	244
"SD"	2008	"Codington"	"Ward D Precinct 1"	268	247	515	364	166	530	402	125	527
"SD"	2008	"Codington"	"Ward D Precinct 2"	255	213	468	328	143	471	355	119	474
"SD"	2008	"Codington"	"Ward D Precinct 3"	227	240	467	324	155	479	357	118	475
"SD"	2008	"Codington"	"Ward D Precinct 4"	153	96	249	180	73	253	181	67	248
"SD"	2008	"Codington"	"Ward E Precinct 1"	302	265	567	420	159	579	432	137	569
"SD"	2008	"Codington"	"Ward E Precinct 2"	99	164	263	158	111	269	179	92	271
"SD"	2008	"Codington"	"Ward E Precinct 3"	252	482	734	369	366	735	440	297	737
"SD"	2008	"Codington"	"Ward E Precinct 4"	98	189	287	148	137	285	166	115	281
"SD"	2008	"Codington"	"Waverly"	55	38	93	75	23	98	76	20	96
"SD"	2008	"Corson"	"Archambault Precinct"	17	19	36	24	12	36	18	19	37
"SD"	2008	"Corson"	"Bullhead Precinct"	86	6	92	90	3	93	88	3	91
"SD"	2008	"Corson"	"Butte Precinct"	138	27	165	151	14	165	144	21	165
"SD"	2008	"Corson"	"Cadillac Precinct"	32	47	79	46	31	77	41	35	76
"SD"	2008	"Corson"	"Grand Valley Precinct"	5	56	61	21	46	67	20	47	67
"SD"	2008	"Corson"	"Kenel Precinct"	75	7	82	82	2	84	76	7	83
"SD"	2008	"Corson"	"Liberty Precinct"	6	27	33	16	17	33	16	17	33
"SD"	2008	"Corson"	"Lincoln Precinct"	60	65	125	74	48	122	72	51	123
"SD"	2008	"Corson"	"Little Eagle Precinct"	102	16	118	111	11	122	110	11	121
"SD"	2008	"Corson"	"Little Oak Precinct"	10	52	62	28	34	62	35	28	63
"SD"	2008	"Corson"	"McIntosh Precinct"	41	60	101	62	42	104	69	36	105
"SD"	2008	"Corson"	"Mission Precinct"	33	6	39	34	4	38	36	1	37
"SD"	2008	"Corson"	"Morristown Precinct"	45	59	104	57	50	107	65	43	108
"SD"	2008	"Corson"	"NcUbtoah Precinct(06)"									
"SD"	2008	"Corson"	"Ridgeland Precinct"	30	31	61	35	28	63	33	31	64
"SD"	2008	"Corson"	"South McLaughlin City Precinct"	89	32	121	90	32	122	86	33	119
"SD"	2008	"Corson"	"Wakpala Precinct"	59	4	63	63	2	65	62	1	63
"SD"	2008	"Corson"	"Watauga Precinct"	9	21	30	16	18	34	14	19	33
"SD"	2008	"Custer"	"Bear Rock 9"	387	715	1102	552	574	1126	590	530	1120
"SD"	2008	"Custer"	"Buffalo Gap 3"	80	125	205	114	95	209	121	88	209
"SD"	2008	"Custer"	"Custer 6"	142	169	311	183	132	315	191	124	315
"SD"	2008	"Custer"	"Custer 7"	154	248	402	230	180	410	243	162	405
"SD"	2008	"Custer"	"Custer 8"	127	214	341	208	142	350	222	129	351
"SD"	2008	"Custer"	"Elk Mountain 10"	26	102	128	49	85	134	46	88	134
"SD"	2008	"Custer"	"Fairburn 2"	34	91	125	59	75	134	72	61	133
"SD"	2008	"Custer"	"Hermosa 1"	217	613	830	384	466	850	405	440	845
"SD"	2008	"Custer"	"Pringle 4"	117	187	304	178	132	310	195	114	309
"SD"	2008	"Custer"	"Sentinel Hill 5"	191	445	636	330	336	666	356	304	660
"SD"	2008	"Davison"	"Badg,Perry,N 1/2 Mit Twp"	197	337	534	339	204	543	374	171	545
"SD"	2008	"Davison"	"Bak,Blen,Mtv,Un Twp"	161	244	405	266	147	413	289	121	410
"SD"	2008	"Davison"	"Beul,Lis,Pros,S 1/2 Mit Twp"	250	469	719	436	298	734	527	202	729
"SD"	2008	"Davison"	"Prec 1 (Including: Prec 3)"	200	256	456	289	170	459	310	145	455
"SD"	2008	"Davison"	"Prec 2"	130	120	250	192	69	261	193	66	259
"SD"	2008	"Davison"	"Prec 4"	168	184	352	249	108	357	250	107	357
"SD"	2008	"Davison"	"Prec 5"	206	215	421	297	136	433	308	125	433
"SD"	2008	"Davison"	"Prec 6"	101	100	201	132	72	204	149	54	203
"SD"	2008	"Davison"	"Prec 7"	178	172	350	251	103	354	268	82	350
"SD"	2008	"Davison"	"Prec 8"	118	184	302	174	132	306	194	106	300
"SD"	2008	"Davison"	"Prec 10"	157	195	352	242	126	368	245	116	361
"SD"	2008	"Davison"	"Prec 11 (Including: Prec 13)"	188	227	415	274	154	428	307	120	427
"SD"	2008	"Davison"	"Prec 12"	90	105	195	131	74	205	137	65	202
"SD"	2008	"Davison"	"Prec 14"	113	161	274	154	125	279	175	102	277
"SD"	2008	"Davison"	"Prec 15"	162	192	354	244	117	361	250	110	360
"SD"	2008	"Davison"	"Prec 16"	168	231	399	241	164	405	257	145	402
"SD"	2008	"Davison"	"Prec 17"	220	266	486	310	187	497	355	143	498
"SD"	2008	"Davison"	"Prec 18"	154	196	350	247	118	365	256	107	363
"SD"	2008	"Davison"	"Prec 19"	129	210	339	196	153	349	234	115	349
"SD"	2008	"Davison"	"Prec 20"	308	505	813	465	362	827	544	281	825
"SD"	2008	"Davison"	"Rome,Tobin,Ethn"	156	162	318	246	88	334	273	61	334
"SD"	2008	"Day"	"1"	161	134	295	220	79	299	228	71	299
"SD"	2008	"Day"	"2"	171	130	301	228	80	308	243	65	308
"SD"	2008	"Day"	"3"	108	93	201	141	58	199	156	43	199
"SD"	2008	"Day"	"4"	111	102	213	162	55	217	175	37	212
"SD"	2008	"Day"	"5"	166	103	269	209	67	276	221	54	275
"SD"	2008	"Day"	"6"	163	115	278	206	75	281	212	65	277
"SD"	2008	"Day"	"7"	104	80	184	136	54	190	140	50	190
"SD"	2008	"Day"	"8"	86	62	148	116	39	155	122	32	154
"SD"	2008	"Day"	"9"	105	100	205	161	48	209	161	47	208
"SD"	2008	"Day"	"10"	49	74	123	78	50	128	91	38	129
"SD"	2008	"Day"	"11"	139	79	218	177	49	226	187	34	221
"SD"	2008	"Day"	"12"	139	94	233	193	43	236	193	44	237
"SD"	2008	"Day"	"13"	129	92	221	160	62	222	164	56	220
"SD"	2008	"Day"	"14"	154	114	268	214	64	278	220	57	277
"SD"	2008	"Deuel"	"Alt., Portland, Alt."	49	42	91	78	18	96	74	22	96
"SD"	2008	"Deuel"	"Ant. Valley, Lowe"	43	35	78	65	17	82	64	17	81
"SD"	2008	"Deuel"	"Blom, Grange, Toronto"	118	112	230	182	54	236	190	45	235
"SD"	2008	"Deuel"	"Clear Lake WD 1"	88	104	192	151	48	199	156	41	197
"SD"	2008	"Deuel"	"Clear Lake WD 2"	95	93	188	135	60	195	146	50	196
"SD"	2008	"Deuel"	"Clear Lake WD 3"	111	95	206	153	60	213	162	46	208
"SD"	2008	"Deuel"	"Glenwood, Herrick, Gary"	124	123	247	188	74	262	199	61	260
"SD"	2008	"Deuel"	"Goodwin, Rome, Goodwin"	65	110	175	120	70	190	130	58	188
"SD"	2008	"Deuel"	"Hav., CL, Hidewood"	131	143	274	178	103	281	206	75	281
"SD"	2008	"Deuel"	"Norden, Brandt, Brandt"	155	126	281	201	90	291	223	68	291
"SD"	2008	"Deuel"	"Scandi, Astoria"	75	105	180	119	65	184	133	50	183
"SD"	2008	"Dewey"	"EAGLE BUTTE EAST"	265	31	296	281	17	298	276	21	297
"SD"	2008	"Dewey"	"EB SOUTH"	279	72	351	315	36	351	329	29	358
"SD"	2008	"Dewey"	"EB WEST GREEN GRASS"	131	46	177	145	31	176	151	25	176
"SD"	2008	"Dewey"	"FIRESTEEL"	36	43	79	59	25	84	68	14	82
"SD"	2008	"Dewey"	"GLENCROSS"	6	42	48	28	22	50	39	13	52
"SD"	2008	"Dewey"	"ISABEL"	41	115	156	106	56	162	111	49	160
"SD"	2008	"Dewey"	"LAPLANT"	51	9	60	57	4	61	57	4	61
"SD"	2008	"Dewey"	"NO HEART (Including: EB NORTH)"	227	92	319	271	51	322	281	39	320
"SD"	2008	"Dewey"	"PROMISE"	43	18	61	52	7	59	51	9	60
"SD"	2008	"Dewey"	"SWIFTBIRD"	48	6	54	55	2	57	53	3	56
"SD"	2008	"Dewey"	"TIMBER LAKE"	130	156	286	213	81	294	220	74	294
"SD"	2008	"Dewey"	"TRAIL CITY"	9	25	34	19	18	37	15	24	39
"SD"	2008	"Dewey"	"WHITE HORSE"	62	4	66	65	3	68	66	2	68
"SD"	2008	"Douglas"	"1"	46	334	380	163	216	379	143	238	381
"SD"	2008	"Douglas"	"2"	89	266	355	191	167	358	184	172	356
"SD"	2008	"Douglas"	"3"	86	215	301	166	148	314	178	134	312
