state	year	county	town	g2000_USP_rv	g2000_USP_dv	g2000_ATG_dv	g2000_ATG_iv	g2000_AUD_rv	g2000_AUD_dv	g2000_GOV_dv	g2000_GOV_rv	g2000_LTG_rv	g2000_LTG_dv	g2000_SOS_rv	g2000_SOS_dv	g2000_USH_rv	g2000_USH_iv	g2000_USS_dv	g2000_USS_rv
"VT"	2000	"Caledonia County"	"Ryegate"	310	225	453	78	305	173	207	290	289	238	263	252	143	356	114	376
"VT"	2000	"Caledonia County"	"Sheffield"	143	113	192	54	179	79	81	161	150	93	131	121	53	171	38	178
"VT"	2000	"Caledonia County"	"St Johnsbury"	1472	1308	2298	418	2128	745	1213	1356	1374	1395	1296	1461	578	1887	741	1843
"VT"	2000	"Caledonia County"	"Stannard"	25	64	72	26	32	61	55	26	32	62	25	68	6	90	37	52
"VT"	2000	"Caledonia County"	"Sutton"	238	192	350	77	298	138	167	239	248	183	216	220	107	277	99	289
"VT"	2000	"Caledonia County"	"Walden"	184	229	334	101	233	213	193	198	202	225	164	279	68	346	151	274
"VT"	2000	"Caledonia County"	"Waterford"	396	221	540	65	514	114	221	380	401	226	374	245	179	377	129	415
"VT"	2000	"Caledonia County"	"Wheelock"	155	111	203	62	167	99	109	145	142	122	116	150	44	177	61	175
"VT"	2000	"Chittenden County"	"Bolton"	220	262	409	88	176	318	254	221	213	295	168	332	90	386	133	354
"VT"	2000	"Chittenden County"	"Burlington 7-1 W5"	727	1739	2125	385	686	1925	1907	589	713	1917	561	2060	339	2108	971	1583
"VT"	2000	"Chittenden County"	"Burlington 7-1 W6"	161	743	760	236	145	847	829	118	168	822	128	873	83	883	434	545
"VT"	2000	"Chittenden County"	"Burlington 7-2 W2"	81	328	292	181	69	414	389	68	87	364	67	421	39	445	280	208
"VT"	2000	"Chittenden County"	"Burlington 7-2 W3"	323	1421	1423	562	319	1654	1402	340	356	1544	308	1682	163	1764	1004	947
"VT"	2000	"Chittenden County"	"Burlington 7-2 W5"	16	53	47	32	11	62	63	12	14	59	17	63	8	74	47	36
"VT"	2000	"Chittenden County"	"Burlington 7-3 W1"	435	1534	1568	508	413	1706	1581	353	469	1617	361	1758	211	1728	1024	1034
"VT"	2000	"Chittenden County"	"Burlington 7-3 W2"	22	103	81	44	20	105	103	15	26	95	16	107	11	105	67	60
"VT"	2000	"Chittenden County"	"Burlington 7-3 W6"	68	306	272	110	68	299	288	35	83	270	59	319	39	282	232	148
"VT"	2000	"Chittenden County"	"Burlington 7-4 W2"	157	866	811	383	158	1026	871	164	183	929	147	1044	68	1108	671	510
"VT"	2000	"Chittenden County"	"Burlington 7-5 W3"	18	73	75	24	20	69	65	19	20	72	15	81	7	85	46	46
"VT"	2000	"Chittenden County"	"Burlington 7-5 W4"	166	253	386	46	150	295	307	130	166	285	129	318	72	328	101	338
"VT"	2000	"Chittenden County"	"Burlington 7-5 W7"	494	799	1123	137	426	862	810	460	514	823	363	953	175	1018	425	838
"VT"	2000	"Chittenden County"	"Burlington 7-6 W4"	847	1338	1996	189	734	1476	1488	688	827	1422	605	1616	346	1685	567	1610
"VT"	2000	"Chittenden County"	"Burlington 7-6 W7"	451	764	1087	125	377	848	727	441	495	756	340	898	163	982	440	785
"VT"	2000	"Chittenden County"	"Burlington 7-7 W6"	307	641	874	82	303	684	781	184	303	702	207	776	156	748	258	731
"VT"	2000	"Chittenden County"	"Charlotte"	742	1187	1768	214	698	1261	1370	581	720	1318	563	1438	334	1530	467	1537
"VT"	2000	"Chittenden County"	"Colchester 1-1"	1775	2335	3587	426	1397	2653	2411	1570	1847	2370	1326	2732	660	3191	1157	2937
"VT"	2000	"Chittenden County"	"Colchester 1-2"	1212	1528	2395	268	925	1764	1554	1065	1238	1558	926	1777	476	2079	697	2027
"VT"	2000	"Chittenden County"	"Colchester 1-3"	2	13	17	5	3	23	18	1	1	22	2	22	1	22	18	7
"VT"	2000	"Chittenden County"	"Essex 2-1"	2271	2323	3871	486	1986	2536	2615	1851	2536	2200	1777	2796	847	3287	1013	3338
"VT"	2000	"Chittenden County"	"Essex 2-3"	223	224	382	64	189	277	261	187	247	233	187	289	84	338	102	347
"VT"	2000	"Chittenden County"	"Essex 2-4"	1850	2085	3411	396	1624	2286	2096	1688	2372	1696	1535	2397	691	2900	930	2885
"VT"	2000	"Chittenden County"	"Hinesburg"	773	1235	1734	269	654	1380	1350	654	727	1348	588	1453	283	1659	600	1411
"VT"	2000	"Chittenden County"	"Huntington"	334	531	732	161	261	665	571	314	306	623	227	695	103	777	295	603
"VT"	2000	"Chittenden County"	"Jericho"	1145	1469	2103	419	982	1626	1615	990	1165	1552	920	1722	464	1983	630	1920
"VT"	2000	"Chittenden County"	"Milton 2-2"	1728	1636	2858	333	1321	1893	1617	1573	1705	1692	1368	1891	555	2440	826	2363
"VT"	2000	"Chittenden County"	"Milton 2-3"	243	228	391	50	199	264	234	232	246	231	212	254	80	334	115	331
"VT"	2000	"Chittenden County"	"Richmond"	825	1165	1713	285	720	1325	1291	687	763	1355	657	1409	308	1565	525	1446
"VT"	2000	"Chittenden County"	"Shelburne 5-1"	481	537	907	77	438	590	670	333	454	594	368	660	241	691	211	797
"VT"	2000	"Chittenden County"	"Shelburne 5-3"	103	144	217	19	101	139	174	73	104	142	83	154	58	166	39	202
"VT"	2000	"Chittenden County"	"Shelburne 5-4"	1072	1464	2265	196	1013	1535	1713	781	1068	1568	824	1720	545	1807	590	1983
"VT"	2000	"Chittenden County"	"South Burlington 7-10"	784	1078	1652	198	712	1192	1027	745	851	1082	617	1287	307	1430	498	1306
"VT"	2000	"Chittenden County"	"South Burlington 7-7"	280	503	705	83	264	526	525	244	306	505	232	565	134	610	249	529
"VT"	2000	"Chittenden County"	"South Burlington 7-8"	947	1386	2099	195	882	1443	1563	710	943	1433	716	1629	420	1692	565	1741
"VT"	2000	"Chittenden County"	"South Burlington 7-9"	984	1426	2129	202	876	1518	1518	801	1009	1437	752	1660	444	1783	611	1768
"VT"	2000	"Chittenden County"	"St George"	144	161	264	40	105	191	166	124	128	178	92	202	41	237	84	210
"VT"	2000	"Chittenden County"	"Underhill"	674	945	1252	381	572	1076	1090	573	719	1014	548	1133	272	1303	456	1179
"VT"	2000	"Chittenden County"	"Westford"	375	537	749	147	332	595	558	331	424	543	315	627	146	770	272	665
"VT"	2000	"Chittenden County"	"Williston 5-1"	345	430	658	89	303	466	421	325	364	424	253	527	145	572	171	579
"VT"	2000	"Chittenden County"	"Williston 5-2"	1494	1843	2915	265	1365	1945	1874	1322	1637	1798	1210	2125	644	2378	768	2468
"VT"	2000	"Chittenden County"	"Winooski Armory"	347	612	834	113	286	676	586	347	371	619	281	675	93	788	320	632
"VT"	2000	"Chittenden County"	"Winooski St Francis"	459	908	1154	208	379	978	846	486	497	915	378	995	152	1100	471	855
"VT"	2000	"Essex County"	"Bloomfield"	58	41	76	19	55	33	40	48	53	32	46	47	33	34	35	45
"VT"	2000	"Essex County"	"Brighton"	353	261	491	125	349	241	202	367	345	258	304	292	124	418	154	433
"VT"	2000	"Essex County"	"Brunswick"	20	26	37	8	26	17	23	20	18	23	19	26	8	30	7	34
"VT"	2000	"Essex County"	"Canaan"	184	210	307	72	198	161	179	204	180	164	177	193	98	231	103	263
"VT"	2000	"Essex County"	"Concord"	268	176	365	81	340	105	158	273	255	167	232	198	106	285	116	299
"VT"	2000	"Essex County"	"East Haven"	77	53	111	21	96	38	35	85	75	53	73	52	33	88	26	95
"VT"	2000	"Essex County"	"Granby"	37	11	40	10	34	11	8	39	37	10	29	16	19	23	6	37
"VT"	2000	"Essex County"	"Guildhall"	84	45	93	18	82	34	47	83	77	43	71	43	41	62	34	75
"VT"	2000	"Essex County"	"Lemington"	41	17	39	12	34	18	16	42	35	12	35	21	20	26	10	35
"VT"	2000	"Essex County"	"Lunenburg Comm Hall"	252	134	278	84	262	105	100	272	259	99	231	128	134	201	76	245
"VT"	2000	"Essex County"	"Lunenburg Gilman"	68	76	114	25	91	49	47	84	75	58	67	67	33	81	42	92
"VT"	2000	"Essex County"	"Maidstone"	42	24	49	11	39	17	18	42	38	13	39	19	26	30	8	45
"VT"	2000	"Essex County"	"Norton"	48	31	63	14	56	23	8	67	65	14	45	33	26	45	16	58
"VT"	2000	"Essex County"	"Victory"	32	24	44	14	43	17	10	45	46	9	35	24	14	37	13	37
"VT"	2000	"Franklin County"	"Bakersfield"	233	299	445	109	171	371	296	236	200	338	165	377	76	462	126	424
"VT"	2000	"Franklin County"	"Berkshire"	250	282	479	75	192	327	231	280	230	323	201	349	70	455	132	359
"VT"	2000	"Franklin County"	"Enosburg"	481	560	908	167	326	705	533	487	416	623	330	729	129	887	275	800
"VT"	2000	"Franklin County"	"Fairfax"	793	767	1264	251	644	926	723	775	828	769	620	960	264	1180	399	1142
"VT"	2000	"Franklin County"	"Fairfield"	340	457	696	101	258	543	382	406	398	436	242	559	106	654	181	613
"VT"	2000	"Franklin County"	"Fletcher"	234	253	406	97	188	315	265	223	261	252	199	310	105	370	135	351
"VT"	2000	"Franklin County"	"Franklin"	285	238	446	72	268	263	215	280	296	240	237	286	103	371	123	375
"VT"	2000	"Franklin County"	"Georgia"	1017	841	1615	224	872	987	776	1013	1043	857	846	1033	373	1384	459	1380
"VT"	2000	"Franklin County"	"Highgate"	577	610	1016	176	488	693	443	673	623	584	459	721	170	908	354	798
"VT"	2000	"Franklin County"	"Montgomery"	215	247	381	98	158	305	261	211	186	283	170	306	73	376	123	354
"VT"	2000	"Franklin County"	"Richford"	460	593	905	175	358	687	446	571	411	582	379	682	129	855	304	743
"VT"	2000	"Franklin County"	"Sheldon"	325	383	632	92	242	454	293	363	335	376	229	478	99	572	164	548
"VT"	2000	"Franklin County"	"St Albans City"	1045	1466	2151	339	894	1630	1351	1038	1072	1494	756	1765	340	1984	751	1669
"VT"	2000	"Franklin County"	"St Albans Town 3-1"	54	57	103	18	52	65	48	57	66	54	52	69	13	91	37	71
