state	year	county	precinct_code	precinct	g2010_GOV_rv	g2010_GOV_dv	g2010_GOV_tv	cd	g2010_USH_rv	g2010_USH_dv	g2010_USH_tv	cd2	g2010_USH_dv2	g2010_USH_rv2	g2010_USH_tv2	sd	g2010_STS_dv	g2010_STS_tv	g2010_STS_rv	sd2	g2010_STS_dv2	g2010_STS_rv2	g2010_STS_tv2	sd3	g2010_STS_dv3	g2010_STS_rv3	g2010_STS_tv3	ld	g2010_STH_rv	g2010_STH_tv	g2010_STH_dv	ld2	g2010_STH_dv2	g2010_STH_rv2	g2010_STH_tv2	ld3	g2010_STH_dv3	g2010_STH_rv3	g2010_STH_tv3	ld4	g2010_STH_dv4	g2010_STH_rv4	g2010_STH_tv4	ld5	g2010_STH_dv5	g2010_STH_rv5	g2010_STH_tv5	ld6	g2010_STH_dv6	g2010_STH_rv6	g2010_STH_tv6	ld7	g2010_STH_dv7	g2010_STH_rv7	g2010_STH_tv7	ld8	g2010_STH_dv8	g2010_STH_rv8	g2010_STH_tv8	ld9	g2010_STH_dv9	g2010_STH_rv9	g2010_STH_tv9	ld10	g2010_STH_dv10	g2010_STH_rv10	g2010_STH_tv10
"TN"	2010	"CAMPBELL"	10	"3-1 CCHS"	376	89	470	4	260	167	440																	36	262	457	195																																				
"TN"	2010	"CAMPBELL"	11	"3-2 Jacksboro Sta"	563	190	769	4	436	277	741																	36	429	765	336																																				
"TN"	2010	"CAMPBELL"	12	"3-3 West LaFollette"	234	124	371	4	166	164	351																	36	175	362	187																																				
"TN"	2010	"CAMPBELL"	13	"4-1 Caryville"	628	246	898	4	457	371	858																	36	409	891	482																																				
"TN"	2010	"CAMPBELL"	14	"4-2 Clinchmore"	11	25	37	4	7	23	32																	36	8	36	28																																				
"TN"	2010	"CAMPBELL"	15	"4-3 Jacksboro"	535	167	712	4	395	262	677																	36	373	706	333																																				
"TN"	2010	"CAMPBELL"	16	"4-4 Ridgewood"	326	99	437	4	245	158	418																	36	263	425	162																																				
"TN"	2010	"CAMPBELL"	17	"5-1 Elk Valley"	149	38	192	4	118	63	188																	36	116	191	75																																				
"TN"	2010	"CAMPBELL"	18	"5-2 Habersham"	187	44	233	4	146	70	218																	36	136	228	92																																				
"TN"	2010	"CAMPBELL"	19	"5-3 Jellico"	529	231	803	4	340	382	749																	36	393	754	361																																				
"TN"	2010	"CAMPBELL"	20	"5-4 Newcomb"	131	77	209	4	108	92	203																	36	117	205	88																																				
"TN"	2010	"CAMPBELL"	21	"5-5 White Oak"	56	48	106	4	39	52	99																	36	37	106	69																																				
"TN"	2010	"CANNON"	1	"1-1 Westside"	584	293	892	6	579	256	865					17	301	861	560									46	490	865	375																																				
"TN"	2010	"CANNON"	2	"2-1 Auburntown"	203	101	312	6	213	73	297					17	101	295	194									46	178	290	112																																				
"TN"	2010	"CANNON"	3	"2-2 Gassaway"	72	60	135	6	69	50	130					17	67	126	59									46	46	129	83																																				
"TN"	2010	"CANNON"	4	"2-3 Pleasant Ridge"	136	64	211	6	133	65	203					17	80	203	123									46	104	201	97																																				
"TN"	2010	"CANNON"	5	"2-4 Short Mountain"	95	73	179	6	97	68	172					17	75	174	99									46	92	176	84																																				
"TN"	2010	"CANNON"	6	"3-2 Woodland"	475	231	715	6	465	178	670					17	281	682	401									46	368	683	315																																				
"TN"	2010	"CANNON"	7	"4-1 Eastside"	377	217	613	6	372	185	587					17	238	584	346									46	302	577	275																																				
"TN"	2010	"CANNON"	8	"4-2 Short Mountain"	122	78	205	6	121	67	190					17	83	196	113									46	86	195	109																																				
"TN"	2010	"CANNON"	9	"5-1 Woodbury"	314	249	576	6	282	218	534					17	271	548	277									46	219	553	334																																				
"TN"	2010	"CANNON"	10	"Absentee"	34	49	83	6	38	37	75					17	47	81	34									46	24	78	54																																				
"TN"	2010	"CARROLL"	1	"Lavinia"	146	62	215	8	153	51	214					27	65	212	147									79	159	212	53																																				
"TN"	2010	"CARROLL"	2	"Trezevant"	256	253	515	8	293	207	507					27	257	503	246									76	265	501	236																																				
"TN"	2010	"CARROLL"	3	"Christmasville"	34	33	70	8	46	24	71					27	30	68	38									76	43	69	26																																				
"TN"	2010	"CARROLL"	4	"McLemoresville"	182	125	312	8	183	119	305					27	160	300	140									76	143	296	153																																				
"TN"	2010	"CARROLL"	5	"Cedar Grove"	211	129	345	8	231	106	349					27	154	343	189									79	239	339	100																																				
"TN"	2010	"CARROLL"	6	"Clarksburg"	234	133	371	8	276	85	368					27	148	354	206									79	275	365	90																																				
"TN"	2010	"CARROLL"	7	"Macedonia"	60	40	101	8	74	25	101					27	39	98	59									76	71	102	31																																				
"TN"	2010	"CARROLL"	8	"Civic Center"	732	523	1264	8	802	438	1256					27	647	1237	590									76	618	1223	605	79	3	12	15																																
"TN"	2010	"CARROLL"	9	"Huntingdon City Hall"	499	311	819	8	576	227	811					27	360	789	429									79	512	724	212	76	28	27	55																																
"TN"	2010	"CARROLL"	10	"Yuma"	103	45	151	8	114	33	151					27	52	150	98									79	117	147	30																																				
"TN"	2010	"CARROLL"	11	"Buena Vista"	74	50	127	8	87	34	125					27	52	125	73									79	84	122	38																																				
"TN"	2010	"CARROLL"	12	"Bruceton"	263	221	493	8	289	192	488					27	251	484	233									76	222	482	260																																				
"TN"	2010	"CARROLL"	13	"Hollow Rock"	199	175	381	8	217	152	378					27	185	367	182									76	182	373	191																																				
"TN"	2010	"CARROLL"	14	"Vale"	49	55	106	8	51	55	106					27	56	104	48									76	51	104	53																																				
"TN"	2010	"CARROLL"	15	"Westview"	53	42	95	8	59	33	92					27	42	94	52									79	59	91	32																																				
"TN"	2010	"CARROLL"	16	"Atwood"	267	252	524	8	305	200	514					27	272	497	225									76	262	488	226																																				
"TN"	2010	"CARROLL"	17	"Senior Citizens"	250	270	536	8	285	230	526					27	270	519	249									76	261	515	254																																				
"TN"	2010	"CARROLL"	18	"Cannon"	124	122	251	8	168	78	251					27	125	243	118									76	138	249	111																																				
"TN"	2010	"CARROLL"	19	"Concord"	125	102	230	8	144	84	229					27	105	224	119									79	134	221	87																																				
"TN"	2010	"CARROLL"	20	"Westport"	71	37	108	8	79	30	109					27	51	107	56									79	74	103	29																																				
"TN"	2010	"CARROLL"	21	"Bethel College"	545	330	888	8	580	290	882					27	392	867	475									76	514	879	365																																				
"TN"	2010	"CARROLL"	22	"McKenzie City"	247	174	426	8	246	163	421					27	215	412	197									76	211	414	203																																				
"TN"	2010	"CARTER"	1	"Hunter"	857	222	1096	1	885	112	1016					3	141	1022	881									4	409	1094																																					
"TN"	2010	"CARTER"	2	"Midway"	269	81	360	1	284	45	338					3	53	328	275									4	135	367																																					
"TN"	2010	"CARTER"	3	"Unaka"	457	131	595	1	468	75	556					3	98	539	441									4	197	593																																					
"TN"	2010	"CARTER"	4	"Roan Mountain"	705	146	869	1	734	74	820					3	90	783	693									4	422	855																																					
"TN"	2010	"CARTER"	5	"Tiger Valley"	588	149	750	1	601	83	692					3	91	690	599									4	319	735																																					
"TN"	2010	"CARTER"	6	"Central"	560	138	711	1	560	103	676					3	96	670	574									4	383	701																																					
"TN"	2010	"CARTER"	7	"Keenburg"	391	137	531	1	400	81	491					3	82	477	395									4	197	521																																					
"TN"	2010	"CARTER"	8	"Range"	255	91	357	1	274	55	337					3	59	332	273									4	131	349																																					
"TN"	2010	"CARTER"	9	"Watauga"	128	43	173	1	124	32	161					3	31	163	132									4	85	169																																					
"TN"	2010	"CARTER"	10	"Courthouse"	651	179	840	1	672	97	778					3	122	772	650									4	280	834																																					
"TN"	2010	"CARTER"	11	"Eastside"	479	107	596	1	474	69	554					3	77	557	480									4	248	589																																					
"TN"	2010	"CARTER"	12	"Siam"	271	66	345	1	287	41	331					3	44	324	280									4	140	346																																					
"TN"	2010	"CARTER"	13	"Happy Valley"	1283	317	1624	1	1282	247	1556					3	257	1535	1278									4	930	1598																																					
"TN"	2010	"CARTER"	14	"Elk Mills"	85	43	128	1	89	23	116					3	21	113	92									4	39	127																																					
"TN"	2010	"CARTER"	15	"Hampton"	398	115	529	1	429	47	488					3	71	474	403									4	207	525																																					
"TN"	2010	"CARTER"	16	"Little Milligan"	131	50	183	1	139	26	169					3	30	173	143									4	64	183																																					
"TN"	2010	"CARTER"	17	"Valley Forge"	604	181	802	1	631	104	751					3	112	727	615									4	300	800																																					
"TN"	2010	"CARTER"	18	"Gap Creek"	732	171	916	1	730	120	873					3	126	869	743									4	477	901																																					
"TN"	2010	"CARTER"	19	"Westside"	834	212	1056	1	825	147	987					3	149	978	829									4	394	1039																																					
"TN"	2010	"CARTER"	20	"Harold McCormick"	349	153	514	1	359	119	487					3	113	466	353									4	161	493																																					
"TN"	2010	"CARTER"	21	"High School"	756	269	1032	1	810	144	969					3	169	917	748									4	381	1017																																					
"TN"	2010	"CHEATHAM"	1	"1-1 County Library"	756	418	1202	5	626	522	1170																	78	767	1149	382																																				
"TN"	2010	"CHEATHAM"	2	"2-2 East Cheatham"	1002	418	1447	5	873	506	1401																	78	1006	1371	365																																				
"TN"	2010	"CHEATHAM"	3	"3-1 Pleasant View"	1575	568	2185	5	1356	754	2147																	78	1536	2083	547																																				
"TN"	2010	"CHEATHAM"	4	"4-1 West Cheatham"	688	325	1033	7	658	247	933	5	23	48	72													78	693	1022	329																																				
"TN"	2010	"CHEATHAM"	5	"4-2 New Hope"	17	11	29	7	17	7	25																	78	13	29	16																																				
"TN"	2010	"CHEATHAM"	6	"4-3 Sycamore"	428	170	607	5	368	219	592																	78	432	588	156																																				
"TN"	2010	"CHEATHAM"	7	"5-1 Two Rivers"	278	135	424	7	275	117	413																	78	284	418	134																																				
"TN"	2010	"CHEATHAM"	8	"5-2 Pegram"	891	361	1270	5	774	452	1243																	78	900	1235	335																																				
"TN"	2010	"CHEATHAM"	9	"6-1 Harpeth"	1382	563	1984	7	1299	513	1855	5	50	40	92													78	1433	1948	515																																				
"TN"	2010	"CHESTER"	1	"1-2 Enville"	179	97	278	7	198	53	266																	72	242	242																																					
"TN"	2010	"CHESTER"	2	"1-5 Sweet Lips"	156	51	214	7	165	32	205																	72	166	166																																					
"TN"	2010	"CHESTER"	3	"1-6 Harmony"	132	50	183	7	141	33	179																	72	148	148																																					
"TN"	2010	"CHESTER"	4	"2-1 Jacks Creek"	210	48	263	7	214	30	253																	72	239	239																																					
"TN"	2010	"CHESTER"	5	"2-2 Hilltop"	291	149	452	7	319	105	439																	72	363	363																																					
"TN"	2010	"CHESTER"	6	"3-2 Montezuma"	323	121	446	7	329	67	412																	72	359	359																																					
"TN"	2010	"CHESTER"	7	"3-4 Masseyville"	98	72	175	7	111	46	159																	72	127	127																																					
"TN"	2010	"CHESTER"	8	"3-6 Deanburg"	141	38	184	7	157	13	177																	72	169	169																																					
"TN"	2010	"CHESTER"	9	"4-1 West Chester Sch"	596	208	819	7	617	134	775																	72	679	679																																					
"TN"	2010	"CHESTER"	10	"5-1 East Chester Sch"	452	224	690	7	484	153	650																	72	534	534																																					
"TN"	2010	"CHESTER"	11	"6-1 City Hall"	185	89	278	7	194	73	276																	72	215	215																																					
"TN"	2010	"CLAIBORNE"	1	"1-1 Tazewell"	671	243	941	3	499	249	820																	35	646	646																																					
"TN"	2010	"CLAIBORNE"	2	"2-1 Clouds"	265	77	349	3	228	73	324																	35	279	279																																					
"TN"	2010	"CLAIBORNE"	3	"2-2 Goin"	181	45	231	3	153	49	216																	35	177	177																																					
"TN"	2010	"CLAIBORNE"	4	"2-3 Sandlick"	165	49	225	3	144	43	207																	35	169	169																																					
"TN"	2010	"CLAIBORNE"	5	"3-1 Lone Mountain"	113	39	154	3	97	34	142																	35	122	122																																					
"TN"	2010	"CLAIBORNE"	6	"3-2 New Tazewell"	519	150	685	3	410	164	627																	35	517	517																																					
"TN"	2010	"CLAIBORNE"	7	"4-1 Gibson Hall"	61	25	91	3	49	22	79																	35	55	55																																					
"TN"	2010	"CLAIBORNE"	8	"4-2 Howard's Quarter"	62	18	81	3	53	21	77																	35	64	64																																					
"TN"	2010	"CLAIBORNE"	9	"4-3 Liberty"	69	20	91	3	62	21	85																	35	72	72																																					
"TN"	2010	"CLAIBORNE"	10	"4-4 Springdale"	277	125	408	3	239	100	376																	35	307	307																																					
"TN"	2010	"CLAIBORNE"	11	"5-1 Big Spring Union"	199	45	252	3	173	41	235																	35	204	204																																					
"TN"	2010	"CLAIBORNE"	12	"6-1 Harrogate"	446	108	575	3	373	105	511																	35	430	430																																					
"TN"	2010	"CLAIBORNE"	13	"6-2 Shawanee"	340	111	462	3	278	115	415																	35	320	320																																					
"TN"	2010	"CLAIBORNE"	14	"7-1 Arthur"	702	180	899	3	574	198	824																	35	683	683																																					
"TN"	2010	"CLAIBORNE"	15	"7-2 Cumberland Gap"	99	26	130	3	79	32	117																	35	89	89																																					
"TN"	2010	"CLAIBORNE"	16	"8-1 Rogers Mill"	288	53	354	3	253	51	322																	35	274	274																																					
"TN"	2010	"CLAIBORNE"	17	"8-2 Vanbebber Sprngs"	251	99	363	3	214	99	337																	35	255	255																																					
"TN"	2010	"CLAIBORNE"	18	"9-1 Clairfield"	60	50	113	3	42	46	100																	35	66	66																																					
