state	year	parish	ward	precinct	sd	ld	ld2	g2001_STH_dv	g2001_STH_rv	g2001_STH_tv	g2001_STH_dv2	g2001_STH_rv2	g2001_STH_tv2	g2001_STS_dv	g2001_STS_rv	g2001_STS_tv	r2001_SC6_dv	r2001_SC6_rv	r2001_SC6_tv	r2001_STS_dv	r2001_STS_rv	r2001_STS_tv	r2001_STH_dv	r2001_STH_rv	r2001_STH_tv	g2001_SC6_dv	g2001_SC6_rv	g2001_SC6_tv
"LA"	2001	"Iberia"	"10-"	"3"													112		112							51	106	157
"LA"	2001	"Livingston"	"0"	"18"		69			84	84														112	112			
"LA"	2001	"East Baton Rouge"	"2-"	"22A"	15									141		142												
"LA"	2001	"East Baton Rouge"	"1-"	"101A"	15									186		188												
"LA"	2001	"Terrebonne"	"0"	"49"	20									55	24	79	63		63	85	25	110				43	4	47
"LA"	2001	"Jefferson"	"0"	"232"		86			224	224														199	199			
"LA"	2001	"Orleans"	"9-"	"40A"		100		199		199													224		224			
"LA"	2001	"East Baton Rouge"	"2-"	"9A"	15									163		199												
"LA"	2001	"St. John The Baptist"	"0"	"12C"													16		16							13	0	13
"LA"	2001	"Assumption"	"8-"	"1"													99		99							213	22	235
"LA"	2001	"Lafourche"	"2-"	"4"													168		168							163	2	165
"LA"	2001	"Assumption"	"7-"	"1A"													97		97							122	5	127
"LA"	2001	"Jefferson"	"0"	"203"													13		13							25	5	30
"LA"	2001	"Lafourche"	"11-"	"4"	20									6	17	23	32		32	6	22	28				39	0	39
"LA"	2001	"East Baton Rouge"	"3-"	"8B"	15									35		157												
"LA"	2001	"East Baton Rouge"	"1-"	"92A"	15									143		145												
"LA"	2001	"Assumption"	"2-"	"3"													185		185							283	8	291
"LA"	2001	"St. James"	"0"	"7A"													99		99							73	0	73
"LA"	2001	"Terrebonne"	"0"	"45"													270		270							201	12	213
"LA"	2001	"St. Charles"	"2-"	"8"													3		3							6	0	6
"LA"	2001	"Iberia"	"1-"	"5"													110		110							32	104	136
"LA"	2001	"Lafourche"	"4-"	"3"	20									24	209	233	162		162	62	203	265				189	6	195
"LA"	2001	"St. Charles"	"2-"	"2"													107		107							141	20	161
"LA"	2001	"Terrebonne"	"0"	"46"	20									86	40	126	120		120	115	45	160				81	9	90
"LA"	2001	"Assumption"	"2-"	"2"													121		121							186	6	192
"LA"	2001	"St. Charles"	"1-"	"5"													98		98							151	4	155
"LA"	2001	"St. Mary"	"0"	"16"													206		206							66	59	125
"LA"	2001	"St. James"	"0"	"17A"													67		67							65	0	65
"LA"	2001	"Terrebonne"	"0"	"62"	20	53		137	14	151				99	42	143	90		90	142	29	171	145		145	41	2	43
"LA"	2001	"St. James"	"0"	"15A"													28		28							20	0	20
"LA"	2001	"St. Charles"	"3-"	"2"													81		81							183	61	244
"LA"	2001	"Iberia"	"3-"	"4"													34		34							12	20	32
"LA"	2001	"Lafourche"	"10-"	"12"	20									131	196	327	164		164	135	284	419				230	10	240
"LA"	2001	"St. Mary"	"0"	"14"													141		141							68	14	82
"LA"	2001	"St. Mary"	"0"	"17"													157		157							50	51	101
"LA"	2001	"East Baton Rouge"	"2-"	"25A"	15									114		225												
"LA"	2001	"Lafourche"	"2-"	"9"													100		100							99	1	100
"LA"	2001	"Orleans"	"9-"	"44D"		100		295		295													322		322			
"LA"	2001	"St. Charles"	"6-"	"4"													80		80							102	8	110
"LA"	2001	"St. John The Baptist"	"Early Voting"														326		326							185	9	194
"LA"	2001	"Orleans"	"9-"	"43N"		100		292		295													292		292			
"LA"	2001	"East Baton Rouge"	"2-"	"22B"	15									108		108												
"LA"	2001	"Jefferson"	"GI"	"1"													96		96							161	14	175
"LA"	2001	"Iberia"	"7-"	"4"													178		178							38	226	264
"LA"	2001	"St. James"	"0"	"10"													91		91							76	2	78
"LA"	2001	"Iberia"	"12-"	"3"													126		126							72	28	100
"LA"	2001	"East Baton Rouge"	"3-"	"41A"		69			188	188														276	276			
"LA"	2001	"St. Mary"	"0"	"25"													101		101							50	67	117
"LA"	2001	"Orleans"	"9-"	"44P"		100		477		478													476		476			
"LA"	2001	"St. Bernard"	"0"	"51"													66		66							208	3	211
"LA"	2001	"Iberia"	"7-"	"5"													178		178							63	250	313
"LA"	2001	"St. Mary"	"0"	"27"													130		130							182	62	244
"LA"	2001	"St. Martin"	"4-"	"2"													56		56							21	81	102
"LA"	2001	"St. Mary"	"0"	"29"													178		178							173	130	303
"LA"	2001	"Plaquemines"	"1-"	"1"													93		93							358	21	379
"LA"	2001	"Terrebonne"	"0"	"55N"	20	53		208	22	230				143	124	267	161		161	187	73	260	219		219	82	11	93
"LA"	2001	"St. Mary"	"0"	"23"													148		148							86	103	189
"LA"	2001	"St. John The Baptist"	"0"	"6C"													48		48							31	4	35
"LA"	2001	"Lafourche"	"10-"	"1"	20									95	170	268	149		149	132	217	349				209	5	214
"LA"	2001	"St. Mary"	"0"	"36"													205		205							210	153	363
"LA"	2001	"West Feliciana"	"2-"	"1"	15									70		196												
"LA"	2001	"Lafourche"	"2-"	"1"													166		166							166	1	167
"LA"	2001	"Jefferson"	"0"	"190"													85		85							85	21	106
"LA"	2001	"Iberia"	"1-"	"3"													11		11							1	10	11
"LA"	2001	"Terrebonne"	"0"	"74"													18		18							9	0	9
"LA"	2001	"Terrebonne"	"0"	"63"	20	53		161	27	188				174	45	223	120		120	171	47	218	208		208	66	4	70
"LA"	2001	"St. Martin"	"3-"	"3"													100		100							16	107	123
"LA"	2001	"Terrebonne"	"0"	"64"													91		91							81	0	81
"LA"	2001	"St. Martin"	"3-"	"2"													82		82							11	69	80
"LA"	2001	"East Feliciana"	"8-"	"1"	15									87		216												
"LA"	2001	"Jefferson"	"0"	"247"													62		62							54	8	62
"LA"	2001	"Terrebonne"	"0"	"3"													42		42							18	0	18
"LA"	2001	"St. Charles"	"6-"	"2"													152		152							244	3	247
"LA"	2001	"East Baton Rouge"	"1-"	"95A"	15									252		253												
"LA"	2001	"St. John The Baptist"	"0"	"10A"													97		97							73	0	73
"LA"	2001	"East Baton Rouge"	"1-"	"77B"	15									150		160												
"LA"	2001	"Iberia"	"4-"	"4"													104		104							38	25	63
"LA"	2001	"Terrebonne"	"0"	"10L"													85		85							42	8	50
"LA"	2001	"St. James"	"0"	"5A"													31		31							33	3	36
"LA"	2001	"Orleans"	"15-"	"18F"		86			291	291														270	270			
"LA"	2001	"Livingston"	"0"	"34"		69			62	62														106	106			
"LA"	2001	"Terrebonne"	"0"	"2"													61		61							43	1	44
"LA"	2001	"St. John The Baptist"	"0"	"9B"													0		0							0	0	0
"LA"	2001	"Orleans"	"15-"	"18D"		86			203	203														181	181			
"LA"	2001	"Terrebonne"	"0"	"15A"													250		250							119	16	135
"LA"	2001	"Terrebonne"	"0"	"15J"													241		241							152	17	169
"LA"	2001	"Orleans"	"9-"	"44J"		100		264		265													238		238			
"LA"	2001	"St. Bernard"	"0"	"11"													128		128							275	12	287
"LA"	2001	"East Baton Rouge"	"1-"	"86B"	15									213		214												
"LA"	2001	"St. Martin"	"3-"	"8"													28		28							4	16	20
"LA"	2001	"Terrebonne"	"0"	"34A"	20	53		112	1	113				62	19	82	79		79	115	12	127	123		123	44	1	45
"LA"	2001	"Iberia"	"11-"	"7"													18		18							14	18	32
"LA"	2001	"St. Charles"	"7-"	"3"													163		163							238	36	274
"LA"	2001	"Plaquemines"	"9-"	"2"													41		41							109	2	111
"LA"	2001	"Orleans"	"15-"	"14D"		86			44	44														45	45			
"LA"	2001	"East Baton Rouge"	"2-"	"23B"	15									210		222												
"LA"	2001	"St. Mary"	"0"	"18A"													19		19							8	10	18
"LA"	2001	"St. Bernard"	"0"	"41"													217		217							528	26	554
"LA"	2001	"St. Charles"	"1-"	"3"													178		178							301	20	321
"LA"	2001	"Terrebonne"	"0"	"24"	20	53		251	11	262				162	89	251	222		222	169	79	248	269		269	173	13	186
"LA"	2001	"East Baton Rouge"	"2-"	"1B"	15									140		186												
"LA"	2001	"East Feliciana"	"4-"	"1B"	15									31		75												
"LA"	2001	"Plaquemines"	"1-"	"5"													5		5							5	0	5
"LA"	2001	"Jefferson"	"0"	"250"													0		0							0	0	0
"LA"	2001	"East Feliciana"	"5-"	"1B"	15									120		228												
"LA"	2001	"Assumption"	"4-"	"2"													149		149							237	12	249
"LA"	2001	"St. Mary"	"0"	"9"													89		89							28	38	66
"LA"	2001	"Terrebonne"	"0"	"31"	20	53		75	4	79				37	25	62	56		56	63	19	82	73		73	29	3	32
"LA"	2001	"Terrebonne"	"0"	"34I"	20	53		118	2	120				42	18	60	68		68	97	14	111	134		134	44	1	45
"LA"	2001	"Iberia"	"11-"	"1"													121		121							58	98	156
"LA"	2001	"Assumption"	"6-"	"1"													91		91							148	7	155
"LA"	2001	"St. Helena"	"5-"	"2"	15									22		65												
"LA"	2001	"Lafourche"	"6-"	"3"													142		142							175	2	177
"LA"	2001	"St. Martin"	"3-"	"1"													157		157							26	113	139
"LA"	2001	"Lafourche"	"10-"	"2"	20									70	143	214	114		114	75	188	263				162	3	165
"LA"	2001	"Terrebonne"	"0"	"5"													91		91							44	6	50
"LA"	2001	"East Feliciana"	"3-"	"1B"	15									53		191												
"LA"	2001	"St. John The Baptist"	"0"	"15"													263		263							246	16	262
"LA"	2001	"Terrebonne"	"0"	"40"	20									119	63	186	151		151	144	56	200				108	9	117
"LA"	2001	"Assumption"	"5-"	"1"													119		119							182	6	188
"LA"	2001	"Terrebonne"	"0"	"17E"		53		164	17	181							134		134				181		181	60	10	70
"LA"	2001	"Terrebonne"	"0"	"73"	20									125	62	188	159		159	126	64	190				73	13	86
"LA"	2001	"Orleans"	"9-"	"44A"		100		216		219													233		233			
"LA"	2001	"Terrebonne"	"0"	"55A"	20	53		233	35	268				184	163	350	182		182	225	89	314	263		263	109	10	119
"LA"	2001	"St. John The Baptist"	"0"	"5"													255		255							225	6	231
"LA"	2001	"Terrebonne"	"0"	"47"	20									92	96	188	176		176	113	66	179				113	19	132
"LA"	2001	"St. Bernard"	"0"	"52"													122		122							380	7	387
"LA"	2001	"East Baton Rouge"	"3-"	"10B"		69			109	109														182	182			
"LA"	2001	"Terrebonne"	"0"	"4A"													168		168							114	10	124
"LA"	2001	"Orleans"	"9-"	"44"		100		371		372													377		377			
"LA"	2001	"Jefferson"	"0"	"7"		88			147	153																		
"LA"	2001	"Assumption"	"7-"	"1"													105		105							132	7	139
"LA"	2001	"East Baton Rouge"	"1-"	"88C"	15									66		114												
"LA"	2001	"Terrebonne"	"0"	"52"	20									83	104	191	135		135	141	62	203				73	11	84
"LA"	2001	"St. John The Baptist"	"0"	"13A"													234		234							212	25	237
"LA"	2001	"St. James"	"0"	"14"													134		134							144	2	146
"LA"	2001	"Lafourche"	"1-"	"2"													79		79							86	1	87
"LA"	2001	"Lafourche"	"1-"	"2A"													83		83							95	4	99
"LA"	2001	"St. Mary"	"0"	"37"													66		66							67	14	81
"LA"	2001	"St. Martin"	"3-"	"9"													17		17							3	17	20
"LA"	2001	"Terrebonne"	"0"	"57A"	20	53		182	30	212				175	111	288	144		144	234	62	296	213		213	85	4	89
"LA"	2001	"Jefferson"	"0"	"51"		88			111	116																		
"LA"	2001	"Iberia"	"9-"	"5"													91		91							29	111	140
"LA"	2001	"St. Charles"	"3-"	"1B"													66		66							110	40	150
"LA"	2001	"St. Bernard"	"0"	"28"													181		181							391	24	415
"LA"	2001	"St. Helena"	"2-"	"1"	15									159		188												
"LA"	2001	"Terrebonne"	"0"	"27"	20	53		65	6	71				42	33	75	50		50	39	27	66	59		59	31	3	34
"LA"	2001	"St. Bernard"	"0"	"34"													232		232							470	31	501
"LA"	2001	"St. Martin"	"7-"	"4"													88		88							32	53	85
"LA"	2001	"Terrebonne"	"0"	"9"													50		50							32	2	34
"LA"	2001	"Terrebonne"	"0"	"10A"													103		103							65	8	73
"LA"	2001	"Iberia"	"5-"	"7"													67		67							26	87	113
"LA"	2001	"Iberia"	"5-"	"2"													132		132							27	169	196
"LA"	2001	"St. John The Baptist"	"0"	"14C"													88		88							83	16	99
"LA"	2001	"St. Charles"	"1-"	"2A"													145		145							210	13	223
"LA"	2001	"St. James"	"0"	"8"													153		153							130	11	141
"LA"	2001	"East Baton Rouge"	"3-"	"38A"		69			221	221														318	318			
"LA"	2001	"Terrebonne"	"0"	"66"													56		56							40	3	43
"LA"	2001	"Lafourche"	"2-"	"6"													240		240							267	10	277
"LA"	2001	"Terrebonne"	"0"	"71"	20									31	24	55	54		54	53	16	69				33	0	33
"LA"	2001	"St. Charles"	"5-"	"4"													117		117							227	36	263
"LA"	2001	"East Baton Rouge"	"3-"	"11A"		69			84	84														129	129			
"LA"	2001	"St. Charles"	"3-"	"4"													123		123							226	57	283
"LA"	2001	"Terrebonne"	"0"	"75"	20	53		3	0	3				0	0	0	1		1	0	0	0	5		5	1	0	1
"LA"	2001	"East Baton Rouge"	"1-"	"84A"	15									145		147												
"LA"	2001	"Terrebonne"	"0"	"18J"	20	53		157	16	173				92	70	168	136		136	84	67	151	174		174	87	9	96
"LA"	2001	"East Feliciana"	"2-"	"1F"	15									8		8												
"LA"	2001	"Assumption"	"6-"	"1A"													78		78							129	15	144
"LA"	2001	"St. Mary"	"0"	"19A"													0		0							0	0	0
"LA"	2001	"Terrebonne"	"Early Voting"		20	53		124	8	132				98	67	167	393		393	140	67	207	187		187	146	29	175
"LA"	2001	"West Feliciana"	"4-"	"1"	15									78		141												
"LA"	2001	"Lafourche"	"9-"	"2"	20									37	167	204	95		95	62	196	258				146	3	149
"LA"	2001	"St. Mary"	"0"	"40"													113		113							124	81	205
"LA"	2001	"Lafourche"	"4-"	"4"	20									51	344	396	210		210	115	324	439				249	7	256
"LA"	2001	"St. Mary"	"0"	"5"													48		48							15	44	59
"LA"	2001	"Iberia"	"8-"	"4"													101		101							20	139	159
"LA"	2001	"Lafourche"	"3-"	"5"	20									65	269	343	233		233	153	194	347				276	12	288
"LA"	2001	"St. Mary"	"0"	"13"													144		144							69	69	138
"LA"	2001	"East Baton Rouge"	"2-"	"16A"	15									210		212												
"LA"	2001	"Terrebonne"	"0"	"33"	20	53		95	10	105				38	46	84	62		62	62	32	94	93		93	33	0	33
"LA"	2001	"St. Charles"	"7-"	"3A"													125		125							208	40	248
"LA"	2001	"West Feliciana"	"7-"	"3"	15									68		71												
"LA"	2001	"Iberia"	"8-"	"2"													143		143							25	189	214
"LA"	2001	"St. John The Baptist"	"0"	"14E"													86		86							85	4	89
"LA"	2001	"Plaquemines"	"5-"	"4"													49		49							168	3	171
"LA"	2001	"Lafourche"	"10-"	"7"	20									67	49	117	59		59	69	65	134				74	1	75
"LA"	2001	"Iberia"	"2-"	"2"													47		47							4	8	12
"LA"	2001	"St. Bernard"	"0"	"32"													171		171							436	24	460
"LA"	2001	"St. Martin"	"1-"	"2"													22		22							17	9	26
"LA"	2001	"St. John The Baptist"	"0"	"8A"													111		111							93	6	99
"LA"	2001	"Livingston"	"0"	"23A"		69			259	259														242	242			
"LA"	2001	"St. Charles"	"4-"	"2"													120		120							251	51	302
"LA"	2001	"St. Mary"	"0"	"26"													73		73							36	20	56
"LA"	2001	"Iberia"	"14-"	"4"													48		48							22	36	58
"LA"	2001	"St. John The Baptist"	"0"	"3"													449		449							370	5	375
"LA"	2001	"St. Martin"	"9-"	"2"													124		124							42	115	157
"LA"	2001	"Orleans"	"9-"	"44F"		100		343		345													359		359			
"LA"	2001	"St. Bernard"	"0"	"31"													228		228							467	12	479
"LA"	2001	"Orleans"	"9-"	"41"		100		325		328													325		325			
"LA"	2001	"Jefferson"	"K"	"25"		88			130	133																		
"LA"	2001	"Terrebonne"	"0"	"39"	20									49	25	75	59		59	61	29	90				32	2	34
"LA"	2001	"Jefferson"	"0"	"10"		88			135	136																		
"LA"	2001	"St. Martin"	"7-"	"3"													188		188							35	63	98
"LA"	2001	"Lafourche"	"6-"	"1A"													217		217							247	2	249
"LA"	2001	"St. Mary"	"0"	"7"													134		134							63	41	104
"LA"	2001	"St. Charles"	"2-"	"5"													315		315							549	154	703
"LA"	2001	"East Baton Rouge"	"3-"	"24A"	15									257		311												
"LA"	2001	"West Feliciana"	"5-"	"3"	15									96		111												
"LA"	2001	"St. Bernard"	"0"	"24"													140		140							284	22	306
"LA"	2001	"Plaquemines"	"7-"	"1"													110		110							319	26	345
"LA"	2001	"Iberia"	"6-"	"2"													71		71							30	78	108
"LA"	2001	"West Feliciana"	"3-"	"2"	15									172		203												
"LA"	2001	"Jefferson"	"0"	"194A"													52		52							84	9	93
"LA"	2001	"St. Helena"	"Early Voting"		15									7		34												
"LA"	2001	"East Baton Rouge"	"Early Voting"		15	69			165	165				33		53								149	149			
"LA"	2001	"Assumption"	"9-"	"2"													39		39							86	6	92
"LA"	2001	"East Baton Rouge"	"3-"	"27"		69			153	153														229	229			
"LA"	2001	"East Baton Rouge"	"3-"	"15B"		69			284	284														369	369			
"LA"	2001	"St. Martin"	"4-"	"1"													62		62							23	66	89
"LA"	2001	"Lafourche"	"1-"	"1"													200		200							249	12	261
"LA"	2001	"St. Martin"	"1-"	"3"													104		104							37	134	171
"LA"	2001	"Orleans"	"9-"	"44M"		100		474		475													451		451			
"LA"	2001	"Lafourche"	"4-"	"1"	20									61	384	446	238		238	155	291	446				298	12	310
"LA"	2001	"Jefferson"	"0"	"205"													16		16							38	2	40
"LA"	2001	"East Baton Rouge"	"2-"	"23A"	15									208		213												
"LA"	2001	"Assumption"	"5-"	"2"													235		235							334	24	358
"LA"	2001	"Iberia"	"11-"	"6"													57		57							17	42	59
"LA"	2001	"Iberia"	"12-"	"5"													16		16							5	11	16
"LA"	2001	"St. John The Baptist"	"0"	"4"													513		513							466	13	479
"LA"	2001	"St. Martin"	"2-"	"1"													204		204							32	128	160
"LA"	2001	"St. Helena"	"5-"	"1"	15									138		203												
"LA"	2001	"St. Martin"	"2-"	"3"													240		240							34	139	173
"LA"	2001	"East Feliciana"	"6-"	"1"	15									90		307												
"LA"	2001	"St. Martin"	"1-"	"6"													32		32							5	51	56
"LA"	2001	"Iberia"	"2-"	"4"													32		32							5	42	47
"LA"	2001	"St. Martin"	"1-"	"4"													56		56							19	112	131
"LA"	2001	"St. Mary"	"0"	"24"													137		137							54	58	112
"LA"	2001	"Lafourche"	"6-"	"1B"													264		264							286	3	289
"LA"	2001	"St. Martin"	"1-"	"1"													93		93							36	150	186
"LA"	2001	"St. James"	"0"	"2"													133		133							134	7	141
"LA"	2001	"St. Mary"	"0"	"28"													170		170							191	128	319
"LA"	2001	"East Baton Rouge"	"3-"	"16B"		69			214	214														350	350			
"LA"	2001	"St. John The Baptist"	"0"	"9C"													50		50							62	2	64
"LA"	2001	"Orleans"	"9-"	"43L"		100		155		155													166		166			
"LA"	2001	"St. Charles"	"6-"	"7"													71		71							131	13	144
"LA"	2001	"Lafourche"	"2-"	"2"													493		493							484	18	502
"LA"	2001	"St. Bernard"	"0"	"44"													36		36							210	6	216
"LA"	2001	"St. John The Baptist"	"0"	"7"													401		401							361	11	372
"LA"	2001	"Jefferson"	"0"	"3"		88			173	173																		
"LA"	2001	"St. Charles"	"1-"	"1"													201		201							205	3	208
"LA"	2001	"Jefferson"	"0"	"228"		86			307	307														329	329			
"LA"	2001	"Plaquemines"	"5-"	"5"													44		44							103	4	107
"LA"	2001	"St. James"	"0"	"7"													80		80							81	1	82
"LA"	2001	"St. Martin"	"9-"	"3"													121		121							63	120	183
"LA"	2001	"Terrebonne"	"0"	"68"													168		168							105	6	111
"LA"	2001	"St. Helena"	"2-"	"2"	15									42		180												
"LA"	2001	"Terrebonne"	"0"	"6"													2		2							3	0	3
"LA"	2001	"St. John The Baptist"	"0"	"14D"													21		21							15	0	15
"LA"	2001	"Terrebonne"	"0"	"28"	20	53		27	4	31				16	19	35	29		29	19	22	41	32		32	19	2	21
"LA"	2001	"St. Martin"	"4-"	"6"													37		37							8	60	68
"LA"	2001	"Lafourche"	"2-"	"12"													452		452							475	17	492
"LA"	2001	"East Baton Rouge"	"3-"	"15A"		69			233	233														330	330			
"LA"	2001	"St. John The Baptist"	"0"	"10D"													86		86							79	8	87
"LA"	2001	"St. Martin"	"4-"	"3"													142		142							38	254	292
"LA"	2001	"Orleans"	"9-"	"44O"		100		269		283													293		293			
"LA"	2001	"Jefferson"	"0"	"184"													88		88							123	22	145
"LA"	2001	"Iberia"	"3-"	"5"													45		45							17	30	47
"LA"	2001	"Iberia"	"8-"	"1"													152		152							39	181	220
"LA"	2001	"Terrebonne"	"0"	"69N"													239		239							155	26	181
"LA"	2001	"St. Bernard"	"0"	"42"													199		199							547	20	567
"LA"	2001	"St. Mary"	"0"	"15"													84		84							31	23	54
"LA"	2001	"St. John The Baptist"	"0"	"10C"													84		84							65	4	69
"LA"	2001	"Orleans"	"9-"	"44I"		100		465		467													454		454			
"LA"	2001	"St. Mary"	"Early Voting"														317		317							249	191	440
"LA"	2001	"East Baton Rouge"	"1-"	"74A"		69			167	167														262	262			
"LA"	2001	"St. James"	"0"	"12"													126		126							119	8	127
"LA"	2001	"Jefferson"	"0"	"230"		86			674	674														569	569			
"LA"	2001	"Terrebonne"	"0"	"56"	20	53		55	13	68				65	53	119	41		41	97	22	119	74		74	30	0	30
"LA"	2001	"St. Mary"	"0"	"38"													101		101							114	80	194
"LA"	2001	"Iberia"	"7-"	"1"													208		208							46	246	292
"LA"	2001	"Plaquemines"	"3-"	"1"													312		312							932	184	1116
"LA"	2001	"St. Mary"	"0"	"12"													110		110							46	37	83
"LA"	2001	"St. James"	"0"	"11"													122		122							100	3	103
"LA"	2001	"Lafourche"	"10-"	"3A"	20									95	190	286	144		144	79	248	327				182	7	189
"LA"	2001	"Jefferson"	"0"	"8"		88			91	91																		
"LA"	2001	"St. Martin"	"8-"	"1"													345		345							241	258	499
"LA"	2001	"Lafourche"	"11-"	"1"	20	53		107	7	114				163	20	183	52		52	186	17	203	138		138	56	2	58
"LA"	2001	"Iberia"	"8-"	"3"													81		81							31	114	145
"LA"	2001	"Lafourche"	"4-"	"6"	20									91	325	419	241		241	145	356	501				300	13	313
"LA"	2001	"Jefferson"	"0"	"194B"													0		0							0	0	0
"LA"	2001	"East Feliciana"	"1-"	"2"	15									49		121												
"LA"	2001	"St. Mary"	"0"	"10"													128		128							65	54	119
"LA"	2001	"Jefferson"	"0"	"202"													21		21							42	5	47
"LA"	2001	"East Feliciana"	"5-"	"2"	15									148		409												
"LA"	2001	"St. James"	"0"	"13"													110		110							112	1	113
"LA"	2001	"Lafourche"	"10-"	"4"	20									33	110	143	81		81	51	146	197				111	7	118
"LA"	2001	"St. James"	"0"	"4"													12		12							7	0	7
"LA"	2001	"Jefferson"	"0"	"20"		88			69	72																		
"LA"	2001	"Jefferson"	"0"	"183"													77		77							97	7	104
"LA"	2001	"St. John The Baptist"	"0"	"2"													378		378							397	9	406
"LA"	2001	"St. Charles"	"5-"	"5"													36		36							121	9	130
"LA"	2001	"St. Mary"	"0"	"6"													94		94							42	43	85
"LA"	2001	"Terrebonne"	"0"	"65"													53		53							35	6	41
"LA"	2001	"St. Mary"	"0"	"25B"													110		110							59	50	109
"LA"	2001	"Lafourche"	"4-"	"2"	20									59	248	307	183		183	88	239	327				206	3	209
"LA"	2001	"Assumption"	"4-"	"1"													134		134							191	6	197
"LA"	2001	"West Feliciana"	"5-"	"2"	15									149		206												
"LA"	2001	"East Baton Rouge"	"3-"	"41B"		69			202	202														284	284			
"LA"	2001	"St. John The Baptist"	"0"	"12B"													459		459							407	47	454
"LA"	2001	"Jefferson"	"L"	"2"													91		91							53	3	56
"LA"	2001	"East Feliciana"	"3-"	"2A"	15									151		274												
"LA"	2001	"St. Helena"	"1-"	"1"	15									146		383												
"LA"	2001	"East Baton Rouge"	"2-"	"16B"	15									173		173												
"LA"	2001	"Iberia"	"12-"	"7"													5		5							0	6	6
"LA"	2001	"Jefferson"	"0"	"236"		86			131	131														103	103			
"LA"	2001	"St. Mary"	"0"	"1"													37		37							14	21	35
"LA"	2001	"East Baton Rouge"	"3-"	"7B"		69			139	139														212	212			
"LA"	2001	"East Baton Rouge"	"1-"	"88A"	15									53		101												
"LA"	2001	"Orleans"	"15-"	"19A"		86			168	168														184	184			
"LA"	2001	"St. John The Baptist"	"0"	"9A"													3		3							4	0	4
"LA"	2001	"East Baton Rouge"	"2-"	"12B"	15									114		254												
"LA"	2001	"St. Martin"	"6-"	"3"													63		63							25	80	105
"LA"	2001	"St. Martin"	"2-"	"4"													13		13							3	11	14
"LA"	2001	"St. John The Baptist"	"0"	"11C"													1		1							1	0	1
"LA"	2001	"Lafourche"	"10-"	"11"	20									57	78	137	82		82	59	110	169				109	5	114
"LA"	2001	"Iberia"	"5-"	"5"													86		86							36	62	98
"LA"	2001	"Jefferson"	"0"	"229"		86			150	150														325	325			
"LA"	2001	"East Baton Rouge"	"1-"	"103A"		69			157	157														267	267			
"LA"	2001	"St. Mary"	"0"	"30"													127		127							149	87	236
"LA"	2001	"East Baton Rouge"	"1-"	"91A"	15									66		66												
"LA"	2001	"Lafourche"	"Early Voting"		20	53		0	0	0				88	251	340	510		510	59	303	362	0		0	492	20	512
"LA"	2001	"Iberia"	"9-"	"4"													64		64							19	130	149
"LA"	2001	"St. Bernard"	"0"	"21"													98		98							232	14	246
"LA"	2001	"Jefferson"	"0"	"196"													28		28							40	11	51
"LA"	2001	"St. Martin"	"Early Voting"														97		97							41	114	155
"LA"	2001	"St. Martin"	"8-"	"3"													336		336							151	211	362
"LA"	2001	"St. Charles"	"4-"	"1"													150		150							209	12	221
"LA"	2001	"St. Mary"	"0"	"39"													84		84							79	11	90
"LA"	2001	"St. Mary"	"0"	"21"													156		156							62	25	87
"LA"	2001	"Terrebonne"	"0"	"35"	20									61	48	110	73		73	90	38	128				43	5	48
"LA"	2001	"Terrebonne"	"0"	"60"	20	53		285	33	318				273	90	366	198		198	331	78	409	351		351	90	9	99
"LA"	2001	"St. Martin"	"5-"	"2"													97		97							55	197	252
"LA"	2001	"St. Charles"	"3-"	"1"													88		88							153	59	212
"LA"	2001	"St. James"	"0"	"1"													2		2							2	0	2
"LA"	2001	"St. Charles"	"2-"	"7"													38		38							63	7	70
"LA"	2001	"Jefferson"	"0"	"15"		88			96	96																		
"LA"	2001	"Jefferson"	"0"	"2"		88			230	240																		
"LA"	2001	"St. Charles"	"2-"	"3"													174		174							301	47	348
"LA"	2001	"East Feliciana"	"3-"	"1A"	15									33		140												
"LA"	2001	"East Feliciana"	"3-"	"2C"	15									0		7												
"LA"	2001	"East Baton Rouge"	"2-"	"11A"	15									172		215												
"LA"	2001	"Terrebonne"	"0"	"32"	20	53		107	31	138				62	77	141	95		95	72	65	137	118		118	46	12	58
"LA"	2001	"East Baton Rouge"	"2-"	"23C"	15									179		184												
"LA"	2001	"Iberia"	"12-"	"1"													81		81							36	13	49
"LA"	2001	"St. Charles"	"4-"	"1A"													119		119							158	20	178
"LA"	2001	"Jefferson"	"0"	"21"		88			119	121																		
"LA"	2001	"East Baton Rouge"	"1-"	"74C"		69			188	188														276	276			
"LA"	2001	"Terrebonne"	"0"	"54"	20									47	54	102	62		62	102	21	123				42	1	43
"LA"	2001	"St. Bernard"	"0"	"57"													21		21							94	0	94
"LA"	2001	"Terrebonne"	"0"	"21"	20	53		59	8	67				39	21	60	47		47	29	26	55	64		64	33	4	37
"LA"	2001	"Jefferson"	"0"	"227"		86			288	288														305	305			
"LA"	2001	"Assumption"	"6-"	"2"													173		173							195	5	200
"LA"	2001	"St. Bernard"	"0"	"17"													197		197							384	27	411
"LA"	2001	"Terrebonne"	"0"	"48"	20									76	40	116	91		91	89	30	119				66	3	69
"LA"	2001	"Terrebonne"	"0"	"76"													0		0							0	0	0
"LA"	2001	"St. James"	"0"	"16"													370		370							280	2	282
