state	year	parish	ward	precinct	g2010_LTG_rv	g2010_LTG_dv	g2010_LTG_tv	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	cd	g2010_USH_dv2	g2010_USH_rv2	g2010_USH_tv2	cd2	g2010_USH_dv3	g2010_USH_rv3	g2010_USH_tv3	cd3
"LA"	2010	"Jefferson"	"00"	"094"	403	79	482	85	394	485	49	411	462	1								
"LA"	2010	"Orleans"	"14"	"06"	238	150	388	194	193	392	122	247	370	1								
"LA"	2010	"Jefferson"	"00"	"K016"	325	159	484	131	318	484	82	360	451	1								
"LA"	2010	"Jefferson"	"00"	"083"	132	46	178	36	130	180	24	142	168	1								
"LA"	2010	"St. Tammany"	"00"	"605"	127	30	157	19	130	156	20	133	156	1								
"LA"	2010	"Washington"	"08"	"01"	134	269	403	226	149	394	197	160	365	1								
"LA"	2010	"St. Tammany"	"00"	"815"	138	43	181	32	141	181	22	150	175	1								
"LA"	2010	"Jefferson"	"00"	"230"	568	211	779	170	573	784	124	626	760	1								
"LA"	2010	"Jefferson"	"00"	"009"	271	139	410	123	271	413	99	287	392	1								
"LA"	2010	"Tangipahoa"	"00"	"070"	369	167	536	126	381	529	89	382	503	1								
"LA"	2010	"Tangipahoa"	"00"	"104A"	86	40	126	42	77	124	29	81	115	1								
"LA"	2010	"St. Tammany"	"00"	"911"	418	86	504	49	440	510	40	462	503	1								
"LA"	2010	"Orleans"	"14"	"03"	124	129	253	135	111	250	105	137	243	1								
"LA"	2010	"Tangipahoa"	"00"	"040"	82	83	165	54	96	164	39	100	149	1								
"LA"	2010	"St. Tammany"	"00"	"F01"	192	213	405	191	198	407	167	214	394	1								
"LA"	2010	"Jefferson"	"00"	"124"	698	175	873	153	684	883	94	730	829	1								
"LA"	2010	"Tangipahoa"	"00"	"121B"	21	8	29	3	23	29	3	21	27	1								
"LA"	2010	"St. Tammany"	"00"	"S16"	225	80	305	59	224	307	46	246	303	1								
"LA"	2010	"Washington"	"04"	"06"	133	53	186	31	139	186	32	142	180	1								
"LA"	2010	"Washington"	"04"	"04"	285	126	411	97	284	417	90	291	397	1								
"LA"	2010	"St. Tammany"	"00"	"921"	381	104	485	94	370	489	67	410	485	1								
"LA"	2010	"Jefferson"	"00"	"055"	268	118	386	84	273	380	70	286	363	1								
"LA"	2010	"Washington"	"03"	"01"	244	64	308	46	239	306	41	257	304	1								
"LA"	2010	"Tangipahoa"	"00"	"114"	335	71	406	30	359	403	28	354	392	1								
"LA"	2010	"Tangipahoa"	"00"	"073"	259	112	371	88	263	372	63	259	350	1								
"LA"	2010	"Jefferson"	"00"	"171"	11	31	42	32	7	43	26	9	36	1								
"LA"	2010	"Jefferson"	"00"	"029"	156	48	204	39	149	203	28	156	186	1								
"LA"	2010	"Tangipahoa"	"00"	"125"	270	227	497	199	265	495	158	274	452	1								
"LA"	2010	"Tangipahoa"	"00"	"027A"	15	69	84	51	19	76	51	25	78	1								
"LA"	2010	"Tangipahoa"	"00"	"119"	184	136	320	113	187	322	93	204	316	1								
"LA"	2010	"Jefferson"	"00"	"116"	184	108	292	96	178	292	68	198	270	1								
"LA"	2010	"Jefferson"	"00"	"039"	300	97	397	78	307	400	50	312	371	1								
"LA"	2010	"Jefferson"	"00"	"051"	429	141	570	83	462	579	49	472	532	1								
"LA"	2010	"Tangipahoa"	"00"	"002"	80	321	401	272	71	393	259	76	354	1								
"LA"	2010	"St. Tammany"	"00"	"603"	344	90	434	48	358	437	50	363	425	1								
"LA"	2010	"Tangipahoa"	"00"	"074"	298	161	459	132	301	459	105	307	432	1								
"LA"	2010	"Tangipahoa"	"00"	"137"	364	133	497	65	404	501	53	391	475	1								
"LA"	2010	"St. Tammany"	"00"	"702"	214	166	380	132	220	381	125	234	368	1								
"LA"	2010	"Washington"	"04"	"10A"	126	29	155	23	124	157	12	134	151	1								
"LA"	2010	"Orleans"	"17"	"01"	62	142	204	143	50	203	123	65	192	1								
"LA"	2010	"St. Tammany"	"00"	"914"	88	165	253	146	91	255	146	102	253	1								
"LA"	2010	"Tangipahoa"	"00"	"101"	176	125	301	109	172	303	96	167	273	1								
"LA"	2010	"St. Tammany"	"00"	"204"	431	83	514	62	436	521	51	460	515	1								
"LA"	2010	"St. Tammany"	"00"	"809"	158	215	373	194	157	371	186	176	370	1								
"LA"	2010	"Orleans"	"07"	"41"	136	94	230	98	129	231	72	155	228	1								
"LA"	2010	"Jefferson"	"00"	"K013A"	220	100	320	71	237	323	59	247	308	1								
"LA"	2010	"St. Tammany"	"00"	"814"	156	483	639	460	162	640	431	187	625	1								
"LA"	2010	"Jefferson"	"00"	"100"	176	36	212	39	167	212	18	180	200	1								
"LA"	2010	"Jefferson"	"00"	"096"	125	40	165	22	136	167	17	143	162	1								
"LA"	2010	"St. Tammany"	"00"	"409"	250	122	372	99	242	378	86	277	375	1								
"LA"	2010	"Jefferson"	"00"	"004"	296	75	371	65	291	368	39	322	363	1								
"LA"	2010	"Washington"	"06"	"03"	242	43	285	21	243	289	18	260	283	1								
"LA"	2010	"Jefferson"	"00"	"088"	238	53	291	56	219	292	29	247	281	1								
"LA"	2010	"Orleans"	"07"	"42"	163	92	255	102	140	252	74	172	249	1								
"LA"	2010	"Tangipahoa"	"00"	"046"	17	368	385	369	6	393	302	14	330	1								
"LA"	2010	"Jefferson"	"00"	"072"	220	86	306	57	230	309	41	248	293	1								
"LA"	2010	"Washington"	"03"	"03A"	44	2	46	1	45	46	3	43	46	1								
"LA"	2010	"Orleans"	"17"	"17"	220	91	311	91	216	313	54	247	305	1								
"LA"	2010	"St. Tammany"	"00"	"413"	559	84	643	89	537	641	46	580	636	1								
"LA"	2010	"Tangipahoa"	"00"	"117"	238	144	382	95	261	384	74	259	372	1								
"LA"	2010	"Jefferson"	"00"	"127"	205	122	327	101	210	333	67	243	312	1								
"LA"	2010	"Jefferson"	"00"	"G005"	141	78	219	50	164	227	30	174	206	1								
"LA"	2010	"Washington"	"08"	"03"	250	76	326	32	283	339	33	284	325	1								
"LA"	2010	"Tangipahoa"	"00"	"145"	626	173	799	94	641	802	76	600	758	1								
"LA"	2010	"St. Tammany"	"00"	"909"	287	148	435	123	293	436	113	313	433	1								
"LA"	2010	"St. Tammany"	"00"	"305"	218	149	367	129	217	371	118	243	368	1								
"LA"	2010	"Jefferson"	"00"	"210"	64	74	138	63	69	140	60	71	133	1								
"LA"	2010	"Washington"	"05"	"01"	206	226	432	202	192	421	150	212	372	1								
"LA"	2010	"Jefferson"	"00"	"G010"	434	204	638	133	459	638	84	525	618	1								
"LA"	2010	"Jefferson"	"00"	"052"	485	169	654	132	492	660	99	515	626	1								
"LA"	2010	"Tangipahoa"	"00"	"122"	347	99	446	56	364	448	36	330	419	1								
