state	year	county	precinct	precinct_name	g2010_REG_tv	g2010_BALL_tv	g2010_USS_rv	g2010_USS_dv	g2010_USS_tv	cd	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_TRE_rv	g2010_TRE_dv	g2010_TRE_tv	sd	g2010_STS_dv	g2010_STS_rv	g2010_STS_tv	sd2	g2010_STS_dv2	g2010_STS_rv2	g2010_STS_tv2	ld	g2010_STH_dv	g2010_STH_rv	g2010_STH_tv	ld2	g2010_STH_dv2	g2010_STH_rv2	g2010_STH_tv2
"OR"	2010	"MULTNOMAH"	"1315"		4660	3198	464	2511	2975	1	2453	522	2975	2477	619	3096	399	2456	2855																
"OR"	2010	"MULTNOMAH"	"1321"		4285	3268	1003	2164	3167	3	2165	839	3004	1906	1310	3216	896	2095	2991																
"OR"	2010	"MULTNOMAH"	"1400"		1791	1410	418	954	1372	5	870	469	1339	833	552	1385	399	907	1306																
"OR"	2010	"MULTNOMAH"	"1500"		598	468	117	339	456	3	327	103	430	294	163	457	111	326	437																
"OR"	2010	"MULTNOMAH"	"1504"		1559	1213	400	770	1170	3	746	383	1129	694	501	1195	377	753	1130																
"OR"	2010	"MULTNOMAH"	"1505"		654	532	191	326	517	3	313	185	498	264	261	525	174	309	483																
"OR"	2010	"MULTNOMAH"	"1507"		361	290	90	192	282	1	165	108	273	169	116	285	76	193	269																
"OR"	2010	"MULTNOMAH"	"1515"		1145	976	337	616	953	1	538	400	938	516	449	965	248	658	906																
"OR"	2010	"MULTNOMAH"	"1546"		1120	941	382	535	917	5	475	427	902	453	482	935	288	587	875																
"OR"	2010	"MULTNOMAH"	"2002"		4567	2867	423	2252	2675	3	2177	427	2604	2109	612	2721	423	2116	2539																
"OR"	2010	"MULTNOMAH"	"2004"		2602	1421	165	1164	1329	3	1120	158	1278	1114	250	1364	157	1073	1230																
"OR"	2010	"MULTNOMAH"	"2026"		2574	1727	228	1386	1614	3	1343	222	1565	1294	353	1647	227	1304	1531																
"OR"	2010	"MULTNOMAH"	"2029"		4468	3027	315	2512	2827	3	2470	307	2777	2451	468	2919	305	2407	2712																
"OR"	2010	"MULTNOMAH"	"2077"		4822	3258	453	2594	3047	3	2530	418	2948	2473	661	3134	442	2438	2880																
"OR"	2010	"MULTNOMAH"	"2086"		4552	3153	221	2753	2974	3	2703	215	2918	2709	362	3071	215	2622	2837																
"OR"	2010	"MULTNOMAH"	"2099"		4260	2711	121	2394	2515	3	2366	126	2492	2424	201	2625	127	2298	2425																
"OR"	2010	"MULTNOMAH"	"2100"		4659	3397	419	2815	3234	3	2748	403	3151	2647	639	3286	400	2658	3058																
"OR"	2010	"MULTNOMAH"	"2114"		4233	3116	279	2663	2942	3	2620	255	2875	2643	399	3042	278	2553	2831																
"OR"	2010	"MULTNOMAH"	"2143"		2939	1961	535	1344	1879	3	1345	486	1831	1194	696	1890	493	1304	1797																
"OR"	2010	"MULTNOMAH"	"3000"		3739	2553	397	2007	2404	3	1936	397	2333	1838	618	2456	402	1845	2247																
"OR"	2010	"MULTNOMAH"	"3002"		4294	2985	393	2423	2816	3	2369	390	2759	2339	571	2910	398	2274	2672																
"OR"	2010	"MULTNOMAH"	"3004"		4294	2727	145	2407	2552	3	2373	141	2514	2407	235	2642	143	2309	2452																
"OR"	2010	"MULTNOMAH"	"3008"		4315	3077	302	2621	2923	3	2592	275	2867	2576	424	3000	284	2498	2782																
"OR"	2010	"MULTNOMAH"	"3058"		4566	3231	242	2785	3027	3	2732	236	2968	2810	346	3156	237	2670	2907																
"OR"	2010	"MULTNOMAH"	"3097"		4823	3320	146	3007	3153	3	2967	120	3087	3038	222	3260	141	2902	3043																
"OR"	2010	"MULTNOMAH"	"3113"		3764	3089	381	2618	2999	3	2601	346	2947	2491	559	3050	336	2507	2843																
"OR"	2010	"MULTNOMAH"	"3128"		3980	3283	359	2791	3150	3	2773	332	3105	2678	542	3220	342	2689	3031																
"OR"	2010	"MULTNOMAH"	"3144"		3169	2676	337	2231	2568	3	2202	298	2500	2125	502	2627	295	2184	2479																
"OR"	2010	"MULTNOMAH"	"3151"		4376	2893	129	2609	2738	3	2575	114	2689	2639	197	2836	126	2482	2608																
"OR"	2010	"MULTNOMAH"	"3177"		4273	3246	419	2676	3095	3	2614	409	3023	2558	623	3181	397	2519	2916																
"OR"	2010	"MULTNOMAH"	"3185"		2914	1933	464	1366	1830	3	1295	484	1779	1221	631	1852	471	1252	1723																
"OR"	2010	"MULTNOMAH"	"3193"		4478	3368	366	2824	3190	3	2757	336	3093	2756	527	3283	357	2652	3009																
"OR"	2010	"MULTNOMAH"	"3240"		4944	3519	465	2841	3306	3	2800	464	3264	2748	665	3413	459	2696	3155																
"OR"	2010	"MULTNOMAH"	"3248"		3215	2309	268	1904	2172	3	1849	266	2115	1868	376	2244	252	1805	2057																
"OR"	2010	"MULTNOMAH"	"3253"		4558	3228	270	2773	3043	3	2761	237	2998	2767	380	3147	238	2681	2919																
"OR"	2010	"MULTNOMAH"	"3259"		3992	3120	268	2712	2980	3	2692	228	2920	2658	407	3065	241	2622	2863																
"OR"	2010	"MULTNOMAH"	"3274"		3706	2585	148	2245	2393	3	2225	132	2357	2328	195	2523	153	2135	2288																
"OR"	2010	"MULTNOMAH"	"3290"		3574	2911	366	2473	2839	3	2443	320	2763	2308	569	2877	325	2385	2710																
"OR"	2010	"MULTNOMAH"	"3297"		2771	1686	248	1340	1588	3	1323	226	1549	1285	346	1631	254	1260	1514																
"OR"	2010	"MULTNOMAH"	"3307"		2700	1884	591	1212	1803	3	1188	575	1763	1028	807	1835	540	1161	1701																
"OR"	2010	"MULTNOMAH"	"3311"		2914	1905	543	1256	1799	3	1167	547	1714	1087	721	1808	534	1131	1665																
"OR"	2010	"MULTNOMAH"	"3315"		2373	1433	370	949	1319	3	912	361	1273	867	489	1356	359	866	1225																
"OR"	2010	"MULTNOMAH"	"3322"		2341	1501	459	984	1443	3	944	434	1378	836	619	1455	446	912	1358																
"OR"	2010	"MULTNOMAH"	"3327"		2052	1320	327	908	1235	3	886	305	1191	796	454	1250	304	838	1142																
"OR"	2010	"MULTNOMAH"	"3329"		3538	2469	831	1540	2371	3	1474	812	2286	1261	1124	2385	789	1437	2226																
"OR"	2010	"MULTNOMAH"	"3330"		3474	2406	772	1549	2321	3	1494	728	2222	1276	1040	2316	717	1457	2174																
"OR"	2010	"MULTNOMAH"	"4022"		3691	2462	146	2098	2244	3	2057	136	2193	2168	212	2380	148	1989	2137																
"OR"	2010	"MULTNOMAH"	"4027"		3667	2646	116	2338	2454	3	2308	112	2420	2421	177	2598	127	2235	2362																
"OR"	2010	"MULTNOMAH"	"4041"		4409	3490	247	3026	3273	3	2999	220	3219	3057	355	3412	236	2920	3156																
"OR"	2010	"MULTNOMAH"	"4049"		4411	3229	214	2800	3014	3	2752	194	2946	2807	343	3150	211	2644	2855																
"OR"	2010	"MULTNOMAH"	"4065"		4107	3071	217	2664	2881	3	2605	190	2795	2675	322	2997	210	2543	2753																
"OR"	2010	"MULTNOMAH"	"4106"		3098	2310	144	2019	2163	3	1999	124	2123	2042	204	2246	133	1923	2056																
"OR"	2010	"MULTNOMAH"	"4111"		3698	2863	406	2351	2757	3	2332	352	2684	2261	552	2813	345	2276	2621																
"OR"	2010	"MULTNOMAH"	"4125"		3504	2256	506	1616	2122	3	1517	508	2025	1455	671	2126	487	1440	1927																
"OR"	2010	"MULTNOMAH"	"4131"		3153	2365	270	1964	2234	3	1924	267	2191	1909	403	2312	273	1862	2135																
"OR"	2010	"MULTNOMAH"	"4155"		3870	2781	427	2204	2631	3	2169	413	2582	2091	602	2693	405	2065	2470																
"OR"	2010	"MULTNOMAH"	"4167"		4557	3325	263	2848	3111	3	2782	260	3042	2853	392	3245	264	2684	2948																
"OR"	2010	"MULTNOMAH"	"4178"		3178	2131	300	1668	1968	3	1624	309	1933	1619	422	2041	302	1553	1855																
"OR"	2010	"MULTNOMAH"	"4185"		3027	1991	301	1553	1854	3	1514	296	1810	1462	426	1888	317	1412	1729																
"OR"	2010	"MULTNOMAH"	"4202"		3530	2286	460	1686	2146	3	1662	415	2077	1603	581	2184	422	1579	2001																
"OR"	2010	"MULTNOMAH"	"4216"		1407	801	218	512	730	3	486	216	702	459	291	750	218	465	683																
"OR"	2010	"MULTNOMAH"	"4242"		3619	2774	354	2283	2637	3	2234	334	2568	2173	530	2703	343	2104	2447																
"OR"	2010	"MULTNOMAH"	"4250"		3051	2317	352	1852	2204	3	1800	324	2124	1770	488	2258	338	1733	2071																
"OR"	2010	"MULTNOMAH"	"4254"		3449	2342	294	1882	2176	3	1857	264	2121	1835	409	2244	279	1788	2067																
"OR"	2010	"MULTNOMAH"	"4282"		3720	2926	547	2269	2816	3	2286	451	2737	2073	803	2876	441	2242	2683																
"OR"	2010	"MULTNOMAH"	"4295"		4049	3225	346	2746	3092	3	2704	328	3032	2671	487	3158	303	2646	2949																
"OR"	2010	"MULTNOMAH"	"4299"		4736	2887	652	2032	2684	3	1964	646	2610	1878	854	2732	607	1863	2470																
"OR"	2010	"MULTNOMAH"	"4309"		2966	1932	727	1119	1846	3	1067	700	1767	942	920	1862	703	1024	1727																
"OR"	2010	"MULTNOMAH"	"4320"		2305	1525	428	1008	1436	3	962	406	1368	860	610	1470	403	945	1348																
"OR"	2010	"MULTNOMAH"	"4333"		3764	2397	605	1660	2265	3	1613	586	2199	1436	864	2300	578	1539	2117																
"OR"	2010	"MULTNOMAH"	"4338"		3159	1901	598	1171	1769	3	1111	591	1702	952	834	1786	555	1093	1648																
"OR"	2010	"MULTNOMAH"	"4339"		3880	2259	566	1526	2092	3	1455	548	2003	1313	819	2132	560	1382	1942																
"OR"	2010	"MULTNOMAH"	"4340"		2242	1227	317	824	1141	3	753	323	1076	708	451	1159	319	718	1037																
"OR"	2010	"MULTNOMAH"	"4344"		2683	1565	428	1042	1470	3	998	414	1412	896	587	1483	405	974	1379																
"OR"	2010	"MULTNOMAH"	"4345"		3673	2253	710	1391	2101	3	1294	714	2008	1115	1013	2128	666	1260	1926																
"OR"	2010	"MULTNOMAH"	"4350"		3931	2362	694	1520	2214	3	1449	698	2147	1214	1010	2224	688	1382	2070																
"OR"	2010	"MULTNOMAH"	"4352"		2424	1258	340	826	1166	3	782	344	1126	727	457	1184	334	725	1059																
"OR"	2010	"MULTNOMAH"	"4359"		1885	1247	450	744	1194	3	696	444	1140	653	552	1205	444	651	1095																
"OR"	2010	"MULTNOMAH"	"4360"		2676	1502	424	963	1387	3	926	397	1323	830	582	1412	393	886	1279																
"OR"	2010	"MULTNOMAH"	"4361"		3737	2180	702	1336	2038	3	1272	697	1969	1161	913	2074	669	1239	1908																
"OR"	2010	"MULTNOMAH"	"4362"		2965	1579	312	1168	1480	3	1091	327	1418	1052	461	1513	324	1039	1363																
"OR"	2010	"MULTNOMAH"	"4363"		4197	3068	382	2511	2893	3	2458	368	2826	2423	562	2985	357	2351	2708																
"OR"	2010	"MULTNOMAH"	"5029"		521	407	124	266	390	3	263	106	369	249	146	395	111	265	376																
"OR"	2010	"MULTNOMAH"	"5100"		4120	2776	994	1629	2623	3	1520	979	2499	1339	1308	2647	938	1479	2417																
"OR"	2010	"MULTNOMAH"	"5200"		4706	3062	1223	1645	2868	3	1499	1117	2616	1358	1571	2929	1187	1458	2645																
"OR"	2010	"MULTNOMAH"	"5201"		3377	2432	1018	1279	2297	3	1218	893	2111	1044	1275	2319	991	1123	2114																
"OR"	2010	"MULTNOMAH"	"5301"		1266	809	268	474	742	3	444	250	694	399	354	753	252	430	682																
"OR"	2010	"MULTNOMAH"	"5401"		268	214	87	121	208	3	111	91	202	102	109	211	88	116	204																
"OR"	2010	"MULTNOMAH"	"5425"		2601	2058	896	1040	1936	3	1012	837	1849	897	1079	1976	843	991	1834																
"OR"	2010	"MULTNOMAH"	"5602"		313	220	123	86	209	3	71	131	202	60	154	214	117	82	199																
"OR"	2010	"MULTNOMAH"	"5604"		2083	1546	790	695	1485	3	647	766	1413	526	973	1499	750	638	1388																
"OR"	2010	"MULTNOMAH"	"5605"		142	100	37	58	95	3	57	35	92	41	54	95	41	51	92																
"OR"	2010	"MULTNOMAH"	"5819"		3664	2155	724	1290	2014	3	1221	703	1924	1066	961	2027	713	1165	1878																
"OR"	2010	"MULTNOMAH"	"5820"		4169	2741	966	1610	2576	3	1520	951	2471	1312	1321	2633	934	1458	2392																
"OR"	2010	"MULTNOMAH"	"5828"		4661	2697	956	1546	2502	3	1463	940	2403	1347	1215	2562	945	1390	2335																
"OR"	2010	"MULTNOMAH"	"5842"		4692	3368	1386	1836	3222	3	1754	1335	3089	1512	1747	3259	1324	1693	3017																
"OR"	2010	"MULTNOMAH"	"5846"		4696	3254	1457	1636	3093	3	1537	1456	2993	1295	1830	3125	1434	1456	2890																
"OR"	2010	"MULTNOMAH"	"5850"		2265	1379	517	780	1297	3	734	512	1246	631	688	1319	511	682	1193																
"OR"	2010	"MULTNOMAH"	"5851"		4173	2740	1120	1504	2624	3	1409	1127	2536	1196	1435	2631	1094	1354	2448																
"OR"	2010	"MULTNOMAH"	"5853"		3540	2328	844	1348	2192	3	1279	835	2114	1121	1087	2208	812	1221	2033																
"OR"	2010	"MULTNOMAH"	"5855"		4264	2956	1240	1601	2841	3	1534	1196	2730	1297	1567	2864	1163	1491	2654																
"OR"	2010	"MULTNOMAH"	"5861"		2556	1608	579	953	1532	3	882	571	1453	751	776	1527	587	811	1398																
"OR"	2010	"MULTNOMAH"	"5868"		2821	1759	640	1036	1676	3	992	613	1605	855	820	1675	578	972	1550																
"OR"	2010	"MULTNOMAH"	"5870"		3080	1915	591	1212	1803	3	1154	570	1724	1013	813	1826	570	1114	1684																
"OR"	2010	"MULTNOMAH"	"5871"		1925	974	255	636	891	3	603	266	869	553	364	917	266	575	841																
"OR"	2010	"POLK"	"102"		778	596	311	252	563	5	246	319	565	215	362	577	301	231	532																
"OR"	2010	"POLK"	"106"		1500	1087	557	448	1005	5	424	586	1010	349	666	1015	543	405	948																
"OR"	2010	"POLK"	"110"		779	466	201	232	433	5	219	197	416	210	232	442	200	208	408																
"OR"	2010	"POLK"	"118"		3739	2933	1418	1406	2824	5	1298	1503	2801	1211	1653	2864	1374	1276	2650																
"OR"	2010	"POLK"	"122"		532	405	205	177	382	5	154	220	374	144	246	390	206	162	368																
"OR"	2010	"POLK"	"134"		4576	3499	1522	1836	3358	5	1655	1665	3320	1557	1836	3393	1536	1625	3161																
"OR"	2010	"POLK"	"136"		2938	2152	994	1055	2049	5	969	1068	2037	953	1131	2084	974	948	1922																
"OR"	2010	"POLK"	"144"		2120	1432	543	808	1351	5	744	581	1325	730	633	1363	538	698	1236																
"OR"	2010	"POLK"	"146"		3893	2821	1247	1434	2681	5	1321	1337	2658	1312	1437	2749	1240	1290	2530																
"OR"	2010	"POLK"	"152"		4149	3277	1743	1373	3116	5	1266	1806	3072	1119	1998	3117	1730	1162	2892																
"OR"	2010	"POLK"	"154"		3402	2518	1133	1246	2379	5	1120	1181	2301	1022	1359	2381	1166	1025	2191																
"OR"	2010	"POLK"	"156"		2578	1768	744	906	1650	5	847	789	1636	767	905	1672	772	769	1541																
"OR"	2010	"POLK"	"162"		2271	1761	865	778	1643	5	709	919	1628	686	1007	1693	904	652	1556																
"OR"	2010	"POLK"	"166"		731	482	177	267	444	5	261	175	436	234	209	443	163	234	397																
"OR"	2010	"POLK"	"178"		4316	2773	1118	1477	2595	5	1372	1176	2548	1365	1279	2644	1109	1286	2395																
"OR"	2010	"POLK"	"182"		3455	2152	862	1139	2001	5	1095	911	2006	1025	1013	2038	872	991	1863																
"OR"	2010	"SHERMAN"		"RUFUS"		135	56	75	131	2	25	109	134	50	73	123	64	51	115																
"OR"	2010	"SHERMAN"		"WASCO"		313	173	125	298	2	56	245	301	72	226	298	177	96	273																
"OR"	2010	"SHERMAN"		"MORO"		262	134	112	246	2	40	207	247	80	168	248	127	92	219																
"OR"	2010	"SHERMAN"		"GRASS VALLEY"		163	95	59	154	2	17	139	156	29	122	151	93	41	134																
"OR"	2010	"SHERMAN"		"KENT"		55	37	16	53	2	3	52	55	7	45	52	38	11	49																
"OR"	2010	"TILLAMOOK"	"1"		880	654	267	354	621	5	335	272	607	299	328	627	285	291	576																
"OR"	2010	"TILLAMOOK"	"3"		668	476	221	229	450	5	219	229	448	169	280	449	220	184	404																
"OR"	2010	"TILLAMOOK"	"5"		388	284	141	129	270	5	114	150	264	86	189	275	144	105	249																
"OR"	2010	"TILLAMOOK"	"6"		350	278	148	113	261	5	94	153	247	92	176	268	138	101	239																
"OR"	2010	"TILLAMOOK"	"7"		176	118	56	52	108	5	48	55	103	34	72	106	48	48	96																
"OR"	2010	"TILLAMOOK"	"8"		1157	866	365	457	822	5	404	404	808	332	504	836	392	370	762																
"OR"	2010	"TILLAMOOK"	"10"		453	351	126	207	333	5	180	140	320	169	173	342	121	171	292																
"OR"	2010	"TILLAMOOK"	"12"		712	556	216	313	529	5	268	245	513	234	287	521	215	266	481																
"OR"	2010	"TILLAMOOK"	"13"		343	246	102	132	234	5	126	100	226	111	124	235	109	101	210																
"OR"	2010	"TILLAMOOK"	"14"		484	345	157	177	334	5	172	153	325	141	194	335	153	162	315																
"OR"	2010	"TILLAMOOK"	"15"		452	352	178	156	334	5	135	199	334	122	217	339	186	122	308																
"OR"	2010	"TILLAMOOK"	"16"		377	292	93	181	274	5	168	105	273	151	132	283	91	162	253																
"OR"	2010	"TILLAMOOK"	"17"		529	433	170	251	421	5	246	167	413	238	186	424	152	249	401																
"OR"	2010	"TILLAMOOK"	"18"		706	540	204	308	512	5	280	218	498	267	245	512	205	272	477																
"OR"	2010	"TILLAMOOK"	"20"		240	208	58	143	201	5	130	66	196	133	65	198	55	132	187																
"OR"	2010	"TILLAMOOK"	"21"		1221	1008	273	682	955	5	648	287	935	614	348	962	247	650	897																
"OR"	2010	"TILLAMOOK"	"24"		993	786	262	478	740	5	419	301	720	394	352	746	277	422	699																
"OR"	2010	"TILLAMOOK"	"26"		776	576	306	244	550	5	206	321	527	177	381	558	302	199	501																
"OR"	2010	"TILLAMOOK"	"28"		247	170	66	93	159	5	86	73	159	69	94	163	71	81	152																
"OR"	2010	"TILLAMOOK"	"30"		944	712	264	422	686	5	369	295	664	343	347	690	285	330	615																
"OR"	2010	"TILLAMOOK"	"32"		252	197	58	131	189	5	122	64	186	105	87	192	64	110	174																
"OR"	2010	"TILLAMOOK"	"33"		353	271	71	192	263	5	179	77	256	172	88	260	68	184	252																
"OR"	2010	"TILLAMOOK"	"35"		367	254	92	140	232	5	133	94	227	108	123	231	89	126	215																
"OR"	2010	"TILLAMOOK"	"36"		369	243	93	132	225	5	121	101	222	110	119	229	100	109	209																
"OR"	2010	"TILLAMOOK"	"37"		373	246	77	144	221	5	130	97	227	109	123	232	78	130	208																
"OR"	2010	"TILLAMOOK"	"38"		358	223	82	120	202	5	109	95	204	90	121	211	81	103	184																
"OR"	2010	"TILLAMOOK"	"39"		355	231	88	128	216	5	115	95	210	105	110	215	86	108	194																
"OR"	2010	"TILLAMOOK"	"40"		388	253	108	125	233	5	108	124	232	98	139	237	112	108	220																
"OR"	2010	"UMATILLA"	"101"		520	337	190	116	306	2	80	249	329	85	219	304	195	86	281																
"OR"	2010	"UMATILLA"	"102"		1363	726	375	289	664	2	188	513	701	242	427	669	396	237	633																
"OR"	2010	"UMATILLA"	"103"		1247	850	529	281	810	2	130	694	824	208	603	811	552	198	750																
"OR"	2010	"UMATILLA"	"104"		1396	860	521	282	803	2	165	668	833	215	584	799	522	212	734																
"OR"	2010	"UMATILLA"	"105"		1195	637	379	210	589	2	124	487	611	174	422	596	401	167	568																
"OR"	2010	"UMATILLA"	"106"		1061	631	344	240	584	2	147	461	608	179	410	589	375	184	559																
"OR"	2010	"UMATILLA"	"107"		507	302	184	102	286	2	52	238	290	81	208	289	195	74	269																
"OR"	2010	"UMATILLA"	"108"		280	201	111	71	182	2	20	171	191	37	157	194	130	44	174																
"OR"	2010	"UMATILLA"	"109"		254	180	116	48	164	2	21	156	177	39	130	169	116	36	152																
"OR"	2010	"UMATILLA"	"110"		917	671	384	259	643	2	95	552	647	169	474	643	418	168	586																
"OR"	2010	"UMATILLA"	"111"		1636	990	443	496	939	2	260	688	948	402	536	938	471	394	865																
"OR"	2010	"UMATILLA"	"112"		112	87	55	25	80	2	14	70	84	20	64	84	54	25	79																
"OR"	2010	"UMATILLA"	"113"		709	464	255	166	421	2	64	379	443	121	312	433	290	104	394																
"OR"	2010	"UMATILLA"	"114"		362	271	169	88	257	2	27	229	256	48	205	253	178	56	234																
"OR"	2010	"UMATILLA"	"115"		298	202	115	77	192	2	37	159	196	48	136	184	120	54	174																
"OR"	2010	"UMATILLA"	"116"		181	116	65	42	107	2	21	90	111	36	63	99	50	43	93																
"OR"	2010	"UMATILLA"	"117"		134	93	60	25	85	2	19	73	92	18	69	87	59	25	84																
"OR"	2010	"UMATILLA"	"119"		148	104	62	34	96	2	23	79	102	32	65	97	62	29	91																
"OR"	2010	"UMATILLA"	"120"		1121	735	471	210	681	2	117	600	717	153	529	682	489	149	638																
"OR"	2010	"UMATILLA"	"121"		481	319	190	105	295	2	48	255	303	74	220	294	194	76	270																
"OR"	2010	"UMATILLA"	"123"		656	473	271	148	419	2	90	356	446	106	331	437	298	114	412																
"OR"	2010	"UMATILLA"	"124"		775	551	347	186	533	2	69	471	540	128	405	533	380	110	490																
"OR"	2010	"UMATILLA"	"125"		635	384	225	129	354	2	76	291	367	95	268	363	237	89	326																
"OR"	2010	"UMATILLA"	"126"		1229	692	363	282	645	2	161	500	661	224	416	640	373	224	597																
"OR"	2010	"UMATILLA"	"127"		501	346	168	158	326	2	70	260	330	122	211	333	186	112	298																
"OR"	2010	"UMATILLA"	"128"		1573	925	462	402	864	2	206	683	889	316	544	860	484	313	797																
"OR"	2010	"UMATILLA"	"129"		991	520	256	219	475	2	130	370	500	195	289	484	271	175	446																
"OR"	2010	"UMATILLA"	"130"		1554	963	521	398	919	2	190	749	939	318	596	914	558	292	850																
"OR"	2010	"UMATILLA"	"131"		610	357	176	145	321	2	94	240	334	128	197	325	181	120	301																
"OR"	2010	"UMATILLA"	"132"		922	643	302	272	574	2	169	428	597	247	333	580	311	212	523																
"OR"	2010	"UMATILLA"	"133"		735	458	231	183	414	2	100	335	435	130	291	421	261	122	383																
"OR"	2010	"UMATILLA"	"136"		1239	752	369	325	694	2	152	553	705	246	460	706	391	247	638																
"OR"	2010	"UMATILLA"	"137"		1028	591	237	308	545	2	163	391	554	255	301	556	255	247	502																
"OR"	2010	"UMATILLA"	"138"		1118	756	344	375	719	2	146	588	734	276	446	722	369	285	654																
"OR"	2010	"UMATILLA"	"139"		1070	837	349	451	800	2	230	580	810	341	470	811	384	343	727																
"OR"	2010	"UMATILLA"	"140"		247	136	48	76	124	2	30	100	130	61	67	128	51	59	110																
"OR"	2010	"UMATILLA"	"141"		918	674	314	335	649	2	132	524	656	249	398	647	341	238	579																
"OR"	2010	"UMATILLA"	"142"		765	548	248	269	517	2	111	420	531	200	330	530	282	193	475																
"OR"	2010	"UMATILLA"	"143"		1123	719	292	391	683	2	174	516	690	303	388	691	342	264	606																
"OR"	2010	"UNION"	"1"	"CITY OF LA GRANDE"			597	1014	1611	2	500	1140	1640	845	809	1654	658	776	1434																
"OR"	2010	"UNION"	"2"	"CITY OF LA GRANDE"			633	721	1354	2	297	1087	1384	508	862	1370	707	513	1220																
"OR"	2010	"UNION"	"3"	"CITY OF LA GRANDE"			610	651	1261	2	281	1010	1291	459	819	1278	680	444	1124																
"OR"	2010	"UNION"	"4"	"RURAL LA GRANDE"			136	150	286	2	50	243	293	114	175	289	152	102	254																
"OR"	2010	"UNION"	"5"	"RURAL LA GRANDE"			482	379	861	2	162	714	876	250	599	849	500	286	786																
"OR"	2010	"UNION"	"6"	"CITY OF COVE"			175	142	317	2	63	259	322	100	205	305	181	96	277																
"OR"	2010	"UNION"	"7"	"RURAL COVE"			279	185	464	2	85	381	466	134	324	458	292	127	419																
"OR"	2010	"UNION"	"8"	"CITY OF ELGIN"			312	270	582	2	102	511	613	142	455	597	382	156	538																
"OR"	2010	"UNION"	"9"	"RURAL ELGIN"			317	175	492	2	60	440	500	102	388	490	344	108	452																
"OR"	2010	"UNION"	"10"	"CITY OF IMBLER"			104	67	171	2	16	165	181	36	139	175	119	39	158																
"OR"	2010	"UNION"	"11"	"RURAL IMBLER/SUMMERVILLE"			369	184	553	2	88	481	569	121	439	560	383	135	518																
"OR"	2010	"UNION"	"12"	"CITY OF SUMMERVILLE"			38	11	49	2	4	46	50	5	43	48	40	7	47																
"OR"	2010	"UNION"	"13"	"RURAL NORTH POWDER"			67	22	89	2	6	86	92	13	76	89	74	14	88																
"OR"	2010	"UNION"	"14"	"CITY OF NORTH POWDER"			74	86	160	2	29	133	162	52	102	154	84	56	140																
"OR"	2010	"UNION"	"15"	"RURAL UNION"			146	82	228	2	33	208	241	49	187	236	147	54	201																
"OR"	2010	"UNION"	"16"	"CITY OF UNION"			464	432	896	2	175	762	937	257	634	891	494	282	776																
"OR"	2010	"UNION"	"17"	"ANTELOPE/BIG CREEK"			32	7	39	2	8	34	42	7	31	38	32	6	38																
"OR"	2010	"UNION"	"18"	"CITY OF ISLAND CITY"			271	218	489	2	58	440	498	127	365	492	293	134	427																
"OR"	2010	"UNION"	"19"	"RURAL ISLAND CITY"			164	96	260	2	26	236	262	45	217	262	176	54	230																
"OR"	2010	"WALLOWA"	"11"			51	24	23	47	2	10	37	47	17	27	44	27	15	42																
"OR"	2010	"WALLOWA"	"10"			105	73	18	91	2	14	89	103	16	76	92	60	16	76																
"OR"	2010	"WALLOWA"	"9"			295	168	115	283	2	60	223	283	90	190	280	159	88	247																
"OR"	2010	"WALLOWA"	"8"			335	177	137	314	2	54	269	323	89	231	320	193	80	273																
"OR"	2010	"WALLOWA"	"7"			307	164	115	279	2	50	236	286	77	212	289	174	83	257																
"OR"	2010	"WALLOWA"	"6"			649	394	218	612	2	121	502	623	170	454	624	388	171	559																
"OR"	2010	"WALLOWA"	"5"			580	290	241	531	2	142	412	554	194	351	545	306	171	477																
"OR"	2010	"WALLOWA"	"4"			284	158	111	269	2	40	232	272	76	194	270	171	63	234																
"OR"	2010	"WALLOWA"	"3"			263	148	108	256	2	44	209	253	71	175	246	152	69	221																
"OR"	2010	"WALLOWA"	"2"			447	254	159	413	2	82	347	429	119	297	416	248	101	349																
"OR"	2010	"WALLOWA"	"1"			551	286	235	521	2	104	418	522	158	360	518	309	149	458																
"OR"	2010	"WALLOWA"	"12"			29	14	12	26	2	23	28	51	11	14	25	14	10	24																
"OR"	2010	"WASHINGTON"	"301"				781	719	1500	1	613	869	1482	593	949	1542	762	615	1377																
"OR"	2010	"WASHINGTON"	"302"				468	705	1173	1	656	495	1151	607	589	1196	447	662	1109																
"OR"	2010	"WASHINGTON"	"303"				124	122	246	1	89	156	245	99	154	253	131	106	237																
"OR"	2010	"WASHINGTON"	"304"				729	1007	1736	1	944	761	1705	880	875	1755	691	924	1615																
"OR"	2010	"WASHINGTON"	"305"				286	222	508	1	196	300	496	185	336	521	270	189	459																
"OR"	2010	"WASHINGTON"	"306"				102	257	359	1	244	115	359	248	127	375	102	229	331																
"OR"	2010	"WASHINGTON"	"307"				528	687	1215	1	622	578	1200	571	654	1225	528	611	1139																
"OR"	2010	"WASHINGTON"	"308"				216	199	415	1	160	243	403	169	248	417	223	171	394																
"OR"	2010	"WASHINGTON"	"309"				947	1683	2630	1	1598	1001	2599	1527	1171	2698	913	1550	2463																
"OR"	2010	"WASHINGTON"	"310"				442	515	957	1	450	494	944	419	561	980	430	465	895																
