state	year	town	cd	cd2	g2008_USP_rv	g2008_USP_dv	g2008_USH_dv	g2008_USH_rv	g2008_USH_dv2	g2008_USH_rv2
"CT"	2008	"Voluntown"	2		664	618	645.0	410		
"CT"	2008	"Wallingford"	3		9372	12833	13170.0	4683		
"CT"	2008	"Warren"	5		384	455	400.0	372		
"CT"	2008	"Washington"	5		818	1384	1203.0	745		
"CT"	2008	"Waterbury"	5	3	12821	22599	15390.0	7412	3427	1195
"CT"	2008	"Waterford"	2		4376	6301	6396.0	3162		
"CT"	2008	"Watertown"	5		6601	4914	4885.0	4972		
"CT"	2008	"West Hartford"	1		10021	23576	20986.0	8212		
"CT"	2008	"West Haven"	3		7005	14186	14007.0	3022		
"CT"	2008	"Westbrook"	2		1680	2104	2080.0	1278		
"CT"	2008	"Weston"	4		2143	3571	2460.0	3021		
"CT"	2008	"Westport"	4		5342	10067	6816.0	7983		
"CT"	2008	"Wethersfield"	1		5890	8642	8497.0	4052		
"CT"	2008	"Willington"	2		1254	1793	1723.0	979		
"CT"	2008	"Wilton"	4		4801	5569	4008.0	5908		
"CT"	2008	"Winchester"	1		2340	2620	2392.0	1648		
"CT"	2008	"Windham"	2		2341	6312	5714.0	1531		
"CT"	2008	"Windsor"	1		4305	11956	10386.0	3247		
"CT"	2008	"Windsor Locks"	1		2554	3661	3602.0	1640		
"CT"	2008	"Wolcott"	5		4930	3545	3470.0	3663		
"CT"	2008	"Woodbridge"	3		2053	3315	3571.0	1207		
"CT"	2008	"Woodbury"	5		3116	2926	2675.0	2687		
"CT"	2008	"Woodstock"	2		2123	2167	2171.0	1672		
