state	year	ed_precinct	precinct	ed	precinct_code	g2002_REG_tv	g2002_GOV_tv	g2002_GOV_dv	g2002_GOV_rv	g2002_STH_dv	g2002_STH_rv	g2002_STS_dv	g2002_STS_rv	g2002_USH_dv	g2002_USH_rv	g2002_USS_dv	g2002_USS_rv
"AK"	2002	"26-685"	"Westchester No. 2"	26	685	1184	691	456	218	468	202	498	174	179	353	69	475
"AK"	2002	"27-000"	"District 27 Absentee"	27	0						590		575	128	582	61	634
"AK"	2002	"27-000"	"District 27 Question"	27	0						58		91	52	246	29	262
"AK"	2002	"27-700"	"Dimond No. 1"	27	700	1864	803	275	513		658		643	96	661	62	682
"AK"	2002	"27-705"	"Jewel Lake No. 1"	27	705	1195	452	182	256		339		330	82	340	50	360
"AK"	2002	"27-710"	"Kincaid"	27	710	2541	1220	466	732		967		940	185	924	86	1006
"AK"	2002	"27-715"	"Sand Lake No. 1"	27	715	1840	914	353	528		733		702	138	703	85	750
"AK"	2002	"27-720"	"Sand Lake No. 2"	27	720	1796	718	271	418		586		566	104	559	58	597
"AK"	2002	"27-725"	"Sand Lake No. 3"	27	725	1692	748	301	421		584		571	121	575	66	609
"AK"	2002	"28-000"	"District 28 Absentee"	28	0					173	615		648	126	669	63	726
"AK"	2002	"28-000"	"District 28 Question"	28	0					5	26		44	31	174	15	184
"AK"	2002	"28-730"	"Bayshore"	28	730	1995	1026	417	580	232	750		748	177	773	85	858
"AK"	2002	"28-735"	"Campbell Lake"	28	735	2277	1031	414	585	223	751		779	154	793	76	874
"AK"	2002	"28-740"	"Jewel Lake No. 2"	28	740	1512	578	197	362	124	415		446	78	461	48	489
"AK"	2002	"28-745"	"Klatt No. 1"	28	745	2172	1105	355	730	207	852		842	143	888	66	961
"AK"	2002	"28-750"	"Oceanview No. 1"	28	750	1868	1061	428	621	243	749		784	158	813	68	888
"AK"	2002	"28-755"	"Southport"	28	755	1913	847	304	519	161	654		662	110	700	54	735
"AK"	2002	"29-000"	"District 29 Absentee"	29	0						345	198	387	93	526	50	559
"AK"	2002	"29-000"	"District 29 Question"	29	0						34	33	43	43	229	35	236
"AK"	2002	"29-800"	"Campbell Creek No. 1"	29	800	1786	714	291	396		423	268	403	121	545	64	586
"AK"	2002	"29-805"	"Campbell Creek No. 2"	29	805	1468	651	259	370		397	263	361	121	496	60	540
"AK"	2002	"29-810"	"Campbell Creek No. 3"	29	810	989	319	136	177		195	120	193	45	256	25	271
"AK"	2002	"29-815"	"Dimond No. 2"	29	815	1331	481	162	295		265	191	268	75	384	48	397
"AK"	2002	"29-820"	"Dimond No. 3"	29	820	1060	324	113	196		171	121	188	52	250	37	264
"AK"	2002	"29-825"	"Independence Park 1"	29	825	1638	561	196	354		327	191	349	88	444	48	472
"AK"	2002	"29-830"	"Independence Park 2"	29	830	2319	742	285	429		383	305	400	119	580	70	613
"AK"	2002	"30-000"	"District 30 Absentee"	30	0						625	287	470	144	612	62	683
"AK"	2002	"30-000"	"District 30 Question"	30	0						38	31	37	52	207	28	230
"AK"	2002	"30-835"	"Abbott Loop No. 1"	30	835	2405	1016	392	601		830	379	592	163	787	111	814
"AK"	2002	"30-840"	"Abbott Loop No. 2"	30	840	2258	1157	483	645		948	548	581	198	856	92	955
"AK"	2002	"30-845"	"Abbott Loop No. 3"	30	845	724	379	153	217		294	155	214	51	284	25	306
"AK"	2002	"30-850"	"Abbott Loop No. 4"	30	850	1265	678	296	375		512	293	372	97	482	35	545
"AK"	2002	"30-855"	"Laurel/Dowling"	30	855	1781	791	312	466		645	329	433	130	618	71	649
"AK"	2002	"30-860"	"Lore No. 1"	30	860	1416	688	223	447		584	227	439	86	553	52	581
"AK"	2002	"30-865"	"Lore No. 2"	30	865	1494	506	168	324		415	180	313	74	405	40	419
"AK"	2002	"31-000"	"District 31 Absentee"	31	0						648	284	730	172	819	82	904
"AK"	2002	"31-000"	"District 31 Question"	31	0						23	6	35	34	188	19	199
"AK"	2002	"31-900"	"Huffman No. 1"	31	900	1089	421	140	261		279	121	287	67	331	34	348
"AK"	2002	"31-905"	"Huffman No. 2"	31	905	1992	1021	339	663		645	266	716	136	834	58	880
"AK"	2002	"31-910"	"Huffman No. 3"	31	910	1712	783	296	465		479	238	506	123	620	65	646
"AK"	2002	"31-915"	"Huffman No. 4"	31	915	1250	635	250	378		361	192	410	99	499	43	557
"AK"	2002	"31-920"	"Huffman No. 5"	31	920	1820	957	373	570		520	304	623	135	758	61	833
"AK"	2002	"31-925"	"Huffman No. 6"	31	925	826	426	158	265		251	115	292	60	341	22	367
"AK"	2002	"31-930"	"Huffman No. 7"	31	930	2143	1120	477	622		618	328	751	169	809	75	900
"AK"	2002	"31-935"	"Huffman No. 8"	31	935	1758	917	391	509		499	262	621	126	684	56	757
"AK"	2002	"32-000"	"District 32 Absentee"	32	0						651	410	863	255	930	104	1056
"AK"	2002	"32-000"	"District 32 Question"	32	0						16	20	44	47	202	20	222
"AK"	2002	"32-940"	"Bear Valley"	32	940	968	500	244	246		220	181	300	102	307	41	354
"AK"	2002	"32-945"	"Centennial Park"	32	945	219	103	59	41		42	46	47	35	64	26	73
"AK"	2002	"32-950"	"Chugach Park No. 1"	32	950	2319	1220	458	742		693	353	796	170	944	64	1019
"AK"	2002	"32-955"	"Chugach Park No. 2"	32	955	1556	817	343	463		439	224	570	129	594	52	666
"AK"	2002	"32-960"	"Girdwood"	32	960	1817	776	501	228		213	405	319	205	355	103	437
"AK"	2002	"32-965"	"Golden View"	32	965	1596	859	391	456		394	268	556	155	585	56	691
"AK"	2002	"32-970"	"Hiland"	32	970	1634	772	286	466		499	216	517	121	593	57	642
"AK"	2002	"32-975"	"Hope"	32	975	170	73	40	29		29	40	31	19	38	12	47
"AK"	2002	"32-980"	"Indian"	32	980	253	122	66	48		37	67	52	30	72	15	80
"AK"	2002	"32-985"	"Rabbit Creek"	32	985	2142	1129	504	600		525	381	713	203	787	86	880
"AK"	2002	"32-990"	"Stuckagain Heights"	32	990	312	178	88	89		87	68	103	38	110	10	132
"AK"	2002	"32-995"	"Whittier"	32	995	306	93	30	55		42	33	55	9	72	10	70
"AK"	2002	"33-000"	"District 33 Absentee"	33	0					417	544	105	466	144	824	76	875
"AK"	2002	"33-000"	"District 33 Question"	33	0					46	70	14	90	21	216	15	216
"AK"	2002	"33-700"	"Central"	33	700	2711	1026	278	686	408	588	86	422	128	817	72	853
"AK"	2002	"33-710"	"Kenai No. 1"	33	710	2479	979	312	623	502	455	80	365	167	744	93	793
"AK"	2002	"33-720"	"Kenai No. 2"	33	720	1285	488	139	330	246	236	21	190	57	402	24	411
"AK"	2002	"33-730"	"Kenai No. 3"	33	730	1188	477	159	304	260	203	23	158	66	382	45	399
"AK"	2002	"33-740"	"K-Beach"	33	740	1558	707	188	498	331	370	33	281	92	562	59	571
"AK"	2002	"33-750"	"Soldotna"	33	750	2881	1144	329	772	532	590	77	419	148	931	92	962
"AK"	2002	"34-000"	"District 34 Absentee"	34	0						982	151	796	165	1131	81	1180
"AK"	2002	"34-000"	"District 34 Question"	34	0						90	9	88	29	200	17	213
"AK"	2002	"34-810"	"Funny River"	34	810	1299	511	136	356		339	31	234	53	412	34	407
"AK"	2002	"34-820"	"Kasilof"	34	820	1544	653	203	405		349	38	244	97	475	57	483
"AK"	2002	"34-830"	"Mackey Lake"	34	830	1437	563	155	385		371	24	219	49	471	24	484
"AK"	2002	"34-840"	"Nikiski"	34	840	1606	715	131	539		490	37	395	60	597	33	599
"AK"	2002	"34-850"	"Ninilchik"	34	850	1386	413	103	298		269	36	227	69	318	42	315
"AK"	2002	"34-870"	"Salamatoff"	34	870	1823	761	179	542		554	28	338	59	647	31	665
"AK"	2002	"34-880"	"Sterling"	34	880	3011	1208	242	930		843	58	583	103	1046	58	1061
"AK"	2002	"35-000"	"District 35 Absentee"	35	0						897		811	277	822	153	911
"AK"	2002	"35-000"	"District 35 Question"	35	0						135		107	75	190	54	195
"AK"	2002	"35-010"	"Homer No. 1"	35	10	2094	903	419	463		685		577	176	581	100	617
"AK"	2002	"35-020"	"Homer No. 2"	35	20	2015	772	356	390		624		498	142	497	66	539
"AK"	2002	"35-030"	"Anchor Point"	35	30	1260	484	117	338		408		361	45	387	24	384
"AK"	2002	"35-040"	"Bear Creek"	35	40	1292	512	224	268		375		351	84	366	46	394
"AK"	2002	"35-050"	"Cooper Landing"	35	50	403	138	58	76		90		85	21	99	9	111
"AK"	2002	"35-060"	"Diamond Ridge"	35	60	835	336	214	112		254		173	95	154	55	179
"AK"	2002	"35-070"	"Kachemak Bay"	35	70	799	197	84	104		145		111	40	114	24	127
"AK"	2002	"35-080"	"Kachemak City/Fritz Creek"	35	80	1404	631	330	267		474		340	133	355	67	386
"AK"	2002	"35-090"	"Moose Pass"	35	90	311	131	63	64		90		80	31	84	17	88
"AK"	2002	"35-095"	"Seldovia"	35	95	388	144	69	71		106		90	28	91	19	102
"AK"	2002	"35-098"	"Seward"	35	98	1880	643	273	345		478		444	92	493	52	519
"AK"	2002	"36-000"	"District 36 Absentee"	36	0						620		613	117	596	72	626
"AK"	2002	"36-000"	"District 36 Question"	36	0						140		136	34	168	22	171
"AK"	2002	"36-605"	"Cape Chiniak"	36	605	123	47	26	20		33		34	11	21	6	26
"AK"	2002	"36-608"	"Flats"	36	608	2258	476	169	293		406		395	78	356	45	374
"AK"	2002	"36-615"	"Kodiak Island South"	36	615	243	32	8	19		29		28	4	27	3	29
"AK"	2002	"36-618"	"Kodiak No. 1"	36	618	2176	762	309	432		671		639	118	582	75	615
"AK"	2002	"36-620"	"Kodiak No. 2"	36	620	1987	694	268	414		596		560	92	564	72	567
"AK"	2002	"36-622"	"Mission Road"	36	622	2748	1070	425	623		917		855	173	803	109	838
"AK"	2002	"36-625"	"Old Harbor"	36	625	146	69	16	48		60		60	4	60	4	58
"AK"	2002	"36-635"	"Ouzinkie"	36	635	156	50	19	26		39		39	15	35	9	38
"AK"	2002	"36-645"	"Port Lions"	36	645	315	57	18	36		58		54	7	52	7	51
"AK"	2002	"36-655"	"Iliamna/Newhalen"	36	655	202	80	48	28		64		59	16	61	14	64
"AK"	2002	"36-665"	"Kokhanok/Igiugig"	36	665	131	47	19	23		43		31	4	41	4	42
"AK"	2002	"36-676"	"Levelock"	36	676	53	22	15	7		20		17	2	19	2	19
"AK"	2002	"36-685"	"Nondalton"	36	685	246	54	38	12		46		42	12	37	12	34
"AK"	2002	"36-696"	"Pedro Bay"	36	696	42	17	6	10		14		14	3	12	2	12
"AK"	2002	"37-000"	"District 37 Absentee"	37	0					463		306	230	91	501	59	521
"AK"	2002	"37-000"	"District 37 Question"	37	0					44		35	17	12	118	6	119
"AK"	2002	"37-700"	"Akutan"	37	700	161	56	13	38	49		27	27	8	48	6	49
"AK"	2002	"37-702"	"Aleknagik"	37	702	135	51	32	16	42		39	13	5	47	3	45
"AK"	2002	"37-704"	"Aleutians No. 1"	37	704	416	34	12	17	34		23	7	6	29	3	26
"AK"	2002	"37-706"	"Aleutians No. 2"	37	706	1586	569	265	278	417		272	250	121	374	82	405
"AK"	2002	"37-708"	"Chigniks"	37	708	286	29	6	21	22		12	15	6	22	3	24
"AK"	2002	"37-710"	"Clarks Point"	37	710	58	31	21	8	30		25	5	7	24	4	24
"AK"	2002	"37-712"	"Cold Bay"	37	712	151	33	18	14	25		12	18	6	25	4	25
"AK"	2002	"37-714"	"Dillingham"	37	714	1516	672	402	245	509		376	259	121	508	76	538
"AK"	2002	"37-716"	"Egegik-Pilot Point"	37	716	171	29	8	20	23		9	18	2	25	2	21
"AK"	2002	"37-718"	"Ekwok"	37	718	76	40	19	20	37		31	8	5	35	6	34
"AK"	2002	"37-720"	"King Cove"	37	720	330	111	17	93	97		49	53	9	100	3	103
"AK"	2002	"37-722"	"King Salmon"	37	722	368	153	47	98	114		72	74	23	123	7	129
"AK"	2002	"37-724"	"Koliganek"	37	724	109	67	36	29	58		44	20	3	64	2	62
"AK"	2002	"37-726"	"Manokotak"	37	726	220	100	52	44	100		86	14	12	83	8	83
"AK"	2002	"37-728"	"Naknek"	37	728	428	202	94	102	161		114	74	29	164	19	170
"AK"	2002	"37-730"	"New Stuyahok"	37	730	256	157	111	40	145		130	23	19	136	17	130
"AK"	2002	"37-732"	"Port Heiden"	37	732	87	35	24	10	24		20	11	3	30	2	30
"AK"	2002	"37-734"	"Sand Point"	37	734	511	165	21	141	138		76	74	13	148	7	151
"AK"	2002	"37-736"	"South Naknek"	37	736	90	42	20	21	38		24	14	7	33	6	32
"AK"	2002	"37-738"	"St. George Island"	37	738	90	36	9	26	34		20	15	2	34	2	34
"AK"	2002	"37-740"	"St. Paul Island"	37	740	346	126	64	53	111		75	42	22	99	16	104
"AK"	2002	"37-742"	"Togiak"	37	742	452	168	92	68	149		107	53	14	143	15	142
"AK"	2002	"38-000"	"District 38 Absentee"	38	0					136		103	52	43	117	23	129
"AK"	2002	"38-000"	"District 38 Question"	38	0					151		124	32	68	172	51	180
"AK"	2002	"38-800"	"Akiachak"	38	800	262	141	102	30	136		121	19	32	103	20	99
"AK"	2002	"38-802"	"Akiak"	38	802	143	87	71	13	73		53	30	22	57	17	56
"AK"	2002	"38-804"	"Atmautluak"	38	804	141	54	40	10	53		42	7	19	34	19	30
"AK"	2002	"38-806"	"Bethel No. 1"	38	806	606	217	154	55	188		115	92	57	145	33	160
"AK"	2002	"38-808"	"Bethel No. 2"	38	808	1578	626	467	144	533		366	234	150	405	97	452
"AK"	2002	"38-810"	"Bethel No. 3"	38	810	951	344	247	91	299		201	126	73	248	40	278
"AK"	2002	"38-812"	"Chefornak"	38	812	201	109	86	12	108		98	13	25	79	23	73
"AK"	2002	"38-814"	"Eek"	38	814	164	88	63	22	83		70	14	8	77	6	75
"AK"	2002	"38-816"	"Goodnews Bay"	38	816	170	72	45	23	68		45	22	13	55	8	57
"AK"	2002	"38-818"	"Kalskag"	38	818	117	46	25	19	39		31	10	7	39	11	32
"AK"	2002	"38-820"	"Kasigluk"	38	820	255	84	70	9	84		69	14	23	58	19	57
"AK"	2002	"38-822"	"Kipnuk"	38	822	303	129	98	22	129		112	16	46	77	45	64
"AK"	2002	"38-824"	"Kongiganak"	38	824	189	96	70	19	93		74	18	21	75	18	74
"AK"	2002	"38-826"	"Kwethluk"	38	826	300	136	116	15	131		96	34	42	89	30	94
"AK"	2002	"38-828"	"Kwigillingok"	38	828	191	97	81	14	96		82	12	23	72	19	71
"AK"	2002	"38-830"	"Lower Kalskag"	38	830	152	67	31	28	66		54	12	10	55	12	49
"AK"	2002	"38-832"	"Mekoryuk"	38	832	150	53	27	23	52		39	14	5	46	6	44
"AK"	2002	"38-834"	"Napakiak"	38	834	165	66	53	12	64		56	10	17	49	18	46
"AK"	2002	"38-836"	"Napaskiak"	38	836	184	48	43	4	46		39	9	16	30	15	30
"AK"	2002	"38-838"	"Newtok"	38	838	160	79	60	16	75		63	12	23	53	18	50
"AK"	2002	"38-840"	"Nightmute"	38	840	120	67	56	10	62		55	10	21	42	14	41
"AK"	2002	"38-842"	"Nunapitchuk"	38	842	236	70	50	16	68		57	12	15	55	14	55
"AK"	2002	"38-844"	"Quinhagak"	38	844	281	120	88	19	115		93	23	36	82	26	80
"AK"	2002	"38-846"	"Toksook Bay"	38	846	283	143	102	28	142		118	21	43	94	28	103
"AK"	2002	"38-848"	"Tuluksak"	38	848	188	68	45	15	68		54	14	15	50	15	50
"AK"	2002	"38-850"	"Tuntutuliak"	38	850	187	100	86	9	98		83	12	28	69	29	65
"AK"	2002	"38-852"	"Tununak"	38	852	161	72	58	11	70		60	13	27	40	17	44
"AK"	2002	"39-000"	"District 39 Absentee"	39	0					222				53	211	36	224
"AK"	2002	"39-000"	"District 39 Question"	39	0					68				36	139	29	136
"AK"	2002	"39-900"	"Alakanuk"	39	900	304	120	83	27	95				12	102	12	95
"AK"	2002	"39-902"	"Brevig Mission"	39	902	159	107	68	31	96				12	91	5	88
"AK"	2002	"39-904"	"Chevak"	39	904	342	152	130	17	131				32	118	29	113
"AK"	2002	"39-906"	"Diomede"	39	906	88	33	12	17	31				9	22	7	22
"AK"	2002	"39-908"	"Elim"	39	908	179	97	56	40	86				11	85	14	78
"AK"	2002	"39-910"	"Emmonak"	39	910	384	181	126	42	155				37	144	42	131
"AK"	2002	"39-912"	"Gambell"	39	912	257	129	76	49	109				17	109	14	103
"AK"	2002	"39-914"	"Golovin"	39	914	98	44	28	14	41				4	40	2	42
"AK"	2002	"39-916"	"Hooper Bay"	39	916	446	225	176	39	192				49	168	29	185
"AK"	2002	"39-918"	"Kotlik"	39	918	230	107	91	15	104				18	87	14	80
"AK"	2002	"39-920"	"Koyuk"	39	920	146	110	73	35	93				16	91	13	92
"AK"	2002	"39-922"	"Mountain Village"	39	922	391	187	123	55	152				33	147	30	147
"AK"	2002	"39-924"	"Nome No. 1"	39	924	1117	450	267	168	385				71	350	47	371
"AK"	2002	"39-926"	"Nome No. 2"	39	926	1120	500	310	168	429				75	382	49	400
"AK"	2002	"39-928"	"Nunam Iqua"	39	928	83	27	15	9	23				8	18	9	16
"AK"	2002	"39-930"	"Pilot Station"	39	930	283	131	77	41	110				24	101	16	103
"AK"	2002	"39-932"	"Pitkas Point"	39	932	57	29	20	5	22				6	24	6	21
"AK"	2002	"39-934"	"Savoonga"	39	934	352	174	129	35	168				24	151	18	142
"AK"	2002	"39-936"	"Scammon Bay"	39	936	203	86	58	27	78				10	72	11	69
"AK"	2002	"39-938"	"Shaktoolik"	39	938	146	74	54	18	66				9	64	8	59
"AK"	2002	"39-940"	"St. Mary's"	39	940	282	113	83	25	100				28	81	14	95
"AK"	2002	"39-942"	"St. Michael"	39	942	177	92	51	38	81				10	80	10	79
"AK"	2002	"39-944"	"Stebbins"	39	944	246	94	62	24	78				16	74	9	71
"AK"	2002	"39-946"	"Teller"	39	946	161	74	41	31	64				10	61	7	67
"AK"	2002	"39-948"	"Unalakleet"	39	948	456	238	157	73	184				26	202	23	202
"AK"	2002	"39-950"	"Wales"	39	950	98	39	26	11	34				6	33	4	33
"AK"	2002	"39-952"	"White Mountain"	39	952	189	73	54	17	67				15	55	12	58
"AK"	2002	"40-000"	"District 40 Absentee"	40	0					164				52	151	37	166
"AK"	2002	"40-000"	"District 40 Question"	40	0					120				39	156	35	155
"AK"	2002	"40-002"	"Ambler"	40	2	179	83	69	11	77				20	54	12	57
"AK"	2002	"40-004"	"Anaktuvuk Pass"	40	4	324	111	49	57	100				17	91	15	88
"AK"	2002	"40-007"	"Atqasuk"	40	7	153	46	19	24	40				4	40	4	39
"AK"	2002	"40-008"	"Barrow"	40	8	2325	735	426	283	616				124	572	78	595
"AK"	2002	"40-010"	"Browerville"	40	10	484	177	110	64	156				34	133	28	137
"AK"	2002	"40-012"	"Buckland"	40	12	191	95	68	21	90				28	65	20	70
"AK"	2002	"40-014"	"Deering"	40	14	90	41	22	16	36				8	31	10	26
"AK"	2002	"40-016"	"Kaktovik"	40	16	191	89	26	57	76				10	72	9	72
"AK"	2002	"40-018"	"Kiana"	40	18	226	86	65	19	75				19	65	21	60
"AK"	2002	"40-020"	"Kivalina"	40	20	193	89	47	33	77				24	64	16	68
"AK"	2002	"40-022"	"Kobuk"	40	22	67	40	30	8	35				6	32	8	27
"AK"	2002	"40-024"	"Kotzebue"	40	24	1804	638	416	204	536				142	462	102	482
"AK"	2002	"40-026"	"Noatak"	40	26	236	122	71	44	106				16	105	18	100
"AK"	2002	"40-028"	"Noorvik"	40	28	355	132	73	51	118				20	109	14	99
"AK"	2002	"40-030"	"Nuiqsut"	40	30	281	80	36	31	70				17	54	14	55
"AK"	2002	"40-032"	"Point Hope"	40	32	409	140	81	46	127				38	96	26	102
"AK"	2002	"40-034"	"Point Lay"	40	34	120	33	12	19	27				9	24	5	26
"AK"	2002	"40-038"	"Selawik"	40	38	347	171	88	75	151				23	144	21	137
"AK"	2002	"40-040"	"Shishmaref"	40	40	326	178	150	25	170				24	150	18	151
"AK"	2002	"40-042"	"Shungnak"	40	42	144	76	73	3	71				12	63	15	59
"AK"	2002	"40-044"	"Wainwright"	40	44	331	157	60	82	148				15	137	16	130
