state	year	county	precinct	g2004_USP_tv	g2004_USP_dv	g2004_USP_rv	ld	g2004_STH_tv	g2004_STH_dv	g2004_STH_rv	ld10	g2004_STH_tv10	g2004_STH_dv10	g2004_STH_rv10	ld11	g2004_STH_tv11	g2004_STH_dv11	g2004_STH_rv11	ld12	g2004_STH_tv12	g2004_STH_dv12	g2004_STH_rv12	ld13	g2004_STH_tv13	g2004_STH_dv13	g2004_STH_rv13	ld14	g2004_STH_tv14	g2004_STH_dv14	g2004_STH_rv14	ld15	g2004_STH_tv15	g2004_STH_dv15	g2004_STH_rv15	ld16	g2004_STH_tv16	g2004_STH_dv16	g2004_STH_rv16	ld2	g2004_STH_tv2	g2004_STH_dv2	g2004_STH_rv2	ld3	g2004_STH_tv3	g2004_STH_dv3	g2004_STH_rv3	ld4	g2004_STH_tv4	g2004_STH_dv4	g2004_STH_rv4	ld5	g2004_STH_tv5	g2004_STH_dv5	g2004_STH_rv5	ld6	g2004_STH_tv6	g2004_STH_dv6	g2004_STH_rv6	ld7	g2004_STH_tv7	g2004_STH_dv7	g2004_STH_rv7	ld8	g2004_STH_tv8	g2004_STH_dv8	g2004_STH_rv8	ld9	g2004_STH_tv9	g2004_STH_dv9	g2004_STH_rv9	sd	g2004_STS_tv	g2004_STS_dv	g2004_STS_rv	sd2	g2004_STS_tv2	g2004_STS_dv2	g2004_STS_rv2	sd3	g2004_STS_tv3	g2004_STS_dv3	g2004_STS_rv3	cd	g2004_USH_tv	g2004_USH_dv	g2004_USH_rv	cd2	g2004_USH_tv2	g2004_USH_dv2	g2004_USH_rv2	cd3	g2004_USH_tv3	g2004_USH_dv3	g2004_USH_rv3
"TN"	2004	"KNOX"	"18 Lincoln Park"	684.0	384.0	291.0	13	613	381	232																																																																									2	628.0	161.0	444.0								
"TN"	2004	"KNOX"	"19L Lonsdale"	282.0	157.0	122.0	13	251	161	90																																																																									2	259.0	82.0	173.0								
"TN"	2004	"KNOX"	"19S Sam E. Hill"	210.0	173.0	35.0	13	189	161	28																																																																									2	183.0	95.0	87.0								
"TN"	2004	"KNOX"	"20 Beaumont"	384.0	219.0	158.0	15	300	271																																																																										2	349.0	103.0	235.0								
"TN"	2004	"KNOX"	"23N Bible Church God"	312.0	143.0	165.0	13	286	140	146																																																																									2	297.0	65.0	227.0								
"TN"	2004	"KNOX"	"23S Westview"	274.0	116.0	154.0	13	244	131	113																																																																									2	256.0	41.0	213.0								
"TN"	2004	"KNOX"	"24N Pellissippi Tech"	110.0	53.0	54.0	15	87	75																																																																										2	100.0	25.0	69.0								
"TN"	2004	"KNOX"	"24Q Sequoyah Hills"	956.0	431.0	511.0	17	893	436	457																																																													6	916.0	304	612.0									2	911.0	224.0	670.0								
"TN"	2004	"KNOX"	"25 South Knox CC"	512.0	251.0	252.0	15	410	359																																																														6	470.0	180	290.0									2	478.0	143.0	317.0								
"TN"	2004	"KNOX"	"26 Dogwood"	1117.0	555.0	543.0	19	479		479																													15	348	289																														6	1034.0	389	645.0									2	1034.0	327.0	671.0								
"TN"	2004	"KNOX"	"27 So Knox Optimist"	442.0	190.0	249.0	17	431	225	206																																																													6	430.0	126	304.0									2	433.0	93.0	330.0								
"TN"	2004	"KNOX"	"28 South-Doyle Mid"	276.0	107.0	166.0	19	207		207																																																													6	263.0	71	192.0									2	264.0	64.0	193.0								
"TN"	2004	"KNOX"	"29 Anderson"	311.0	132.0	170.0	19	241		241																																																													6	304.0	94	210.0									2	302.0	66.0	225.0								
"TN"	2004	"KNOX"	"30 Sarah Moore Green"	397.0	315.0	79.0	15	356	312																																																																										2	342.0	115.0	215.0								
"TN"	2004	"KNOX"	"31 Chilhowee"	527.0	298.0	219.0	15	454	386																																																														6	492.0	213	279.0									2	505.0	137.0	358.0								
"TN"	2004	"KNOX"	"32 Spring Hill"	502.0	248.0	249.0	15	326	300																														13	15	6	9																													6	457.0	178	279.0									2	479.0	122.0	351.0								
"TN"	2004	"KNOX"	"33 Richard Yoakley"	632.0	301.0	326.0	13	595	284	311																																																													6	586.0	228	358.0									2	605.0	163.0	434.0								
"TN"	2004	"KNOX"	"34 Fount City Lib"	501.0	239.0	256.0	16	219		219																													13	206	119	87																													6	472.0	173	299.0									2	473.0	117.0	352.0								
"TN"	2004	"KNOX"	"35 Shannondale"	615.0	214.0	395.0	16	498		498																																																													6	586.0	150	436.0									2	586.0	103.0	474.0								
