state	year	county	precinct	vtd	ld	g2002_STH_tv	g2002_STH_dv	g2002_STH_rv	ld2	g2002_STH_dv2	g2002_STH_rv2	g2002_STH_tv2	ld3	g2002_STH_dv3	g2002_STH_rv3	g2002_STH_tv3	ld4	g2002_STH_dv4	g2002_STH_rv4	g2002_STH_tv4	ld5	g2002_STH_dv5	g2002_STH_rv5	g2002_STH_tv5	ld6	g2002_STH_dv6	g2002_STH_rv6	g2002_STH_tv6	ld7	g2002_STH_dv7	g2002_STH_rv7	g2002_STH_tv7	ld8	g2002_STH_dv8	g2002_STH_rv8	g2002_STH_tv8	ld9	g2002_STH_dv9	g2002_STH_rv9	g2002_STH_tv9	ld10	g2002_STH_dv10	g2002_STH_rv10	g2002_STH_tv10	ld11	g2002_STH_dv11	g2002_STH_rv11	g2002_STH_tv11	ld12	g2002_STH_dv12	g2002_STH_rv12	g2002_STH_tv12	ld13	g2002_STH_dv13	g2002_STH_rv13	g2002_STH_tv13	ld14	g2002_STH_dv14	g2002_STH_rv14	g2002_STH_tv14	ld15	g2002_STH_dv15	g2002_STH_rv15	g2002_STH_tv15	ld16	g2002_STH_dv16	g2002_STH_rv16	g2002_STH_tv16	sd	g2002_STS_tv	g2002_STS_dv	g2002_STS_rv	sd2	g2002_STS_dv2	g2002_STS_rv2	g2002_STS_tv2	sd3	g2002_STS_dv3	g2002_STS_rv3	g2002_STS_tv3	cd	g2002_USH_tv	g2002_USH_dv	g2002_USH_rv	cd2	g2002_USH_dv2	g2002_USH_rv2	g2002_USH_tv2	cd3	g2002_USH_dv3	g2002_USH_rv3	g2002_USH_tv3	g2002_USS_dv	g2002_USS_rv	g2002_USS_tv	g2002_GOV_dv	g2002_GOV_rv	g2002_GOV_tv
"TN"	2002	"DAVIDSON"	"19-4 Edgehill Estate"	1720	58	322	322																																																														19	343	343										5	342.0	272.0	48.0									322	59	384.0	311	44	388.0
"TN"	2002	"DAVIDSON"	"19-5 Murrell School"	1688	58	446	446		54	21		28																																																									19	479	479										5	519.0	409.0	79.0									459	104	570.0	448	76	573.0
"TN"	2002	"DAVIDSON"	"20-2 Ford UAW Hall"	1812	54	10	10		50	4		4	55	1	0	1																																																					19	16	16										5	17.0	17.0	0.0									18	0	18.0	18	0	18.0
"TN"	2002	"DAVIDSON"	"20-3 West Park CC"	1804	55	1146	947	199	54	4		7																																																									21	1196	886	310									5	1183.0	860.0	276.0									840	416	1277.0	744	477	1268.0
"TN"	2002	"DAVIDSON"	"20-4 Charlotte Park"	1808	55	785	622	163																																																													21	801	552	249									5	808.0	574.0	205.0									532	328	872.0	484	352	874.0
"TN"	2002	"DAVIDSON"	"21-1 Hadley Park CC"	1788	54	657	537																																																														19	659	659										5	657.0	557.0	19.0									672	23	706.0	633	12	716.0
"TN"	2002	"DAVIDSON"	"21-2 Wharton School"	1768	54	347	299																																																														19	338	338										5	309.0	290.0	5.0									361	12	376.0	347	5	374.0
"TN"	2002	"DAVIDSON"	"21-3 Pearl Cohn Sch"	1794	58	293	293																																																														19	342	342										5	328.0	304.0	8.0									350	15	367.0	330	10	363.0
"TN"	2002	"DAVIDSON"	"21-4 Centennial Park"	1802	58	26	26		54	1		1																																																									19	29	29										5	34.0	19.0	13.0									18	16	35.0	19	12	35.0
"TN"	2002	"DAVIDSON"	"21-5 Centennial Park"	1800	55	270	181	89	54	77		106																																																									21	390	247	143									5	410.0	271.0	121.0									241	177	431.0	276	135	432.0
"TN"	2002	"DAVIDSON"	"21-6 John Early Sch"	1772	54	259	226																																																														19	268	268										5	245.0	226.0	5.0									281	12	296.0	273	7	296.0
"TN"	2002	"DAVIDSON"	"22-1 Bellevue CC"	1822	50	429	429																																																														21	528	319	209									5	537.0	304.0	214.0									245	311	561.0	300	255	564.0
"TN"	2002	"DAVIDSON"	"22-2 Bellevue Church"	1824	55	803	501	302																																																													21	808	462	346									5	813.0	492.0	298.0									424	438	870.0	472	376	867.0
"TN"	2002	"DAVIDSON"	"22-3 Bellevue Middle"	2072	50	831	831																																																														21	1034	574	460									5	1043.0	590.0	430.0									494	597	1108.0	594	495	1113.0
"TN"	2002	"DAVIDSON"	"22-4 Bellevue UMC"	2075	56	267	86	164																																																													23	218		218									5	277.0	149.0	117.0									128	161	293.0	164	121	293.0
"TN"	2002	"DAVIDSON"	"23-1 Brook Hollow"	1828	55	1343	870	473																																																													21	1380	903	477									5	1393.0	850.0	516.0									601	846	1455.0	782	639	1450.0
"TN"	2002	"DAVIDSON"	"23-2 West Meade Sch"	1826	55	1116	685	431																																																													21	1126	660	466									5	1145.0	663.0	458.0									557	631	1194.0	681	495	1197.0
"TN"	2002	"DAVIDSON"	"23-3 St Henry's Sch"	2048	56	741	175	479																																																													21	750	478	272									5	759.0	449.0	286.0									301	483	792.0	425	355	794.0
"TN"	2002	"DAVIDSON"	"23-4 Belle Meade"	2040	56	500	63	385																																																													21	504	308	196									5	509.0	288.0	213.0									113	408	522.0	248	266	523.0
"TN"	2002	"DAVIDSON"	"24-1 Richland Lib"	1836	55	802	607	195																																																													21	818	585	233									5	850.0	610.0	206.0									550	325	887.0	561	277	887.0
"TN"	2002	"DAVIDSON"	"24-2 Nashville Tech"	1844	55	975	706	269																																																													21	999	689	310									5	1019.0	673.0	298.0									604	468	1091.0	685	361	1083.0
"TN"	2002	"DAVIDSON"	"24-3 West End Fire"	2050	55	432	270	162																																																													21	449	288	161									5	457.0	284.0	160.0									210	262	475.0	284	178	475.0
"TN"	2002	"DAVIDSON"	"24-4 Park Ave School"	1847	54	263	206																																																														21	273	221	52									5	290.0	236.0	41.0									241	72	317.0	243	55	315.0
"TN"	2002	"DAVIDSON"	"24-5 McCabe Park CC"	1840	55	773	536	237																																																													21	802	537	265									5	812.0	553.0	233.0									441	386	838.0	579	240	840.0
"TN"	2002	"DAVIDSON"	"24-6 West End Mid"	1841	56	559	189	302																																																													21	558	357	201									5	575.0	356.0	204.0									251	346	600.0	370	221	600.0
"TN"	2002	"DAVIDSON"	"25-1 Randalls Learn"	1852	56	652	199	403	55	23	11	34																																																									21	697	419	278									5	712.0	447.0	254.0									281	451	734.0	460	269	739.0
"TN"	2002	"DAVIDSON"	"25-2 Boy Scouts"	1698	54	993	739		56	1	6	7																																																									21	1180	699	481									5	1219.0	718.0	465.0									558	707	1276.0	717	537	1276.0
"TN"	2002	"DAVIDSON"	"25-3 Green Hills Lib"	1868	58	104	104																																																														21	135	101	34									5	132.0	94.0	34.0									90	46	139.0	97	33	140.0
"TN"	2002	"DAVIDSON"	"25-4 Granny White Ch"	1870	58	224	224		52	82	57	139																																																									19	340	340										5	419.0	278.0	125.0									245	188	437.0	270	143	434.0
"TN"	2002	"DAVIDSON"	"25-5 Hillsboro High"	2016	52	1445	628	817	56	59	95	160																																																									21	1648	925	723									5	1687.0	928.0	719.0									710	1057	1778.0	957	771	1777.0
"TN"	2002	"DAVIDSON"	"26-1 Paragon Mills"	1904	53	653	517	136	59	31	6	37																																																									21	690	526	164									5	721.0	559.0	138.0									558	189	760.0	524	209	762.0
"TN"	2002	"DAVIDSON"	"26-3 Norman Binkley"	1888	53	1139	678	461																																																													21	1181	719	462									5	1200.0	715.0	462.0									623	635	1273.0	686	557	1277.0
"TN"	2002	"DAVIDSON"	"26-4 Crieve Hall Sch"	2000	53	281	154	127	56	56	186	250																																																									23	452		452									5	556.0	247.0	300.0									202	381	587.0	253	322	587.0
"TN"	2002	"DAVIDSON"	"26-5 Ellington Agri"	2001	53	754	447	307	56	0	0	0																																																									23	615		615									7	797.0	199.0	570.0									348	519	870.0	409	444	867.0
"TN"	2002	"DAVIDSON"	"27-1 St Matthias"	1965	59	429	282	147																																																													21	432	281	151									5	440.0	264.0	151.0									270	187	465.0	266	175	468.0
"TN"	2002	"DAVIDSON"	"27-2 Edmondson Pike"	2002	53	3	3	0	56	0	0	0																																																									23	2		2									5	3.0	1.0	1.0									1	2	3.0	3	0	3.0
"TN"	2002	"DAVIDSON"	"27-3 McMurray Middle"	2004	59	812	455	357																																																													23	658		658									5	854.0	492.0	340.0									423	465	898.0	461	415	898.0
"TN"	2002	"DAVIDSON"	"27-4 Christ Church"	2008	56	700	223	434	59	44	31	75																																																									23	654		654									7	790.0	227.0	550.0									337	509	854.0	418	420	858.0
"TN"	2002	"DAVIDSON"	"28-1 Una Church"	1908	53	804	562	242																																																													19	656	656										5	826.0	550.0	251.0									547	301	853.0	510	305	846.0
"TN"	2002	"DAVIDSON"	"28-3 Una Church"	1910	60	0	0	0																																																																									5	0.0	0.0	0.0									1	0	1.0	0	1	1.0
"TN"	2002	"DAVIDSON"	"28-4 Antioch Church"	1922	59	919	585	334	53	0	0	0																																																									21	933	581	352									5	976.0	631.0	302.0									592	394	1005.0	576	392	1005.0
"TN"	2002	"DAVIDSON"	"28-5 Apollo Mid Sch"	1920	59	415	285	130																																																													19	358	358										5	437.0	307.0	118.0									299	152	456.0	310	130	453.0
"TN"	2002	"DAVIDSON"	"29-1 Priest Lake"	1909	60	407	295	112																																																																									5	406.0	257.0	140.0									262	163	427.0	270	142	425.0
"TN"	2002	"DAVIDSON"	"29-2 Lakeview School"	1928	53	813	504	309																																																													19	658	658										5	851.0	497.0	315.0									483	402	894.0	504	356	899.0
"TN"	2002	"DAVIDSON"	"29-3 Hamilton UMC"	1932	60	439	330	109																																																													19	362	362										5	448.0	286.0	145.0									284	187	474.0	285	177	472.0
"TN"	2002	"DAVIDSON"	"29-4 Smith Springs"	1940	53	1652	1096	556																																																																									5	1689.0	1109.0	534.0									1022	696	1746.0	1104	583	1745.0
"TN"	2002	"DAVIDSON"	"30-1 Haywood School"	1964	59	369	277	92																																																													21	362	256	106									5	378.0	267.0	101.0									265	133	400.0	265	134	406.0
"TN"	2002	"DAVIDSON"	"30-2 Haywood Hills"	1885	59	500	338	162																																																													21	483	317	166									5	503.0	347.0	144.0									340	183	527.0	304	191	529.0
"TN"	2002	"DAVIDSON"	"30-3 Grace Cole Sch"	1968	59	1025	674	351																																																													21	1030	638	392									5	1040.0	679.0	333.0									662	431	1106.0	670	419	1115.0
"TN"	2002	"DAVIDSON"	"30-4 Tusculum Church"	1960	59	414	267	147																																																													21	414	263	151									5	429.0	294.0	122.0									282	161	446.0	278	154	441.0
"TN"	2002	"DAVIDSON"	"31-1 Woodson Chapel"	1976	56	1343	379	893	53	12	5	17																																																									23	1177		1177									7	1409.0	299.0	1081.0									475	1009	1491.0	703	779	1494.0
"TN"	2002	"DAVIDSON"	"31-2 Woodson Chapel"	1996	56	1358	421	839																																																													23	1121		1121									7	1385.0	334.0	1024.0									564	905	1476.0	723	735	1485.0
"TN"	2002	"DAVIDSON"	"31-3 Lords Chapel"	1980	56	529	156	334	59	210	87	297																																																									23	663		663									5	859.0	478.0	353.0									426	462	898.0	444	439	900.0
"TN"	2002	"DAVIDSON"	"32-1 Antioch UMC"	1962	59	726	446	280																																																													21	728	437	291									5	747.0	466.0	256.0									473	300	780.0	461	292	782.0
"TN"	2002	"DAVIDSON"	"32-2 Bell Road Bapt"	1992	59	575	344	231																																																													23	460		460									5	605.0	374.0	216.0									353	274	637.0	363	265	642.0
"TN"	2002	"DAVIDSON"	"32-3 Cane Ridge CC"	1988	56	339	119	207																																																													23	276		276									5	353.0	192.0	153.0									176	189	371.0	197	170	373.0
"TN"	2002	"DAVIDSON"	"32-4 Mt View School"	1989	60	846	618	228																																																																									5	846.0	555.0	272.0									524	348	884.0	549	321	898.0
"TN"	2002	"DAVIDSON"	"32-5 Antioch Middle"	1990	59	104	70	34																																																													21	104	65	39									5	110.0	70.0	35.0									64	47	111.0	62	45	112.0
"TN"	2002	"DAVIDSON"	"33-1 The Tune House"	1608	60	166	110	56																																																																									5	165.0	78.0	81.0									80	96	177.0	68	102	176.0
"TN"	2002	"DAVIDSON"	"33-2 New Antioch HS"	1936	60	1505	1062	443	53	65	70	135																																																																					5	1682.0	978.0	688.0									916	817	1746.0	1023	694	1751.0
"TN"	2002	"DAVIDSON"	"33-3 Southeast Lib"	1937	59	167	103	64																																																													21	171	103	68									5	174.0	109.0	61.0									109	71	181.0	113	65	181.0
"TN"	2002	"DAVIDSON"	"33-4 Hickory Hollow"	1938	59	806	525	281																																																													19	686	686										5	844.0	562.0	253.0									532	332	879.0	556	303	881.0
"TN"	2002	"DAVIDSON"	"34-01 Julia Green"	2044	56	1391	405	898																																																													21	1366	828	538									5	1408.0	865.0	515.0									551	900	1462.0	854	579	1466.0
"TN"	2002	"DAVIDSON"	"34-02 Hillsboro Pres"	2052	56	577	140	393																																																													21	582	323	259									5	587.0	323.0	254.0									188	417	608.0	322	283	613.0
"TN"	2002	"DAVIDSON"	"34-03 Percy Priest"	2022	56	1113	266	804																																																													21	1090	586	504									7	1115.0	286.0	822.0	5	4	3	7					371	805	1181.0	561	605	1190.0
