state	year	town	county	town_name	cd	g2000_USP_rv	g2000_USP_dv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	ward	precinct
"ME"	2000	29	"ARO"	"FORT KENT"	2	627	1337	2068	778	1245	2023	1782	291	2073	1	1
"ME"	2000	30	"ARO"	"FRENCHVILLE"	2	155	460	629	322	292	614	571	69	640	1	1
"ME"	2000	31	"ARO"	"GARFIELD PLT."	2	36	17	57	2	52	54	39	14	53	1	1
"ME"	2000	32	"ARO"	"GLENWOOD PLT."	2	3	0	3	0	3	3	1	2	3	1	1
"ME"	2000	33	"ARO"	"GRAND ISLE"	2	52	215	275	140	139	279	262	22	284	1	1
"ME"	2000	34	"ARO"	"HAMLIN"	2	37	72	114	38	73	111	103	9	112	1	1
"ME"	2000	35	"ARO"	"HAMMOND"	2	21	23	47	13	36	49	31	17	48	1	1
"ME"	2000	36	"ARO"	"HAYNESVILLE"	2	43	14	58	11	51	62	48	13	61	1	1
"ME"	2000	37	"ARO"	"HERSEY"	2	26	8	34	7	24	31	17	17	34	1	1
"ME"	2000	38	"ARO"	"HODGDON"	2	421	194	634	124	474	598	404	212	616	1	1
"ME"	2000	39	"ARO"	"HOULTON"	2	1595	998	2706	552	2118	2670	1935	762	2697	1	1
"ME"	2000	40	"ARO"	"ISLAND FALLS"	2	268	157	443	101	329	430	278	159	437	1	1
"ME"	2000	41	"ARO"	"LIMESTONE"	2	376	512	941	231	708	939	733	209	942	1	1
"ME"	2000	42	"ARO"	"LINNEUS"	2	281	75	375	76	282	358	186	177	363	1	1
"ME"	2000	43	"ARO"	"LITTLETON"	2	299	110	427	72	342	414	259	158	417	1	1
"ME"	2000	44	"ARO"	"LUDLOW"	2	115	56	187	37	137	174	115	64	179	1	1
"ME"	2000	45	"ARO"	"MACWAHOC PLT."	2	24	21	50	15	32	47	31	18	49	1	1
"ME"	2000	46	"ARO"	"MADAWASKA"	2	550	1640	2265	1153	1080	2233	2045	238	2283	1	1
"ME"	2000	72	"ARO"	"MADAWASKA LAKE TWP."	2	49	50	102	20	77	97	74	27	101	1	1
"ME"	2000	47	"ARO"	"MAPLETON"	2	531	376	949	170	750	920	689	258	947	1	1
"ME"	2000	48	"ARO"	"MARS HILL"	2	557	217	803	135	639	774	510	292	802	1	1
"ME"	2000	49	"ARO"	"MASARDIS"	2	81	52	134	19	112	131	98	33	131	1	1
"ME"	2000	50	"ARO"	"MERRILL"	2	70	46	121	30	90	120	77	39	116	1	1
"ME"	2000	51	"ARO"	"MONTICELLO"	2	237	147	400	86	308	394	260	130	390	1	1
"ME"	2000	52	"ARO"	"MORO PLT."	2	24	7	31	2	25	27	12	19	31	1	1
"ME"	2000	53	"ARO"	"NASHVILLE PLT."	2	11	16	27	6	21	27	20	8	28	1	1
"ME"	2000	54	"ARO"	"NEW CANADA"	2	48	77	130	34	95	129	109	23	132	1	1
"ME"	2000	55	"ARO"	"NEW LIMERICK"	2	193	98	300	32	261	293	187	104	291	1	1
"ME"	2000	56	"ARO"	"NEW SWEDEN"	2	176	161	355	85	260	345	257	88	345	1	1
"ME"	2000	57	"ARO"	"OAKFIELD"	2	200	128	339	57	280	337	236	101	337	1	1
"ME"	2000	58	"ARO"	"ORIENT"	2	28	33	68	25	42	67	54	13	67	1	1
"ME"	2000	59	"ARO"	"OXBOW PLT."	2	25	15	45	8	35	43	29	17	46	1	1
"ME"	2000	524	"ARO"	"PERHAM"	2	127	68	200	31	160	191	110	73	183	1	1
"ME"	2000	60	"ARO"	"PORTAGE LAKE"	2	129	121	259	48	203	251	197	60	257	1	1
"ME"	2000	490	"ARO"	"PRESQUE ISLE"	2	2231	2004	4415	980	3353	4333	3290	1120	4410	1	1
"ME"	2000	61	"ARO"	"REED PLT."	2	57	19	81	16	56	72	47	29	76	1	1
"ME"	2000	62	"ARO"	"SAINT AGATHA"	2	112	315	437	206	217	423	397	37	434	1	1
"ME"	2000	63	"ARO"	"SHERMAN"	2	374	138	545	117	414	531	317	209	526	1	1
"ME"	2000	69	"ARO"	"SINCLAIR TWP."	2	17	110	133	64	69	133	124	11	135	1	1
"ME"	2000	64	"ARO"	"SMYRNA"	2	85	67	156	29	122	151	110	42	152	1	1
"ME"	2000	65	"ARO"	"ST. FRANCIS"	2	105	216	337	125	200	325	264	67	331	1	1
"ME"	2000	66	"ARO"	"ST. JOHN PLT."	2	53	81	136	40	91	131	113	20	133	1	1
"ME"	2000	67	"ARO"	"STOCKHOLM"	2	65	94	166	69	95	164	138	31	169	1	1
"ME"	2000	70	"ARO"	"UN. TWP. OF T17 R5"	2	33	57	92	30	63	93	78	18	96	1	1
"ME"	2000	74	"ARO"	"VAN BUREN"	2	253	826	1115	467	671	1138	995	139	1134	1	1
"ME"	2000	75	"ARO"	"WADE"	2	73	42	125	20	96	116	74	41	115	1	1
"ME"	2000	76	"ARO"	"WALLAGRASS"	2	72	193	283	95	186	281	245	36	281	1	1
"ME"	2000	77	"ARO"	"WASHBURN"	2	449	380	852	174	652	826	621	227	848	1	1
"ME"	2000	78	"ARO"	"WESTFIELD"	2	161	119	294	82	204	286	202	83	285	1	1
"ME"	2000	79	"ARO"	"WESTMANLAND"	2	20	12	37	9	26	35	28	10	38	1	1
"ME"	2000	80	"ARO"	"WESTON"	2	83	30	113	19	92	111	69	44	113	1	1
"ME"	2000	81	"ARO"	"WINTERVILLE PLT."	2	41	82	130	43	85	128	106	24	130	1	1
"ME"	2000	82	"ARO"	"WOODLAND"	2	298	244	564	113	438	551	397	164	561	1	1
"ME"	2000	83	"CUM"	"BALDWIN"	1	397	261	710	161	510	671	345	310	678	1	1
"ME"	2000	84	"CUM"	"BRIDGTON"	1	1135	1166	2470	598	1803	2401	1370	956	2412	1	1
"ME"	2000	491	"CUM"	"BRUNSWICK"	1	830	1228	2234	746	1395	2141	1321	746	2138	0	0
"ME"	2000	491	"CUM"	"BRUNSWICK"	1	529	622	1237	367	859	1226	726	454	1213	1	1
"ME"	2000	491	"CUM"	"BRUNSWICK"	1	506	638	1226	418	781	1199	742	438	1199	2	1
"ME"	2000	491	"CUM"	"BRUNSWICK"	1	504	652	1236	387	826	1213	723	461	1211	3	1
"ME"	2000	491	"CUM"	"BRUNSWICK"	1	469	681	1219	386	808	1194	735	421	1177	4	1
"ME"	2000	491	"CUM"	"BRUNSWICK"	1	400	618	1087	385	692	1077	719	327	1078	5	1
"ME"	2000	491	"CUM"	"BRUNSWICK"	1	215	496	794	343	454	797	582	191	790	6	1
"ME"	2000	491	"CUM"	"BRUNSWICK"	1	314	612	1001	416	572	988	683	270	978	7	1
"ME"	2000	85	"CUM"	"CAPE ELIZABETH"	1	2709	2962	6014	1696	4192	5888	3044	2837	5975	1	1
"ME"	2000	86	"CUM"	"CASCO"	1	784	809	1728	470	1202	1672	991	646	1682	1	1
"ME"	2000	492	"CUM"	"CUMBERLAND"	1	2219	1797	4254	885	3238	4123	2175	1899	4156	1	1
"ME"	2000	492	"CUM"	"CUMBERLAND"	1	108	124	251	58	183	241	149	84	243	2	1
"ME"	2000	493	"CUM"	"FALMOUTH"	1	2161	1778	4146	934	3112	4046	2158	1796	4061	1	1
"ME"	2000	493	"CUM"	"FALMOUTH"	1	1100	1080	2297	545	1693	2238	1284	945	2259	2	1
"ME"	2000	87	"CUM"	"FREEPORT"	1	1766	2346	4471	1306	3066	4372	2729	1531	4390	1	1
"ME"	2000	530	"CUM"	"FRYE ISLAND"	1	41	15	58	8	44	52	18	36	55	1	1
"ME"	2000	494	"CUM"	"GORHAM"	1	587	657	1367	352	964	1316	744	519	1311	0	0
"ME"	2000	494	"CUM"	"GORHAM"	1	1125	1089	2345	593	1662	2255	1311	925	2293	1	1
"ME"	2000	494	"CUM"	"GORHAM"	1	730	766	1590	402	1130	1532	896	613	1553	2	1
"ME"	2000	494	"CUM"	"GORHAM"	1	911	882	1889	499	1328	1827	1072	746	1861	3	1
"ME"	2000	88	"CUM"	"GRAY"	1	1948	1608	3830	864	2881	3745	1971	1698	3784	1	1
"ME"	2000	495	"CUM"	"HARPSWELL"	1	515	621	1243	314	903	1217	706	471	1215	1	1
"ME"	2000	495	"CUM"	"HARPSWELL"	1	591	650	1324	347	955	1302	756	507	1292	2	1
"ME"	2000	495	"CUM"	"HARPSWELL"	1	373	335	779	187	587	774	414	332	765	3	1
"ME"	2000	89	"CUM"	"HARRISON"	1	636	550	1267	266	965	1231	627	555	1228	1	1
"ME"	2000	90	"CUM"	"LONG ISLAND"	1	74	89	176	45	123	168	103	67	173	1	1
"ME"	2000	91	"CUM"	"NAPLES"	1	881	808	1811	445	1327	1772	943	765	1771	1	1
"ME"	2000	92	"CUM"	"NEW GLOUCESTER"	1	1203	1074	2436	647	1808	2455	1282	1098	2456	1	1
"ME"	2000	93	"CUM"	"NORTH YARMOUTH"	1	968	934	2026	492	1495	1987	1130	821	1999	1	1
"ME"	2000	496	"CUM"	"PORTLAND"	1	2028	4988	7920	3148	4368	7516	5477	1844	7593	0	0
"ME"	2000	496	"CUM"	"PORTLAND"	1	404	1429	2085	1098	940	2038	1596	371	2055	1	1
"ME"	2000	496	"CUM"	"PORTLAND"	1	197	612	952	456	460	916	707	173	925	1	2
"ME"	2000	496	"CUM"	"PORTLAND"	1	101	382	530	248	263	511	410	110	528	1	3
"ME"	2000	496	"CUM"	"PORTLAND"	1	19	24	46	8	36	44	26	18	46	1	4
"ME"	2000	496	"CUM"	"PORTLAND"	1	20	39	61	13	45	58	38	22	60	1	5
"ME"	2000	496	"CUM"	"PORTLAND"	1	145	756	1053	581	439	1020	834	144	1025	2	1
"ME"	2000	496	"CUM"	"PORTLAND"	1	106	584	837	454	357	811	679	108	820	2	2
"ME"	2000	496	"CUM"	"PORTLAND"	1	158	538	774	376	375	751	585	153	762	2	3
"ME"	2000	496	"CUM"	"PORTLAND"	1	175	842	1236	662	521	1183	973	162	1197	2	4
"ME"	2000	496	"CUM"	"PORTLAND"	1	146	412	628	269	344	613	444	153	619	3	1
"ME"	2000	496	"CUM"	"PORTLAND"	1	320	818	1222	521	669	1190	918	258	1211	3	2
"ME"	2000	496	"CUM"	"PORTLAND"	1	580	1284	2007	837	1124	1961	1425	506	1987	3	3
"ME"	2000	496	"CUM"	"PORTLAND"	1	512	987	1593	606	959	1565	1135	419	1584	3	4
"ME"	2000	496	"CUM"	"PORTLAND"	1	447	863	1417	556	815	1371	1014	350	1401	4	1
"ME"	2000	496	"CUM"	"PORTLAND"	1	252	657	991	423	533	956	752	196	975	4	2
"ME"	2000	496	"CUM"	"PORTLAND"	1	239	441	725	250	456	706	515	195	722	4	3
"ME"	2000	496	"CUM"	"PORTLAND"	1	402	654	1100	351	721	1072	745	326	1092	4	4
"ME"	2000	496	"CUM"	"PORTLAND"	1	395	891	1368	500	840	1340	979	339	1356	4	5
"ME"	2000	496	"CUM"	"PORTLAND"	1	168	386	596	259	327	586	458	120	590	5	1
"ME"	2000	496	"CUM"	"PORTLAND"	1	304	545	899	352	520	872	638	225	880	5	2
"ME"	2000	496	"CUM"	"PORTLAND"	1	307	514	868	259	590	849	603	236	859	5	3
"ME"	2000	496	"CUM"	"PORTLAND"	1	572	873	1529	520	963	1483	1033	448	1513	5	4
"ME"	2000	496	"CUM"	"PORTLAND"	1	841	987	1904	554	1294	1848	1203	651	1873	5	5
"ME"	2000	94	"CUM"	"POWNAL"	1	380	437	885	259	609	868	520	301	846	1	1
"ME"	2000	95	"CUM"	"RAYMOND"	1	1145	1069	2370	621	1711	2332	1249	1007	2320	1	1
"ME"	2000	96	"CUM"	"SCARBOROUGH"	1	4964	4278	9725	2299	7047	9346	4898	4356	9530	1	1
"ME"	2000	97	"CUM"	"SEBAGO"	1	452	356	874	238	623	861	477	355	864	1	1
"ME"	2000	497	"CUM"	"SOUTH PORTLAND"	1	654	843	1579	499	1034	1533	855	674	1558	0	0
"ME"	2000	497	"CUM"	"SOUTH PORTLAND"	1	679	1401	2228	828	1355	2183	1481	686	2213	1	1
"ME"	2000	497	"CUM"	"SOUTH PORTLAND"	1	817	1515	2493	934	1499	2433	1627	792	2483	2	1
"ME"	2000	497	"CUM"	"SOUTH PORTLAND"	1	768	1145	2037	630	1345	1975	1244	727	2020	3	1
"ME"	2000	497	"CUM"	"SOUTH PORTLAND"	1	882	1380	2383	734	1591	2325	1408	905	2354	4	1
"ME"	2000	497	"CUM"	"SOUTH PORTLAND"	1	590	983	1669	540	1075	1615	1006	593	1650	5	1
"ME"	2000	98	"CUM"	"STANDISH"	1	2186	2017	4464	1088	3261	4349	2405	1835	4363	1	1
"ME"	2000	498	"CUM"	"WESTBROOK"	1	543	791	1411	401	943	1344	862	466	1363	0	0
"ME"	2000	498	"CUM"	"WESTBROOK"	1	541	674	1301	370	922	1292	810	433	1284	1	1
"ME"	2000	498	"CUM"	"WESTBROOK"	1	537	701	1317	424	871	1295	813	444	1294	2	1
"ME"	2000	498	"CUM"	"WESTBROOK"	1	389	558	1015	328	682	1010	643	334	1009	3	1
"ME"	2000	498	"CUM"	"WESTBROOK"	1	406	620	1091	351	722	1073	707	346	1079	4	1
"ME"	2000	498	"CUM"	"WESTBROOK"	1	842	972	1914	522	1378	1900	1195	662	1893	5	1
"ME"	2000	499	"CUM"	"WINDHAM"	1	527	392	966	199	736	935	440	470	930	0	0
"ME"	2000	499	"CUM"	"WINDHAM"	1	2141	1911	4311	1069	3117	4186	2355	1773	4250	1	1
"ME"	2000	499	"CUM"	"WINDHAM"	1	1086	1247	2489	663	1751	2414	1453	924	2446	2	1
"ME"	2000	500	"CUM"	"YARMOUTH"	1	2447	2459	5241	1247	3891	5138	2920	1295	4338	1	1
"ME"	2000	99	"FRA"	"AVON"	2	114	87	226	74	151	225	160	59	219	1	1
"ME"	2000	100	"FRA"	"CARRABASSETT VALLEY"	2	149	182	379	83	291	374	272	97	369	1	1
"ME"	2000	101	"FRA"	"CARTHAGE"	2	82	117	221	67	151	218	169	51	220	1	1
"ME"	2000	102	"FRA"	"CHESTERVILLE"	2	240	270	563	181	368	549	387	156	543	1	1
"ME"	2000	103	"FRA"	"COPLIN PLT."	2	37	35	83	15	66	81	61	21	82	1	1
"ME"	2000	104	"FRA"	"DALLAS PLT."	2	80	76	175	31	140	171	117	51	168	1	1
"ME"	2000	105	"FRA"	"EUSTIS"	2	179	171	392	92	286	378	273	108	381	1	1
"ME"	2000	106	"FRA"	"FARMINGTON"	2	1340	1888	3599	1098	2400	3498	2591	857	3448	1	1
"ME"	2000	119	"FRA"	"FREEMAN TWP."	2	54	23	82	9	73	82	53	30	83	1	1
"ME"	2000	107	"FRA"	"INDUSTRY"	2	204	197	443	150	286	436	320	120	440	1	1
"ME"	2000	108	"FRA"	"JAY"	2	828	1568	2563	1050	1533	2583	2091	497	2588	1	1
"ME"	2000	109	"FRA"	"KINGFIELD"	2	325	291	691	154	431	585	458	213	671	1	1
"ME"	2000	110	"FRA"	"MADRID"	2	41	49	95	25	63	88	59	28	87	1	1
"ME"	2000	111	"FRA"	"NEW SHARON"	2	328	328	743	193	540	733	515	211	726	1	1
"ME"	2000	112	"FRA"	"NEW VINEYARD"	2	206	138	381	100	252	352	235	120	355	1	1
"ME"	2000	120	"FRA"	"PERKINS TWP."	2	4	5	11	5	6	11	9	2	11	1	1
"ME"	2000	113	"FRA"	"PHILLIPS"	2	218	233	490	123	347	470	342	138	480	1	1
"ME"	2000	114	"FRA"	"RANGELEY"	2	395	247	696	101	579	680	421	253	674	1	1
"ME"	2000	115	"FRA"	"RANGELEY PLT."	2	56	37	97	21	71	92	52	40	92	1	1
"ME"	2000	116	"FRA"	"SANDY RIVER PLT."	2	30	29	64	11	50	61	40	21	61	1	1
"ME"	2000	117	"FRA"	"STRONG"	2	315	260	629	141	447	588	400	183	583	1	1
"ME"	2000	118	"FRA"	"TEMPLE"	2	126	164	324	96	215	311	230	84	314	1	1
"ME"	2000	122	"FRA"	"WELD"	2	129	133	273	72	200	272	188	88	276	1	1
"ME"	2000	123	"FRA"	"WILTON"	2	979	1065	2228	615	1539	2154	1571	594	2165	1	1
"ME"	2000	124	"HAN"	"AMHERST"	2	74	60	150	50	95	145	92	56	148	1	1
"ME"	2000	125	"HAN"	"AURORA"	2	43	23	70	15	54	69	37	33	70	1	1
"ME"	2000	126	"HAN"	"BAR HARBOR"	2	909	1549	2881	1030	1779	2809	2303	519	2822	1	1
"ME"	2000	127	"HAN"	"BLUE HILL"	2	583	655	1389	469	896	1365	1126	354	1480	1	1
"ME"	2000	128	"HAN"	"BROOKLIN"	2	207	243	515	202	306	508	378	133	511	1	1
"ME"	2000	129	"HAN"	"BROOKSVILLE"	2	255	302	638	231	396	627	477	153	630	1	1
"ME"	2000	130	"HAN"	"BUCKSPORT"	2	1058	1146	2415	742	1617	2359	1766	637	2403	1	1
"ME"	2000	131	"HAN"	"CASTINE"	2	276	312	647	196	427	623	452	171	623	1	1
"ME"	2000	501	"HAN"	"CRANBERRY ISLES"	2	17	26	48	9	40	49	37	12	49	1	1
"ME"	2000	501	"HAN"	"CRANBERRY ISLES"	2	30	41	82	21	61	82	67	12	79	2	1
"ME"	2000	132	"HAN"	"DEDHAM"	2	444	375	888	245	623	868	574	316	890	1	1
"ME"	2000	133	"HAN"	"DEER ISLE"	2	418	589	1099	424	641	1065	870	208	1078	1	1
"ME"	2000	134	"HAN"	"EASTBROOK"	2	96	77	191	56	118	174	119	68	187	1	1
"ME"	2000	502	"HAN"	"ELLSWORTH"	2	717	606	1429	404	995	1399	1008	408	1416	1	1
"ME"	2000	502	"HAN"	"ELLSWORTH"	2	255	204	502	125	358	483	338	162	500	2	1
"ME"	2000	502	"HAN"	"ELLSWORTH"	2	248	182	465	150	310	460	331	131	462	3	1
"ME"	2000	502	"HAN"	"ELLSWORTH"	2	509	414	1012	276	714	990	667	329	996	4	1
"ME"	2000	135	"HAN"	"FRANKLIN"	2	348	263	668	193	451	644	448	215	663	1	1
"ME"	2000	136	"HAN"	"FRENCHBORO"	2	21	15	39	9	27	36	33	5	38	1	1
"ME"	2000	137	"HAN"	"GOULDSBORO"	2	479	378	942	244	669	913	660	265	925	1	1
"ME"	2000	138	"HAN"	"GREAT POND"	2	17	6	31	7	22	29	21	9	30	1	1
"ME"	2000	139	"HAN"	"HANCOCK"	2	546	418	1048	292	724	1016	685	325	1010	1	1
"ME"	2000	140	"HAN"	"LAMOINE"	2	428	334	837	239	576	815	570	267	837	1	1
"ME"	2000	141	"HAN"	"MARIAVILLE"	2	106	68	184	37	134	171	112	67	179	1	1
"ME"	2000	503	"HAN"	"MOUNT DESERT"	2	521	727	1377	408	947	1355	1053	299	1352	1	1
"ME"	2000	142	"HAN"	"ORLAND"	2	472	573	1154	49	718	767	867	288	1155	1	1
"ME"	2000	143	"HAN"	"OSBORN"	2	27	6	36	6	26	32	19	17	36	1	1
"ME"	2000	144	"HAN"	"OTIS"	2	180	112	311	78	210	288	172	131	303	1	1
"ME"	2000	145	"HAN"	"PENOBSCOT"	2	360	334	800	241	528	769	572	208	780	1	1
"ME"	2000	146	"HAN"	"SEDGWICK"	2	268	264	617	206	393	599	442	164	606	1	1
"ME"	2000	147	"HAN"	"SORRENTO"	2	80	102	203	63	135	198	151	49	200	1	1
"ME"	2000	148	"HAN"	"SOUTHWEST HARBOR"	2	538	564	1224	332	923	1255	920	297	1217	1	1
"ME"	2000	149	"HAN"	"STONINGTON"	2	184	316	547	179	372	551	468	89	557	1	1
"ME"	2000	150	"HAN"	"SULLIVAN"	2	272	244	588	177	385	562	399	163	562	1	1
"ME"	2000	151	"HAN"	"SURRY"	2	367	345	795	268	506	774	540	240	780	1	1
"ME"	2000	152	"HAN"	"SWAN'S ISLAND"	2	144	69	231	55	164	219	145	81	226	1	1
"ME"	2000	528	"HAN"	"T3 ND"	2	2	4	7	3	5	8	7	1	8	1	1
"ME"	2000	153	"HAN"	"TREMONT"	2	383	422	921	276	621	897	690	223	913	1	1
"ME"	2000	154	"HAN"	"TRENTON"	2	349	297	715	197	504	701	540	173	713	1	1
"ME"	2000	526	"HAN"	"UN. TWP. DTT9 & T10"	2	4	2	6	1	4	5	5	1	6	1	1
"ME"	2000	155	"HAN"	"UN. TWP. NO. 8, S.D."	2	21	17	39	11	25	36	23	15	38	1	1
"ME"	2000	156	"HAN"	"VERONA"	2	164	131	314	102	205	307	232	78	310	1	1
"ME"	2000	157	"HAN"	"WALTHAM"	2	107	47	162	28	134	162	88	71	159	1	1
"ME"	2000	158	"HAN"	"WINTER HARBOR"	2	205	121	357	80	258	338	227	118	345	1	1
"ME"	2000	159	"KEN"	"ALBION"	2	494	390	941	275	641	916	667	251	918	1	1
"ME"	2000	504	"KEN"	"AUGUSTA"	1	635	1016	1772	574	1169	1743	1067	597	1721	0	0
"ME"	2000	504	"KEN"	"AUGUSTA"	1	604	915	1611	576	1016	1592	1058	489	1585	1	1
"ME"	2000	504	"KEN"	"AUGUSTA"	1	671	1055	1857	652	1188	1840	1192	558	1805	2	1
"ME"	2000	504	"KEN"	"AUGUSTA"	1	667	997	1731	637	1086	1723	1094	571	1705	3	1
"ME"	2000	504	"KEN"	"AUGUSTA"	1	767	1133	2015	686	1312	1998	1292	645	1990	4	1
"ME"	2000	160	"KEN"	"BELGRADE"	1	774	751	1634	431	1167	1598	909	616	1573	1	1
"ME"	2000	161	"KEN"	"BENTON"	1	587	617	1270	464	787	1251	799	375	1221	1	1
"ME"	2000	162	"KEN"	"CHELSEA"	1	465	642	1174	371	762	1133	732	367	1130	1	1
"ME"	2000	163	"KEN"	"CHINA"	2	955	965	2057	608	1409	2017	1427	583	2010	1	1
"ME"	2000	164	"KEN"	"CLINTON"	1	693	719	1491	592	861	1453	893	484		1	1
"ME"	2000	165	"KEN"	"FARMINGDALE"	1	670	788	1540	462	1027	1489	906	544	1494	1	1
"ME"	2000	166	"KEN"	"FAYETTE"	1	234	308	590	207	367	574	341	214	572	1	1
"ME"	2000	505	"KEN"	"GARDINER"	1	147	225	396	129	260	389	247	119	385	1	1
