state	year	county	town	cd	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	ward	precinct
"ME"	2004	"CUM"	"FREEPORT"	1	3007	1906	5016	2987	1833	4820	1	1
"ME"	2004	"CUM"	"FRYE"									
"ME"	2004	"CUM"	"GORHAM"	1	1233	1083	2360	1297	919	2216	0	0
"ME"	2004	"CUM"	"GORHAM"	1	1178	1200	2409	1271	1024	2295	1	1
"ME"	2004	"CUM"	"GORHAM"	1	1181	1084	2292	1231	928	2159	2	1
"ME"	2004	"CUM"	"GORHAM"	1	801	766	1594	829	700	1529	3	1
"ME"	2004	"CUM"	"GRAY"	1	2102	2208	4403	2221	2048	4269	1	1
"ME"	2004	"CUM"	"HARPSWELL"	1	762	571	1354	793	516	1309	1	1
"ME"	2004	"CUM"	"HARPSWELL"	1	827	662	1512	838	627	1465	2	1
"ME"	2004	"CUM"	"HARPSWELL"	1	415	350	788	431	331	762	3	1
"ME"	2004	"CUM"	"HARRISON"	1	717	762	1518	763	670	1433	1	1
"ME"	2004	"CUM"	"LONG"									
"ME"	2004	"CUM"	"NAPLES"	1	979	1093	2122	1051	982	2033	1	1
"ME"	2004	"CUM"	"NEW"									
"ME"	2004	"CUM"	"NORTH"									
"ME"	2004	"CUM"	"PORTLAND"	1	7287	2259	9677	7270	1882	9152	0	0
"ME"	2004	"CUM"	"PORTLAND"	1	2025	491	2573	1976	450	2426	1	1
"ME"	2004	"CUM"	"PORTLAND"	1	960	240	1235	954	207	1161	1	2
"ME"	2004	"CUM"	"PORTLAND"	1	482	104	598	447	113	560	1	3
"ME"	2004	"CUM"	"PORTLAND"	1	28	12	41	23	17	40	1	4
"ME"	2004	"CUM"	"PORTLAND"	1	25	14	40	23	17	40	1	5
"ME"	2004	"CUM"	"PORTLAND"	1	1572	254	1868	1522	250	1772	2	1
"ME"	2004	"CUM"	"PORTLAND"	1	1252	205	1492	1230	190	1420	2	2
"ME"	2004	"CUM"	"PORTLAND"	1	1576	276	1909	1495	285	1780	2	3
"ME"	2004	"CUM"	"PORTLAND"	1	663	353	1026	689	291	980	3	1
"ME"	2004	"CUM"	"PORTLAND"	1	1521	435	1993	1532	382	1914	3	2
"ME"	2004	"CUM"	"PORTLAND"	1	1896	841	2787	1953	722	2675	3	3
"ME"	2004	"CUM"	"PORTLAND"	1	1416	568	2030	1434	501	1935	4	1
"ME"	2004	"CUM"	"PORTLAND"	1	1246	605	1879	1249	521	1770	4	2
"ME"	2004	"CUM"	"PORTLAND"	1	1114	557	1702	1119	469	1588	4	3
"ME"	2004	"CUM"	"PORTLAND"	1	871	333	1224	878	293	1171	5	1
"ME"	2004	"CUM"	"PORTLAND"	1	1249	720	2001	1292	586	1878	5	2
"ME"	2004	"CUM"	"PORTLAND"	1	1617	1188	2841	1768	966	2734	5	3
"ME"	2004	"CUM"	"POWNAL"	1	557	445	1018	598	384	982	1	1
"ME"	2004	"CUM"	"RAYMOND"	1	1314	1335	2694	1367	1238	2605	1	1
"ME"	2004	"CUM"	"SCARBOROUGH"	1	5651	5569	11355	5092	5758	10850	1	1
"ME"	2004	"CUM"	"SEBAGO"	1	498	554	1071	608	425	1033	1	1
"ME"	2004	"CUM"	"SOUTH"									
"ME"	2004	"CUM"	"SOUTH"									
"ME"	2004	"CUM"	"SOUTH"									
"ME"	2004	"CUM"	"SOUTH"									
"ME"	2004	"CUM"	"SOUTH"									
"ME"	2004	"CUM"	"SOUTH"									
"ME"	2004	"CUM"	"STANDISH"	1	0	0	0	0	0	0	0	0
"ME"	2004	"CUM"	"STANDISH"	1	2436	2721	5243	2743	2369	5112	1	1
"ME"	2004	"CUM"	"WESTBROOK"	1	1280	854	2161	1370	682	2052	0	0
"ME"	2004	"CUM"	"WESTBROOK"	1	680	545	1245	747	470	1217	1	1
"ME"	2004	"CUM"	"WESTBROOK"	1	776	521	1311	812	458	1270	2	1
"ME"	2004	"CUM"	"WESTBROOK"	1	650	516	1188	698	460	1158	3	1
"ME"	2004	"CUM"	"WESTBROOK"	1	642	431	1101	684	393	1077	4	1
"ME"	2004	"CUM"	"WESTBROOK"	1	1019	877	1923	1117	759	1876	5	1
"ME"	2004	"CUM"	"WINDHAM"	1	1235	1243	2512	1358	1046	2404	0	0
"ME"	2004	"CUM"	"WINDHAM"	1	1770	1896	3712	1948	1660	3608	1	1
"ME"	2004	"CUM"	"WINDHAM"	1	1395	1414	2858	1514	1227	2741	2	1
"ME"	2004	"CUM"	"YARMOUTH"	1	3185	2327	5593	3176	2214	5390	1	1
"ME"	2004	"FRA"	"AVON"	2	112	143	259	132	99	246	1	1
"ME"	2004	"FRA"	"CARRABASSETT"									
"ME"	2004	"FRA"	"CARTHAGE"	2	142	138	289	170	87	268	1	1
"ME"	2004	"FRA"	"CHESTERVILLE"	2	383	306	702	420	232	682	1	1
"ME"	2004	"FRA"	"COPLIN"									
"ME"	2004	"FRA"	"COPLIN"									
"ME"	2004	"FRA"	"DALLAS"									
"ME"	2004	"FRA"	"EUSTIS"	2	199	184	394	201	136	347	1	1
"ME"	2004	"FRA"	"FARMINGTON"	2	2484	1540	4125	2313	1400	3907	1	1
"ME"	2004	"FRA"	"FREEMAN"									
"ME"	2004	"FRA"	"INDUSTRY"	2	264	240	511	256	212	481	1	1
"ME"	2004	"FRA"	"JAY"	2	1790	974	2813	2011	732	2787	1	1
"ME"	2004	"FRA"	"KINGFIELD"	2	331	338	682	391	263	678	1	1
"ME"	2004	"FRA"	"MADRID"									
"ME"	2004	"FRA"	"NEW"									
"ME"	2004	"FRA"	"NEW"									
"ME"	2004	"FRA"	"PERKINS"									
"ME"	2004	"FRA"	"PHILLIPS"	2	271	281	561	308	204	532	1	1
"ME"	2004	"FRA"	"RANGELEY"	2	295	440	753	376	321	722	1	1
"ME"	2004	"FRA"	"RANGELEY"									
"ME"	2004	"FRA"	"SANDY"									
"ME"	2004	"FRA"	"STRONG"	2	349	402	782	367	314	706	1	1
"ME"	2004	"FRA"	"TEMPLE"	2	208	132	355	234	102	347	1	1
"ME"	2004	"FRA"	"WELD"	2	152	125	287	167	99	274	1	1
"ME"	2004	"FRA"	"WILTON"	2	1218	924	2198	1341	820	2204	1	1
"ME"	2004	"HAN"	"AMHERST"	2	65	86	156	78	64	144	1	1
"ME"	2004	"HAN"	"AURORA"	2	22	56	80	31	47	78	1	1
"ME"	2004	"HAN"	"BAR"									
"ME"	2004	"HAN"	"BLUE"									
"ME"	2004	"HAN"	"BROOKLIN"	2	385	222	614	379	204	596	1	1
"ME"	2004	"HAN"	"BROOKSVILLE"	2	447	257	716	444	223	689	1	1
"ME"	2004	"HAN"	"BUCKSPORT"	2	1450	1307	2808	1681	993	2730	1	1
"ME"	2004	"HAN"	"CASTINE"	2	483	332	831	475	296	795	1	1
"ME"	2004	"HAN"	"CRANBERRY"									
"ME"	2004	"HAN"	"CRANBERRY"									
"ME"	2004	"HAN"	"DEDHAM"	2	478	530	1028	539	445	1005	1	1
"ME"	2004	"HAN"	"DEER"									
"ME"	2004	"HAN"	"DTT9"									
"ME"	2004	"HAN"	"EASTBROOK"	2	99	126	233	122	93	224	1	1
"ME"	2004	"HAN"	"ELLSWORTH"	2	790	820	1637	843	696	1568	1	1
"ME"	2004	"HAN"	"ELLSWORTH"	2	271	290	571	281	262	558	2	1
"ME"	2004	"HAN"	"ELLSWORTH"	2	254	338	601	303	270	587	3	1
"ME"	2004	"HAN"	"ELLSWORTH"	2	581	648	1257	581	595	1194	4	1
"ME"	2004	"HAN"	"FRANKLIN"	2	345	425	787	384	341	752	1	1
"ME"	2004	"HAN"	"FRENCHBORO"	2	20	24	44	26	13	39	1	1
"ME"	2004	"HAN"	"GOULDSBORO"	2	531	552	1103	588	439	1051	1	1
"ME"	2004	"HAN"	"GREAT"									
"ME"	2004	"HAN"	"HANCOCK"	2	593	623	1235	649	510	1187	1	1
"ME"	2004	"HAN"	"LAMOINE"	2	520	514	1052	531	441	999	1	1
"ME"	2004	"HAN"	"MARIAVILLE"	2	93	144	242	112	116	233	1	1
"ME"	2004	"HAN"	"MOUNT"									
"ME"	2004	"HAN"	"NO."									
"ME"	2004	"HAN"	"NO."									
"ME"	2004	"HAN"	"ORLAND"	2	749	548	1325	896	411	1329	1	1
"ME"	2004	"HAN"	"OSBORN"	2	14	37	52	25	24	50	1	1
"ME"	2004	"HAN"	"OTIS"	2	138	245	388	174	180	361	1	1
"ME"	2004	"HAN"	"PENOBSCOT"	2	505	359	873	511	288	828	1	1
"ME"	2004	"HAN"	"SEDGWICK"	2	440	286	738	444	253	711	1	1
"ME"	2004	"HAN"	"SORRENTO"	2	137	77	218	140	65	206	1	1
"ME"	2004	"HAN"	"SOUTHWEST"									
"ME"	2004	"HAN"	"STONINGTON"	2	474	226	712	475	170	666	1	1
"ME"	2004	"HAN"	"SULLIVAN"	2	338	308	671	370	243	632	1	1
"ME"	2004	"HAN"	"SURRY"	2	531	418	961	544	366	940	1	1
"ME"	2004	"HAN"	"SWAN'S"									
"ME"	2004	"HAN"	"T3"									
"ME"	2004	"HAN"	"TREMONT"	2	558	444	1025	591	361	982	1	1
"ME"	2004	"HAN"	"TRENTON"	2	435	391	847	456	328	807	1	1
"ME"	2004	"HAN"	"VERONA"									
"ME"	2004	"HAN"	"WALTHAM"	2	66	139	208	89	100	194	1	1
"ME"	2004	"HAN"	"WINTER"									
"ME"	2004	"KEN"	"ALBION"	1	442	607	1077	510	492	1002	1	1
"ME"	2004	"KEN"	"AUGUSTA"	1	1754	1114	2939	1887	961	2848	0	0
"ME"	2004	"KEN"	"AUGUSTA"	1	894	600	1526	937	566	1503	1	1
"ME"	2004	"KEN"	"AUGUSTA"	1	944	738	1726	1076	624	1700	2	1
"ME"	2004	"KEN"	"AUGUSTA"	1	954	792	1798	1092	693	1785	3	1
"ME"	2004	"KEN"	"AUGUSTA"	1	997	905	1936	1129	768	1897	4	1
"ME"	2004	"KEN"	"BELGRADE"	1	930	1003	1964	1048	826	1874	1	1
"ME"	2004	"KEN"	"BENTON"	2	756	712	1500	828	540	1438	1	1
"ME"	2004	"KEN"	"CHELSEA"	1	660	671	1355	763	551	1314	1	1
"ME"	2004	"KEN"	"CHINA"	1	1114	1206	2374	1217	1037	2254	1	1
"ME"	2004	"KEN"	"CLINTON"	2	837	837	1704	854	727	1627	1	1
"ME"	2004	"KEN"	"FARMINGDALE"	1	879	807	1708	965	669	1634	1	1
"ME"	2004	"KEN"	"FAYETTE"	2	402	291	717	428	236	681	1	1
"ME"	2004	"KEN"	"GARDINER"	1	304	212	530	295	217	512	0	0
"ME"	2004	"KEN"	"GARDINER"	1	334	284	637	380	247	627	1	1
"ME"	2004	"KEN"	"GARDINER"	1	338	332	686	409	268	677	2	1
"ME"	2004	"KEN"	"GARDINER"	1	405	273	692	442	230	672	3	1
"ME"	2004	"KEN"	"GARDINER"	1	335	382	731	392	322	714	4	1
"ME"	2004	"KEN"	"HALLOWELL"	1	233	75	311	224	81	305	1	1
"ME"	2004	"KEN"	"HALLOWELL"	1	248	84	341	243	88	331	2	1
"ME"	2004	"KEN"	"HALLOWELL"	1	219	104	329	220	104	324	3	1
"ME"	2004	"KEN"	"HALLOWELL"	1	216	89	310	225	75	300	4	1
"ME"	2004	"KEN"	"HALLOWELL"	1	215	210	433	223	201	424	5	1
"ME"	2004	"KEN"	"LITCHFIELD"	2	913	969	1923	1023	776	1845	1	1
"ME"	2004	"KEN"	"MANCHESTER"	1	798	803	1623	900	693	1593	1	1
"ME"	2004	"KEN"	"MONMOUTH"	1	849	881	1768	947	760	1707	1	1
"ME"	2004	"KEN"	"MONMOUTH"	1	266	224	495	285	182	467	2	1
"ME"	2004	"KEN"	"MOUNT"									
"ME"	2004	"KEN"	"OAKLAND"	2	1716	1501	3281	1864	1285	3200	1	1
"ME"	2004	"KEN"	"PITTSTON"	1	766	815	1617	881	665	1546	1	1
"ME"	2004	"KEN"	"RANDOLPH"	1	585	486	1089	649	399	1048	1	1
"ME"	2004	"KEN"	"READFIELD"	1	893	725	1657	961	642	1603	1	1
"ME"	2004	"KEN"	"ROME"	1	312	283	614	337	243	580	1	1
"ME"	2004	"KEN"	"SIDNEY"	1	1077	1208	2325	1286	931	2217	1	1
"ME"	2004	"KEN"	"VASSALBORO"	1	1046	1057	2142	1180	886	2066	1	1
"ME"	2004	"KEN"	"VIENNA"	1	218	150	398	244	149	393	1	1
"ME"	2004	"KEN"	"WATERVILLE"	2	5056	2413	7616	5209	2044	7404	1	1
"ME"	2004	"KEN"	"WAYNE"	2	437	295	733	460	263	738	1	1
"ME"	2004	"KEN"	"WEST"									
"ME"	2004	"KEN"	"WINDSOR"	1	552	710	1293	655	572	1227	1	1
"ME"	2004	"KEN"	"WINSLOW"	2	2492	1799	4369	2754	1498	4311	1	1
"ME"	2004	"KEN"	"WINTHROP"	1	1820	1724	3639	1983	1579	3562	1	1
"ME"	2004	"KNO"	"APPLETON"	1	408	368	792	431	293	724	1	1
"ME"	2004	"KNO"	"CAMDEN"	1	2277	1153	3483	2213	1101	3314	1	1
"ME"	2004	"KNO"	"CUSHING"	1	397	384	792	416	324	740	1	1
"ME"	2004	"KNO"	"FRIENDSHIP"	1	301	461	779	331	382	713	1	1
"ME"	2004	"KNO"	"HOPE"	1	456	439	916	470	393	863	1	1
"ME"	2004	"KNO"	"ISLE"									
"ME"	2004	"KNO"	"MATINICUS"									
"ME"	2004	"KNO"	"NORTH"									
"ME"	2004	"KNO"	"OWL'S"									
"ME"	2004	"KNO"	"ROCKLAND"	1	2077	1497	3655	2132	1333	3465	1	1
"ME"	2004	"KNO"	"ROCKPORT"	1	1224	872	2131	1189	840	2029	1	1
"ME"	2004	"KNO"	"SOUTH"									
"ME"	2004	"KNO"	"ST."									
"ME"	2004	"KNO"	"THOMASTON"	1	823	699	1554	879	629	1508	1	1
"ME"	2004	"KNO"	"UNION"	1	692	682	1406	698	647	1345	1	1
"ME"	2004	"KNO"	"VINALHAVEN"	1	519	249	783	540	198	738	1	1
"ME"	2004	"KNO"	"WARREN"	1	858	1029	1926	944	896	1840	1	1
"ME"	2004	"KNO"	"WASHINGTON"	1	450	419	884	483	357	840	1	1
"ME"	2004	"LIN"	"ALNA"	1	276	186	470	265	183	448	1	1
"ME"	2004	"LIN"	"BOOTHBAY"	1	1053	1010	2094	1074	927	2001	1	1
"ME"	2004	"LIN"	"BOOTHBAY"									
"ME"	2004	"LIN"	"BREMEN"	1	298	230	537	304	215	519	1	1
"ME"	2004	"LIN"	"BRISTOL"	1	1033	893	1962	1016	871	1887	1	1
"ME"	2004	"LIN"	"DAMARISCOTTA"	1	770	598	1396	773	557	1330	1	1
"ME"	2004	"LIN"	"DRESDEN"	1	517	458	1003	524	433	957	1	1
"ME"	2004	"LIN"	"EDGECOMB"	1	421	363	794	430	341	771	1	1
"ME"	2004	"LIN"	"JEFFERSON"	1	677	808	1514	721	726	1447	1	1
"ME"	2004	"LIN"	"MONHEGAN"									
"ME"	2004	"LIN"	"NEWCASTLE"	1	683	463	1166	687	444	1131	1	1
"ME"	2004	"LIN"	"NOBLEBORO"	1	587	524	1132	565	449	1014	1	1
"ME"	2004	"LIN"	"SOMERVILLE"	1	119	167	296	137	139	276	1	1
"ME"	2004	"LIN"	"SOUTH"									
"ME"	2004	"LIN"	"SOUTHPORT"	1	256	285	547	275	251	526	1	1
"ME"	2004	"LIN"	"WALDOBORO"	1	1348	1387	2801	1431	1280	2711	1	1
"ME"	2004	"LIN"	"WESTPORT"									
"ME"	2004	"LIN"	"WHITEFIELD"	1	709	585	1320	767	497	1264	1	1
"ME"	2004	"LIN"	"WISCASSET"	1	1070	1083	2192	1143	971	2114	1	1
"ME"	2004	"OXF"	"ALBANY"									
"ME"	2004	"OXF"	"ANDOVER"	2	217	283	510	276	206	494	1	1
"ME"	2004	"OXF"	"BETHEL"	2	849	712	1601	926	590	1550	1	1
"ME"	2004	"OXF"	"BROWNFIELD"	2	458	360	834	455	288	773	1	1
"ME"	2004	"OXF"	"BUCKFIELD"	2	525	540	1094	569	436	1031	1	1
"ME"	2004	"OXF"	"BYRON"	2	39	40	84	44	33	79	1	1
"ME"	2004	"OXF"	"CANTON"	2	286	279	590	336	200	557	1	1
"ME"	2004	"OXF"	"DENMARK"	2	297	348	679	343	264	633	1	1
"ME"	2004	"OXF"	"DIXFIELD"	2	748	545	1327	836	400	1271	1	1
"ME"	2004	"OXF"	"FRYEBURG"	2	873	836	1737	889	664	1601	1	1
"ME"	2004	"OXF"	"GILEAD"	2	60	45	109	52	43	99	1	1
"ME"	2004	"OXF"	"GREENWOOD"	2	239	186	433	263	147	418	1	1
"ME"	2004	"OXF"	"HANOVER"	2	78	94	174	95	73	171	1	1
"ME"	2004	"OXF"	"HARTFORD"	2	282	308	601	329	218	562	1	1
"ME"	2004	"OXF"	"HEBRON"	2	308	317	635	321	259	603	1	1
"ME"	2004	"OXF"	"HIRAM"	2	214	182	411	236	143	392	1	1
"ME"	2004	"OXF"	"HIRAM"	2	220	195	424	237	139	391	2	1
"ME"	2004	"OXF"	"LINCOLN"									
"ME"	2004	"OXF"	"LOVELL"	2	333	367	709	361	314	681	1	1
"ME"	2004	"OXF"	"MAGALLOWAY"									
"ME"	2004	"OXF"	"MEXICO"	2	962	467	1472	1101	320	1441	1	1
"ME"	2004	"OXF"	"MILTON"									
"ME"	2004	"OXF"	"NEWRY"	2	131	105	243	142	78	226	1	1
"ME"	2004	"OXF"	"NORWAY"	2	1466	1128	2646	1545	978	2570	1	1
"ME"	2004	"OXF"	"OTISFIELD"	2	491	505	1021	548	406	975	1	1
"ME"	2004	"OXF"	"OXFORD"	2	952	1028	2016	1079	834	1953	1	1
"ME"	2004	"OXF"	"PARIS"	2	1374	1276	2708	1487	1072	2714	1	1
"ME"	2004	"OXF"	"PERU"	2	535	386	940	598	271	896	1	1
"ME"	2004	"OXF"	"PORTER"	2	383	415	811	417	297	740	1	1
"ME"	2004	"OXF"	"ROXBURY"	2	173	89	269	180	77	262	1	1
"ME"	2004	"OXF"	"RUMFORD"	2	2060	1151	3297	2355	826	3241	1	1
"ME"	2004	"OXF"	"STONEHAM"	2	99	77	179	84	56	146	1	1
"ME"	2004	"OXF"	"STOW"	2	90	90	181	97	68	168	1	1
"ME"	2004	"OXF"	"SUMNER"	2	238	236	490	253	188	452	1	1
"ME"	2004	"OXF"	"SWEDEN"	2	88	112	202	103	80	187	1	1
"ME"	2004	"OXF"	"UPTON"	2	26	35	61	31	26	57	1	1
"ME"	2004	"OXF"	"WATERFORD"	2	478	439	945	476	407	902	1	1
"ME"	2004	"OXF"	"WEST"									
"ME"	2004	"OXF"	"WOODSTOCK"	2	344	422	782	374	330	727	1	1
"ME"	2004	"PEN"	"ALTON"	2	250	269	531	287	216	514	1	1
