state	year	county	precinct	cd	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_GOV_dv	g2000_GOV_rv	g2000_GOV_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_BALL_rtv	g2000_BALL_atv	g2000_BALL_tv
"NH"	2000	"Rockingham"	"Portsmouth Ward 5"	1	1579	847	2575	1525	766	2525	1595	870	2512	2276	365	2641
"NH"	2000	"Rockingham"	"Raymond"	1	1644	2020	3839	1687	1771	3790	1644	2044	3805	3715	184	3899
"NH"	2000	"Rockingham"	"Rye"	1	1578	1720	3433	1223	1689	3370	1639	1717	3399	2867	610	3477
"NH"	2000	"Rockingham"	"Salem"	2	5711	5713	11965	4308	6682	11367	4308	6682	11368	11498	630	12128
"NH"	2000	"Rockingham"	"Sandown"	1	990	1105	2209	1063	936	2193	977	1126	2166	2135	113	2248
"NH"	2000	"Rockingham"	"Seabrook"	1	1670	1677	3521	1266	1821	3512	1632	1720	3464	3329	259	3588
"NH"	2000	"Rockingham"	"South Hampton"	1	217	239	512	215	226	497	216	254	487	481	28	509
"NH"	2000	"Rockingham"	"Stratham"	1	1678	1808	3650	1779	1609	3618	1666	1876	3602	3369	311	3680
"NH"	2000	"Rockingham"	"Windham"	2	2174	3135	5532	2266	2938	5483	1575	3509	5257	5175	385	5560
"NH"	2000	"Strafford"	"Barrington"	1	1668	1627	3501	1869	1314	3490	786	984	1811	3374	177	3551
"NH"	2000	"Strafford"	"Dover Ward 1"	1	1084	836	2015	1176	729	2024	1065	914	2008	1893	167	2060
"NH"	2000	"Strafford"	"Dover Ward 2"	1	1015	594	1753	1102	489	1759	1018	640	1725	1782	104	1886
"NH"	2000	"Strafford"	"Dover Ward 3"	1	1421	1179	2764	1529	997	2760	1437	1271	2761	2519	318	2837
"NH"	2000	"Strafford"	"Dover Ward 4"	1	1087	902	2104	1229	738	2138	1135	941	2114	1999	178	2177
"NH"	2000	"Strafford"	"Dover Ward 5"	1	1149	658	1926	1197	569	1921	1109	762	1935	1820	132	1952
"NH"	2000	"Strafford"	"Dover Ward 6"	1	1056	839	1978	1126	708	1971	1000	928	1960	1881	129	2010
"NH"	2000	"Strafford"	"Durham"	1	3362	1585	5412	3503	1271	5232	3209	1822	5137	5174	395	5569
"NH"	2000	"Strafford"	"Farmington"	1	990	1078	2192	1115	883	2203	1000	1138	2191	2114	138	2252
"NH"	2000	"Strafford"	"Lee"	1	1144	821	2098	1277	624	2093	1191	849	2079	2068	136	2204
"NH"	2000	"Strafford"	"Madbury"	1	429	400	874	503	295	862	431	408	854	810	70	880
"NH"	2000	"Strafford"	"Middleton"	1	298	251	583	307	230	623	263	303	577	557	32	589
"NH"	2000	"Strafford"	"Milton"	1	756	791	1657	890	616	1672	802	802	1664	1578	109	1687
"NH"	2000	"Strafford"	"New Durham"	1	449	618	1134	522	533	1126	460	635	1122	1048	94	1142
"NH"	2000	"Strafford"	"Rochester Ward 1"	1	1074	1134	2295	1237	896	2309	1059	1180	2279	2217	137	2354
"NH"	2000	"Strafford"	"Rochester Ward 2"	1	967	1147	2228	1150	908	2233	973	1192	2210	2135	152	2287
"NH"	2000	"Strafford"	"Rochester Ward 3"	1	1177	1315	2586	1325	1106	2579	1135	1384	2563	2486	145	2631
"NH"	2000	"Strafford"	"Rochester Ward 4"	1	1198	1038	2419	1288	937	2372	1173	1107	2324	2368	146	2514
"NH"	2000	"Strafford"	"Rochester Ward 5"	1	985	888	1962	1082	731	1972	991	918	1951	1894	125	2019
"NH"	2000	"Strafford"	"Rollinsford"	1	702	609	1362	781	498	1374	674	663	1364	1299	92	1391
"NH"	2000	"Strafford"	"Somersworth Ward 1"	1	552	469	1078	612	380	1087	539	503	1066	1037	67	1104
"NH"	2000	"Strafford"	"Somersworth Ward 2"	1	442	365	845	485	315	849	420	391	834	792	61	853
"NH"	2000	"Strafford"	"Somersworth Ward 3"	1	489	411	937	565	314	942	487	424	930	893	59	952
"NH"	2000	"Strafford"	"Somersworth Ward 4"	1	650	390	1076	700	305	1080	596	462	1075	1048	57	1105
"NH"	2000	"Strafford"	"Somersworth Ward 5"	1	399	289	715	436	229	721	398	299	713	707	28	735
"NH"	2000	"Strafford"	"Straffordææ"	1	857	874	1819	1038	619	1832	876	878	1784	1738	100	1838
"NH"	2000	"Sullivan"	"Acworth"	2	207	217	471	199	200	438	176	238	441	423	49	472
"NH"	2000	"Sullivan"	"Charlestown"	2	968	913	2009	990	795	1989	803	1085	1961	1899	129	2028
"NH"	2000	"Sullivan"	"Claremont Ward 1"	2	808	707	1607	752	657	1592	750	769	1572	1437	93	1530
"NH"	2000	"Sullivan"	"Claremont Ward 2"	2	889	883	1864	877	793	1845	811	975	1827	1738	149	1887
"NH"	2000	"Sullivan"	"Claremont Ward 3"	2	835	792	1711	805	717	1676	747	856	1664	1624	102	1726
"NH"	2000	"Sullivan"	"Cornish"	2	395	447	919	417	418	886	387	482	893	853	63	916
"NH"	2000	"Sullivan"	"Croydon"	2	90	205	323	113	190	328	82	223	317	311	18	329
"NH"	2000	"Sullivan"	"Goshen"	2	147	201	366	156	178	364	126	220	353	337	31	368
"NH"	2000	"Sullivan"	"Grantham"	2	649	758	1447	610	778	1456	548	864	1428	1312	178	1490
"NH"	2000	"Sullivan"	"Langdon"	2	139	163	331	147	148	326	111	200	324	309	25	334
"NH"	2000	"Sullivan"	"Lempster"	2	156	261	455	155	252	440	116	287	425	411	37	448
"NH"	2000	"Sullivan"	"Newport"	2	988	1271	2378	1029	1116	2371	833	1414	2318	2240	172	2412
"NH"	2000	"Sullivan"	"Plainfield"	2	623	501	1201	601	493	1186	570	569	1168	1130	86	1216
"NH"	2000	"Sullivan"	"Springfield"	2	213	306	548	201	303	549	184	342	541	495	61	556
"NH"	2000	"Sullivan"	"Sunapee"	2	691	1092	1881	651	1017	1856	557	1230	1828	1637	260	1897
"NH"	2000	"Sullivan"	"Unity"	2	234	315	597	221	299	597	219	344	586	578	31	609
"NH"	2000	"Sullivan"	"Washington"	2	192	272	502	203	256	505	158	326	495	454	54	508
