district-name,normal-votes:democrat,normal-votes:republican
"Congressional District 6",122420,214350
"Congressional District 13",198900,148320
"Congressional District 4",252510,179750
"Congressional District 5",127780,202620
"Congressional District 10",114090,189520
"Congressional District 8",149770,133970
"Congressional District 3",128340,183460
"Congressional District 1",185310,97710
"Congressional District 7",167270,161580
"Congressional District 2",160710,138620
"Congressional District 11",163590,179760
"Congressional District 12",206330,100010
"Congressional District 9",157870,233320
