district-name,gov-2010:democrat,gov-2010:republican,gov-2010:other,pres-2008:democrat,pres-2008:republican,pres-2008:other,normal-votes:democrat,normal-votes:republican,us-senate-2010:democrat,us-senate-2010:republican,us-senate-2010:other
"Congressional District 1",93590,127130,7760,126540,156580,3760,99110,126570,78610,130920,14970
"Congressional District 8",123700,153970,7240,161220,181830,4100,126860,154150,105750,158860,16720
"Congressional District 2",93110,172540,8720,139120,220360,5730,99060,174790,75870,177950,18220
"Congressional District 7",89700,65420,4820,122560,89320,2570,92850,67580,77270,71130,9620
"Congressional District 3",87380,118710,7460,122270,162920,4760,86720,127300,64120,134230,13510
"Congressional District 5",95750,112930,7320,140450,153750,4930,94960,121440,70650,130070,13050
"Congressional District 6",86620,159930,9280,134850,220550,5830,91120,166410,66060,167790,19170
"Congressional District 4",63200,27580,3090,86850,43730,2300,64170,30810,53210,34030,5580
