district-name,pres-2008:democrat,pres-2008:republican,normal-votes:democrat,normal-votes:republican,us-senate-2008:democrat,us-senate-2008:republican
"Congressional District 2",100280,171470,108330,163390,91800,176400
"Congressional District 7",187570,78880,197610,68200,178420,83860
"Congressional District 1",112960,176740,115310,174620,104530,183350
"Congressional District 6",83400,249930,92020,241830,74090,257820
"Congressional District 4",55710,192020,88750,158970,55370,191020
"Congressional District 3",117740,152420,126900,143410,112310,153260
"Congressional District 5",111500,179470,143980,146870,95920,192020
