district-name,normal-votes:democrat,normal-votes:republican,pres-2008:democrat,pres-2008:republican,us-house-2008:democrat,us-house-2008:republican,us-senate-2008:democrat,us-senate-2008:republican
"Congressional District 5",75790,106410,75850,107620,62860,115910,97930,83580
"Congressional District 4",96060,104200,99850,101080,72270,130650,120480,80510
"Congressional District 2",101440,80260,99530,83640,92060,79700,115750,66220
"Congressional District 3",124720,85170,105130,104720,109190,28480,121160,89310
"Congressional District 1",108880,77590,100720,85780,111000,69910,119030,65360
