district-name,normal-votes:republican,normal-votes:democrat
"Congressional District 4",142530,83080
"Congressional District 5",173720,129660
"Congressional District 8",154850,140460
"Congressional District 6",129850,189160
"Congressional District 3",136020,156280
"Congressional District 10",114150,164790
"Congressional District 2",116090,185000
"Congressional District 9",88540,174480
"Congressional District 7",75940,296240
"Congressional District 1",142830,179830
