district-name,normal-votes:democrat,normal-votes:republican,gov-2010:democrat,gov-2010:republican,pres-2008:democrat,pres-2008:republican
"Congressional District 10",131380,206240,93760,127690,150580,187270
"Congressional District 26",120850,209790,69140,108330,137890,192570
"Congressional District 21",126770,237500,88840,144300,149450,214570
"Congressional District 3",99180,196600,59540,92370,124340,171940
"Congressional District 20",111470,69590,59150,32830,115660,65350
"Congressional District 23",117950,124900,72500,76550,124920,117840
"Congressional District 28",103930,79450,60600,49250,102800,80690
"Congressional District 4",102880,203500,60740,121390,92850,213010
"Congressional District 19",68650,167360,37590,95510,64910,171060
"Congressional District 2",104090,160780,69780,108300,105620,159410
"Congressional District 8",85340,204930,56670,145340,74880,215460
"Congressional District 25",165490,128810,105060,78380,176150,118440
"Congressional District 17",89810,165200,60340,107450,82330,172750
"Congressional District 14",93890,171830,65680,119280,88560,177270
"Congressional District 31",109560,187490,65800,104980,124400,172360
"Congressional District 13",64220,170910,36150,101660,53850,181460
"Congressional District 27",98590,83430,53190,52670,97600,84410
"Congressional District 15",101930,67950,56580,40940,102100,67700
"Congressional District 9",128190,48100,82660,22970,136330,40100
"Congressional District 22",120380,193300,89670,122130,130460,183270
"Congressional District 24",104050,173580,63210,88110,124090,154140
"Congressional District 18",146020,48810,94730,27580,150900,43500
"Congressional District 29",69510,38320,45120,21920,67340,40820
"Congressional District 1",91840,174530,53980,112090,81770,184530
"Congressional District 11",65220,178510,38280,114020,58450,185270
"Congressional District 30",161910,46100,93470,20830,170580,37780
"Congressional District 5",90940,158620,57320,92370,91110,158470
"Congressional District 32",82460,123100,56140,68260,95600,109280
"Congressional District 6",106970,179780,64240,96410,114370,172100
"Congressional District 12",94580,176210,54200,95540,99220,171710
"Congressional District 7",103450,191030,89910,116220,121240,173170
"Congressional District 16",111730,66390,52270,31680,117960,60180
